stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
111486,Downtown Courtenay,49.6923,-124.99815,0,111486
111381,5th St at Simms Park,49.69285,-124.99395,0,111381
111296,Old Island Hwy at Puntledge,49.6952,-124.99225,0,111296
110270,Comox Valley Senior's Village,49.70285,-124.99403,0,110270
110526,Comox Valley Sports Ctr,49.71074,-125.00088,0,110526
111489,Anderton Ave at 3rd St,49.69289,-124.99661,0,111489
111300,Lerwick at Malahat,49.70583,-124.95992,0,111300
111301,Lerwick at Valley View,49.69902,-124.95641,0,111301
111373,2100 Blk Lerwick Rd,49.69607,-124.95512,0,111373
111302,Lerwick at Inverclyde,49.69437,-124.953,0,111302
111303,Guthrie at Aspen Grv Ctr,49.68911,-124.9463,0,111303
111304,Guthrie at Stadacona,49.68831,-124.93786,0,111304
111305,Anderton Rd at Guthrie Rd,49.68738,-124.93503,0,111305
111306,Anderton Rd at Bolt Ave,49.68401,-124.93521,0,111306
110532,Anderton at Robb,49.68129,-124.93543,0,110532
111347,Anderton at McKenzie,49.67908,-124.93563,0,111347
111348,Anderton Rd at Buena Vista Ave,49.6764,-124.93529,0,111348
111349,Comox at Ellis,49.67434,-124.9296,0,111349
110531,Comox Mall,49.67367,-124.92517,0,110531
111278,Driftwood Mall,49.67511,-124.98472,0,111278
111459,Cliffe at Mansfield,49.67854,-124.98389,0,111459
111337,Cliffe at 19th St,49.68204,-124.98671,0,111337
111397,5th St at Leighton Ave,49.68824,-125.00665,0,111397
111399,1st St at Urquhart Ave,49.68798,-125.01434,0,111399
111400,1st St at Embleton Cres,49.68628,-125.0175,0,111400
111401,1st St at Mitchell Pl,49.68412,-125.02149,0,111401
111457,Arden at 1st St,49.68163,-125.02488,0,111457
111464,2200 Blk Embleton Cres,49.68173,-125.02131,0,111464
111402,Embleton at Rod and Gun,49.68339,-125.0181,0,111402
111465,Embleton at Osprey,49.68497,-125.01683,0,111465
111491,1st St at Embleton Cres,49.6862,-125.01733,0,111491
111404,Woods at 2nd St,49.68625,-125.01395,0,111404
