stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
162013,Library,49.08957,-116.50586,0,162013
162023,Creston Community Complex,49.09803,-116.5035,0,162023
162030,15th Ave N at Vancouver,49.09816,-116.50852,0,162030
162007,11th Ave N at Canyon St,49.09573,-116.5118,0,162007
162006,11th Ave N at Canyon St,49.09585,-116.51195,0,162006
162008,Cook St at 12th Ave S,49.09467,-116.50993,0,162008
162009,15th Ave N at Vancouver St,49.0982,-116.5082,0,162009
162011,20th Ave N at Vancouver St,49.09773,-116.5015,0,162011
162024,Sunset Blvd at Hwy 3,49.09496,-116.49916,0,162024
162025,Hwy 3 at Erickson,49.09087,-116.46621,0,162025
162026,Erickson at 3012 Blk,49.08843,-116.48271,0,162026
162027,25th Ave S at Cedar,49.09194,-116.49512,0,162027
162029,Crestview Village,49.10454,-116.51525,0,162029
162002,Cavell St at 7th Ave N,49.10429,-116.51823,0,162002
162021,Hwy 3 at Helen,49.11688,-116.52348,0,162021
162020,Ramada Hotel,49.11984,-116.52432,0,162020
162022,Hwy 3 at 1505 Blk,49.1147,-116.52365,0,162022
162028,Cavell at 7th Ave N,49.10414,-116.51823,0,162028
162003,10th Av N & Scott,49.1036,-116.51358,0,162003
162004,10th Av N & Murdoch,49.10113,-116.51352,0,162004
162005,10th Av N & Hillside St,49.09906,-116.51354,0,162005
162018,Wynndel General Store,49.18065,-116.55441,0,162018
162001,4265 Highway 3A,49.16501,-116.54026,0,162001
162031,Hwy 3A & Lakeview Arrow Crk,49.154,-116.53871,0,162031
162019,Elsie Holmes at Wynndel,49.1818,-116.53959,0,162019
162000,Wynndel at Community Church,49.18032,-116.54904,0,162000
162010,Hillside St at 16th Ave N,49.09907,-116.5061,0,162010
162012,16th Ave S at Cook (COTR-Creston),49.0941,-116.50707,0,162012
962000,Creston Valley Garage,49.11257,-116.51809,0,962000
162032,10th Av N & Hillside,49.09904,-116.51342,0,162032
162033,10th Av N & Murdoch,49.10114,-116.51336,0,162033
162034,10th Av N & Scott,49.10361,-116.51342,0,162034
