stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
908001,Fort St John Transit Centre (WB),56.23358,-120.85474,0,908001
198001,100 St & 100 Ave,56.24606,-120.84765,0,198001
198069,Old Fort Rd at Alaska Rd S,56.24503,-120.87386,0,198069
198040,100 Ave & 96 St,56.24636,-120.8421,0,198040
198036,100 Ave & 95 St,56.24636,-120.83862,0,198036
198024,90 St & 101 Ave,56.24743,-120.82889,0,198024
198043,90 St & 103A Ave,56.24942,-120.8289,0,198043
198002,107 Ave & 92 St,56.25302,-120.83097,0,198002
198020,105 Ave & 94 St,56.25113,-120.83584,0,198020
198021,105 Ave & 98 St,56.25114,-120.8435,0,198021
198023,105 Ave & 100 St,56.25114,-120.84637,0,198023
198085,100 St & 106 Ave,56.25229,-120.84721,0,198085
198010,107 Ave & 98 St,56.25284,-120.84562,0,198010
198026,98 St & 108 Ave,56.25429,-120.84395,0,198026
198011,Peace River Rd & 97 St,56.25518,-120.84186,0,198011
198012,Peace River Rd & 111 Ave,56.25692,-120.83712,0,198012
198013,112 Ave & 93 St,56.2574,-120.83436,0,198013
198041,112 Ave & 89A St,56.25741,-120.82828,0,198041
198045,115 Ave & 88 St,56.2611,-120.82419,0,198045
198046,115 Ave & 89A St,56.26109,-120.82826,0,198046
198014,115 Ave & 91 St,56.26108,-120.83144,0,198014
198015,93 St & 115 Ave,56.26132,-120.83415,0,198015
198016,93 St & 118 Ave,56.26402,-120.83418,0,198016
198018,117 Ave & 97 St,56.26258,-120.84249,0,198018
198017,98 St & 115 Ave,56.26182,-120.84396,0,198017
198019,98 St & 114A Ave,56.26018,-120.84414,0,198019
198025,98 St & 112 Ave,56.25697,-120.84418,0,198025
198065,96 St & 96 Ave,56.24201,-120.84041,0,198065
198004,96 St & 94 Ave,56.23988,-120.84088,0,198004
198064,93 Ave & 94A St,56.23898,-120.8382,0,198064
198058,92A St & 93 Ave,56.23855,-120.83364,0,198058
198059,92A St & 89 Ave,56.23595,-120.83366,0,198059
198060,89 Ave & 91 St,56.23526,-120.8313,0,198060
198061,87 Ave & 89 St,56.23342,-120.82705,0,198061
