stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
192029,Thomas at Halliwell,54.5339,-128.61192,0,192029
192033,Thomas at Twedle,54.53106,-128.61206,0,192033
192021,Sparks at Kerby,54.53326,-128.59221,0,192021
192023,Halliwell at Sparks,54.53502,-128.59275,0,192023
192027,Halliwell at Munroe,54.5352,-128.60466,0,192027
192035,Thomas at Hundal,54.52932,-128.61215,0,192035
192057,Sparks St at Park,54.51889,-128.59263,0,192057
192058,Sparks at Loen,54.52105,-128.59253,0,192058
192025,Halliwell at Benner,54.5351,-128.59943,0,192025
192019,Kalum at Straume,54.52388,-128.58623,0,192019
192059,Sparks at Olson,54.52202,-128.59246,0,192059
192031,Munroe at Twedle,54.53209,-128.6054,0,192031
192028,Halliwell at Munroe,54.53502,-128.60483,0,192028
192022,Sparks at Kerby,54.53326,-128.59239,0,192022
192020,Kalum at Straume,54.52383,-128.5865,0,192020
192018,Kalum at Olson,54.52187,-128.58659,0,192018
192030,Twedle at Terrace,54.53144,-128.60712,0,192030
192026,Halliwell at Benner,54.53495,-128.59946,0,192026
192016,Kalum at Paul Clark Dr,54.51993,-128.58663,0,192016
192024,Halliwell at Sparks,54.53481,-128.59296,0,192024
192032,Thomas at Twedle,54.53121,-128.61174,0,192032
192037,McConnell at Cory,54.52828,-128.61651,0,192037
192034,Thomas at Hundal,54.52939,-128.61183,0,192034
192010,Lakelse at 4655 Safeway,54.5167,-128.59114,0,192010
192011,Kalum at Lazelle,54.51763,-128.58641,0,192011
192017,Kalum at Olson,54.52197,-128.58622,0,192017
192015,Kalum at Paul Clark Dr,54.52,-128.58634,0,192015
192012,Park Ave at Kalum,54.51821,-128.58736,0,192012
192066,Walsh at Munroe,54.52071,-128.6064,0,192066
192067,Walsh at 4934 Blk,54.52072,-128.60998,0,192067
192013,Park at Sparks,54.51847,-128.59115,0,192013
192053,Apsley at Park,54.51699,-128.57839,0,192053
192056,Park Ave at Aquatic Centre,54.51801,-128.58446,0,192056
192064,Munroe at Straume,54.52482,-128.60566,0,192064
192065,Munroe at Olson,54.52181,-128.60581,0,192065
192075,Lazelle at 4823 Blk,54.51777,-128.60232,0,192075
192001,Lakelse at Skeena Mall,54.51701,-128.59612,0,192001
192074,Lazelle at Munroe,54.51779,-128.60632,0,192074
192051,Lakelse at Atwood,54.51632,-128.58472,0,192051
192052,Lakelse at Clinton,54.51603,-128.58078,0,192052
192062,Tuck at Eby,54.52691,-128.5981,0,192062
192063,Tuck at Munroe,54.52698,-128.6048,0,192063
192073,Lazelle at Kenney,54.51784,-128.61006,0,192073
192072,Kenney at Lazelle,54.51827,-128.61149,0,192072
192061,Tuck at Sparks,54.52686,-128.59299,0,192061
192055,Pedrini at Maroney,54.51948,-128.57802,0,192055
192054,Johnstone at Birch,54.51756,-128.57268,0,192054
192070,Park at Brooks,54.5188,-128.61597,0,192070
192071,Park at Kenney,54.51877,-128.61231,0,192071
192069,Lanfear at Thomas,54.52146,-128.61324,0,192069
192005,Feeny at Hwy 16,54.51118,-128.58077,0,192005
192089,Keith at UNBC,54.5133,-128.60515,0,192089
192091,Haugland at Eby,54.50962,-128.59845,0,192091
192101,Pear at Graham,54.50638,-128.59031,0,192101
192102,Graham at Tetrault,54.5061,-128.59292,0,192102
192108,Medeek at Craig,54.50897,-128.62238,0,192108
192085,Braun at Agar,54.51065,-128.62388,0,192085
192092,Haugland at 4616 Blk,54.50965,-128.58924,0,192092
192100,Pear at Weber,54.50797,-128.59018,0,192100
192103,Graham at Eby,54.50617,-128.59844,0,192103
192104,Graham at Beach,54.50624,-128.60405,0,192104
192086,Agar at 5133 Blk,54.51109,-128.6213,0,192086
192083,Haugland at Skeena,54.51037,-128.63378,0,192083
192082,Skeena at Haugland,54.51133,-128.63544,0,192082
192084,Haugland at 5220 Blk,54.51028,-128.62691,0,192084
192098,Feeney at Keefer,54.51125,-128.58479,0,192098
192095,Kalum at Haugland,54.50994,-128.58669,0,192095
192006,West Kalum Rd at Hwy 16,54.52363,-128.66754,0,192006
192007,Kilby Road Loop,54.50162,-128.70983,0,192007
192036,McConnell at Cory,54.52848,-128.61706,0,192036
192038,McConnell at Marshall,54.52857,-128.62361,0,192038
192077,Walsh at Sparks,54.52052,-128.59401,0,192077
192079,Walsh at 4818 Blk,54.52063,-128.6015,0,192079
192081,Walsh at 4826 Blk,54.52066,-128.60386,0,192081
192078,Walsh at Eby,54.52059,-128.5982,0,192078
192014,Lazelle at Eby,54.5179,-128.59817,0,192014
194056,Nalabila at Duncan,54.06576,-128.64896,0,194056
194058,Alexander at Anderson,54.06741,-128.65028,0,194058
194077,Kingfisher at Nalabila,54.0611,-128.62785,0,194077
194079,Kingfisher at Heron,54.06023,-128.62886,0,194079
194067,Alexander at 1352 Blk,54.06879,-128.63617,0,194067
194069,Kingfisher at Currie,54.06784,-128.63339,0,194069
194085,Gyrfalcon at Kingfisher,54.05752,-128.63208,0,194085
194086,Gyrfalcon at Grebe,54.05743,-128.6345,0,194086
194071,Kingfisher at Stein,54.06565,-128.63139,0,194071
194073,Kingfisher at White,54.06465,-128.62943,0,194073
194087,Gyrfalcon at Gander,54.0573,-128.63716,0,194087
194036,N Lahakas at Cormorant,54.05749,-128.6456,0,194036
194081,Kingfisher at Hawk,54.05831,-128.63116,0,194081
194075,Kingfisher at Wohler,54.06304,-128.62762,0,194075
194046,Tweedsmuir at Farrow,54.063,-128.64104,0,194046
194048,Tweedsmuir at Gwyn,54.06152,-128.64072,0,194048
194061,Alexander at Baker,54.06898,-128.64912,0,194061
194063,Alexander at Braun,54.0693,-128.64312,0,194063
194039,N Lahakas at Gyrfalcon,54.05856,-128.63987,0,194039
194041,N Lahakas at Eagle,54.06031,-128.63839,0,194041
194043,N Lahakas at Egret,54.06181,-128.63758,0,194043
194044,Nalabila at N Lahakas,54.06354,-128.63832,0,194044
194057,Nalabila at Duncan,54.0656,-128.6489,0,194057
194055,Tweedsmuir at Davy,54.06475,-128.64669,0,194055
194078,Kingfisher at Wohler,54.06202,-128.62712,0,194078
194076,Kingfisher at Meldrum,54.06308,-128.62735,0,194076
194066,Alexander at Banyay,54.06891,-128.638,0,194066
194064,Alexander at Charles,54.06902,-128.64099,0,194064
194082,Kingfisher at Mallard,54.05805,-128.63106,0,194082
194080,Kingfisher at Heron,54.0598,-128.62913,0,194080
194001,S Lahakas at Haisla,54.05385,-128.65598,0,194001
194035,N Lahakas at Bunting,54.05764,-128.64737,0,194035
194034,N Lahakas at Bittern,54.058,-128.64802,0,194034
194089,Gyrfalcon at Gander,54.05715,-128.63724,0,194089
194090,Gyrfalcon at Grebe,54.05728,-128.63444,0,194090
194068,Alexander at 1352 Blk,54.06893,-128.63529,0,194068
194070,Kingfisher at Margetts,54.06787,-128.63311,0,194070
194074,Kingfisher at Whittlesey,54.06478,-128.6293,0,194074
194088,Gyrfalcon at N Lahakas,54.05792,-128.63996,0,194088
194072,Kingfisher at Oersted,54.06582,-128.6313,0,194072
194037,N Lahakas at Cormorant,54.05739,-128.64463,0,194037
194053,Tweedsmuir at 1135 Blk,54.06321,-128.64555,0,194053
194059,Alexander at Anderson,54.06744,-128.65051,0,194059
194060,Alexander at Baxter,54.06903,-128.64934,0,194060
194062,Alexander at Bartholomew,54.06973,-128.6442,0,194062
194045,Nalabila at N Lahakas,54.06334,-128.63803,0,194045
194042,N Lahakas at Egret,54.06127,-128.6381,0,194042
194038,N Lahakas at Gyrfalcon,54.05863,-128.64011,0,194038
194040,N Lahakas at Eagle,54.05999,-128.63882,0,194040
194030,Albatross at Kingfisher,54.0561,-128.63367,0,194030
194031,Albatross at 1530 Blk,54.05537,-128.63625,0,194031
194065,Alexander at Charles,54.0688,-128.64059,0,194065
194050,Tweedsmuir at 1220 Blk,54.06099,-128.64389,0,194050
194052,Tweedsmuir at 1134 Blk,54.0633,-128.64536,0,194052
194054,Tweedsmuir at Davy,54.06449,-128.64659,0,194054
194084,Kingfisher at Oriole,54.05467,-128.63448,0,194084
194032,Albatross at Cormorant,54.05496,-128.64248,0,194032
194033,Albatross at 1308 Blk,54.05571,-128.64759,0,194033
194000,Kitimat City Centre,54.05333,-128.65434,0,194000
194100,Haisla at 1211 Blk Haisla Crt,54.05302,-128.6323,0,194100
192048,Mountain Vista at Floyd,54.52272,-128.63135,0,192048
192049,Mountain Vista at 5328 Blk,54.52202,-128.63422,0,192049
192050,Mountain Vista at Kalum Lake Rd,54.52321,-128.63656,0,192050
192046,Bailey at Gordon,54.52231,-128.62097,0,192046
192047,Mountain Vista at Eagle Pl,54.52141,-128.62263,0,192047
192044,Bailey at McConnell,54.52784,-128.62063,0,192044
192045,Bailey at Hallock,54.5256,-128.62076,0,192045
192105,Kenney at Graham,54.50679,-128.61166,0,192105
192106,Medeek at Kenney,54.50873,-128.61276,0,192106
192080,Walsh at 4809 Blk,54.52046,-128.6011,0,192080
192076,Eby at Park,54.51853,-128.5991,0,192076
192004,Feeny farside Hwy 16,54.51151,-128.58064,0,192004
192099,Feeney at Keefer,54.51139,-128.58485,0,192099
192003,Haugland nearside Tetrault,54.5096,-128.59597,0,192003
192093,Haugland at 4616 Blk,54.50948,-128.5889,0,192093
192000,Gitsaex St Mid Block,54.60905,-128.4104,0,192000
192008,Kshish Street at Tsunyow St,54.60959,-128.41549,0,192008
192094,Kalum at Haugland,54.51005,-128.58701,0,192094
192096,Kalum at Feeney,54.51182,-128.58693,0,192096
194007,S Lahakas at Kitimat Hospital,54.05042,-128.64781,0,194007
194003,S Lahakas at 825 Blk,54.05128,-128.65446,0,194003
194005,S Lahakas at Wakashan,54.04999,-128.65245,0,194005
194006,S Lahakas at Wakashan,54.04988,-128.65182,0,194006
192002,Haugland farside Tetrault,54.5097,-128.59598,0,192002
194012,Tsimshian at Wakashan,54.05357,-128.65037,0,194012
192040,McConnell at Floyd,54.52865,-128.63129,0,192040
192042,McConnell at 5324,54.52868,-128.63538,0,192042
192107,Medeek at 5038 Blk,54.50879,-128.61741,0,192107
192043,Coast Mountain College,54.52817,-128.634,0,192043
192041,McConnell at Floyd,54.52852,-128.63163,0,192041
192009,Clark St at Paquette,54.51098,-128.53989,0,192009
192097,Kalum at Feeney,54.51175,-128.58664,0,192097
192133,Hemlock at Aspen,54.50079,-128.52398,0,192133
192134,Hemlock at Hawthorne,54.50205,-128.52299,0,192134
192135,Hemlock at Larch,54.50405,-128.52274,0,192135
192136,Furlong at Parameter,54.52788,-128.51206,0,192136
192138,Walker at Edlund,54.53109,-128.51385,0,192138
192139,Dobbie at 3867 Block,54.52871,-128.51728,0,192139
192137,Edlund at McNeil,54.53134,-128.51133,0,192137
192129,Paquette at Century,54.51089,-128.53496,0,192129
192126,Clark at Old Lakelse,54.50711,-128.54087,0,192126
192128,Century at Pine,54.50929,-128.53429,0,192128
192132,Aspen at Laurel,54.50065,-128.5208,0,192132
192131,Thornhill at Old Lakelse,54.50496,-128.51569,0,192131
192127,Muller at Clark,54.50819,-128.54014,0,192127
192110,Queensway at 1885 Blk,54.49728,-128.56813,0,192110
192113,Queensway at Kirsch,54.49365,-128.58685,0,192113
192114,Lowrie at Maple,54.4915,-128.58766,0,192114
192112,Queensway at 4562 Blk,54.49407,-128.58385,0,192112
192117,Queensway at 4421 Blk,54.49414,-128.5752,0,192117
192111,Queensway at 1885 Blk,54.49754,-128.56861,0,192111
192124,Old Lakelse at Paquette,54.51051,-128.54889,0,192124
192125,Old Lakelse at 3932 Blk,54.50859,-128.5452,0,192125
192142,River and Clark,54.51724,-128.54086,0,192142
192143,River at Wren,54.51615,-128.54209,0,192143
192141,River at 3413 Blk,54.52119,-128.53798,0,192141
194101,Oolicahn at Hwy 37,54.09566,-128.6016,0,194101
194098,Haisla at 1631 Blk Hillcrest Pl,54.05238,-128.62345,0,194098
192121,Hwy 37 at MacKenzie,54.36041,-128.53785,0,192121
192119,Woeste at Lodgepole,54.46093,-128.48528,0,192119
192120,Marion at Lodgepole,54.45297,-128.48652,0,192120
192122,Hwy 37 at MacKenzie,54.36058,-128.53747,0,192122
192123,Terminal at Bristol,54.47254,-128.57615,0,192123
192130,Otter at Copper,54.5447,-128.46307,0,192130
192116,Beaver at 4636 Blk,54.5447,-128.46619,0,192116
192115,Beaver at Copper,54.54742,-128.46608,0,192115
192144,Skeena Dr in Gossen Subdivsion,54.5781,-128.42645,0,192144
192118,Queensway at 4402 Blk,54.49564,-128.57332,0,192118
194104,Gitksan at Jassee,53.97499,-128.6459,0,194104
194102,Haisla Harbour Marina,53.96613,-128.65062,0,194102
194103,Sunhead at Kitope,53.97189,-128.64927,0,194103
194097,Haisla at Kitamaat Village Rd,54.05255,-128.61895,0,194097
194105,Wathl Creek at Kitamaat Village Rd,53.97796,-128.64635,0,194105
194051,Tweedsmuir at Dunn,54.06094,-128.64416,0,194051
194002,S Lahakas at 780 Blk,54.05189,-128.65508,0,194002
194049,Tweedsmuir at Gwyn,54.06154,-128.64046,0,194049
194047,Tweedsmuir at Farrow,54.06293,-128.64077,0,194047
194004,S Lahakas at 825 Blk,54.05135,-128.65421,0,194004
192039,McConnell at Marshall,54.52842,-128.62388,0,192039
192068,Walsh at 4934 Blk,54.52054,-128.61032,0,192068
192140,River at 3747 Blk,54.52585,-128.53344,0,192140
194096,Nalabila at Wren,54.05455,-128.61975,0,194096
194092,Nalabila at Swan,54.05934,-128.62632,0,194092
194025,Kuldo at Dease,54.05196,-128.66807,0,194025
194026,Kuldo at Konigus,54.04997,-128.66699,0,194026
194099,Haisla at Ptarmigan,54.05237,-128.62824,0,194099
194095,Nalabila at Teal,54.05598,-128.62098,0,194095
194094,Nalabila at Swallow,54.05719,-128.62272,0,194094
194093,Nalabila at Starling,54.05826,-128.62443,0,194093
194014,Quatsino at Cranberry,54.04633,-128.65337,0,194014
194013,Quatsino at Loganberry,54.04763,-128.65069,0,194013
194027,Kuldo at Liard,54.0485,-128.66584,0,194027
194028,Kuldo at Nadina,54.04714,-128.66467,0,194028
194021,E Columbia at Babine,54.05327,-128.667,0,194021
194020,E Columbia at Capilano,54.05282,-128.66481,0,194020
194083,Kingfisher at 1220 Blk,54.05631,-128.63262,0,194083
194008,Quatsino at S Lahakas,54.04789,-128.65054,0,194008
194029,Kuldo at Omenica,54.04441,-128.66207,0,194029
194023,W Columbia at A Rd,54.0534,-128.67175,0,194023
194024,W Columbia at Riverlodge Rec Centre,54.05283,-128.67207,0,194024
194022,W Columbia at Dease,54.05339,-128.6691,0,194022
194017,E Columbia at Saquenay,54.04927,-128.65703,0,194017
