stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
104577,Lansdowne Exchange,50.67685,-120.32626,0,104577
104618,North Shore Exchange,50.69778,-120.36016,0,104618
104318,Lansdowne Exchange,50.67676,-120.32633,0,104318
104654,Lansdowne Exchange,50.67676,-120.32578,0,104654
104614,North Shore Exchange,50.69787,-120.36041,0,104614
104504,Lansdowne Exchange,50.67685,-120.32592,0,104504
104200,Lansdowne Exchange,50.67676,-120.3269,0,104200
104453,TRU Exchange,50.67074,-120.36864,0,104453
104405,TRU Exchange,50.67084,-120.36846,0,104405
951000,Kamloops Transit Centre,50.71127,-120.38149,0,951000
104251,North Shore Exchange,50.69788,-120.36004,0,104251
104227,Crestline at Fleetwood,50.70585,-120.42115,0,104227
104341,Westsyde at Oak Hills,50.74525,-120.35733,0,104341
104291,Crestline at Fleetwood,50.70625,-120.42096,0,104291
104265,Lansdowne Exchange,50.67676,-120.3266,0,104265
104479,Lansdowne Exchange,50.67688,-120.32563,0,104479
104625,Old Highway 5 at Todd Mountain Road,50.86033,-120.26536,0,104625
104743,Dallas 7590 block,50.65879,-120.12303,0,104743
104747,Wildlife Park,50.65461,-120.07874,0,104747
104381,North Shore Exchange,50.69783,-120.3598,0,104381
104512,TRU Exchange,50.67096,-120.36826,0,104512
104353,Harrington at Overlander,50.77544,-120.3328,0,104353
104671,QuAppelle at Stikine,50.66118,-120.26281,0,104671
104610,TRU Exchange,50.67114,-120.3682,0,104610
104389,Lansdowne Exchange,50.67676,-120.32606,0,104389
104277,Halston at 13th St,50.70887,-120.37521,0,104277
151034,Tranquille at Desmond,50.70011,-120.39286,0,151034
104578,TRU Exchange,50.67107,-120.36807,0,104578
104201,Lansdowne at 4th Ave,50.67671,-120.3329,0,104201
104202,Lansdowne at 2nd Ave,50.67673,-120.3374,0,104202
151032,Victoria St W at 200 Blk,50.67744,-120.34399,0,151032
104204,Tranquille at Don,50.68488,-120.35135,0,104204
104205,Tranquille at Palm,50.68633,-120.35614,0,104205
104206,Tranquille at Clapperton,50.68775,-120.35738,0,104206
104207,Tranquille at Wood,50.68886,-120.35784,0,104207
104208,Tranquille at Oak,50.6927,-120.35936,0,104208
104209,Tranquille at Vernon,50.6958,-120.36047,0,104209
104210,North Shore Exchange,50.69788,-120.35954,0,104210
104212,Tranquille at 11th St,50.70047,-120.36925,0,104212
104213,Tranquille at 12th St,50.70104,-120.37319,0,104213
104214,Tranquille at Valhalla,50.7015,-120.37623,0,104214
104215,Tranquille at Nicolani,50.70209,-120.38003,0,104215
104216,Tranquille at Singh,50.70276,-120.38482,0,104216
104217,Tranquille at Holt,50.70191,-120.38925,0,104217
104218,Tranquille at Desmond,50.69994,-120.39362,0,104218
104219,Tranquille at Southill,50.69988,-120.39884,0,104219
104220,Tranquille at Caroline,50.70006,-120.40148,0,104220
104221,Tranquille at Windbreak,50.70034,-120.40469,0,104221
104222,Tranquille at Invermere,50.70109,-120.4087,0,104222
104223,Tranquille at Shelan,50.70159,-120.4117,0,104223
104224,Tranquille at Schreiner,50.7018,-120.41637,0,104224
104225,Crestline at Glenview,50.70249,-120.42291,0,104225
104226,Crestline at Young,50.7044,-120.42227,0,104226
104234,Fleetwood at Schreiner,50.7059,-120.41648,0,104234
104235,Greenfield at Schreiner,50.7048,-120.41512,0,104235
104236,Greenfield at Westgate,50.70473,-120.40923,0,104236
104237,Greenfield at Windbreak,50.70468,-120.40448,0,104237
104238,Windbreak at Sunnycrest,50.7025,-120.4044,0,104238
104239,Tranquille at Windbreak,50.7001,-120.40388,0,104239
104241,Tranquille at Southill,50.69977,-120.39845,0,104241
104243,Tranquille at Holt,50.70219,-120.38823,0,104243
104244,Tranquille at Singh,50.70246,-120.38387,0,104244
104245,Tranquille at Nicolani,50.70201,-120.38088,0,104245
104246,Tranquille at Lepine,50.70155,-120.37805,0,104246
151036,Tranquille at Barrie,50.70114,-120.3753,0,151036
104248,Tranquille at 12th St,50.70062,-120.37166,0,104248
104249,Tranquille at 10th St,50.70015,-120.36856,0,104249
104250,Fortune at Tranquille,50.69935,-120.36368,0,104250
104253,Tranquille at Yew North,50.69304,-120.35966,0,104253
104254,Tranquille at Yew South,50.69134,-120.35902,0,104254
104255,Tranquille at MacKenzie,50.68962,-120.35835,0,104255
104256,Tranquille at Knox,50.68717,-120.35699,0,104256
