stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
103021,Mission Rec Exchange,49.83712,-119.48059,0,103021
103079,Orchard Park Exchange,49.88008,-119.44231,0,103079
103022,Mission Rec Exchange,49.83693,-119.48062,0,103022
102859,Queensway Exchange,49.88726,-119.49432,0,102859
103077,Orchard Park Exchange,49.87962,-119.44228,0,103077
103072,Orchard Park Exchange,49.88065,-119.44234,0,103072
103193,Rutland Exchange,49.89064,-119.39239,0,103193
103363,Rutland at Gray,49.88848,-119.38698,0,103363
103023,Mission Rec Exchange,49.8366,-119.48062,0,103023
102861,Queensway Exchange,49.88726,-119.49483,0,102861
990000,Kelowna Transit Centre,49.88611,-119.44785,0,990000
103069,Orchard Park Exchange,49.88025,-119.44247,0,103069
103430,McCurdy at Craig,49.90185,-119.37751,0,103430
140005,Westbank Exchange,49.82934,-119.63103,0,140005
102855,Queensway Exchange,49.88738,-119.49449,0,102855
102856,Queensway Exchange,49.88739,-119.49419,0,102856
103327,Fitzpatrick at Findlay,49.90721,-119.39684,0,103327
140103,UBCO Exchange,49.93935,-119.39373,0,140103
140101,UBCO Exchange,49.93943,-119.39406,0,140101
103030,Okanagan College Exchange,49.86105,-119.47988,0,103030
140098,UBCO Exchange,49.93991,-119.39456,0,140098
102860,Queensway Exchange,49.88726,-119.4946,0,102860
102854,Queensway Exchange,49.88738,-119.49474,0,102854
140006,Westbank Exchange,49.82876,-119.63088,0,140006
102853,Queensway Exchange,49.88742,-119.4959,0,102853
102862,Queensway Exchange,49.88742,-119.49615,0,102862
140102,UBCO Exchange,49.93938,-119.39387,0,140102
140010,Boucherie Mountain Exchange,49.86154,-119.58522,0,140010
103472,Main at Grant,50.0273,-119.40354,0,103472
140099,UBCO Exchange,49.93929,-119.39492,0,140099
140011,Boucherie Mountain Exchange,49.86139,-119.58522,0,140011
103016,Pandosy Exchange,49.8604,-119.49115,0,103016
140081,Shoreline at Stillwater,50.06856,-119.42013,0,140081
103070,Orchard Park Exchange,49.88041,-119.44248,0,103070
103061,Harvey at Cooper - Cooper Station,49.88202,-119.44467,0,103061
140004,Westbank Exchange,49.82865,-119.63102,0,140004
103054,KLO at Saint Amand,49.86108,-119.4663,0,103054
140104,UBCO Exchange,49.93999,-119.39437,0,140104
140009,Boucherie Mountain Exchange,49.86198,-119.58509,0,140009
103067,Harvey at Cooper - Cooper Station,49.88176,-119.44216,0,103067
103075,Orchard Park Exchange,49.88037,-119.44234,0,103075
103071,Orchard Park Exchange,49.88056,-119.44248,0,103071
103378,Hwy 33 at Sadler,49.88894,-119.38603,0,103378
140148,Rutland Exchange,49.89065,-119.39187,0,140148
140149,Rutland Exchange,49.89065,-119.39082,0,140149
140100,UBCO Exchange,49.93948,-119.39427,0,140100
102857,Queensway Exchange,49.88736,-119.49393,0,102857
140151,Rutland Exchange,49.89056,-119.3918,0,140151
103512,Cooper at Harvey,49.87953,-119.44339,0,103512
140165,Boucherie Exchange,49.86222,-119.58388,0,140165
140214,Westbank Exchange Bay E,49.82962,-119.63043,0,140214
103041,Glenmore at Summit,49.90187,-119.45352,0,103041
103028,Okanagan College Exchange,49.86127,-119.47932,0,103028
140023,Gordon at Laurier,49.88237,-119.47716,0,140023
102868,Water at Leon,49.88467,-119.49665,0,102868
102881,Pandosy at Buckland,49.88166,-119.4951,0,102881
102896,Pandosy at Sutherland,49.87905,-119.49294,0,102896
102914,Pandosy at Cadder,49.87589,-119.4913,0,102914
102928,Kelowna General Hospital,49.87391,-119.49134,0,102928
102952,Pandosy at Morrison,49.86934,-119.49134,0,102952
102961,Pandosy at Patterson,49.86803,-119.49133,0,102961
102976,Pandosy at Raymer,49.86571,-119.49129,0,102976
102982,Pandosy at Groves,49.86339,-119.49129,0,102982
140244,K.L.O. at Richter,49.86196,-119.48878,0,140244
103020,KLO at Casorso,49.86093,-119.48492,0,103020
102999,Lakeshore at Cedar,49.86167,-119.49131,0,102999
103025,Lakeshore at Pandosy Exchange,49.86026,-119.49128,0,103025
103062,Lakeshore at Swordy,49.85481,-119.49002,0,103062
103093,Lakeshore at Bechard,49.85151,-119.48697,0,103093
103119,Lakeshore at Barrera,49.84868,-119.48634,0,103119
103139,Lakeshore at Cook,49.84517,-119.48784,0,103139
103152,Lakeshore at Truswell,49.84381,-119.48795,0,103152
103185,Lakeshore at Bluebird,49.84032,-119.48865,0,103185
103342,4069 Block Lakeshore,49.83785,-119.48796,0,103342
103801,Lequime Road,49.8356,-119.48437,0,103801
103800,Lequime Road,49.83559,-119.48483,0,103800
103214,Lakeshore at Lequime,49.83651,-119.48721,0,103214
103188,Lakeshore at Lexington,49.84046,-119.48847,0,103188
103151,Lakeshore at Truswell,49.84396,-119.48769,0,103151
103133,Lakeshore at Cook,49.84624,-119.48736,0,103133
103113,Lakeshore at Barrera,49.84894,-119.48617,0,103113
103091,Lakeshore at Bechard,49.85151,-119.48683,0,103091
140243,Lakeshore at Richter,49.85482,-119.48989,0,140243
103044,Lakeshore at Lanfranco,49.85714,-119.49113,0,103044
102997,KLO at Lakeshore,49.86196,-119.49084,0,102997
102995,Pandosy at KLO,49.86229,-119.49117,0,102995
102984,Pandosy at Groves,49.86394,-119.49115,0,102984
140053,Pandosy at Osprey,49.86579,-119.49115,0,140053
102956,Pandosy at Patterson,49.8686,-119.49115,0,102956
102930,Kelowna General Hospital,49.87353,-119.49118,0,102930
102910,Pandosy at Cadder,49.87673,-119.49122,0,102910
102892,Pandosy at Sutherland,49.8797,-119.49357,0,102892
102883,Pandosy at Buckland,49.88135,-119.49494,0,102883
102869,Water at Leon,49.8842,-119.49635,0,102869
102865,Water at Doyle,49.88923,-119.49651,0,102865
102870,Water at Cawston,49.89209,-119.49652,0,102870
140233,Ellis at Clement,49.89404,-119.49347,0,140233
102888,Ellis at Industrial,49.89581,-119.49349,0,102888
102901,Ellis at Recreation,49.89799,-119.49346,0,102901
102911,Ellis at Roanoke,49.89957,-119.49347,0,102911
102919,Ellis at Okanagan,49.90105,-119.49342,0,102919
102924,Ellis at Oxford,49.90187,-119.49319,0,102924
102932,Cambridge at Ellis,49.9035,-119.4924,0,102932
102934,Cambridge at Kingsway,49.90348,-119.49063,0,102934
102935,Richter at Cambridge,49.90303,-119.48852,0,102935
102922,Richter at Okanagan,49.90119,-119.48853,0,102922
102913,Richter at Bay,49.89928,-119.48853,0,102913
102895,Richter at Gaston,49.89568,-119.48854,0,102895
102885,Richter at Clement,49.89321,-119.48854,0,102885
102879,Richter at Wilson,49.89102,-119.48855,0,102879
102875,Richter at Lawrence,49.88563,-119.48856,0,102875
103076,Enterprise at Cooper,49.88322,-119.44167,0,103076
103102,Dilworth at Enterprise,49.88451,-119.43764,0,103102
103099,Dilworth at Leckie,49.887,-119.43767,0,103099
103123,Dilworth at Omineca,49.89152,-119.43264,0,103123
103147,Dilworth at Cascade,49.89277,-119.42812,0,103147
103172,970 Block Dilworth,49.89653,-119.426,0,103172
103170,Summit at Dilworth,49.8988,-119.4268,0,103170
103143,Summit at Purcell,49.89963,-119.43066,0,103143
103129,Summit at Lillooet,49.89936,-119.43308,0,103129
103111,Summit at Skeena,49.8986,-119.43643,0,103111
103089,Summit at Lillooet,49.89569,-119.43997,0,103089
103083,Summit at Denali,49.89841,-119.44231,0,103083
103052,Summit at Valley,49.9012,-119.45024,0,103052
103051,Glenmore at Glenmeadows,49.904,-119.45297,0,103051
103090,Yates at Glenmore,49.90895,-119.44894,0,103090
103098,Yates at Valley,49.90866,-119.44724,0,103098
103053,Summit at Valley,49.90111,-119.45021,0,103053
103082,Summit at Denali,49.89883,-119.44257,0,103082
103095,Summit at Chilcotin,49.89592,-119.43912,0,103095
103117,Summit at Skeena,49.89885,-119.43561,0,103117
103128,Summit at Lillooet,49.89927,-119.43362,0,103128
103148,Summit at Nahanni,49.89991,-119.4301,0,103148
103168,Summit at Dilworth,49.89871,-119.4268,0,103168
103166,960 Block Dilworth,49.89692,-119.42629,0,103166
103145,Dilworth at Cascade,49.89286,-119.42815,0,103145
103118,Dilworth at Omineca,49.8912,-119.43322,0,103118
103096,Dilworth at Leckie,49.88699,-119.43781,0,103096
103101,Dilworth at Enterprise,49.88438,-119.43778,0,103101
103092,Enterprise at Dilworth,49.88331,-119.43862,0,103092
140047,Cadder at Pandosy,49.87632,-119.49074,0,140047
140043,Cadder at Richter,49.87633,-119.48765,0,140043
102929,Springfield at Ethel,49.87645,-119.48061,0,102929
102941,Springfield at Gordon,49.87679,-119.47658,0,102941
102954,Springfield at Wilkinson,49.8769,-119.47106,0,102954
102979,Springfield at Burtch,49.87673,-119.46501,0,102979
102990,Springfield at Dayton,49.87672,-119.46062,0,102990
103004,Springfield at Kirschner,49.87677,-119.45797,0,103004
103033,Springfield at Spall,49.87716,-119.45386,0,103033
103056,Springfield at Barlee,49.87716,-119.44781,0,103056
103121,Baron at Underhill,49.87958,-119.43414,0,103121
103144,Baron at Leckie,49.88246,-119.42857,0,103144
