stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
115045,Thunderbird Mall,50.72166,-127.49822,0,115045
115040,Rupert & Market,50.71783,-127.49483,0,115040
115036,Glen Lyon South,50.71053,-127.4901,0,115036
115035,Hardy Bay & Goodacre,50.70733,-127.48538,0,115035
115055,Hardy Bay & Lansdowne,50.70028,-127.48247,0,115055
115027,Fort Rupert Park and Ride,50.68917,-127.42199,0,115027
115022,Hwy 19 & Port Alice Jct,50.60364,-127.30947,0,115022
115002,Campbell Way & Mine,50.57948,-127.06998,0,115002
115004,Port McNeill Hospital,50.58081,-127.06805,0,115004
115056,Kingcome & Englewood,50.58167,-127.07047,0,115056
115009,Haddington & Woodland,50.58358,-127.07033,0,115009
115011,Haddington & Cardena,50.58632,-127.07243,0,115011
115012,Haddington & Pine,50.5876,-127.0765,0,115012
115015,Cedar & Broughton,50.58857,-127.0791,0,115015
115018,Broughton & Grenville,50.59048,-127.08486,0,115018
115019,Port McNeill Ferry Terminal,50.5912,-127.08595,0,115019
115013,Pioneer Mall,50.58791,-127.08531,0,115013
115017,Broughton & Cedar,50.58976,-127.08084,0,115017
115016,Cedar & Haddington,50.58853,-127.07927,0,115016
115057,Haddington & Quatsino,50.58652,-127.07275,0,115057
115008,Haddington & Kingcome,50.58259,-127.07257,0,115008
115006,Kingcome & Englewood,50.58167,-127.0707,0,115006
115061,Kingcome & Mine,50.58045,-127.06764,0,115061
115058,Mine & Campbell Way,50.57962,-127.0695,0,115058
115059,Hwy 19 & Port Alice Jct,50.60374,-127.30949,0,115059
115033,Hardy Bay & Lansdowne,50.70039,-127.48239,0,115033
115034,Hardy Bay & Founders Blvd,50.70534,-127.48302,0,115034
115037,Glen Lyon North,50.71055,-127.48998,0,115037
115038,Quarterdeck,50.71209,-127.49134,0,115038
115053,Hardy Bay & Gibraltar,50.71491,-127.4944,0,115053
115000,Napa,50.71937,-127.49514,0,115000
915001,Port McNeill Transit Centre,50.57909,-127.07545,0,915001
115023,Quatsino Health Ctr,50.61424,-127.57092,0,115023
115020,Coal Harbour,50.59988,-127.57983,0,115020
115021,Coal Harbour & Harpoon,50.6033,-127.57525,0,115021
115042,Gray & Rupert,50.71984,-127.49455,0,115042
115046,Market & Hastings,50.72302,-127.49216,0,115046
115048,Columbia & Central,50.72497,-127.49704,0,115048
115049,Rupert & Seaview,50.7267,-127.49458,0,115049
115060,Park Drive & Tsulquate,50.73066,-127.49766,0,115060
115051,Park & East Eagle Cresent,50.72983,-127.50105,0,115051
115050,Park & Carnarvon,50.72839,-127.50536,0,115050
115047,Park & Highland,50.72448,-127.50803,0,115047
115054,Highland & Chancellor,50.72268,-127.50897,0,115054
115043,Highland & McDougal,50.71978,-127.50932,0,115043
115041,9360 Block Trustee,50.71875,-127.5082,0,115041
115039,9150 Block Trustee,50.71628,-127.50253,0,115039
115044,Port Hardy Hospital,50.72025,-127.50334,0,115044
115010,McNeill & Campbell Way,50.58349,-127.07865,0,115010
115001,Hyde Creek & Hwy 19,50.5714,-127.0109,0,115001
115003,Mine & Tower,50.58028,-127.07685,0,115003
115005,Argus & Chelan,50.58139,-127.08306,0,115005
115007,Camosun & Kokish,50.58229,-127.08502,0,115007
115014,McNeill & Hemlock,50.58812,-127.0819,0,115014
915000,Port Hardy Transit Centre,50.73093,-127.4984,0,915000
115028,Beaver Harbour & Byng,50.6894,-127.4064,0,115028
115029,Beaver Harbour & Weynton,50.68987,-127.4084,0,115029
115030,Beaver Harbour & Peel,50.69183,-127.41363,0,115030
115031,Kwakiutl Health Clinic,50.69473,-127.40821,0,115031
115032,Beaver Harbour & Fort Rupert Rd,50.69473,-127.41754,0,115032
115024,Port Hardy Airport,50.68438,-127.37687,0,115024
115025,Byng & Metchosin,50.68768,-127.38427,0,115025
115026,Byng & Avalon School,50.688,-127.39926,0,115026
115052,Byng & Beaver Harbour,50.68814,-127.40178,0,115052
115063,Broughton Blvd & Campbell Way,50.58954,-127.08674,0,115063
115062,Woss General Store,50.21332,-126.59433,0,115062
115066,Clienna & Coal Harbour,50.61331,-127.57415,0,115066
115067,Quattishe & Clienna,50.61394,-127.5742,0,115067
115068,Quattishe & Kwatleo,50.61419,-127.57252,0,115068
115064,Cooper Way & Raven Cres.,50.69368,-127.41121,0,115064
115065,Cooper Way & Chiefs Way,50.69358,-127.4093,0,115065
115069,Harbour Rd at Leash,50.59611,-127.58737,0,115069
