stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
930001,Whistler Transit Centre,50.13382,-122.95618,0,930001
102713,Gondola Transit Exchange,50.11391,-122.95257,0,102713
102455,Village Gate,50.11615,-122.95648,0,102455
102542,Hwy 99 at Spruce Grove Wy,50.13263,-122.95339,0,102542
102594,Nicklaus North Blvd,50.14337,-122.95762,0,102594
102620,Alpine Way,50.14792,-122.96096,0,102620
102703,Rainbow Estates,50.15664,-122.95596,0,102703
102629,Green Lake Lookout,50.15158,-122.94374,0,102629
102659,Summer Ln,50.15872,-122.92684,0,102659
102456,Village Gate,50.11635,-122.95653,0,102456
102600,Meadow Park Sports Ctr,50.14444,-122.96024,0,102600
102619,Alpine Way,50.14815,-122.96128,0,102619
102589,Nicklaus North Blvd,50.14295,-122.95756,0,102589
102839,Hwy 99 at Pemberton Creek Bridge,50.31514,-122.80515,0,102839
102834,Portage Rd,50.31756,-122.79839,0,102834
102835,Portage at Cottonwood,50.31886,-122.80185,0,102835
102838,Portage at Flint,50.31983,-122.80442,0,102838
102842,Portage at Aspen,50.32197,-122.80482,0,102842
135000,Blackbird Bakery,50.32133,-122.80628,0,135000
102837,Portage at Flint,50.31966,-122.80425,0,102837
102833,Portage at Arbutus,50.31781,-122.79931,0,102833
102840,Sea to Sky at Harrow,50.31576,-122.79293,0,102840
102845,Sea to Sky 1660 block,50.31642,-122.7658,0,102845
102847,Sea to Sky at Industrial,50.30976,-122.7272,0,102847
102849,Sea to Sky at Main,50.31431,-122.71661,0,102849
102848,IR 10 at Main,50.31961,-122.72063,0,102848
102850,Black Bear at XitOlacw,50.33063,-122.66719,0,102850
102852,Black Bear at X-Stream,50.33306,-122.65829,0,102852
102851,Creekside at Eagle,50.33016,-122.65852,0,102851
102846,Sea to Sky at Industrial,50.30985,-122.72719,0,102846
102844,Sea to Sky 1660 block,50.31646,-122.76675,0,102844
102836,Sea to Sky 1470 block,50.31624,-122.79539,0,102836
102841,Hwy 99 at Pemberton Creek Bridge,50.31516,-122.8053,0,102841
