stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
111750,Redford Transit Exchange,49.24513,-124.79548,0,111750
111751,Redford & San Mateo,49.24525,-124.78872,0,111751
111752,West Coast Hospital,49.24929,-124.78265,0,111752
111753,Redford & 15th Ave,49.24531,-124.79223,0,111753
111754,Redford & Anderson,49.24527,-124.79543,0,111754
111755,10th Ave & Bute,49.24371,-124.79794,0,111755
111756,Burde & 9th Ave,49.24191,-124.79876,0,111756
111757,Burde & 7th Ave,49.24192,-124.80229,0,111757
111758,Burde & 5th Ave,49.24193,-124.80532,0,111758
111759,4th Ave & Napier,49.24039,-124.80623,0,111759
111760,3rd Ave & Strathern,49.237,-124.80775,0,111760
111761,3rd Ave & Argyle,49.23501,-124.80776,0,111761
111762,Argyle & 4th Ave: City Hall,49.23456,-124.8058,0,111762
111763,Argyle & 8th Ave,49.23457,-124.80017,0,111763
111764,Argyle & 11th Ave,49.23454,-124.79594,0,111764
111765,Argyle & 17th Ave,49.23464,-124.79007,0,111765
111766,Argyle & 18th Ave,49.23465,-124.78769,0,111766
114001,China Creek & 18th,49.23233,-124.7872,0,114001
111768,China Creek & 14th Ave,49.23236,-124.79303,0,111768
111769,China Creek & Anderson,49.23252,-124.79446,0,111769
114002,China Creek & 10th Ave,49.23255,-124.79727,0,114002
111771,10th Ave & South Cres,49.22991,-124.79797,0,111771
111772,Melrose & 12th Ave,49.22862,-124.79568,0,111772
111773,Melrose & 14th Ave,49.22859,-124.79274,0,111773
111892,15th Ave & Bruce,49.22714,-124.7912,0,111892
111774,Bruce & 14th Ave,49.2269,-124.79294,0,111774
111775,Bruce & 12th Ave,49.22696,-124.79535,0,111775
111776,10th Ave & Bruce,49.22655,-124.79795,0,111776
111777,Neill & 9th Ave,49.22431,-124.79869,0,111777
111778,Neill & 7th Ave,49.22426,-124.80223,0,111778
111779,Neill & 5th Ave,49.22423,-124.8045,0,111779
111891,Neill & 4th Ave,49.22425,-124.80588,0,111891
111781,Cameron & Hamilton,49.21847,-124.80271,0,111781
111794,Redford Transit Exchange,49.2448,-124.79517,0,111794
111867,Redford & 8th Ave,49.24526,-124.80029,0,111867
111868,Redford & 6th Ave,49.24527,-124.80394,0,111868
111869,Redford & 4th Ave,49.24527,-124.80576,0,111869
111870,3rd Ave & Bute,49.24283,-124.80774,0,111870
111871,3rd Ave & Napier,49.24081,-124.80777,0,111871
111872,3rd Ave & Mar,49.23187,-124.80771,0,111872
111873,3rd Ave & Melrose,49.22865,-124.80778,0,111873
111782,Cameron & Rita,49.21904,-124.80581,0,111782
111783,Cameron & Motion,49.22075,-124.80684,0,111783
114003,Cameron & Mallory,49.22185,-124.8078,0,114003
111780,3rd Ave & Neill,49.22398,-124.8075,0,111780
111784,3rd Ave & Bruce,49.22624,-124.80747,0,111784
111875,Bruce & 5th Ave,49.2265,-124.80504,0,111875
111876,Bruce & 6th Ave,49.22584,-124.80358,0,111876
111877,Bruce & 8th Ave,49.22697,-124.80006,0,111877
111878,Bruce & 10th Ave,49.22694,-124.79719,0,111878
111879,Bruce & Anderson,49.2268,-124.79428,0,111879
111880,Anderson & Melrose,49.22903,-124.7938,0,111880
111881,10th Ave & Angus,49.23302,-124.79773,0,111881
111882,Argyle & 9th Ave,49.23483,-124.799,0,111882
111883,Argyle & 8th Ave,49.23477,-124.80102,0,111883
111884,Argyle & 5th Ave,49.23481,-124.80508,0,111884
111787,3rd Ave & Argyle,49.235,-124.80754,0,111787
111788,3rd Ave & Strathern,49.23698,-124.80751,0,111788
111789,3rd Ave & Napier,49.23994,-124.80752,0,111789
111893,3rd Ave & Burde,49.2416,-124.80752,0,111893
111790,3rd Ave & Bute,49.24433,-124.80754,0,111790
111791,Redford & 4th Ave,49.24517,-124.8058,0,111791
111792,Redford & 6th Ave,49.24516,-124.80278,0,111792
111793,Redford & 8th Ave,49.24516,-124.79994,0,111793
111795,10th Ave & Redford,49.24434,-124.79778,0,111795
111796,10th Ave & Morton,49.24721,-124.7978,0,111796
111841,10th Ave & Maitland,49.24903,-124.79784,0,111841
111842,10th Ave & Wallace,49.25107,-124.79786,0,111842
111803,Roger & 10th Ave,49.25402,-124.7982,0,111803
111804,Roger & 8th Ave,49.25429,-124.80146,0,111804
111806,Roger at Gertrude,49.25461,-124.80628,0,111806
111807,Gertrude & Pemberton,49.25578,-124.8084,0,111807
111808,Gertrude & Johnston,49.25809,-124.81054,0,111808
114005,Gertrude & Burke,49.2602,-124.81234,0,114005
111843,Gertrude & Lathom,49.26402,-124.81352,0,111843
111844,Gertrude & Glenside,49.26571,-124.81345,0,111844
111845,"Gertrude, 5220 Blk",49.26752,-124.81339,0,111845
111846,Compton at Kitsuksis,49.2694,-124.8156,0,111846
111847,"Compton, 5160 Blk",49.26941,-124.81923,0,111847
111848,Compton & Grandview,49.26946,-124.82229,0,111848
111849,Compton &  Beaver Creek,49.26958,-124.82674,0,111849
111850,"Beaver Creek, 5540 Blk",49.27191,-124.82981,0,111850
111851,Pierce & Beaver Creek Rd.,49.27328,-124.83273,0,111851
111852,Chapman & Pierce,49.27413,-124.8362,0,111852
111853,Chapman & Saunders Rd S,49.27574,-124.83805,0,111853
111854,"Lugrin, 6080 Blk",49.27743,-124.84455,0,111854
111855,Lugrin & Falls,49.2774,-124.84863,0,111855
111856,Falls & Georgia,49.27367,-124.85043,0,111856
111797,8th Ave & Wallace,49.25061,-124.80025,0,111797
111798,Wallace & 10th Ave,49.25065,-124.79742,0,111798
111799,Wallace & Wood,49.25058,-124.79085,0,111799
111800,Kendall & King,49.25198,-124.78764,0,111800
111801,Roger & Kendall: N.I. College,49.25505,-124.78997,0,111801
111802,"Roger & Vimy, ADSS School",49.25413,-124.79417,0,111802
111809,Johnston & Helen,49.2596,-124.80778,0,111809
111810,Johnston & Muir,49.2618,-124.80217,0,111810
111811,Johnston & Ian,49.26277,-124.79915,0,111811
111812,Maple & Tebo: Medical Center,49.26369,-124.79147,0,111812
111813,Maple &  Cherry Creek,49.26377,-124.78939,0,111813
111814,Cherry Creek & Johnston,49.26511,-124.78858,0,111814
111815,Pacific Rim Center:Walmart,49.26793,-124.78344,0,111815
111816,Pacific Rim Centre,49.26695,-124.78527,0,111816
114006,Johnston & Bishop,49.26499,-124.79174,0,114006
111824,Lathom & Ian,49.26363,-124.80036,0,111824
111825,Lathom & Leslie,49.26381,-124.80415,0,111825
111826,Lathom & Helen,49.26381,-124.80785,0,111826
111857,Falls & Compton,49.27002,-124.85047,0,111857
111858,Falls & River Rd,49.26839,-124.84919,0,111858
111859,River 6040 Blk,49.26672,-124.84337,0,111859
111860,River & Yew,49.26561,-124.8418,0,111860
111861,River & Golden,49.26418,-124.83896,0,111861
111862,River & Mary,49.26212,-124.83326,0,111862
111863,River & Josephine,49.26105,-124.82817,0,111863
111864,River 5330 Blk,49.26045,-124.82347,0,111864
111865,River & Heath,49.26004,-124.82131,0,111865
111866,Johnston & Margaret,49.25773,-124.81268,0,111866
111829,Gertrude & Johnston,49.25754,-124.81026,0,111829
111830,Gertrude & Pemberton,49.25575,-124.80858,0,111830
111831,Roger & Stamp Ave,49.25444,-124.80585,0,111831
111832,Roger & 6th Ave,49.25423,-124.8028,0,111832
111833,Roger & 8th Ave,49.25403,-124.80004,0,111833
111834,Roger & 10th Ave,49.25385,-124.79734,0,111834
111835,Roger & Vimy: ADSS School,49.25418,-124.79334,0,111835
111836,Roger & Kendall: N.I. College,49.25493,-124.78961,0,111836
111837,Kendall & King,49.25198,-124.78785,0,111837
114004,Wallace & Wood,49.2507,-124.78995,0,114004
111838,Wallace & Anderson - Echo Ctr,49.25069,-124.79588,0,111838
111840,10th Ave & Maitland,49.24899,-124.79803,0,111840
114000,10th Ave & Morton,49.2468,-124.79798,0,114000
111785,3rd Ave & Melrose,49.22859,-124.80742,0,111785
111786,3rd Ave & Mar,49.23185,-124.80751,0,111786
111885,Helen & Johnston,49.25992,-124.80737,0,111885
111839,8th Ave & Wallace,49.25039,-124.80073,0,111839
111888,10th Ave & Roger,49.25313,-124.79793,0,111888
111887,10th Ave & Wallace,49.25106,-124.798,0,111887
914000,Port Alberni Transit Center,49.24374,-124.80604,0,914000
111886,Harbour Quay & Argyle,49.23414,-124.81379,0,111886
111818,Tebo & Johnston,49.26458,-124.79414,0,111818
111819,Tebo & Craig,49.26712,-124.7941,0,111819
111820,Compton & Tebo,49.26946,-124.79481,0,111820
111821,Compton & Strathcona,49.26948,-124.79771,0,111821
111822,Ian & Michigan,49.26736,-124.79934,0,111822
111823,Ian & Glenside,49.2658,-124.79941,0,111823
111827,Helen & Burke,49.26148,-124.80843,0,111827
111889,Lathom & Swanson,49.26379,-124.81076,0,111889
111890,Lathom & Gertrude,49.26378,-124.81313,0,111890
