stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
116044,Shelter Point & Gillies Bay,49.65403,-124.467,0,116044
116051,Gillies Bay & School,49.67949,-124.4765,0,116051
116052,Gillies Bay & Sanderson,49.68146,-124.48494,0,116052
116047,Cooper Queen & Van Anda,49.75661,-124.55369,0,116047
116050,Blubber Bay Ferry Terminal,49.795,-124.6208,0,116050
116016,Town Centre Mall North,49.84498,-124.51732,0,116016
164101,Alberni & Quebec,49.84643,-124.51618,0,164101
164100,Alberni & Fernwood,49.8464,-124.5119,0,164100
164002,Manson & Alberni,49.84659,-124.50934,0,164002
164003,4800 Block Manson,49.84792,-124.50932,0,164003
164162,5070 Block Manson,49.85347,-124.51062,0,164162
164004,Manson & Joyce,49.85688,-124.51211,0,164004
164005,Manson & Cassiar,49.85885,-124.51301,0,164005
164006,Manson & McGuffie,49.86121,-124.51517,0,164006
164007,Manson & Borden,49.86314,-124.51903,0,164007
164008,Manson & MacGregor,49.86451,-124.52249,0,164008
164009,Manson & Park,49.86542,-124.52458,0,164009
164010,Manson & Artaban,49.86633,-124.52654,0,164010
164153,Manson & Church,49.86795,-124.52829,0,164153
164112,Church & Manson,49.86853,-124.52827,0,164112
164111,Church & Nelson,49.86854,-124.5259,0,164111
164011,Church & Marlatt,49.86853,-124.52342,0,164011
164012,Marlatt & Drake,49.87075,-124.52251,0,164012
164013,Marlatt & Rodell,49.87213,-124.52252,0,164013
164119,Cranberry & Marlatt,49.8739,-124.52272,0,164119
164014,Cranberry & Mowat,49.87343,-124.52565,0,164014
164015,Cranberry & Manson,49.87199,-124.52892,0,164015
164137,(-DCOM-)Cranberry & Manson Farside,49.87191,-124.53016,0,164137
164016,Cranberry & Dieppe,49.87115,-124.53603,0,164016
164126,Dieppe & Drake,49.86996,-124.53709,0,164126
164017,Timberlane Park,49.8655,-124.53988,0,164017
164127,Brooks School,49.86359,-124.54271,0,164127
164018,Maple & Fir,49.86743,-124.547,0,164018
164019,Maple & Elm,49.86891,-124.54758,0,164019
164131,Maple & Dogwood,49.87044,-124.54785,0,164131
164020,Maple & Chestnut,49.87133,-124.5479,0,164020
164021,Maple & Birch,49.87319,-124.54793,0,164021
164022,Sycamore & Aspen,49.87466,-124.54816,0,164022
164023,Sycamore & Ash,49.87541,-124.55004,0,164023
116031,Marine & Ash,49.87482,-124.55118,0,116031
164024,Arbutus & Sycamore,49.87629,-124.55202,0,164024
164025,Arbutus & Oak,49.87778,-124.55054,0,164025
164026,Arbutus & Powell,49.88324,-124.5462,0,164026
164107,Lund & Chilco,49.88532,-124.55264,0,164107
164027,Lund & King,49.88663,-124.55904,0,164027
164106,Lund at Joncas Place,49.88751,-124.56107,0,164106
164123,Sutherland & Lund,49.88907,-124.56342,0,164123
164194,Sutherland & Fraser,49.89242,-124.5634,0,164194
164195,Sutherland & Lois,49.89364,-124.56342,0,164195
164196,Skeena & Sutherland,49.89696,-124.56412,0,164196
164103,Skeena & McMahon,49.89695,-124.56779,0,164103
164145,McMahon & Nass,49.89538,-124.57025,0,164145
164104,5900 Block Nass,49.89502,-124.56645,0,164104
164105,Nass & Sutherland,49.895,-124.56393,0,164105
164128,Lois & Sutherland,49.89322,-124.56305,0,164128
164129,Lois & Nechako,49.89321,-124.56069,0,164129
116055,King & Lois,49.89284,-124.55803,0,116055
164029,King & 6440 Block,49.89101,-124.55806,0,164029
164198,Columbia & King,49.88958,-124.55755,0,164198
164030,Columbia & Seton,49.88958,-124.5553,0,164030
164115,Columbia & Hillcrest,49.88958,-124.55395,0,164115
164031,Chilco & Capilano,49.88766,-124.55244,0,164031
164110,Chilco & Lund,49.8855,-124.55241,0,164110
164175,Arbutus 6130 Block,49.88319,-124.54643,0,164175
164179,Arbutus & Oak,49.87786,-124.55075,0,164179
164032,Arbutus & Poplar,49.87712,-124.55148,0,164032
164033,Arbutus & Marine,49.87572,-124.55282,0,164033
116028,6243 Block Marine,49.87485,-124.55196,0,116028
164034,Sycamore & Ash,49.87525,-124.54999,0,164034
164035,Maple & Aspen,49.87438,-124.54817,0,164035
164036,Maple & Birch,49.87293,-124.54813,0,164036
116030,Maple & Dogwood,49.8705,-124.54806,0,116030
164038,Maple & Elm,49.86866,-124.54773,0,164038
164039,Maple & Fir,49.86718,-124.54709,0,164039
164040,Hawthorn & Maple,49.86594,-124.54596,0,164040
164158,Timberlane Park,49.86535,-124.53998,0,164158
164120,Dieppe & Cranberry,49.87071,-124.53722,0,164120
164108,Cranberry & Ortona,49.87154,-124.5344,0,164108
164172,Cranberry & Manson,49.87187,-124.52886,0,164172
164122,Cranberry & Mowat,49.87328,-124.5256,0,164122
164121,Marlatt & Cranberry,49.87371,-124.52272,0,164121
164133,Marlatt & Rodell,49.87216,-124.52272,0,164133
164041,Marlatt & Drake,49.87078,-124.52272,0,164041
164143,Marlatt & Church,49.8688,-124.52337,0,164143
164042,Church & Nelson,49.86867,-124.52588,0,164042
164124,Church & Manson,49.86867,-124.52832,0,164124
164113,Manson & Artaban,49.86566,-124.52606,0,164113
164043,Manson & Park,49.86529,-124.52508,0,164043
164044,Manson & MacGregor,49.86432,-124.52254,0,164044
164045,Manson & Dale,49.8632,-124.52009,0,164045
164147,Manson & McGuffie,49.8611,-124.51529,0,164147
164046,Manson & Cassiar,49.85868,-124.51314,0,164046
164047,Manson & Joyce,49.85729,-124.51256,0,164047
164048,5070 Block Manson,49.85341,-124.51079,0,164048
164180,Manson & Abbotsford,49.85091,-124.50954,0,164180
164049,4800 Block Manson,49.84776,-124.50953,0,164049
164148,Alberni & Manson,49.84653,-124.50995,0,164148
164050,Alberni & Fernwood,49.84654,-124.51248,0,164050
164051,Alberni & Ontario,49.84653,-124.51557,0,164051
116034,Town Centre Mall North,49.84499,-124.5171,0,116034
164141,Alberni & Joyce Nearside,49.84632,-124.51965,0,164141
164102,Joyce & Alberni,49.84506,-124.52091,0,164102
116020,4700 Block & Joyce,49.84388,-124.52094,0,116020
164118,Barnet & Joyce,49.84172,-124.51901,0,164118
116022,Barnet & Ontario,49.84171,-124.51602,0,116022
164000,Barnet & Redonda,49.84172,-124.51335,0,164000
164001,Barnet & Manson,49.84169,-124.50963,0,164001
164087,4560 Block Manson,49.83957,-124.50951,0,164087
164088,Manson & Duncan,49.83717,-124.50952,0,164088
164089,Duncan & Bowness,49.83692,-124.50639,0,164089
116029,Powell River Airport,49.83689,-124.50365,0,116029
164132,Airport Exit & Duncan,49.83681,-124.49824,0,164132
164090,Duncan & Bowness,49.83704,-124.50612,0,164090
164193,Manson & Duncan,49.83545,-124.50958,0,164193
164091,Manson & Field,49.83328,-124.50954,0,164091
164183,Manson & Hazelton,49.83112,-124.50953,0,164183
116023,Manson & Huntingdon,49.82956,-124.50954,0,116023
164173,Manson & Kemano,49.82809,-124.50954,0,164173
164092,Kemano & Fernwood,49.82803,-124.51239,0,164092
116027,Kemano & Westview,49.82806,-124.5163,0,116027
164093,Westview & Kamloops,49.8285,-124.51717,0,164093
116026,Westview & Huntingdon,49.82997,-124.51882,0,116026
116011,Joyce & Glacier,49.8325,-124.52048,0,116011
116054,Joyce & Duncan,49.83533,-124.52053,0,116054
164095,Joyce & Crofton,49.8365,-124.52059,0,164095
164096,Joyce & Butedale,49.83903,-124.52061,0,164096
164097,Joyce & Burnaby,49.84067,-124.52059,0,164097
116038,Town Centre Mall South,49.84222,-124.51773,0,116038
116021,4700 Block & Joyce,49.84399,-124.52064,0,116021
164098,Joyce & Alberni,49.84536,-124.52061,0,164098
164139,Alberni & Joyce Farside,49.84627,-124.51942,0,164139
164135,Alberni & Sadler Place,49.84563,-124.52187,0,164135
164052,Alberni & Michigan,49.8449,-124.52396,0,164052
164053,Alberni & Algoma,49.8444,-124.52754,0,164053
116025,Hemlock & Marine,49.86303,-124.54395,0,116025
164197,Lund & Sutherland Farside,49.88895,-124.56425,0,164197
164185,Hwy 101 & Sliammon,49.89894,-124.60533,0,164185
116002,Sliammon & Waterfront,49.89677,-124.60856,0,116002
116001,Sliammon & River,49.89732,-124.60768,0,116001
116003,Hwy 101 & Homalco,49.89812,-124.60188,0,116003
116004,Hwy 101 & Harwood,49.89729,-124.59765,0,116004
116015,Manson & Abbotsford,49.85192,-124.50979,0,116015
164109,Marlatt & Cranberry,49.87371,-124.52251,0,164109
164117,Cranberry & Marlatt,49.87368,-124.5213,0,164117
164054,Cranberry & Tatlow,49.87023,-124.51244,0,164054
164055,Haslam & Yukon,49.86884,-124.50975,0,164055
164140,Allen & Haslam,49.8698,-124.50644,0,164140
116005,Warner & Allen,49.87173,-124.50865,0,116005
116017,Crossroads Village & Joyce,49.84673,-124.52111,0,116017
116009,Joyce & Abbotsford,49.84809,-124.52201,0,116009
116024,Joyce & Harvie,49.84852,-124.52241,0,116024
116007,Joyce & Kiwanis,49.85036,-124.52151,0,116007
116033,Powell River Hospital,49.85118,-124.51832,0,116033
116018,Joyce & Pat Thompson Way,49.85202,-124.51953,0,116018
116036,Rec Plex North Parking Lot,49.85219,-124.52352,0,116036
116037,Rec Plex South Parking Lot,49.8516,-124.52447,0,116037
116006,Joyce & Kiwanis,49.85041,-124.52163,0,116006
116008,Joyce & Abbotsford,49.8474,-124.52195,0,116008
164163,Marine & Alexander,49.84213,-124.52829,0,164163
164056,Marine & Burton,49.83965,-124.52812,0,164056
164057,Marine & Courtenay,49.83769,-124.52769,0,164057
164058,Duncan & Michigan,49.83583,-124.52368,0,164058
164059,Joyce & Duncan,49.83581,-124.5208,0,164059
116010,Field & Franklin,49.83327,-124.51948,0,116010
164060,Glacier & Joyce,49.8316,-124.5198,0,164060
164061,Joyce & Westview,49.8309,-124.52065,0,164061
164062,Joyce & Jasper,49.82917,-124.52068,0,164062
164063,Joyce & Kamloops,49.82822,-124.52068,0,164063
164064,Joyce & Lytton,49.82592,-124.52069,0,164064
164065,Joyce & Massett,49.82357,-124.52055,0,164065
164151,Nootka & Joyce,49.8212,-124.52012,0,164151
164149,Quadra & Nootka,49.82113,-124.51738,0,164149
164066,Quadra & Oliver,49.8189,-124.51778,0,164066
164067,Oliver & Selkirk,49.81888,-124.51968,0,164067
116019,Joyce & Oliver,49.81847,-124.52053,0,116019
164068,Joyce & Penticton,49.8162,-124.52037,0,164068
164069,Joyce & Quesnel,49.81296,-124.52048,0,164069
164070,Joyce & Richmond,49.81062,-124.52053,0,164070
164071,Joyce & Surrey,49.80915,-124.5206,0,164071
164072,Toba & Joyce,49.80779,-124.52014,0,164072
164073,Toba & MacKenzie,49.80731,-124.51722,0,164073
164165,Cariboo & Toba,49.8066,-124.51534,0,164165
164114,Cariboo & Tofino,49.80525,-124.51541,0,164114
164155,Cariboo & Thunder Bay,49.80423,-124.51579,0,164155
164156,Thunder Bay & Vananda,49.80524,-124.51967,0,164156
164168,Marine & Terrace,49.80838,-124.52322,0,164168
164192,Marine & Quesnel,49.81329,-124.52514,0,164192
164191,Marine & Penticton,49.81665,-124.52556,0,164191
164078,Oliver & Marine,49.81874,-124.52457,0,164078
164167,Oliver & Manitoba,49.81873,-124.52182,0,164167
164079,Oliver & Selkirk,49.81874,-124.51942,0,164079
164080,Quadra & Oliver,49.81904,-124.51753,0,164080
