stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
180053,North Nechako Rd at Arend Dr,53.94247,-122.79215,0,180053
105417,North Nechako at Churchill,53.94598,-122.79543,0,105417
105017,UNBC Exchange Bay A,53.89128,-122.81364,0,105017
105060,Tyner at University Heights,53.87196,-122.80204,0,105060
105007,Domano at McGill,53.86899,-122.77786,0,105007
105058,Tyner at Baker,53.87,-122.78597,0,105058
105006,Domano at Moriarty,53.86819,-122.77445,0,105006
105379,Domano at 6430 Blk CHSS,53.86221,-122.7665,0,105379
105374,Southridge at St Anne,53.85769,-122.77965,0,105374
105373,Southridge at St Frances,53.86049,-122.78301,0,105373
105375,St Lawrence at Southridge,53.85562,-122.77794,0,105375
105377,St Lawrence at 7190 block,53.85851,-122.76876,0,105377
105376,St Lawrence at St Patrick,53.85566,-122.77339,0,105376
105378,Domano at Bernard,53.86023,-122.76648,0,105378
180002,Tyner at Gannett,53.86967,-122.78501,0,180002
105059,Tyner at University Heights,53.87201,-122.80193,0,105059
105013,Spruceland Exchange Bay B,53.91828,-122.78228,0,105013
105076,Ahbau at 8th Ave,53.9174,-122.78455,0,105076
105010,Pine Centre Exchange Bay B,53.89863,-122.77985,0,105010
105449,Westwood at Fairview,53.89402,-122.77962,0,105449
105005,Nicholson at 15th Ave,53.90983,-122.78708,0,105005
105038,Nicholson at 18th Ave,53.90772,-122.78602,0,105038
105435,Baker at Wheeler,53.87076,-122.78507,0,105435
105281,Bear at Aldeen,53.85919,-122.80681,0,105281
105820,Bear at Kimball,53.85809,-122.81483,0,105820
105429, (-DCOM-)Hart Highway at Hoffercamp,53.9389,-122.76047,0,105429
105280,Westwood at Andres,53.88619,-122.77965,0,105280
105444,Range at Romanin,53.8846,-122.78157,0,105444
105451,Westwood at Cherry,53.88944,-122.77961,0,105451
105450,Westwood at Fern,53.89169,-122.77965,0,105450
105282,Massey at Griffiths- Stadium,53.90432,-122.77376,0,105282
105022,College Rd at CNC,53.90528,-122.78584,0,105022
105427,2800 Block Hart Highway Frontage,53.95064,-122.76329,0,105427
105430,Hart Highway Frontage at McIntosh,53.94598,-122.76297,0,105430
105425,Hart Highway at Kenworth,53.96047,-122.76777,0,105425
105426,Hart Highway Frontage at Perrin,53.95673,-122.76596,0,105426
105431,Hart Highway at Northwood Pulpmill,53.94388,-122.76199,0,105431
105522,Hart at Lehman,53.98068,-122.77561,0,105522
105523,Hart at Monteray,53.97817,-122.77158,0,105523
105203,Hart at Austin Rd W,53.98912,-122.78647,0,105203
105521,Hart at Birchwood,53.98753,-122.78279,0,105521
105428,3100 Block Hart Highway Frontage,53.95258,-122.76447,0,105428
105437,Foster Rd at Foster Place,53.87279,-122.78324,0,105437
105014,Spruceland Exchange Bay D,53.91768,-122.78289,0,105014
105101,Ahbau at 5th Ave,53.9199,-122.78416,0,105101
105011,Pine Centre Exchange Bay A,53.89848,-122.77958,0,105011
105285,Massey at Del Laverdure - Stadium,53.90381,-122.77347,0,105285
105021,College Rd at CNC,53.90512,-122.78572,0,105021
105023,Nicholson at 18th Ave,53.90773,-122.78589,0,105023
180051,22nd Avenue at Nicholson,53.90368,-122.78492,0,180051
105434,Baker Rd at Wheeler,53.87042,-122.78501,0,105434
105184,Cook 5740 block,53.98102,-122.77898,0,105184
105183,Croft at Hepting,53.97865,-122.78204,0,105183
105436,Foster Rd at Foster Pl,53.87285,-122.78282,0,105436
105438,Davis at Foster,53.87461,-122.78097,0,105438
105439,Davis at Prudente,53.87581,-122.78298,0,105439
105442,Range at Romanin,53.88455,-122.78354,0,105442
105283,Griffiths 2870 block,53.90436,-122.77886,0,105283
105286,Westwood 3320 block,53.88678,-122.77946,0,105286
105445,Westwood at Ferry,53.88858,-122.77946,0,105445
105488,Westwood at Tweedsmuir,53.89522,-122.77956,0,105488
105447,Westwood at Fairview,53.89321,-122.77947,0,105447
105180,Hart Highway at Bellamy,53.95305,-122.76411,0,105180
105188,Hart Highway at Kenworth,53.96086,-122.76758,0,105188
105181,Croft at Winslow,53.98132,-122.78888,0,105181
105173, Glengarry at Killarney,53.98124,-122.79254,0,105173
105812,Croft at Glade,53.98058,-122.78475,0,105812
105454,Austin Rd W at Boschman,53.98879,-122.79942,0,105454
105008,Hart Exchange Bay A,53.98888,-122.78909,0,105008
105400,Kelly S at Vellencher,53.98541,-122.80105,0,105400
105401,Kelly S at Austin,53.98748,-122.80103,0,105401
105186,Hart Highway at Collins,53.97156,-122.76785,0,105186
105185,Hart at Monteray,53.97947,-122.77315,0,105185
105394,Highland at Montgomery,53.98332,-122.79929,0,105394
105187,Hart Highway at Noranda,53.96514,-122.76721,0,105187
105512,Hart Highway at Northwood Pulpmill,53.94436,-122.76148,0,105512
105511,Hart Highway at Hoffercamp,53.94112,-122.76068,0,105511
105446,Westwood at Laurel,53.89053,-122.77946,0,105446
105399,Highland at Teresa,53.98264,-122.79674,0,105399
105249,Simon Fraser at Caledonia,53.86586,-122.7644,0,105249
105250,Simon Fraser at Rideau,53.86819,-122.7647,0,105250
105389,Bunce at Park,53.8498,-122.82358,0,105389
105388,Bunce at Great Bear,53.84697,-122.82436,0,105388
105028,17th Ave at Yew,53.90727,-122.76571,0,105028
105212,Winnipeg at 13th Ave,53.91196,-122.76032,0,105212
180032,9th at Edmonton,53.91524,-122.75969,0,180032
105295,Henrey at Elk,53.85229,-122.81422,0,105295
105393,Thompson at Greg,53.85149,-122.81506,0,105393
105291,Tony at Highway 16,53.8583,-122.80965,0,105291
105290,Bear at Westgate,53.86046,-122.80275,0,105290
105385,Perdue at Lattman,53.83766,-122.82166,0,105385
105384,Purdue at Hilltop,53.83772,-122.81569,0,105384
105255,McGill at Eton,53.87207,-122.77735,0,105255
105256,McGill at Monahan,53.87023,-122.77615,0,105256
105252,Simon Fraser at Cowart,53.872,-122.76551,0,105252
105253,Eton at Simon Fraser,53.87353,-122.76903,0,105253
105251,Simon Fraser at Brock,53.87065,-122.76438,0,105251
105254,Eton at Cambridge,53.87217,-122.77304,0,105254
105260,Bear at Westgate,53.86079,-122.80117,0,105260
105019,Westgate Exchange Bay A,53.8651,-122.78607,0,105019
800033,Westgate Exchange,53.86506,-122.78628,0,800033
105381,Haldi at Sabrina,53.83203,-122.82419,0,105381
105380,Haldi at Southwell,53.83864,-122.83064,0,105380
105383,Hilltop at Purdue,53.83473,-122.81522,0,105383
105382,Hilltop at Leslie,53.83078,-122.81518,0,105382
105392,Thompson at Park,53.84863,-122.81449,0,105392
105386,Bunce at Purdue,53.83814,-122.82442,0,105386
105387,Bunce at Trailer Village,53.84254,-122.82439,0,105387
105292,Helene at Aldeen,53.856,-122.80675,0,105292
105293,Aldeen at Helene,53.8546,-122.80655,0,105293
105390,Park at Dow,53.84905,-122.81731,0,105390
105294,Henrey at Eugene,53.85227,-122.80842,0,105294
105288,Bear at Eugene,53.85899,-122.8079,0,105288
105261,Bear at Aldeen,53.85911,-122.80677,0,105261
105289,Bear 3740 block,53.85992,-122.8037,0,105289
105257,Dakelh-Ti at Domano,53.86819,-122.77689,0,105257
105258,Dakelh-Ti 5940 block,53.8665,-122.78034,0,105258
105411,Winnipeg at Yew,53.90726,-122.76605,0,105411
105114,Dakelh-Ti 5940 block,53.86644,-122.78034,0,105114
105259,Marleau at Lalonde,53.86289,-122.78887,0,105259
105016,Spruceland Exchange Bay C,53.91791,-122.78229,0,105016
105001,Downtown Exchange,53.9137,-122.74808,0,105001
105161,3rd Ave at Cross,53.91868,-122.75177,0,105161
105121,5th Ave at Douglas,53.92076,-122.77125,0,105121
105441,Ospika at Range,53.88407,-122.78469,0,105441
105424,Davis at Baker,53.87631,-122.78413,0,105424
105525,Hart Highway at Noranda,53.96485,-122.76769,0,105525
105000,Downtown Exchange Bay C,53.91367,-122.7474,0,105000
105128,Victoria at 7th Ave,53.91453,-122.75203,0,105128
105127,Victoria at 9th Ave,53.91299,-122.75322,0,105127
105126,Victoria at 11th Ave,53.91142,-122.75454,0,105126
105125,Victoria at 17th Ave,53.90807,-122.75536,0,105125
105124,Victoria at 20th Ave,53.90479,-122.75526,0,105124
105119,Victoria at Strathcona,53.90178,-122.75522,0,105119
105164,Victoria at Diefenbaker,53.89746,-122.75529,0,105164
105163,Pearson at Upland,53.89855,-122.7602,0,105163
105342,Upland at St Laurent,53.89612,-122.76072,0,105342
105341,Upland at Lonsdale,53.89351,-122.76071,0,105341
105242,Upland at McKenzie,53.89233,-122.76073,0,105242
105245,Upland at Rebman,53.88968,-122.7608,0,105245
105241,Ferry at Upland,53.88885,-122.76132,0,105241
105244,Lansdowne at McInnis,53.88798,-122.76249,0,105244
105240,Landsdowne Turn Around,53.88403,-122.7653,0,105240
105239,Lansdowne at Runnalls,53.88765,-122.76223,0,105239
105238,Ferry at Recplace,53.8888,-122.7714,0,105238
105237,Ferry at Westwood,53.88834,-122.78022,0,105237
105236,Ospika at Denise,53.88862,-122.78699,0,105236
105235,Ospika at Pinewood,53.89243,-122.78878,0,105235
105234,Ospika at Dufferin,53.89619,-122.78876,0,105234
105233,Massey at Ospika,53.89933,-122.79,0,105233
105232,Massey at Vanier,53.89945,-122.7862,0,105232
105068,Massey at Westwood,53.89972,-122.78326,0,105068
105330,Massey at Opie,53.89969,-122.78624,0,105330
105331,Massey at Nicholson,53.89969,-122.78954,0,105331
105332,Ospika at Massey,53.89949,-122.79171,0,105332
105333,Ospika at Campbell,53.90187,-122.79566,0,105333
105334,Ospika 2100 block,53.90471,-122.79726,0,105334
105335,18th Ave at Ospika,53.90739,-122.79843,0,105335
105336,18th Ave at George Paul,53.9074,-122.80337,0,105336
105064,15th Ave at Foothills,53.91021,-122.81073,0,105064
105322,Tabor at Genevieve,53.91109,-122.80683,0,105322
105338, Tabor at Davie,53.91521,-122.80687,0,105338
105339,Tabor at Granite,53.91708,-122.80687,0,105339
105340,Tabor at Quentin,53.9195,-122.80734,0,105340
105061,5th Ave at Tabor,53.92052,-122.80582,0,105061
105062,5th Ave at Voyageur,53.92054,-122.80171,0,105062
105081,5th Ave at Kerry,53.92054,-122.79871,0,105081
105082,5th Ave at Ruggles,53.92049,-122.79274,0,105082
105246,5th Ave at Patterson,53.92049,-122.79045,0,105246
105247,5th Ave at Nicholson,53.9205,-122.78669,0,105247
105145,5th Ave at Johnson,53.92049,-122.77924,0,105145
105144,5th Ave at Harper,53.9205,-122.77628,0,105144
105138,5th Ave at Freeman,53.92052,-122.77327,0,105138
105137,5th Ave at Douglas,53.92051,-122.77025,0,105137
105133,5th Ave at Burden,53.92052,-122.76747,0,105133
105132,6th Ave at Wainwright,53.91957,-122.7656,0,105132
105131,5th Ave at Wainwright,53.92056,-122.7647,0,105131
105130,5th Ave at Melville,53.92051,-122.76154,0,105130
105129,4th Ave at Edmonton,53.91895,-122.75642,0,105129
105143,4th Ave at Prince Rupert,53.91797,-122.75301,0,105143
105209,4th Ave at Vancouver,53.91748,-122.75125,0,105209
105208,4th Ave at Brunswick,53.91668,-122.74849,0,105208
105094,Dominion at 6th Ave,53.91441,-122.74634,0,105094
105002,Downtown Exchange Bay A,53.91323,-122.74727,0,105002
