stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
190012,Immanuel at 6th Ave E,54.32764,-130.29324,0,190012
190013,6th Ave E at Kay Smith Blvd,54.32671,-130.29581,0,190013
190092,5th Ave at McBride,54.31418,-130.31812,0,190092
190042,2nd Ave W at 3rd St,54.31355,-130.32536,0,190042
190044,2nd Ave W at 1st St,54.31525,-130.32257,0,190044
190098,George Hills Way at Cow Bay Rd,54.3193,-130.31695,0,190098
190099,Cow Bay Rd at 3rd Ave,54.31766,-130.31823,0,190099
190017,6th Ave E at Ambrose Ave,54.32089,-130.30533,0,190017
190096,George Hills Way at Dry Dock Rd,54.32143,-130.30898,0,190096
190015,6th Ave E at Overlook St,54.32356,-130.30099,0,190015
190016,6th Ave E at Claude St,54.32246,-130.30275,0,190016
190014,6th Ave E at 1419 Blk,54.32515,-130.29841,0,190014
190100,3rd Ave E at 207 Blk,54.31634,-130.31911,0,190100
190097,George Hills Way at Charlie Currie Rd,54.32036,-130.31211,0,190097
190046,McBride at 6th Ave W,54.31301,-130.3175,0,190046
190073,2nd Ave at 11th St,54.30652,-130.3372,0,190073
190074,Atlin at 2nd Ave,54.30498,-130.34017,0,190074
190077,Graham at 17th,54.30108,-130.34982,0,190077
190078,Graham at Van Arsdol,54.29921,-130.35134,0,190078
190079,Van Arsdol at 144 Blk,54.29827,-130.3507,0,190079
190084,2nd Ave at 11th St,54.30677,-130.33643,0,190084
190085,3rd Ave at Biggar Pl,54.30818,-130.3321,0,190085
190089,Prince Rupert Ferry Terminal,54.29326,-130.35283,0,190089
190090,11th St at Park Ave,54.30555,-130.33592,0,190090
190053,Pr Rupert Blvd at Portage Rd,54.31357,-130.29954,0,190053
191001,Evergreen at 470 Blk,54.2261,-130.29022,0,191001
191002,Evergreen at Wildwood,54.22358,-130.28844,0,191002
190048,McBride at 8th Ave W,54.31183,-130.31543,0,190048
190049,Civic Centre Complex,54.30999,-130.31233,0,190049
191003,Alder at Pacific,54.2204,-130.28869,0,191003
191004,Oceanview at Hillcrest,54.21791,-130.28833,0,191004
190088,Park Ave at 1402 Blk,54.30348,-130.33713,0,190088
190039,Kootenay at Cade Pl,54.30148,-130.33695,0,190039
190011,7th Ave E at Seal Cove Circle,54.32898,-130.29006,0,190011
190101,McBride at 2nd,54.31589,-130.3223,0,190101
190000,6th Ave E at Hays Cove Ave,54.32061,-130.30542,0,190000
190024,Summit at Roosevelt Park Elementary,54.30728,-130.32639,0,190024
190022,6th Ave W at Taylor,54.30842,-130.32552,0,190022
190019,2nd Ave W at 3rd St,54.31317,-130.32637,0,190019
190020,Fulton at 3rd Ave W,54.31192,-130.32536,0,190020
190050,McBride at 9th Ave E,54.31086,-130.31315,0,190050
190047,McBride at 6th Ave E,54.31353,-130.31795,0,190047
190059,Immanuel at 11th Ave E,54.32493,-130.28834,0,190059
190060,11th Ave E at Plaza St,54.32261,-130.29272,0,190060
190061,Hays Cove at Frederick,54.32229,-130.2957,0,190061
190062,Hays Cove at 1200 Blk,54.32182,-130.29784,0,190062
190057,India Ave at Frederick,54.32155,-130.29215,0,190057
190051,Pr. Rupert Blvd at Gull Cres,54.3106,-130.30668,0,190051
190064,Alfred at Hays Cove,54.31985,-130.30518,0,190064
190065,Alfred at 834 Blk,54.31833,-130.30384,0,190065
190055,Pr Rupert Blvd at Conrad,54.31791,-130.29749,0,190055
190058,India Ave at Goddard,54.32312,-130.28954,0,190058
190063,Hays Cove at 8th Ave E (WB),54.32099,-130.30171,0,190063
190043,1st St at McBride,54.31597,-130.32383,0,190043
190087,11th St at Park Ave,54.30547,-130.33614,0,190087
190070,2nd Ave at 6th,54.31149,-130.32909,0,190070
190071,2nd Ave at 8th,54.31016,-130.3312,0,190071
191005,Skeena at Alder,54.21971,-130.29086,0,191005
191000,Evergreen at Skeena,54.22798,-130.29176,0,191000
190102,Butze Rapids Lookout Point,54.30701,-130.26746,0,190102
191006,Skeena at Harbourview,54.2235,-130.29228,0,191006
191007,Skeena at Sunset,54.22566,-130.29157,0,191007
190008,Seal Cove Sea Plane Terminal,54.33,-130.28121,0,190008
