stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
184043,St Laurent Ave at Reid St,52.97897,-122.49628,0,184043
184060,Kinchant St at Barlow Ave,52.97736,-122.49381,0,184060
184061,Kinchant St at Carson Ave,52.97538,-122.49351,0,184061
184011,Marsh Dr at Baker Dr,52.97406,-122.50649,0,184011
184006,Doherty Dr at Willis St,52.97202,-122.51228,0,184006
184007,Doherty Dr at Warden St,52.97085,-122.51019,0,184007
184008,Ritson Ave at Rolph St,52.96886,-122.50662,0,184008
184009,Rolph St at Roddis Dr,52.96708,-122.50816,0,184009
184000,Robertson Ave at Rolph St,52.96593,-122.50993,0,184000
184001,Robertson Ave at Reynard St,52.96719,-122.51272,0,184001
184002,Robertson Ave at Winder St,52.96817,-122.51483,0,184002
184003,Anderson Dr at Wade Ave,52.97079,-122.51613,0,184003
184004,Anderson Dr at Avery Ave,52.97177,-122.51424,0,184004
184012,Lewis Dr at Couldwell Ave,52.97413,-122.51071,0,184012
184013,300 Blk Lewis Dr,52.97751,-122.51377,0,184013
184014,Lewis Dr at Beaubien Ave,52.97932,-122.51516,0,184014
184015,Lewis Dr at Palmer St,52.98129,-122.52257,0,184015
184016,Lewis Dr at Pierce St,52.98092,-122.52653,0,184016
184017,Dawson St at Lewis Dr,52.98013,-122.52965,0,184017
184018,Patchett St at Pentland Cres,52.97875,-122.52764,0,184018
184019,500 Blk Patchett St,52.97988,-122.52502,0,184019
184020,Flamingo St at Pentland Cres,52.97902,-122.52389,0,184020
184021,Lark Ave at Pinchbeck St,52.97733,-122.52091,0,184021
184022,Abbott Dr at Blair St,52.97483,-122.51897,0,184022
184023,900 Blk Abbott Dr,52.97401,-122.51637,0,184023
184010,West Park Mall,52.97307,-122.50663,0,184010
184064,Johnston Ave at Yorston Ave,52.97302,-122.48481,0,184064
184065,Johnston Ave at Gardner St,52.97386,-122.48105,0,184065
184066,Johnston Ave at Leonard St,52.97512,-122.47563,0,184066
184067,Johnston Ave at Lowe St,52.97751,-122.47082,0,184067
184073,Nadeau St at Nagra Ave,52.98117,-122.47615,0,184073
184075,Nadeau St at Norman St,52.98333,-122.47645,0,184075
184076,Nason St at Nadeau St,52.98426,-122.47657,0,184076
184077,600 Blk Nason St,52.98395,-122.47445,0,184077
184078,Nickel Ridge Ave at Netterfield Ave,52.98237,-122.47345,0,184078
184068,N Star Rd at Quesnel Rec Ctr,52.98134,-122.46584,0,184068
184069,N Star Rd at Campus Way,52.98327,-122.46852,0,184069
184101,Valhalla Rd at Gassoff Rd,52.97884,-122.44634,0,184101
184102,Hydraulic Rd at Juniper Rd,52.97767,-122.44195,0,184102
184111,500 Blk Juniper Rd,52.97257,-122.44045,0,184111
184112,600 Blk Newman Rd,52.96973,-122.44125,0,184112
184113,Newman Rd at Balsam Ave,52.96793,-122.44107,0,184113
184115,South Quesnel Extra Foods,52.96288,-122.44143,0,184115
184114,South Quesnel Wal-Mart,52.96465,-122.43988,0,184114
184116,1000 Blk Maple Heights Rd,52.96292,-122.44645,0,184116
184117,2100 Blk Tamarack Ave,52.96106,-122.44836,0,184117
184118,Bass Rd at Tamarack Rd,52.96075,-122.44983,0,184118
184119,1200 Blk Bass Rd,52.95877,-122.44965,0,184119
184120,1300 Blk Bass Rd,52.9576,-122.44961,0,184120
184121,Lust Rd at Arbutus Rd,52.95666,-122.45062,0,184121
184122,Lust Rd at Chief Dominic Rd,52.95686,-122.4564,0,184122
184123,Lust Rd at Hausaman Rd,52.95704,-122.46256,0,184123
184124,1200 Blk Lust Rd,52.95896,-122.46355,0,184124
184125,Lust Rd at Maple Dr,52.96422,-122.46355,0,184125
184126,Spruce St at Maple Dr,52.96492,-122.46057,0,184126
184127,Spruce St at Balsam Ave,52.96702,-122.46055,0,184127
184128,1900 Blk Balsam Ave,52.96744,-122.45619,0,184128
184129,Kube Rd at Balsam Ave,52.96712,-122.45201,0,184129
184130,Kube Rd at Maple Dr,52.96501,-122.452,0,184130
184131,Maple Dr at Maple Heights Rd,52.96437,-122.44763,0,184131
184132,Elm St at Maple Dr,52.965,-122.446,0,184132
184133,600 Blk Elm St,52.96918,-122.44601,0,184133
184134,Elm St at Cedar Ave,52.97151,-122.44599,0,184134
184135,2200 Blk Cedar Ave,52.97189,-122.44394,0,184135
184136,500 Blk Juniper Rd,52.97254,-122.44027,0,184136
184103,Hydraulic Rd at Coach Rd,52.9768,-122.43857,0,184103
184104,Hydraulic Rd at Dragon Lake Elementary,52.9731,-122.43227,0,184104
184105,Phillips Rd at Neighbour Rd,52.97448,-122.43029,0,184105
184106,300 Blk Phillips Rd S,52.97578,-122.42944,0,184106
184107,200 Blk Phillips Rd S,52.97803,-122.42943,0,184107
184108,Gavlin Rd at Brears Rd,52.97878,-122.43214,0,184108
184109,100 Blk Coach Rd S,52.97769,-122.43719,0,184109
184110,Hydraulic Rd at Juniper Rd,52.97754,-122.4411,0,184110
184084,Westland Rd at Hydraulic Rd,52.97853,-122.44243,0,184084
184085,Westland Rd at Gassoff Rd,52.98089,-122.44234,0,184085
184086,Westland Rd at Richardson Rd,52.98181,-122.44237,0,184086
184088,500 Blk Westland Rd,52.98574,-122.44357,0,184088
184089,Westland Rd at Westland Close,52.98733,-122.44407,0,184089
184091,Dennis Rd at Westland Rd,52.98708,-122.44766,0,184091
184092,500 Blk Dennis Rd,52.98486,-122.44763,0,184092
184093,400 Blk Dennis Rd,52.98305,-122.44765,0,184093
184094,Gassoff Rd at Ryan Rd,52.98068,-122.44623,0,184094
184095,2300 Blk Gassoff Rd,52.9807,-122.44394,0,184095
184097,Westland Rd at Hydraulic Rd,52.9786,-122.44258,0,184097
184098,Hydraulic Rd at Westland Rd,52.97837,-122.44346,0,184098
184099,Valhalla Rd at Gassoff Rd,52.97915,-122.44708,0,184099
184070,N Star Rd at Campus Way,52.9834,-122.46894,0,184070
184071,N Star Rd at Quesnel Rec Ctr,52.98138,-122.46607,0,184071
184079,Johnston Ave at Lowe St,52.97758,-122.47091,0,184079
184080,Johnston Ave at Graham Ave,52.97521,-122.47566,0,184080
184081,Johnston Ave at Gardner St,52.97408,-122.48055,0,184081
184082,Johnston Ave at Yorston Ave,52.9727,-122.4859,0,184082
184044,St Laurent Ave at Vaughan St,52.97913,-122.49314,0,184044
184045,St Laurent Ave at Callanan St,52.97923,-122.49154,0,184045
