stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
156083,Coast Hillcrest Hotel,50.99544,-118.1628,0,156083
156078,Oak Dr at Johnson Way,50.99293,-118.16085,0,156078
156076,Ramada Hotel,51.00982,-118.21054,0,156076
156077,Fairfield Inn & Suites,51.00957,-118.20956,0,156077
156099,Hwy 23 at Glacier Heights Estates,51.01601,-118.21284,0,156099
156074,Base Camp Resort,51.02136,-118.21319,0,156074
156073,Colbeck Rd at Pearkes Dr,51.01821,-118.21582,0,156073
156072,Pearkes Dr at Colbeck Rd,51.01331,-118.2191,0,156072
156075,Best Western Revelstoke,51.01038,-118.21934,0,156075
156079,Victoria St W at Mutas Rd,51.00871,-118.21491,0,156079
156081,Victoria Rd at Kootenay St,51.00569,-118.20477,0,156081
156082,Victoria Rd at Garden Ave,51.0026,-118.19958,0,156082
156011,MacKenzie Ave at 1st St - Grizzly Plaza,50.99899,-118.19496,0,156011
156097,3rd St E at Robson Ave,50.99564,-118.19372,0,156097
156084,4th St E at Temple St,50.9923,-118.19006,0,156084
156085,4th St E at Edward St,50.9905,-118.18704,0,156085
156050,4th St E at Simpson St,50.98764,-118.1834,0,156050
156052,Airport Way at Arrow Dr,50.97998,-118.18483,0,156052
156055,Nichol Rd at Beruschi Rd,50.97583,-118.18308,0,156055
156100,Coursler Ave at McKenzie Plaza,50.97653,-118.17324,0,156100
156086,Nichol Rd at Hay Rd,50.9758,-118.17004,0,156086
156087,Revelstoke Mountain Resort,50.95687,-118.16434,0,156087
156088,Nichol Rd at Hay Rd,50.97596,-118.16948,0,156088
156101,Coursler Ave at McKenzie Plaza,50.97666,-118.17306,0,156101
156056,Nichol Rd at Park Dr,50.97596,-118.17879,0,156056
156089,Nichol Rd at Beruschi Rd,50.97599,-118.18287,0,156089
156090,Airport Way at Arrow Dr,50.98003,-118.18457,0,156090
156051,4th St E at Simpson St,50.98719,-118.18311,0,156051
156091,4th St E at Edward St,50.99067,-118.18693,0,156091
156092,4th St E at Taylor St,50.99277,-118.19052,0,156092
156094,3rd St W at Connaught Ave,50.99843,-118.19808,0,156094
156095,3rd St W at Garden Ave,51.00088,-118.2022,0,156095
156067,3rd St W at Pearson St,51.00237,-118.20465,0,156067
156016,3rd St W at Charles St,51.0031,-118.20584,0,156016
156096,Douglas St at King St,51.00444,-118.21019,0,156096
156068,Douglas St at Hanson St,51.00541,-118.21193,0,156068
156065,Wright St at 2nd St W,51.00767,-118.21214,0,156065
156080,Victoria St W at Mutas Rd,51.00885,-118.21483,0,156080
