stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
146229,Dawson & Main,49.47298,-119.5811,0,146229
146211,Duncan & Manitoba,49.4843,-119.58151,0,146211
146144,Government & Duncan,49.48552,-119.5781,0,146144
146143,Government & Bennett,49.48675,-119.57868,0,146143
146110,Duncan & Government,49.48488,-119.57858,0,146110
146151,Atkinson & Warren,49.47462,-119.58686,0,146151
146150,Atkinson & Okanagan,49.47657,-119.58768,0,146150
146171,Power & Westminster,49.49706,-119.60519,0,146171
146217,Wade & Caribou,49.49493,-119.6015,0,146217
146289,Prairie Valley at Atkinson,49.60296,-119.66794,0,146289
148000,Peach Orchard at Rosedale,49.60466,-119.67653,0,148000
140215,Queensway Exch (Kelowna),49.88713,-119.49494,0,140215
103744,Hwy 97 onramp at Westside Rd,49.8818,-119.53653,0,103744
140214,Westbank Exch,49.82972,-119.63041,0,140214
146243,Rosedale at Jubilee Rd E,49.603,-119.67786,0,146243
146221,Westminster & Power,49.49752,-119.60646,0,146221
140213,Westbank Exch,49.8283,-119.63061,0,140213
103745,Hwy 97 offramp at Sneena,49.88074,-119.53497,0,103745
146286,Prairie Valley,49.60268,-119.66647,0,146286
940002,Penticton Transit Centre,49.47589,-119.57692,0,940002
146280,Penticton Ave 1660 Blk,49.49036,-119.55474,0,146280
146157,Cherry Lane Shopping Centre,49.47372,-119.58583,0,146157
146051,Martin & Wade,49.49626,-119.59256,0,146051
146049,Martin & Lakeshore,49.50213,-119.59551,0,146049
146161,Warren & Atkinson (Cherry Lane),49.47439,-119.58613,0,146161
146042,Winnipeg & Wade,49.49667,-119.59461,0,146042
146233,Peachtree Square,49.46376,-119.58849,0,146233
146147,Gov't & Carmi (Penticton Hosp.),49.4823,-119.57623,0,146147
146045,Wade & Martin,49.49691,-119.59225,0,146045
146043,Winnipeg & Wade,49.49683,-119.5945,0,146043
146234,Peachtree Square,49.46381,-119.58879,0,146234
146103,Carmi & Balfour (Penticton Hosp.),49.48258,-119.57812,0,146103
146145,Government farside Carmi,49.48351,-119.57744,0,146145
146156,Dawson & Braelyn,49.47346,-119.57926,0,146156
103690,13th St & Lake,49.7827,-119.7231,0,103690
140222,Beach & 4th St (Peachland),49.77471,-119.735,0,140222
103689,13th St & Lake,49.78264,-119.72333,0,103689
140221,Beach & 4th St (Peachland),49.77475,-119.73523,0,140221
146231,Skaha Lk Rd before Waterford,49.46196,-119.5885,0,146231
146190,Duncan & Main,49.48378,-119.58502,0,146190
146192,Duncan & Main (Plaza),49.48392,-119.585,0,146192
146332,89 St & 97 St,49.02001,-119.46884,0,146332
146331,Nighthawk & 62 Ave,49.02532,-119.4715,0,146331
146330,Gravenstein & Jonagold Pl,49.03565,-119.46627,0,146330
146329,Quince Ln & Gravenstein Dr,49.03831,-119.46805,0,146329
146326,92 Ave & Jubilee,49.03862,-119.47338,0,146326
146316,Main & 89th St,49.03288,-119.46877,0,146316
146335,Bartlett Dr & Valiant Dr,49.49566,-119.62858,0,146335
146336,Sandstone Cres & Sandpiper Ln,49.50398,-119.63725,0,146336
146055,Winnipeg & Eckhardt,49.49267,-119.59237,0,146055
146054,Winnipeg & Orchard,49.49443,-119.59329,0,146054
146034,Wade & Winnipeg,49.4965,-119.59483,0,146034
146265,Vees & Wade,49.49418,-119.60285,0,146265
146334,Bartlett Dr & Russett Dr,49.49488,-119.62285,0,146334
146219,Main & Calgary (Penticton Plz),49.48496,-119.58642,0,146219
146278,Penticton Ave 1520 Blk,49.48915,-119.55837,0,146278
146277,Penticton Ave 1410 Blk,49.48986,-119.56243,0,146277
146200,Penticton Ave & McPherson,49.49037,-119.56507,0,146200
146197,Penticton Ave & Debeck,49.48999,-119.56885,0,146197
146112,Penticton Ave & Kensington,49.48913,-119.5735,0,146112
146128,Kilwinning & Nelson Ave,49.4905,-119.57519,0,146128
146104,Forestbrook & Kilwinning,49.49244,-119.57708,0,146104
146137,Government & Forestbrook,49.49197,-119.58025,0,146137
146094,Eckhardt & Haywood,49.49454,-119.58265,0,146094
146093,Eckhardt & Braid,49.49375,-119.58663,0,146093
146092,Eckhardt & Main,49.49311,-119.58915,0,146092
146154,Main & Padmore,49.49595,-119.59091,0,146154
146025,Main & Wade,49.49738,-119.59163,0,146025
146167,Main & Nanaimo,49.49912,-119.59255,0,146167
146166,Main & Westminster,49.50059,-119.59334,0,146166
146050,Martin & Nanaimo,49.49839,-119.59365,0,146050
146047,Wade & Martin,49.49684,-119.59314,0,146047
146188,Atkinson & Industrial,49.47898,-119.58848,0,146188
146187,Atkinson & Okanagan,49.47716,-119.58768,0,146187
146186,Atkinson &  Industrial,49.47895,-119.58832,0,146186
146160,Atkinson & Phoenix,49.48139,-119.58912,0,146160
146318,Penticton Plaza,49.48407,-119.58683,0,146318
146175,Calgary & Main,49.48586,-119.58775,0,146175
146173,Calgary & Fairview,49.4859,-119.59126,0,146173
146019,Conklin & Fairview,49.48657,-119.59214,0,146019
146038,Conklin & Argyle,49.48723,-119.59573,0,146038
146037,Conklin & Moosejaw,49.48783,-119.59902,0,146037
146212,Moosejaw & Douglas,49.48687,-119.59997,0,146212
146237,Skaha Lake Rd & Kinney,49.47139,-119.5832,0,146237
146325,Skaha Lake Rd & Green,49.46394,-119.58773,0,146325
146068,Skaha Lk Rd after Waterford,49.46009,-119.58862,0,146068
146071,Skaha Lake Rd & Guelph,49.4581,-119.58795,0,146071
146182,Skaha Lake Rd & Yorkton,49.45606,-119.5873,0,146182
146215,Skaha Lake Rd & Channel,49.45303,-119.59638,0,146215
146129,Wade & Van Horne,49.49739,-119.58969,0,146129
146023,Ellis & Nanaimo,49.49925,-119.59051,0,146023
146232,Green & Paris,49.46293,-119.59058,0,146232
146152,Atkinson before Warren,49.4747,-119.58705,0,146152
146259,Duncan & Fairview,49.48351,-119.59472,0,146259
146261,Duncan & Hastings,49.48441,-119.59723,0,146261
146264,Duncan & Moosejaw,49.48549,-119.59868,0,146264
146204,Carmi & Halifax (Health Unit),49.48254,-119.57511,0,146204
146028,MacCleave & Carmi,49.48377,-119.57292,0,146028
146155,MacCleave & Steward,49.48393,-119.56896,0,146155
146206,MacCleave & Pine,49.48427,-119.56434,0,146206
146210,Columbia & MacCleave,49.48347,-119.55977,0,146210
146207,Carmi & Columbia,49.48284,-119.55911,0,146207
146251,Carmi & Bracewell,49.48216,-119.55467,0,146251
146126,Cleland & Dewdney,49.4824,-119.55294,0,146126
146125,Cleland & McLean,49.48434,-119.5527,0,146125
146124,Cleland 120 Blk,49.48586,-119.55409,0,146124
146209,Allison & Cleland,49.48637,-119.55621,0,146209
146117,Duncan & Columbia,49.48675,-119.5599,0,146117
146198,Duncan & Pine,49.48659,-119.56529,0,146198
146030,Duncan & Hwy 97 (OK College),49.48706,-119.60439,0,146030
146108,Duncan & Church,49.48538,-119.57518,0,146108
146044,Winnipeg & Nanaimo,49.4981,-119.59516,0,146044
146226,Westminster & Winnipeg,49.49955,-119.59705,0,146226
146224,Westminster & Lakeview,49.49916,-119.59878,0,146224
146223,Westminster & Maple,49.49836,-119.60246,0,146223
146260,Duncan & Fairview,49.48342,-119.59509,0,146260
146159,Atkinson & Huth,49.48119,-119.5892,0,146159
146238,Main & McDougall,49.47417,-119.58284,0,146238
146342,S Main 2575 Blk,49.46876,-119.58097,0,146342
146084,Main & Rosetown,49.47927,-119.58425,0,146084
146083,Main & Granby,49.48147,-119.58501,0,146083
146080,Main & Penticton,49.48702,-119.58686,0,146080
146078,Main & Nelson,49.48871,-119.58743,0,146078
146075,Main & Jermyn,49.49019,-119.58797,0,146075
146074,Main & Eckhardt,49.49222,-119.58897,0,146074
146109,Duncan & King,49.48501,-119.57709,0,146109
146107,Duncan & Church,49.48537,-119.5746,0,146107
146269,Duncan & Ridgedale,49.48649,-119.56893,0,146269
146081,Main & Carmi,49.48305,-119.58581,0,146081
146066,Skaha Lake Rd & Green,49.46369,-119.58751,0,146066
146146,Government & Duncan,49.48424,-119.57786,0,146146
146185,Yorkton & Skaha Lake,49.45661,-119.58631,0,146185
146069,Skaha Lake Rd & Yorkton,49.45689,-119.58729,0,146069
146070,Skaha Lake Rd & Guelph,49.45844,-119.58785,0,146070
146067,Skaha Lk Rd before Waterford,49.46021,-119.58844,0,146067
146230,Skaha Lk Rd after Waterford,49.46152,-119.58839,0,146230
146012,Conklin & Fairview,49.48646,-119.59216,0,146012
146174,Calgary & Fairview,49.48579,-119.59089,0,146174
146029,Duncan & Hwy 97 (OK College),49.48662,-119.60401,0,146029
146218,Moosejaw & Douglas,49.48643,-119.59983,0,146218
146039,Conklin & Moosejaw,49.48767,-119.59882,0,146039
146252,Conklin & Argyle,49.487,-119.59518,0,146252
146176,Calgary & Main,49.48575,-119.58768,0,146176
146189,Penticton Plaza,49.48384,-119.58698,0,146189
146100,Manitoba & Duncan,49.48397,-119.58172,0,146100
146102,Carmi & Leir,49.48259,-119.5795,0,146102
146064,Winnipeg & Fairview,49.48961,-119.59077,0,146064
146203,Lower Debeck & Rushberry,49.59101,-119.58867,0,146203
