stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
170003,Cowrie at Trail,49.47235,-123.75953,0,170003
918000,Sunshine Coast Garage,49.48694,-123.80213,0,918000
170006,Cowrie at Trail,49.47235,-123.75999,0,170006
170237,Trail at Sherlock,49.4757,-123.75898,0,170237
170238,Trail at Neptune,49.47734,-123.75968,0,170238
170239,Trail at Surf,49.47895,-123.76106,0,170239
170243,Trail at Marine,49.48167,-123.764,0,170243
170244,Trail at Turnstone,49.48257,-123.76699,0,170244
170245,Binnacle at Trail,49.48245,-123.77006,0,170245
170246,Spray at Reef,49.48644,-123.77048,0,170246
170247,Reef at Shoal,49.48827,-123.77055,0,170247
170249,Fairway at Shoal,49.48897,-123.77332,0,170249
118011,Fairway at Ripple,49.49201,-123.77321,0,118011
170251,Fairway at Beacon,49.49389,-123.77358,0,170251
118017,Harbour Way at Fairway,49.49569,-123.77401,0,118017
170265,Fairway at Ripple,49.49177,-123.77333,0,170265
170266,Reef at Driftwood,49.48744,-123.77068,0,170266
170267,Reef at Spray,49.48606,-123.77065,0,170267
170268,Marine at Heron,49.48424,-123.76933,0,170268
170241,Marine at Trail,49.48155,-123.76355,0,170241
170147,Lower at Pine,49.40587,-123.56424,0,170147
170148,Lower 1880 block,49.40576,-123.57237,0,170148
170145,Hwy 101 at 1380 block,49.40633,-123.54791,0,170145
118019,Hwy 101 at Oceanview,49.40598,-123.55744,0,118019
170321,Gibsons at Shaw,49.4068,-123.51968,0,170321
170132,Gibsons at Seamount,49.40674,-123.52537,0,170132
170040,Roberts Creek at Lower,49.42076,-123.64219,0,170040
170162,Beach at Edmonds,49.42046,-123.64613,0,170162
170104,Johnson at Forbes,49.43936,-123.47848,0,170104
170105,Wharf at Johnson,49.43724,-123.47842,0,170105
170114,Marine at Jacks,49.40261,-123.50419,0,170114
170077,Gower Point at Winn,49.40124,-123.50715,0,170077
170101,Langdale Ferry Terminal at Sunshine Coas,49.43359,-123.47496,0,170101
170102,Port Mellon 1530 block,49.43848,-123.47538,0,170102
170083,Gower Point at Glassford,49.39241,-123.51266,0,170083
170084,Gower Point at Blain,49.39368,-123.5127,0,170084
170169,Hwy 101 at Lockyer,49.43412,-123.66043,0,170169
170170,Hwy 101 at Pell,49.43749,-123.66385,0,170170
170180,Hwy 101 at Davis Bay,49.44385,-123.72841,0,170180
170181,Hwy 101 at Bay,49.44631,-123.72867,0,170181
170136,Chaster at Pratt,49.39232,-123.52951,0,170136
170137,Chaster 1180 block,49.39203,-123.53543,0,170137
118010,Ocean at Mermaid,49.47358,-123.76292,0,118010
170056,Hwy 101 at Oceanview,49.4059,-123.55785,0,170056
170057,Hwy 101 at 1380 block,49.40601,-123.54829,0,170057
170071,Gibsons at Farnham,49.40672,-123.51735,0,170071
170072,Gibsons at North,49.40679,-123.51301,0,170072
170041,Lower at Largo,49.42077,-123.638,0,170041
170042,Lower at Stephens,49.42038,-123.63119,0,170042
170090,Marine at Jacks,49.40276,-123.50383,0,170090
170091,Marine at Beach,49.40504,-123.50195,0,170091
170329,Hwy 101 at Flume,49.43407,-123.66054,0,170329
170032,Flume at Ike Lon Prom,49.43189,-123.66396,0,170032
170023,Hwy 101 at Davis Bay,49.44282,-123.72851,0,170023
170024,Hwy 101 at Westley,49.4413,-123.7269,0,170024
170001,Cowrie at Periwinkle,49.47233,-123.75564,0,170001
170319,Pratt at Chaster,49.3923,-123.5293,0,170319
170065,Pratt at Fraser,49.39476,-123.52938,0,170065
170073,Gibsons 740 block,49.40685,-123.50986,0,170073
170075,Gibsons at Seaview,49.40348,-123.50561,0,170075
170325,School at Gibsons,49.4022,-123.50561,0,170325
118018,Solar at Field,49.45271,-123.71063,0,118018
170177,Hwy 101 at Field,49.44032,-123.711,0,170177
118052,Field at Wilson,49.44689,-123.71031,0,118052
170103,Thompson at Forbes,49.44,-123.47596,0,170103
170107,Marine at Hopkins,49.42917,-123.48027,0,170107
170108,Marine 1210 block,49.42731,-123.48167,0,170108
