stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
144124,25 Ave & 18 St,50.26015,-119.25485,0,144124
144126,15 St & 21 Ave,50.25789,-119.25117,0,144126
144127,15 St & 14 Ave,50.25225,-119.25113,0,144127
144173,31 St & 16 Ave,50.25349,-119.27125,0,144173
144174,31 St & 21 Ave,50.2556,-119.27122,0,144174
144175,21 Ave & 31A St,50.25639,-119.27251,0,144175
144134,26 St & 24 Ave,50.25951,-119.26529,0,144134
144135,26 St & 25 Ave,50.26056,-119.2653,0,144135
144300,58 Ave & 2400 Block,50.28917,-119.26058,0,144300
144306,Anderson Way & 5600 Block,50.28863,-119.26756,0,144306
144309,29 St & 48 Ave,50.28126,-119.2701,0,144309
144065,29 St & 45 Ave,50.27873,-119.27012,0,144065
144107,Alexis Park & 39 Ave,50.26977,-119.28475,0,144107
144108,Alexis Park & 32 Ave,50.26567,-119.28438,0,144108
144002,Hwy 6 2600 block,50.25997,-119.26966,0,144002
144003,Kal Lake & 18 Ave,50.25442,-119.26261,0,144003
144004,Kal Lake & 11 Ave,50.25057,-119.26251,0,144004
144005,11 Ave & Kalamalka Lake,50.24951,-119.26182,0,144005
144261,McClounie 7800 block,50.22341,-119.2482,0,144261
144262,McClounie & Tassie,50.22167,-119.2482,0,144262
144023,Coldstream Creek & Cunliffe,50.2201,-119.25627,0,144023
144024,Cunliffe & Linden,50.22268,-119.25656,0,144024
144026,Kalamalka & Kalavista,50.22978,-119.26188,0,144026
144027,Kalamalka & Kalavista,50.23071,-119.26396,0,144027
144225,Pleasant Valley & Stickle,50.2977,-119.2528,0,144225
144286,Pleasant Valley & 48 Ave,50.28241,-119.25375,0,144286
144230,Hwy 97A & Creamery,50.45474,-119.16569,0,144230
144186,27 Ave & Alvaston,50.25659,-119.30852,0,144186
144187,Allenby & 27 Ave,50.25558,-119.31044,0,144187
144208,Lakeshore 27 20 blck,50.24545,-119.34525,0,144208
144209,Lakeshore 2630 blck,50.24335,-119.34342,0,144209
144211,Okanagan Landing 6880 blck,50.23967,-119.33753,0,144211
144301,Ok Landing & W Okanagan,50.24052,-119.33469,0,144301
144216,25 Ave 5310 block,50.25531,-119.30722,0,144216
144217,25 Ave 4900 block,50.25715,-119.30381,0,144217
144222,27 Ave & 39 St,50.26157,-119.28663,0,144222
144223,27 Ave & 37 St,50.26158,-119.28323,0,144223
144224,27 Ave & 35 St,50.26157,-119.28042,0,144224
144176,23 Ave & 33 St,50.25834,-119.27475,0,144176
144275,Downtown Exchange,50.26454,-119.27103,0,144275
144112,32 Ave & 27 St,50.26528,-119.26615,0,144112
144113,Pleasant Valley  3300 blck,50.2662,-119.26222,0,144113
144115,Pleasant Valley & 39 Ave,50.26957,-119.25979,0,144115
144053,39 Ave & Pleasant Valley,50.2701,-119.25827,0,144053
144116,39 Ave & 17 St,50.27007,-119.2543,0,144116
144118,12 St & 39 Ave,50.26987,-119.2478,0,144118
144120,35 Ave & 14 St,50.2675,-119.25026,0,144120
144121,35 Ave & 16 St,50.2675,-119.25208,0,144121
144122,32 Ave & 17 St,50.26542,-119.25454,0,144122
144123,18 St & 30 Ave,50.26458,-119.25537,0,144123
144128,Pottery & 18 St,50.25471,-119.25598,0,144128
144130,18 St & 23 Ave,50.25745,-119.25522,0,144130
144131,23 Ave & 21 St,50.25796,-119.25848,0,144131
144133,23 Ave & 26 St,50.25838,-119.26438,0,144133
144038,Downtown Exchange,50.26463,-119.27176,0,144038
144178,27 Ave & 35 St,50.26171,-119.28037,0,144178
144179,27 Ave & 37 St,50.26172,-119.28367,0,144179
144279,27th & 39th,50.26171,-119.28689,0,144279
144180,27 Ave & 41 St,50.2617,-119.29107,0,144180
144181,27 Ave & 42 St,50.26166,-119.29375,0,144181
144183,27 Ave 4500 block,50.26082,-119.29957,0,144183
144184,27 Ave 4800 block,50.2593,-119.30326,0,144184
144189,Allenby & Prospect,50.25888,-119.31097,0,144189
144310,Heritage Dr & Allenby Way,50.26066,-119.31041,0,144310
144311,Heritage Dr & Lardeau Way,50.2596,-119.30703,0,144311
144312,Heritage Dr & 5000 Block,50.26013,-119.30409,0,144312
144313,Heritage Dr & Bella Vista Rd,50.26239,-119.30146,0,144313
144250,Bella Vista & Allenby Way,50.26297,-119.30594,0,144250
144199,27 Ave & Allenby,50.25417,-119.31067,0,144199
144200,Okanagan Landing & OKeefe,50.25234,-119.31312,0,144200
144201,Okanagan Landing & Willow Park,50.24992,-119.31759,0,144201
144202,Tronson & Scott,50.24924,-119.32318,0,144202
144203,Palmer & Tronson,50.24883,-119.33238,0,144203
144204,Scott 6640 blk,50.24948,-119.33779,0,144204
144206,Tronson 6900 blck,50.24848,-119.34339,0,144206
144207,Lakeshore & Tronson,50.24845,-119.3477,0,144207
144210,Lakeshore & Okanagan Landing,50.23972,-119.34107,0,144210
144212,Okanagan Landing & Dallas,50.24508,-119.32622,0,144212
144213,Okanagan Landing 6120 blck,50.24739,-119.32194,0,144213
144214,Okanagan Landing 5870 blck,50.25016,-119.31678,0,144214
144215,Okanagan Landing & Fulton,50.25181,-119.31379,0,144215
144218,43 St & 25 Ave,50.25933,-119.29651,0,144218
144219,27 Ave & 43 St,50.2614,-119.29607,0,144219
144220,27 Ave & 42nd St,50.26152,-119.29374,0,144220
144221,27 Ave & 40 St,50.26156,-119.29056,0,144221
144111,30 Ave & 35 St,50.26374,-119.27851,0,144111
144074,"30 Ave, 3600 blk",50.26386,-119.28203,0,144074
144075,(-DCOM-) 30th & 37th,50.26385,-119.28446,0,144075
144248,30 Ave & 39th,50.26383,-119.28857,0,144248
144249,Bella Vista & Agnew,50.26289,-119.29985,0,144249
144193,Heritage & Bella Vista,50.26223,-119.3017,0,144193
144196,Heritage 5060 block,50.26004,-119.30482,0,144196
144197,(-DCOM-) Heritage & Lardeau,50.25969,-119.30693,0,144197
144190,Allenby & Heritage,50.26099,-119.31038,0,144190
144191,Allenby & Bella Vista,50.26211,-119.31017,0,144191
144251,Bella Vista & Crosby,50.26023,-119.31769,0,144251
144252,Bella Vista & Dunsmuir,50.25964,-119.32237,0,144252
144253,Bella Vista & Sunnyview,50.2578,-119.33182,0,144253
144254,Lakeridge & Bella Vista,50.25407,-119.34459,0,144254
144255,Lakeridge 7100 blck,50.25211,-119.35093,0,144255
144256,Lakeridge & Bella Vista,50.25244,-119.35414,0,144256
144257,Tronson & Bella Vista,50.2494,-119.35885,0,144257
144258,Tronson & Old Stamp Mill,50.25003,-119.35241,0,144258
144000,Downtown Exchange,50.26461,-119.27204,0,144000
144049,39 Ave & 26 St,50.27012,-119.26593,0,144049
144050,39 Ave & 25 St,50.27009,-119.26405,0,144050
144052,39 Ave & 22 St,50.27008,-119.26025,0,144052
144054,20 St 3900 block,50.27175,-119.25841,0,144054
144055,20 St & 43 Ave,50.27444,-119.25839,0,144055
144056,43 Ave & 18 St,50.27469,-119.2561,0,144056
144057,43 Ave 20 block,50.2747,-119.25284,0,144057
144058,Pleasant Valley & 16 St,50.27678,-119.25243,0,144058
