stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
2349,Legislature Terminal,48.419742,-123.369014,0,100002
2350,Legislature Terminal,48.419147,-123.368957,0,100003
2351,Superior at Gov't - Legislature Terminal,48.418298,-123.369365,0,100004
114406,Superior at Gov't - Legislature Terminal,48.418272,-123.368067,0,100006
2353,Superior at Menzies,48.418267,-123.372816,0,100008
2354,Hwy 17 at Haliburton,48.513956,-123.38447,0,100009
2355,Douglas at Courtney - Conference Ctr,48.422745,-123.365751,0,100010
2356,Menzies at Superior,48.417847,-123.37265,0,100011
2357,Douglas at Blanshard -  Royal BC Museum,48.419228,-123.365886,0,100012
2358,Menzies at Michigan,48.417173,-123.372823,0,100013
2359,Gordon Head at San Juan,48.479341,-123.307627,0,100014
2361,Sooke at Townsend - Sooke Town Ctr.,48.378338,-123.722015,0,100016
2362,Burdett at Douglas,48.42205,-123.365463,0,100017
2363,Sooke Rd 5250 block,48.389034,-123.642852,0,100018
2364,Douglas at Courtney - Conference Ctr,48.422735,-123.365966,0,100019
2365,Superior at Oswego,48.419398,-123.376049,0,100021
2366,Menzies at Michigan,48.416611,-123.373348,0,100022
2367,Fairfield at Blanshard - Bay B,48.421242,-123.363528,0,100024
2368,Fairfield at Blanshard - Bay A,48.421886,-123.364085,0,100025
2370,Fort at Wharf,48.424992,-123.369242,0,100028
2371,Legislature Terminal,48.418974,-123.368956,0,100029
2372,Oswego at Michigan,48.418745,-123.377128,0,100030
2373,Menzies at Simcoe,48.415557,-123.37371,0,100031
2374,Douglas at Fort,48.424372,-123.36532,0,100032
2375,Fort at Douglas,48.424501,-123.364585,0,100033
2376,Douglas at Fort,48.424963,-123.365354,0,100034
2377,Fairfield at Quadra,48.420212,-123.360755,0,100035
2378,Menzies at Simcoe,48.414966,-123.374486,0,100036
2379,Douglas at Avalon,48.414875,-123.366307,0,100037
2380,Fairfield at Quadra,48.420187,-123.361008,0,100039
2383,Douglas at View,48.425546,-123.365181,0,100042
2385,Oswego at St James,48.417064,-123.378957,0,100044
2386,Fort at Blanshard,48.424173,-123.361833,0,100045
2387,Douglas at Avalon,48.41358,-123.367281,0,100046
2388,Wharf at Yates,48.427092,-123.3705,0,100047
2389,Yates at Broad / Douglas,48.426441,-123.36571,0,100048
2390,Niagara at Menzies,48.413688,-123.375228,0,100049
2391,Government at Johnson,48.427226,-123.367245,0,100050
2392,Douglas at Yates / Johnson,48.426708,-123.364671,0,100051
2393,Niagara at Menzies,48.413576,-123.375286,0,100052
2394,Johnson at Wharf,48.427745,-123.369699,0,100053
2395,Niagara at Clarence,48.412992,-123.373751,0,100054
2396,Johnson at Broad,48.427253,-123.365627,0,100055
2397,Fairfield at Vancouver,48.418365,-123.358659,0,100056
2398,Niagara at Clarence,48.412821,-123.373666,0,100058
2401,Gorge at Millgrove,48.446604,-123.395005,0,100061
2402,Vancouver at Collinson,48.418887,-123.35822,0,100062
2403,Johnson at Douglas,48.427055,-123.363976,0,100063
2404,Fort at Quadra,48.423887,-123.359217,0,100064
2405,Niagara at Government,48.412243,-123.372112,0,100065
116846,Otter Point Road at Butler,48.394837,-123.772792,0,100067
2406,Yates at Quadra,48.425853,-123.360444,0,100068
2407,Quadra at View,48.424425,-123.35951,0,100069
2409,University Dr at Ring Rd,48.459773,-123.314519,0,100071
2410,Niagara at Government,48.411934,-123.371807,0,100072
2411,Fairfield at Vancouver,48.418377,-123.358013,0,100073
2413,Richardson at Vancouver,48.419964,-123.357486,0,100075
