stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
102456,Village Gate,50.11635,-122.95653,0,102456
102462,Library and Museum,50.11766,-122.958,0,102462
102466,Marketplace,50.11906,-122.9583,0,102466
102716,Gondola Transit Exchange,50.11323,-122.9522,0,102716
102454,Upper Village,50.11613,-122.94882,0,102454
102460,Chateau Blvd,50.11734,-122.94801,0,102460
102465,S.L.C.C. at Lorimer,50.11848,-122.94626,0,102465
102480,Four Seasons,50.11996,-122.94183,0,102480
102492,Villas Snowberry,50.12039,-122.93941,0,102492
102499,Blackcomb Greens,50.1206,-122.93821,0,102499
102508,Lost Lake Rd,50.12171,-122.93613,0,102508
102516,TREELINE,50.12217,-122.93413,0,102516
102522,Blackcomb Way Turnaround,50.12283,-122.93269,0,102522
102515,Lost Lake Lodge,50.1222,-122.93442,0,102515
102505,The Woods,50.12176,-122.93635,0,102505
102491,Fox Glove Villas,50.11989,-122.93883,0,102491
102485,Snowbird,50.11828,-122.94005,0,102485
102478,Painted Cliff at Spearhead,50.11709,-122.94077,0,102478
102476,Painted Cliff Rd Turnaround,50.11416,-122.94052,0,102476
102471,The Marquise,50.11671,-122.94229,0,102471
102473,Wildwood Lodge,50.118,-122.94277,0,102473
102484,Wintergeen Villas,50.11913,-122.94118,0,102484
102481,Chateau Golf Club,50.12011,-122.9428,0,102481
102468,S.L.C.C. at Lorimer,50.11889,-122.94585,0,102468
102463,Chateau Blvd,50.11798,-122.94739,0,102463
102453,Upper Village,50.11624,-122.94893,0,102453
102717,Gondola Transit Exchange,50.11314,-122.95191,0,102717
102479,Lorimer Rd,50.12098,-122.95859,0,102479
102496,Saint Andrews Way,50.12421,-122.96141,0,102496
102520,Myrtle Philip School,50.12732,-122.96456,0,102520
102526,Balsam Way,50.12635,-122.96758,0,102526
102528,Cedar Grove Ln,50.12583,-122.96897,0,102528
102525,Tapley Pl,50.12485,-122.97001,0,102525
102529,Cabapple Turnaround,50.1231,-122.97296,0,102529
102521,Beaver Ln,50.12325,-122.97133,0,102521
102497,Falcon Cres,50.11849,-122.96918,0,102497
102494,Ptarmigan Pl,50.1127,-122.97038,0,102494
102502,Saint Anton Way,50.11062,-122.97126,0,102502
102493,Brio Entrance,50.10948,-122.96816,0,102493
102483,Panorama Ridge,50.10995,-122.96476,0,102483
102455,Village Gate,50.11615,-122.95648,0,102455
102718,Gondola Transit Exchange,50.11321,-122.95164,0,102718
102450,Glacier Dr at Blackcomb Way,50.11432,-122.94873,0,102450
102452,Glacier Dr at Cedar Hollow,50.11187,-122.94818,0,102452
102457,Glacier Ln at Glacier Dr,50.11098,-122.94733,0,102457
102464,Glacier Staff Housing,50.10912,-122.948,0,102464
102458,Glacier Ln at Glacier Dr,50.11108,-122.94718,0,102458
102451,Glacier Dr at Cedar Hollow,50.11245,-122.94769,0,102451
102449,Glacier Dr at Blackcomb Way,50.11434,-122.94916,0,102449
102690,Bayly Park,50.07867,-123.04364,0,102690
102550,Cloudburst Dr at 1300 Blk,50.07712,-123.04273,0,102550
102548,Mount Fee Rd,50.07716,-123.03928,0,102548
102685,Whitewater Dr,50.0791,-123.03924,0,102685
102553,Legacy Way,50.0806,-123.04025,0,102553
102691,Cheakamus Lk Rd at Hwy 99,50.08619,-123.0367,0,102691
102673,Hwy 99 at Spring Creek Dr,50.08736,-123.02509,0,102673
102639,Alta Lake Rd,50.09051,-123.00546,0,102639
102632,Bayshore Dr,50.08991,-122.99992,0,102632
130003,Whistler Creekside - Hwy 99,50.0958,-122.99084,0,130003
102543,Hwy 99 at Nordic Dr,50.10344,-122.98093,0,102543
102523,Alta Vista,50.10736,-122.97529,0,102523
