stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
186018,Proctor St at 4th Ave N,52.13201,-122.1421,0,186018
186020,3rd Ave N at Borland St,52.13056,-122.14276,0,186020
186019,3rd Ave S at Yorston St,52.12764,-122.14257,0,186019
186021,Yorston St at 3rd Ave S,52.1266,-122.14179,0,186021
186022,4th Ave S at Oliver St,52.12802,-122.1402,0,186022
186024,8th Ave N at Borland St,52.12924,-122.13313,0,186024
186023,4th Ave S at Oliver St,52.12813,-122.14051,0,186023
186044,Yorston St at 3rd Ave S,52.12685,-122.1419,0,186044
186025,Borland St at Boitanio Park,52.12979,-122.13442,0,186025
186073,7th Ave N at Oliver St,52.12916,-122.13635,0,186073
186045,2nd Ave S at Yorston St,52.12736,-122.14373,0,186045
186046,2nd Ave N at Borland St,52.13013,-122.14367,0,186046
186047,2nd Ave N at Proctor St,52.13216,-122.14455,0,186047
186048,2nd Ave N at Cameron St,52.13341,-122.14545,0,186048
186049,2nd Ave N at Gibbon St,52.13791,-122.14955,0,186049
186050,2nd Ave N at Dodwell St,52.14087,-122.15235,0,186050
186051,2nd Ave N at Litzenburg Cres,52.14309,-122.1555,0,186051
186052,2nd Ave N at Boundary St,52.14396,-122.15757,0,186052
186053,1200 Blk 2nd Ave N,52.1457,-122.16001,0,186053
186054,Pine St at MacKenzie Ave N,52.14657,-122.16352,0,186054
186055,Maple St at MacKenzie Ave N,52.14734,-122.16653,0,186055
186056,2nd Ave N at Maple St,52.14752,-122.16542,0,186056
186057,Dairy Rd at 3rd Ave N,52.14678,-122.15948,0,186057
186058,Dairy Rd at Oak Pl,52.14905,-122.15944,0,186058
186059,Midnight Dr at Atwood Pl,52.15054,-122.15739,0,186059
186060,Western Ave at Midnight Dr,52.15106,-122.1562,0,186060
186061,Blair St at Western Ave,52.14907,-122.15273,0,186061
186062,11th Ave N at Blair St,52.15041,-122.14944,0,186062
186063,11th Ave N at 12th Ave N,52.14757,-122.14577,0,186063
186064,11th Ave N at Kinsmen Park,52.14542,-122.1429,0,186064
186065,Huston St at 10th Ave N,52.14376,-122.14237,0,186065
186066,Western Ave at Pigeon Ave,52.14397,-122.14588,0,186066
186067,Pigeon Ave at Patenaude Dr,52.14253,-122.14863,0,186067
186068,Pigeon Ave at Broughton Pl,52.14051,-122.14909,0,186068
186069,4th Ave N at McDougall Ave,52.13967,-122.14776,0,186069
186070,4th Ave N at Gibbon St,52.13781,-122.14642,0,186070
186071,4th Ave N at Comer St,52.13571,-122.14444,0,186071
186072,4th Ave N at Proctor St,52.13266,-122.142,0,186072
186001,Broadway Ave S at Signal Point Rd,52.12245,-122.09719,0,186001
186012,Broadway Ave S at Tourist Discovery Ctr,52.12248,-122.09888,0,186012
186011,1600 Blk Broadway Ave S,52.12248,-122.10159,0,186011
186010,Broadway Ave S at Exshaw Cres,52.12267,-122.10562,0,186010
186009,Broadway Ave S at Rowat Rd,52.12341,-122.11239,0,186009
186008,Broadway Ave S at Coleman Rd,52.12436,-122.11622,0,186008
186007,Broadway Ave S at Lakeview Cres,52.12647,-122.12383,0,186007
186006,Lakeview Ave at Windmill Cres,52.12827,-122.12685,0,186006
186002,Lakeview Ave at Summit St,52.13085,-122.12857,0,186002
186005,Broadway Ave N at Windmill Cres,52.13214,-122.13043,0,186005
186004,Broadway Ave N at Carson Dr,52.13761,-122.13481,0,186004
186074,Broadway Ave N at Hubble Rd,52.13996,-122.1346,0,186074
186003,11th Ave N at Smedley St,52.14227,-122.13801,0,186003
186013,Smedley St at 10th Ave N,52.14188,-122.13991,0,186013
186014,9th Ave N at Smedley St,52.14097,-122.14024,0,186014
186015,9th Ave N at McKinnon Rd,52.13852,-122.13679,0,186015
186016,Carson Dr at Lake City Secondary,52.13563,-122.1386,0,186016
186017,5th Ave N at Proctor St,52.13255,-122.14051,0,186017
186026,Hwy 20 at Fairview Dr,52.11262,-122.14338,0,186026
186027,Westridge Dr at Eagle Cres,52.1165,-122.16077,0,186027
186028,100 Blk Westridge Dr,52.11832,-122.15959,0,186028
186029,Hodgson Rd at Dog Creek Rd,52.11173,-122.14894,0,186029
186030,Wotzke Dr at Terra Ridge,52.11155,-122.14151,0,186030
186031,300 Blk Hodgson Rd,52.11326,-122.13745,0,186031
186032,S Lakeside Dr at Hodgson Rd,52.11636,-122.13053,0,186032
186033,1200 Blk Prosperity Way,52.11361,-122.12538,0,186033
186034,1200 Blk Prosperity Way,52.11341,-122.1223,0,186034
186035,1400 Blk S Lakeside Dr,52.11283,-122.11444,0,186035
186036,S Lakeside Dr at Paxton Rd,52.11207,-122.10719,0,186036
186037,Juniper St at Birch Hill Rd,52.10891,-122.10338,0,186037
186038,Juniper St at Holly St,52.10866,-122.09688,0,186038
186039,1800 Blk Renner Rd,52.10972,-122.09332,0,186039
186040,S Lakeside Dr at Renner Rd,52.11101,-122.09337,0,186040
186041,1600 Blk S Lakeside Dr,52.11116,-122.10174,0,186041
186042,S Lakeside Dr at Paxton Rd,52.11243,-122.10741,0,186042
186043,S Lakeside Dr at Hodgson Rd,52.11671,-122.13056,0,186043
186000,Sugar Cane Band Office,52.10835,-121.99195,0,186000
986000,Williams Lake Transit Centre,52.16798,-122.16336,0,986000
