trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2252415:1961785:1978423,12:35:00,12:35:00,112038,1,0,,0,0,1
2252415:1961785:1978423,12:36:00,12:36:00,112036,2,473,,0,0,0
2252415:1961785:1978423,12:36:00,12:36:00,112034,3,797,,0,0,0
2252415:1961785:1978423,12:37:00,12:37:00,112035,4,1352,,0,0,0
2252415:1961785:1978423,12:38:00,12:38:00,112037,5,1918,,0,0,0
2252415:1961785:1978423,12:39:00,12:39:00,110969,6,2505,,0,0,0
2252415:1961785:1978423,12:40:00,12:40:00,110936,7,2974,,0,0,0
2252415:1961785:1978423,12:40:00,12:40:00,110923,8,3335,,0,0,0
2252415:1961785:1978423,12:41:00,12:41:00,110924,9,3683,,0,0,0
2252415:1961785:1978423,12:41:00,12:41:00,112045,10,4035,,0,0,0
2252415:1961785:1978423,12:42:00,12:42:00,112044,11,4398,,0,0,0
2252415:1961785:1978423,12:42:00,12:42:00,112046,12,4689,,0,0,0
2252415:1961785:1978423,12:43:00,12:43:00,110800,13,5258,,0,0,0
2252415:1961785:1978423,12:44:00,12:44:00,112000,14,5886,,0,0,1
2252415:1961785:1978423,12:47:00,12:47:00,112123,15,7518,,0,0,0
2252415:1961785:1978423,12:47:00,12:47:00,110802,16,8019,,0,0,0
2252415:1961785:1978423,12:47:00,12:47:00,112122,17,8167,,0,0,0
2252415:1961785:1978423,12:48:00,12:48:00,110994,18,8482,,0,0,0
2252415:1961785:1978423,12:48:00,12:48:00,110805,19,8781,,0,0,0
2252415:1961785:1978423,12:49:00,12:49:00,110806,20,9294,,0,0,0
2252415:1961785:1978423,12:50:00,12:50:00,110807,21,9822,,0,0,0
2252415:1961785:1978423,12:51:00,12:51:00,110808,22,10240,,0,0,0
2252415:1961785:1978423,12:51:00,12:51:00,110809,23,10427,,0,0,0
2252415:1961785:1978423,12:51:00,12:51:00,110810,24,10811,,0,0,0
2252415:1961785:1978423,12:52:00,12:52:00,112027,25,11103,,0,0,0
2252415:1961785:1978423,12:52:00,12:52:00,112025,26,11567,,0,0,0
2252415:1961785:1978423,12:53:00,12:53:00,112028,27,11928,,0,0,1
2252415:1961785:1978423,12:54:00,12:54:00,111006,28,12260,,0,0,0
2252415:1961785:1978423,12:55:00,12:55:00,110852,29,12520,,0,0,0
2252415:1961785:1978423,12:56:00,12:56:00,110853,30,12771,,0,0,0
2252415:1961785:1978423,12:58:00,12:58:00,110854,31,13189,,0,0,0
2252415:1961785:1978423,12:58:00,12:58:00,112090,32,13377,,0,0,0
2252415:1961785:1978423,12:59:00,12:59:00,110855,33,13616,,0,0,0
2252415:1961785:1978423,13:00:00,13:00:00,110856,34,13791,,0,0,0
2252415:1961785:1978423,13:03:00,13:03:00,112097,35,14578,,0,0,1
2252413:1961799:1977678,12:30:00,12:30:00,111001,1,0,,0,0,1
2252413:1961799:1977678,12:31:00,12:31:00,110814,2,462,,0,0,0
2252413:1961799:1977678,12:31:00,12:31:00,110815,3,920,,0,0,0
2252413:1961799:1977678,12:32:00,12:32:00,110816,4,1516,,0,0,0
2252413:1961799:1977678,12:33:00,12:33:00,110817,5,2007,,0,0,0
2252413:1961799:1977678,12:34:00,12:34:00,110818,6,2408,,0,0,0
2252413:1961799:1977678,12:35:00,12:35:00,110819,7,2829,,0,0,0
2252413:1961799:1977678,12:35:00,12:35:00,112138,8,3248,,0,0,0
2252413:1961799:1977678,12:36:00,12:36:00,110820,9,3441,,0,0,0
2252413:1961799:1977678,12:37:00,12:37:00,110821,10,4089,,0,0,0
2252413:1961799:1977678,12:37:00,12:37:00,110822,11,4396,,0,0,0
2252413:1961799:1977678,12:38:00,12:38:00,110823,12,4747,,0,0,0
2252413:1961799:1977678,12:38:00,12:38:00,110824,13,5274,,0,0,0
2252413:1961799:1977678,12:39:00,12:39:00,110825,14,5717,,0,0,0
2252413:1961799:1977678,12:39:00,12:39:00,110988,15,5905,,0,0,0
2252413:1961799:1977678,12:40:00,12:40:00,110961,16,6391,,0,0,0
2252413:1961799:1977678,12:41:00,12:41:00,110925,17,6982,,0,0,0
2252413:1961799:1977678,12:42:00,12:42:00,110926,18,7408,,0,0,0
2252413:1961799:1977678,12:42:00,12:42:00,110975,19,7630,,0,0,0
2252413:1961799:1977678,12:43:00,12:43:00,112038,20,8060,,0,0,1
2252297:1961888:1978295,11:40:00,11:40:00,112097,1,0,,0,0,1
2252297:1961888:1978295,11:41:00,11:41:00,112022,2,290,,0,0,0
2252297:1961888:1978295,11:42:00,11:42:00,112118,3,661,,0,0,0
2252297:1961888:1978295,11:43:00,11:43:00,111009,4,1112,,0,0,0
