trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2302937:5568291:5572359,12:30:00,12:30:00,191004,1,0,,0,0,1
2302937:5568291:5572359,12:31:00,12:31:00,191005,2,386,,0,0,0
2302937:5568291:5572359,12:31:00,12:31:00,191006,3,849,,0,0,0
2302937:5568291:5572359,12:32:00,12:32:00,191007,4,1132,,0,0,0
2302937:5568291:5572359,12:32:00,12:32:00,191000,5,1420,,0,0,1
2302937:5568291:5572359,12:42:00,12:42:00,190102,6,11472,,0,0,0
2302937:5568291:5572359,12:46:00,12:46:00,190105,7,15215,,0,0,0
2302937:5568291:5572359,12:46:00,12:46:00,190108,8,15735,,0,0,0
2302937:5568291:5572359,12:47:00,12:47:00,190050,9,16263,,0,0,1
2302937:5568291:5572359,12:48:00,12:48:00,190047,10,16708,,0,0,0
2302937:5568291:5572359,12:49:00,12:49:00,190101,11,17107,,0,0,0
2302937:5568291:5572359,12:49:00,12:49:00,190043,12,17245,,0,0,0
2302937:5568291:5572359,12:50:00,12:50:00,190018,13,17625,,0,0,0
2302937:5568291:5572359,12:50:00,12:50:00,190042,14,17704,,0,0,1
2302832:5568292:5572402,07:40:00,07:40:00,190042,1,0,,0,0,1
2302832:5568292:5572402,07:41:00,07:41:00,190044,2,278,,0,0,0
2302832:5568292:5572402,07:42:00,07:42:00,190092,3,698,,0,0,0
2302832:5568292:5572402,07:43:00,07:43:00,190093,4,943,,0,0,0
2302832:5568292:5572402,07:44:00,07:44:00,190094,5,1191,,0,0,0
2302832:5568292:5572402,07:45:00,07:45:00,190095,6,1525,,0,0,1
2302832:5568292:5572402,07:47:00,07:47:00,190096,7,2096,,0,0,0
2302832:5568292:5572402,07:48:00,07:48:00,190097,8,2355,,0,0,0
2302832:5568292:5572402,07:49:00,07:49:00,190098,9,2705,,0,0,0
2302832:5568292:5572402,07:50:00,07:50:00,190099,10,2974,,0,0,0
2302832:5568292:5572402,07:50:00,07:50:00,190100,11,3184,,0,0,0
2302832:5568292:5572402,07:51:00,07:51:00,190101,12,3501,,0,0,0
2302832:5568292:5572402,07:52:00,07:52:00,190043,13,3639,,0,0,0
2302832:5568292:5572402,07:53:00,07:53:00,190018,14,4019,,0,0,1
2303121:5568307:5572316,12:10:00,12:10:00,190042,1,0,,0,0,1
2303121:5568307:5572316,12:11:00,12:11:00,190044,2,278,,0,0,0
2303121:5568307:5572316,12:12:00,12:12:00,190046,3,771,,0,0,0
2303121:5568307:5572316,12:12:00,12:12:00,190048,4,979,,0,0,0
2303121:5568307:5572316,12:13:00,12:13:00,190049,5,1302,,0,0,1
2303121:5568307:5572316,12:14:00,12:14:00,190051,6,1861,,0,0,0
2303121:5568307:5572316,12:15:00,12:15:00,190052,7,2343,,0,0,0
2303121:5568307:5572316,12:15:00,12:15:00,190053,8,2520,,0,0,1
2303121:5568307:5572316,12:27:00,12:27:00,191000,9,16071,,0,0,1
2303121:5568307:5572316,12:28:00,12:28:00,191001,10,16432,,0,0,0
2303121:5568307:5572316,12:28:00,12:28:00,191002,11,16772,,0,0,0
2303121:5568307:5572316,12:29:00,12:29:00,191003,12,17215,,0,0,0
2303121:5568307:5572316,12:30:00,12:30:00,191004,13,17574,,0,0,1
2302982:5568330:5572337,18:45:00,18:45:00,190019,1,0,,0,0,1
2302982:5568330:5572337,18:46:00,18:46:00,190020,2,198,,0,0,0
2302982:5568330:5572337,18:47:00,18:47:00,190091,3,548,,0,0,1
2302982:5568330:5572337,18:47:00,18:47:00,190021,4,699,,0,0,0
2302982:5568330:5572337,18:48:00,18:48:00,190023,5,874,,0,0,0
2302982:5568330:5572337,18:49:00,18:49:00,190027,6,1409,,0,0,1
2302982:5568330:5572337,18:49:00,18:49:00,190029,7,1617,,0,0,0
2302982:5568330:5572337,18:50:00,18:50:00,190031,8,1781,,0,0,0
2302982:5568330:5572337,18:50:00,18:50:00,190032,9,2069,,0,0,0
2302982:5568330:5572337,18:51:00,18:51:00,190033,10,2329,,0,0,0
2302982:5568330:5572337,18:51:00,18:51:00,190034,11,2557,,0,0,0
2302982:5568330:5572337,18:52:00,18:52:00,190035,12,2875,,0,0,1
2302982:5568330:5572337,18:52:00,18:52:00,190036,13,3042,,0,0,0
2302982:5568330:5572337,18:53:00,18:53:00,190037,14,3346,,0,0,0
2302982:5568330:5572337,18:54:00,18:54:00,190038,15,3581,,0,0,0
2302982:5568330:5572337,18:54:00,18:54:00,190039,16,3807,,0,0,0
2302982:5568330:5572337,18:55:00,18:55:00,190040,17,3978,,0,0,0
2302982:5568330:5572337,18:55:00,18:55:00,190030,18,4167,,0,0,1
2302982:5568330:5572337,18:56:00,18:56:00,190028,19,4511,,0,0,0
2302982:5568330:5572337,18:57:00,18:57:00,190025,20,4714,,0,0,1
2302982:5568330:5572337,18:59:00,18:59:00,190024,21,5259,,0,0,0
2302982:5568330:5572337,18:59:00,18:59:00,190022,22,5412,,0,0,1
2302982:5568330:5572337,19:02:00,19:02:00,190041,23,5967,,0,0,0
2302982:5568330:5572337,19:03:00,19:03:00,190042,24,6173,,0,0,1
2302935:5568332:5572359,07:10:00,07:10:00,190042,1,0,,0,0,1
2302935:5568332:5572359,07:11:00,07:11:00,190044,2,278,,0,0,0
2302935:5568332:5572359,07:12:00,07:12:00,190046,3,771,,0,0,0
2302935:5568332:5572359,07:12:00,07:12:00,190048,4,979,,0,0,0
2302935:5568332:5572359,07:13:00,07:13:00,190049,5,1302,,0,0,1
2302935:5568332:5572359,07:14:00,07:14:00,190051,6,1861,,0,0,0
2302935:5568332:5572359,07:15:00,07:15:00,190052,7,2343,,0,0,0
2302935:5568332:5572359,07:15:00,07:15:00,190053,8,2520,,0,0,1
2302935:5568332:5572359,07:27:00,07:32:00,191000,9,16071,,0,0,1
2302935:5568332:5572359,07:33:00,07:33:00,191001,10,16432,,0,0,0
2302935:5568332:5572359,07:33:00,07:33:00,191002,11,16772,,0,0,0
2302935:5568332:5572359,07:34:00,07:34:00,191003,12,17215,,0,0,0
2302935:5568332:5572359,07:35:00,07:35:00,191004,13,17574,,0,0,1
2303130:5568346:5572378,12:00:00,12:00:00,190042,1,0,,0,0,1
2303130:5568346:5572378,12:01:00,12:01:00,190044,2,278,,0,0,0
2303130:5568346:5572378,12:02:00,12:02:00,190046,3,771,,0,0,0
2303130:5568346:5572378,12:02:00,12:02:00,190048,4,979,,0,0,0
2303130:5568346:5572378,12:03:00,12:03:00,190049,5,1302,,0,0,1
2303130:5568346:5572378,12:05:00,12:05:00,190051,6,1861,,0,0,0
2303130:5568346:5572378,12:07:00,12:07:00,190052,7,2343,,0,0,0
2303130:5568346:5572378,12:07:00,12:07:00,190053,8,2520,,0,0,0
2303130:5568346:5572378,12:08:00,12:08:00,190054,9,2664,,0,0,0
2303130:5568346:5572378,12:09:00,12:09:00,190055,10,3051,,0,0,0
2303130:5568346:5572378,12:13:00,12:13:00,190057,11,4146,,0,0,0
2303130:5568346:5572378,12:14:00,12:14:00,190058,12,4403,,0,0,0
2303130:5568346:5572378,12:15:00,12:15:00,190059,13,4684,,0,0,1
2303130:5568346:5572378,12:16:00,12:16:00,190060,14,5090,,0,0,0
2303130:5568346:5572378,12:16:00,12:16:00,190061,15,5356,,0,0,0
2303130:5568346:5572378,12:17:00,12:17:00,190062,16,5515,,0,0,0
2303130:5568346:5572378,12:17:00,12:17:00,190063,17,5796,,0,0,0
2303130:5568346:5572378,12:18:00,12:18:00,190064,18,6088,,0,0,1
2303130:5568346:5572378,12:19:00,12:19:00,190065,19,6299,,0,0,0
2303130:5568346:5572378,12:19:00,12:19:00,190066,20,6549,,0,0,0
2303130:5568346:5572378,12:20:00,12:20:00,190067,21,6894,,0,0,0
2303130:5568346:5572378,12:21:00,12:21:00,190068,22,7105,,0,0,0
2303130:5568346:5572378,12:22:00,12:22:00,190069,23,7452,,0,0,0
2303130:5568346:5572378,12:23:00,12:23:00,190050,24,7924,,0,0,1
2303130:5568346:5572378,12:25:00,12:25:00,190047,25,8369,,0,0,0
2303130:5568346:5572378,12:26:00,12:26:00,190101,26,8768,,0,0,0
2303130:5568346:5572378,12:26:00,12:26:00,190043,27,8906,,0,0,0
2303130:5568346:5572378,12:28:00,12:28:00,190042,28,9347,,0,0,1
2302822:5568354:5572427,09:10:00,09:10:00,190042,1,0,,0,0,1
2302822:5568354:5572427,09:11:00,09:11:00,190044,2,278,,0,0,0
2302822:5568354:5572427,09:12:00,09:12:00,190046,3,771,,0,0,0
2302822:5568354:5572427,09:12:00,09:12:00,190048,4,979,,0,0,0
2302822:5568354:5572427,09:13:00,09:13:00,190049,5,1302,,0,0,1
2302822:5568354:5572427,09:14:00,09:14:00,190051,6,1861,,0,0,0
2302822:5568354:5572427,09:15:00,09:15:00,190052,7,2343,,0,0,0
2302822:5568354:5572427,09:15:00,09:15:00,190053,8,2520,,0,0,1
2302822:5568354:5572427,09:27:00,09:27:00,191000,9,16071,,0,0,1
2302822:5568354:5572427,09:28:00,09:28:00,191001,10,16432,,0,0,0
2302822:5568354:5572427,09:28:00,09:28:00,191002,11,16772,,0,0,0
2302822:5568354:5572427,09:29:00,09:29:00,191003,12,17215,,0,0,0
2302822:5568354:5572427,09:30:00,09:30:00,191004,13,17574,,0,0,1
2303156:5568369:5572282,10:00:00,10:00:00,190019,1,0,,0,0,1
2303156:5568369:5572282,10:01:00,10:01:00,190070,2,269,,0,0,0
2303156:5568369:5572282,10:02:00,10:02:00,190071,3,484,,0,0,1
2303156:5568369:5572282,10:03:00,10:03:00,190072,4,851,,0,0,0
2303156:5568369:5572282,10:03:00,10:03:00,190073,5,1069,,0,0,0
2303156:5568369:5572282,10:03:00,10:03:00,190087,6,1233,,0,0,0
2303156:5568369:5572282,10:04:00,10:04:00,190088,7,1512,,0,0,1
2303156:5568369:5572282,10:06:00,10:06:00,190039,8,2075,,0,0,0
