trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2293408:5412972:5417987,18:10:00,18:10:00,195009,1,0,,0,0,1
2293408:5412972:5417987,18:11:00,18:11:00,195010,2,536,,0,0,0
2293408:5412972:5417987,18:40:00,18:40:00,195007,3,31205,,0,0,0
2293408:5412972:5417987,18:41:00,18:41:00,195006,4,32358,,0,0,1
2293406:5413024:5417999,08:10:00,08:10:00,195009,1,0,,0,0,1
2293406:5413024:5417999,08:11:00,08:11:00,195010,2,536,,0,0,0
2293406:5413024:5417999,08:40:00,08:40:00,195007,3,31205,,0,0,0
2293406:5413024:5417999,08:41:00,08:41:00,195006,4,32358,,0,0,1
2258373:5413060:5417999,09:10:00,09:10:00,185039,1,0,,0,0,1
2258373:5413060:5417999,09:12:00,09:12:00,185050,2,1402,,0,0,0
2258373:5413060:5417999,09:15:00,09:15:00,185038,3,2963,,0,0,1
2258373:5413060:5417999,09:16:00,09:16:00,185047,4,4059,,0,0,0
2258373:5413060:5417999,09:22:00,09:22:00,185045,5,11582,,0,0,1
2258373:5413060:5417999,09:27:00,09:27:00,195011,6,15356,,0,0,0
2258373:5413060:5417999,09:28:00,09:28:00,195000,7,16377,,0,0,0
2258373:5413060:5417999,09:29:00,09:29:00,195002,8,17208,,0,0,1
2258373:5413060:5417999,09:31:00,09:31:00,195006,9,17764,,0,0,1
2258376:5413187:5417892,15:25:00,15:25:00,195006,1,0,,0,0,1
2258376:5413187:5417892,15:26:00,15:26:00,195003,2,339,,0,0,1
2258376:5413187:5417892,15:27:00,15:27:00,195001,3,1124,,0,0,0
2258376:5413187:5417892,15:32:00,15:32:00,185046,4,5864,,0,0,1
2258376:5413187:5417892,15:39:00,15:39:00,185048,5,13401,,0,0,0
2258376:5413187:5417892,15:39:00,15:39:00,185044,6,13892,,0,0,0
2258376:5413187:5417892,15:40:00,15:40:00,185038,7,14565,,0,0,1
2258376:5413187:5417892,15:46:00,15:46:00,185051,8,16738,,0,0,1
2258376:5413187:5417892,15:55:00,15:55:00,185039,9,20396,,0,0,1
2258394:5413447:5417915,13:05:00,13:05:00,195006,1,0,,0,0,1
2258394:5413447:5417915,13:06:00,13:06:00,195003,2,339,,0,0,1
2258394:5413447:5417915,13:07:00,13:07:00,195001,3,1124,,0,0,0
2258394:5413447:5417915,13:12:00,13:12:00,185046,4,5864,,0,0,1
2258394:5413447:5417915,13:19:00,13:19:00,185048,5,13401,,0,0,0
2258394:5413447:5417915,13:19:00,13:19:00,185044,6,13892,,0,0,0
2258394:5413447:5417915,13:20:00,13:20:00,185038,7,14565,,0,0,1
2258394:5413447:5417915,13:25:00,13:25:00,185039,8,16936,,0,0,1
2258371:5413515:5417841,08:20:00,08:20:00,185039,1,0,,0,0,1
2258371:5413515:5417841,08:22:00,08:22:00,185050,2,1402,,0,0,0
2258371:5413515:5417841,08:25:00,08:25:00,185038,3,2963,,0,0,1
2258371:5413515:5417841,08:26:00,08:26:00,185047,4,4059,,0,0,0
2258371:5413515:5417841,08:32:00,08:32:00,185045,5,11582,,0,0,1
2258371:5413515:5417841,08:37:00,08:37:00,195011,6,15356,,0,0,0
2258371:5413515:5417841,08:38:00,08:38:00,195000,7,16377,,0,0,0
2258371:5413515:5417841,08:39:00,08:39:00,195002,8,17208,,0,0,1
2258371:5413515:5417841,08:41:00,08:41:00,195006,9,17764,,0,0,1
2258399:5413652:5417915,13:25:00,13:25:00,185039,1,0,,0,0,1
2258399:5413652:5417915,13:27:00,13:27:00,185050,2,1402,,0,0,0
2258399:5413652:5417915,13:30:00,13:30:00,185038,3,2963,,0,0,1
2258399:5413652:5417915,13:31:00,13:31:00,185047,4,4059,,0,0,0
2258399:5413652:5417915,13:37:00,13:37:00,185045,5,11582,,0,0,1
2258399:5413652:5417915,13:42:00,13:42:00,195011,6,15356,,0,0,0
2258399:5413652:5417915,13:43:00,13:43:00,195000,7,16377,,0,0,0
2258399:5413652:5417915,13:44:00,13:44:00,195002,8,17208,,0,0,1
2258399:5413652:5417915,13:46:00,13:46:00,195006,9,17764,,0,0,1
2293505:5413679:5417915,10:05:00,10:05:00,195009,1,0,,0,0,1
2293505:5413679:5417915,10:06:00,10:06:00,195010,2,536,,0,0,0
2293505:5413679:5417915,10:35:00,10:35:00,195007,3,31205,,0,0,0
2293505:5413679:5417915,10:36:00,10:36:00,195006,4,32358,,0,0,1
2258387:5413704:5417892,16:00:00,16:00:00,185039,1,0,,0,0,1
2258387:5413704:5417892,16:02:00,16:02:00,185050,2,1402,,0,0,0
2258387:5413704:5417892,16:05:00,16:05:00,185038,3,2963,,0,0,1
2258387:5413704:5417892,16:06:00,16:06:00,185047,4,4059,,0,0,0
2258387:5413704:5417892,16:12:00,16:12:00,185045,5,11582,,0,0,1
2258387:5413704:5417892,16:17:00,16:17:00,195011,6,15356,,0,0,0
2258387:5413704:5417892,16:18:00,16:18:00,195000,7,16377,,0,0,0
2258387:5413704:5417892,16:19:00,16:19:00,195002,8,17208,,0,0,1
2258387:5413704:5417892,16:22:00,16:22:00,123456,9,18123,,1,1,0
2258387:5413704:5417892,16:24:00,16:24:00,195006,10,18813,,0,0,1
2293506:5413720:5417915,09:23:00,09:23:00,195006,1,0,,0,0,1
2293506:5413720:5417915,09:25:00,09:25:00,195008,2,1463,,0,0,0
2293506:5413720:5417915,09:57:00,09:57:00,195010,3,31997,,0,0,0
2293506:5413720:5417915,10:01:00,10:01:00,195009,4,35890,,0,0,1
2258378:5414027:5417892,17:00:00,17:00:00,185039,1,0,,0,0,1
2258378:5414027:5417892,17:02:00,17:02:00,185050,2,1402,,0,0,0
2258378:5414027:5417892,17:05:00,17:05:00,185038,3,2963,,0,0,1
2258378:5414027:5417892,17:06:00,17:06:00,185047,4,4059,,0,0,0
2258378:5414027:5417892,17:12:00,17:12:00,185045,5,11582,,0,0,1
2258378:5414027:5417892,17:17:00,17:17:00,195011,6,15356,,0,0,0
2258378:5414027:5417892,17:18:00,17:18:00,195000,7,16377,,0,0,0
2258378:5414027:5417892,17:19:00,17:19:00,195002,8,17208,,0,0,1
2258378:5414027:5417892,17:22:00,17:22:00,123456,9,18123,,1,1,0
2258378:5414027:5417892,17:24:00,17:24:00,195006,10,18813,,0,0,1
2258377:5414047:5417892,16:30:00,16:30:00,195006,1,0,,0,0,1
2258377:5414047:5417892,16:31:00,16:31:00,195003,2,339,,0,0,1
2258377:5414047:5417892,16:32:00,16:32:00,195001,3,1124,,0,0,0
2258377:5414047:5417892,16:37:00,16:37:00,185046,4,5864,,0,0,1
2258377:5414047:5417892,16:44:00,16:44:00,185048,5,13401,,0,0,0
2258377:5414047:5417892,16:44:00,16:44:00,185044,6,13892,,0,0,0
2258377:5414047:5417892,16:45:00,16:45:00,185038,7,14565,,0,0,1
2258377:5414047:5417892,16:50:00,16:50:00,185039,8,16936,,0,0,1
2258374:5414154:5418112,13:15:00,13:15:00,195006,1,0,,0,0,1
2258374:5414154:5418112,13:16:00,13:16:00,195003,2,339,,0,0,1
2258374:5414154:5418112,13:17:00,13:17:00,195001,3,1124,,0,0,0
2258374:5414154:5418112,13:22:00,13:22:00,185046,4,5864,,0,0,1
2258374:5414154:5418112,13:29:00,13:29:00,185048,5,13401,,0,0,0
2258374:5414154:5418112,13:29:00,13:29:00,185044,6,13892,,0,0,0
2258374:5414154:5418112,13:30:00,13:30:00,185038,7,14565,,0,0,1
2258374:5414154:5418112,13:35:00,13:35:00,185039,8,16936,,0,0,1
2258379:5414659:5417892,17:25:00,17:25:00,195006,1,0,,0,0,1
2258379:5414659:5417892,17:26:00,17:26:00,195003,2,339,,0,0,1
2258379:5414659:5417892,17:27:00,17:27:00,195001,3,1124,,0,0,0
2258379:5414659:5417892,17:32:00,17:32:00,185046,4,5864,,0,0,1
2258379:5414659:5417892,17:39:00,17:39:00,185048,5,13401,,0,0,0
2258379:5414659:5417892,17:39:00,17:39:00,185044,6,13892,,0,0,0
2258379:5414659:5417892,17:40:00,17:40:00,185038,7,14565,,0,0,1
2258379:5414659:5417892,17:45:00,17:45:00,185039,8,16936,,0,0,1
2258389:5414705:5417999,10:00:00,10:00:00,185039,1,0,,0,0,1
2258389:5414705:5417999,10:02:00,10:02:00,185050,2,1402,,0,0,0
2258389:5414705:5417999,10:08:00,10:08:00,185051,3,4534,,0,0,1
2258389:5414705:5417999,10:13:00,10:13:00,185038,4,6423,,0,0,1
2258389:5414705:5417999,10:14:00,10:14:00,185047,5,7519,,0,0,0
2258389:5414705:5417999,10:20:00,10:20:00,185045,6,15042,,0,0,1
2258389:5414705:5417999,10:25:00,10:25:00,195011,7,18816,,0,0,0
2258389:5414705:5417999,10:26:00,10:26:00,195000,8,19837,,0,0,0
2258389:5414705:5417999,10:27:00,10:27:00,195002,9,20668,,0,0,1
2258389:5414705:5417999,10:29:00,10:29:00,195006,10,21224,,0,0,1
2258397:5414929:5417915,09:00:00,09:00:00,185039,1,0,,0,0,1
2258397:5414929:5417915,09:02:00,09:02:00,185050,2,1402,,0,0,0
2258397:5414929:5417915,09:05:00,09:05:00,185038,3,2963,,0,0,1
2258397:5414929:5417915,09:06:00,09:06:00,185047,4,4059,,0,0,0
2258397:5414929:5417915,09:12:00,09:12:00,185045,5,11582,,0,0,1
2258397:5414929:5417915,09:17:00,09:17:00,195011,6,15356,,0,0,0
2258397:5414929:5417915,09:18:00,09:18:00,195000,7,16377,,0,0,0
2258397:5414929:5417915,09:19:00,09:19:00,195002,8,17208,,0,0,1
2258397:5414929:5417915,09:21:00,09:21:00,195006,9,17764,,0,0,1
2258375:5414955:5418112,13:35:00,13:35:00,185039,1,0,,0,0,1
2258375:5414955:5418112,13:37:00,13:37:00,185050,2,1402,,0,0,0
2258375:5414955:5418112,13:40:00,13:40:00,185038,3,2963,,0,0,1
2258375:5414955:5418112,13:41:00,13:41:00,185047,4,4059,,0,0,0
2258375:5414955:5418112,13:47:00,13:47:00,185045,5,11582,,0,0,1
2258375:5414955:5418112,13:52:00,13:52:00,195011,6,15356,,0,0,0
2258375:5414955:5418112,13:53:00,13:53:00,195000,7,16377,,0,0,0
2258375:5414955:5418112,13:54:00,13:54:00,195002,8,17208,,0,0,1
2258375:5414955:5418112,13:56:00,13:56:00,195006,9,17764,,0,0,1
2258372:5415251:5417999,09:35:00,09:35:00,195006,1,0,,0,0,1
2258372:5415251:5417999,09:36:00,09:36:00,195003,2,339,,0,0,1
2258372:5415251:5417999,09:37:00,09:37:00,195001,3,1124,,0,0,0
2258372:5415251:5417999,09:42:00,09:42:00,185046,4,5864,,0,0,1
2258372:5415251:5417999,09:49:00,09:49:00,185048,5,13401,,0,0,0
2258372:5415251:5417999,09:49:00,09:49:00,185044,6,13892,,0,0,0
2258372:5415251:5417999,09:50:00,09:50:00,185038,7,14565,,0,0,1
2258372:5415251:5417999,09:55:00,09:55:00,185039,8,16936,,0,0,1
2258395:5415380:5417915,14:30:00,14:30:00,195006,1,0,,0,0,1
2258395:5415380:5417915,14:31:00,14:31:00,195003,2,339,,0,0,1
2258395:5415380:5417915,14:32:00,14:32:00,195001,3,1124,,0,0,0
2258395:5415380:5417915,14:37:00,14:37:00,185046,4,5864,,0,0,1
2258395:5415380:5417915,14:44:00,14:44:00,185048,5,13401,,0,0,0
2258395:5415380:5417915,14:44:00,14:44:00,185044,6,13892,,0,0,0
2258395:5415380:5417915,14:45:00,14:45:00,185038,7,14565,,0,0,1
2258395:5415380:5417915,14:50:00,14:50:00,185039,8,16936,,0,0,1
2293405:5415619:5417999,07:30:00,07:30:00,195006,1,0,,0,0,1
2293405:5415619:5417999,07:32:00,07:32:00,195008,2,1463,,0,0,0
2293405:5415619:5417999,08:04:00,08:04:00,195010,3,31997,,0,0,0
2293405:5415619:5417999,08:08:00,08:08:00,195009,4,35890,,0,0,1
2258400:5415644:5417915,14:50:00,14:50:00,185039,1,0,,0,0,1
2258400:5415644:5417915,14:52:00,14:52:00,185050,2,1402,,0,0,0
2258400:5415644:5417915,14:55:00,14:55:00,185038,3,2963,,0,0,1
2258400:5415644:5417915,14:56:00,14:56:00,185047,4,4059,,0,0,0
2258400:5415644:5417915,15:02:00,15:02:00,185045,5,11582,,0,0,1
2258400:5415644:5417915,15:07:00,15:07:00,195011,6,15356,,0,0,0
2258400:5415644:5417915,15:08:00,15:08:00,195000,7,16377,,0,0,0
2258400:5415644:5417915,15:09:00,15:09:00,195002,8,17208,,0,0,1
2258400:5415644:5417915,15:11:00,15:11:00,195006,9,17764,,0,0,1
2258393:5415723:5417915,10:40:00,10:40:00,195006,1,0,,0,0,1
2258393:5415723:5417915,10:41:00,10:41:00,195003,2,339,,0,0,1
2258393:5415723:5417915,10:42:00,10:42:00,195001,3,1124,,0,0,0
2258393:5415723:5417915,10:47:00,10:47:00,185046,4,5864,,0,0,1
2258393:5415723:5417915,10:54:00,10:54:00,185048,5,13401,,0,0,0
2258393:5415723:5417915,10:54:00,10:54:00,185044,6,13892,,0,0,0
2258393:5415723:5417915,10:55:00,10:55:00,185038,7,14565,,0,0,1
2258393:5415723:5417915,11:00:00,11:00:00,185039,8,16936,,0,0,1
2293508:5415894:5417915,15:13:00,15:13:00,195006,1,0,,0,0,1
2293508:5415894:5417915,15:15:00,15:15:00,195008,2,1463,,0,0,0
2293508:5415894:5417915,15:47:00,15:47:00,195010,3,31997,,0,0,0
2293508:5415894:5417915,15:51:00,15:51:00,195009,4,35890,,0,0,1
2258370:5416157:5417841,08:00:00,08:00:00,195006,1,0,,0,0,1
2258370:5416157:5417841,08:01:00,08:01:00,195003,2,339,,0,0,1
2258370:5416157:5417841,08:02:00,08:02:00,195001,3,1124,,0,0,0
2258370:5416157:5417841,08:07:00,08:07:00,185046,4,5864,,0,0,1
2258370:5416157:5417841,08:14:00,08:14:00,185048,5,13401,,0,0,0
2258370:5416157:5417841,08:14:00,08:14:00,185044,6,13892,,0,0,0
2258370:5416157:5417841,08:15:00,08:15:00,185038,7,14565,,0,0,1
2258370:5416157:5417841,08:20:00,08:20:00,185039,8,16936,,0,0,1
2258383:5416213:5417999,07:05:00,07:05:00,185039,1,0,,0,0,1
2258383:5416213:5417999,07:07:00,07:07:00,185050,2,1402,,0,0,0
2258383:5416213:5417999,07:10:00,07:10:00,185038,3,2963,,0,0,1
2258383:5416213:5417999,07:11:00,07:11:00,185047,4,4059,,0,0,0
2258383:5416213:5417999,07:17:00,07:17:00,185045,5,11582,,0,0,1
2258383:5416213:5417999,07:22:00,07:22:00,195011,6,15356,,0,0,0
2258383:5416213:5417999,07:23:00,07:23:00,195000,7,16377,,0,0,0
2258383:5416213:5417999,07:24:00,07:24:00,195002,8,17208,,0,0,1
2258383:5416213:5417999,07:27:00,07:27:00,123456,9,18123,,1,1,0
2258383:5416213:5417999,07:29:00,07:29:00,195006,10,18813,,0,0,1
2258369:5416412:5417841,07:30:00,07:30:00,185039,1,0,,0,0,1
2258369:5416412:5417841,07:32:00,07:32:00,185050,2,1402,,0,0,0
2258369:5416412:5417841,07:35:00,07:35:00,185038,3,2963,,0,0,1
2258369:5416412:5417841,07:36:00,07:36:00,185047,4,4059,,0,0,0
2258369:5416412:5417841,07:42:00,07:42:00,185045,5,11582,,0,0,1
2258369:5416412:5417841,07:47:00,07:47:00,195011,6,15356,,0,0,0
2258369:5416412:5417841,07:48:00,07:48:00,195000,7,16377,,0,0,0
2258369:5416412:5417841,07:49:00,07:49:00,195002,8,17208,,0,0,1
2258369:5416412:5417841,07:52:00,07:52:00,123456,9,18123,,1,1,0
2258369:5416412:5417841,07:54:00,07:54:00,195006,10,18813,,0,0,1
2302354:5416427:5417987,18:45:00,18:45:00,195006,1,0,,0,0,1
2302354:5416427:5417987,18:46:00,18:46:00,195003,2,339,,0,0,1
2302354:5416427:5417987,18:47:00,18:47:00,195001,3,1124,,0,0,0
2302354:5416427:5417987,18:52:00,18:52:00,185046,4,5864,,0,0,1
