trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2280830:2879698:2885496,10:54:00,10:54:00,146280,1,0,,0,0,1
2280830:2879698:2885496,10:55:00,10:55:00,146278,2,364,,0,0,0
2280830:2879698:2885496,10:55:00,10:55:00,146277,3,702,,0,0,0
2280830:2879698:2885496,10:56:00,10:56:00,146200,4,934,,0,0,0
2280830:2879698:2885496,10:57:00,10:57:00,146197,5,1219,,0,0,0
2280830:2879698:2885496,10:57:00,10:57:00,146112,6,1580,,0,0,0
2280830:2879698:2885496,10:58:00,10:58:00,146128,7,1832,,0,0,0
2280830:2879698:2885496,10:58:00,10:58:00,146104,8,2115,,0,0,0
2280830:2879698:2885496,10:59:00,10:59:00,146137,9,2403,,0,0,1
2280830:2879698:2885496,11:00:00,11:00:00,146094,10,2813,,0,0,0
2280830:2879698:2885496,11:01:00,11:01:00,146093,11,3134,,0,0,0
2280830:2879698:2885496,11:02:00,11:02:00,146092,12,3349,,0,0,0
2280830:2879698:2885496,11:03:00,11:03:00,146154,13,3736,,0,0,0
2280830:2879698:2885496,11:04:00,11:04:00,146025,14,3918,,0,0,0
2280830:2879698:2885496,11:04:00,11:04:00,146167,15,4135,,0,0,0
2280830:2879698:2885496,11:05:00,11:05:00,146166,16,4313,,0,0,0
2280830:2879698:2885496,11:06:00,11:06:00,146049,17,4669,,0,0,1
2280830:2879698:2885496,11:11:00,11:11:00,146050,18,5113,,0,0,0
2280830:2879698:2885496,11:13:00,11:13:00,146047,19,5328,,0,0,1
2280830:2879698:2885496,11:13:00,11:13:00,146034,20,5463,,0,0,0
2280830:2879698:2885496,11:14:00,11:14:00,146035,21,5601,,0,0,0
2280830:2879698:2885496,11:14:00,11:14:00,146216,22,5919,,0,0,0
2280830:2879698:2885496,11:15:00,11:15:00,146265,23,6194,,0,0,0
2280830:2879698:2885496,11:17:00,11:17:00,146029,24,7132,,0,0,1
2280830:2879698:2885496,11:18:00,11:18:00,146218,25,7500,,0,0,0
2280830:2879698:2885496,11:19:00,11:19:00,146039,26,7718,,0,0,0
2280830:2879698:2885496,11:19:00,11:19:00,146252,27,7999,,0,0,0
2280830:2879698:2885496,11:20:00,11:20:00,146012,28,8236,,0,0,0
2280830:2879698:2885496,11:21:00,11:21:00,146174,29,8417,,0,0,0
2280830:2879698:2885496,11:21:00,11:21:00,146176,30,8660,,0,0,0
2280830:2879698:2885496,11:22:00,11:22:00,146189,31,8925,,0,0,1
2280830:2879698:2885496,11:24:00,11:24:00,146159,32,9379,,0,0,0
2280830:2879698:2885496,11:26:00,11:26:00,146188,33,9635,,0,0,0
2280830:2879698:2885496,11:27:00,11:27:00,146150,34,9915,,0,0,0
2280830:2879698:2885496,11:28:00,11:28:00,146152,35,10138,,0,0,0
2280830:2879698:2885496,11:30:00,11:30:00,146157,36,10429,,0,0,1
2280793:2879701:2885626,09:42:00,09:42:00,146336,1,0,,0,0,1
2280793:2879701:2885626,09:46:00,09:46:00,146337,2,1494,,0,0,0
2280793:2879701:2885626,09:48:00,09:48:00,146338,3,2104,,0,0,0
