trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2430010:3594293:3621845,21:58:00,21:58:00,102813,1,0,,0,0,1
2430010:3594293:3621845,21:58:00,21:58:00,102811,2,193,,0,0,0
2430010:3594293:3621845,21:59:00,21:59:00,102809,3,472,,0,0,0
2430010:3594293:3621845,21:59:00,21:59:00,102804,4,698,,0,0,0
2430010:3594293:3621845,22:00:00,22:00:00,102800,5,1079,,0,0,0
2430010:3594293:3621845,22:02:00,22:02:00,102787,6,1900,,0,0,0
2430010:3594293:3621845,22:02:00,22:02:00,102784,7,2250,,0,0,0
2430010:3594293:3621845,22:04:00,22:04:00,102792,8,3104,,0,0,0
2430010:3594293:3621845,22:04:00,22:04:00,102785,9,3305,,0,0,0
2430010:3594293:3621845,22:05:00,22:05:00,102780,10,3622,,0,0,1
2430010:3594293:3621845,22:06:00,22:06:00,134030,11,4069,,0,0,0
2430010:3594293:3621845,22:07:00,22:07:00,102776,12,4539,,0,0,0
2430010:3594293:3621845,22:09:00,22:09:00,102769,13,5810,,0,0,1
2430010:3594293:3621845,22:11:00,22:11:00,102774,14,6862,,0,0,0
2430010:3594293:3621845,22:11:00,22:11:00,134026,15,7163,,0,0,0
2430010:3594293:3621845,22:11:00,22:11:00,102770,16,7391,,0,0,0
2430010:3594293:3621845,22:12:00,22:12:00,134024,17,7964,,0,0,0
2430010:3594293:3621845,22:13:00,22:13:00,134034,18,8463,,0,0,1
2430010:3594293:3621845,22:13:00,22:13:00,102763,19,8747,,0,0,0
2430010:3594293:3621845,22:14:00,22:14:00,102761,20,9169,,0,0,0
2430010:3594293:3621845,22:15:00,22:15:00,102754,21,9751,,0,0,0
2430010:3594293:3621845,22:16:00,22:16:00,102751,22,9981,,0,0,0
2430010:3594293:3621845,22:16:00,22:16:00,102742,23,10313,,0,0,0
2430010:3594293:3621845,22:17:00,22:17:00,134022,24,10839,,0,0,1
2430010:3594293:3621845,22:19:00,22:19:00,102729,25,11444,,0,0,0
2430010:3594293:3621845,22:21:00,22:21:00,102738,26,12098,,0,0,1
2429972:3594472:3617078,09:05:00,09:05:00,102738,1,0,,0,0,1
2429972:3594472:3617078,09:06:00,09:06:00,102736,2,266,,0,0,0
2429972:3594472:3617078,09:07:00,09:07:00,102730,3,585,,0,0,0
2429972:3594472:3617078,09:07:00,09:07:00,102731,4,818,,0,0,0
2429972:3594472:3617078,09:08:00,09:08:00,102734,5,1108,,0,0,1
2429972:3594472:3617078,09:11:00,09:11:00,102706,6,2709,,0,0,1
2429972:3594472:3617078,09:12:00,09:12:00,134040,7,2990,,0,0,0
2429972:3594472:3617078,09:12:00,09:12:00,102743,8,3187,,0,0,0
2429972:3594472:3617078,09:13:00,09:13:00,102750,9,3610,,0,0,1
2429972:3594472:3617078,09:13:00,09:13:00,134015,10,3831,,0,0,0
2429972:3594472:3617078,09:14:00,09:14:00,102744,11,4016,,0,0,0
2429972:3594472:3617078,09:14:00,09:14:00,102739,12,4410,,0,0,0
2429972:3594472:3617078,09:15:00,09:15:00,102705,13,4799,,0,0,0
2429972:3594472:3617078,09:16:00,09:16:00,102747,14,5349,,0,0,0
2429972:3594472:3617078,09:16:00,09:16:00,102753,15,5712,,0,0,0
2429972:3594472:3617078,09:17:00,09:17:00,102758,16,6054,,0,0,0
2429972:3594472:3617078,09:18:00,09:18:00,134000,17,6405,,0,0,0
2429972:3594472:3617078,09:18:00,09:18:00,102762,18,6639,,0,0,1
2429972:3594472:3617078,09:18:00,09:18:00,102759,19,6850,,0,0,0
2429972:3594472:3617078,09:19:00,09:19:00,102757,20,7217,,0,0,0
2429972:3594472:3617078,09:20:00,09:20:00,102749,21,7468,,0,0,0
2429972:3594472:3617078,09:21:00,09:21:00,102748,22,7766,,0,0,0
2429972:3594472:3617078,09:22:00,09:22:00,102740,23,8310,,0,0,0
2429972:3594472:3617078,09:25:00,09:25:00,102733,24,9746,,0,0,1
2429972:3594472:3617078,09:27:00,09:27:00,102729,25,10252,,0,0,0
2429972:3594472:3617078,09:29:00,09:29:00,102738,26,10906,,0,0,1
2429988:3594509:3617078,11:50:00,11:50:00,102738,1,0,,0,0,1
2429988:3594509:3617078,11:51:00,11:51:00,102736,2,266,,0,0,0
2429988:3594509:3617078,11:51:00,11:51:00,102730,3,585,,0,0,0
2429988:3594509:3617078,11:52:00,11:52:00,102731,4,818,,0,0,1
2429988:3594509:3617078,11:53:00,11:53:00,102732,5,1233,,0,0,0
2429988:3594509:3617078,11:53:00,11:53:00,102737,6,1554,,0,0,0
2429988:3594509:3617078,11:54:00,11:54:00,102741,7,1817,,0,0,0
2429988:3594509:3617078,11:54:00,11:54:00,134033,8,2141,,0,0,0
2429988:3594509:3617078,11:55:00,11:55:00,102755,9,2344,,0,0,0
2429988:3594509:3617078,11:56:00,11:56:00,102760,10,2902,,0,0,0
2429988:3594509:3617078,11:56:00,11:56:00,102764,11,3329,,0,0,0
2429988:3594509:3617078,11:57:00,11:57:00,134035,12,3660,,0,0,1
2429988:3594509:3617078,11:57:00,11:57:00,134042,13,3916,,0,0,0
2429988:3594509:3617078,11:58:00,11:58:00,102767,14,4190,,0,0,0
2429988:3594509:3617078,11:59:00,11:59:00,102768,15,4712,,0,0,0
2429988:3594509:3617078,12:00:00,12:00:00,102771,16,5043,,0,0,0
2429988:3594509:3617078,12:00:00,12:00:00,102772,17,5197,,0,0,0
2429988:3594509:3617078,12:00:00,12:00:00,102773,18,5416,,0,0,0
