route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
91-PRG,2387,2017954:4619971:4624075,Hart,3122,4624075,0
89-PRG,2387,2017926:4619991:4623867,Hart,3442,4623867,0
16-PRG,2387,2017903:4620002:4623858,College Heights,3130,4623858,1
46-PRG,2387,2018036:4620015:4623999,Queensway - To Downtown,4535,4623999,0
15-PRG,2387,2017886:4620041:4623858,UNBC,10033,4623858,1
46-PRG,2387,2018030:4620077:4623999,Queensway - To Downtown,4535,4623999,0
46-PRG,2387,2018054:4620089:4623999,Queensway - To Downtown,4535,4623999,0
91-PRG,2387,2017951:4620183:4624075,Hart,3122,4624075,0
46-PRG,2387,2018038:4620259:4623999,Queensway - To Pine Centre,4534,4623999,0
55-PRG,2387,2018042:4620277:4623890,Victoria - To Downtown,4509,4623890,1
91-PRG,2387,2017957:4620314:4624075,Hart,3122,4624075,0
88-PRG,2387,2017928:4620369:4623867,Westgate,8500,4623867,1
1-PRG,2387,2017994:4620379:4623948,Heritage,3548,4623948,0
15-PRG,2387,2017972:4620390:4623858,UNBC,10033,4623858,1
46-PRG,2387,2018035:4620424:4623999,Queensway - To Downtown,4535,4623999,0
46-PRG,2387,2018060:4620435:4623999,Queensway - To Pine Centre,4534,4623999,0
19-PRG,2387,2017958:4620457:4623858,UNBC,3115,4623858,0
55-PRG,2387,2018040:4620483:4623890,Victoria - To Downtown,4509,4623890,1
55-PRG,2387,2018044:4620520:4623890,Victoria - To Pine Centre,10043,4623890,1
91-PRG,2387,2017952:4620529:4624075,Hart,3122,4624075,0
88-PRG,2387,2017929:4620553:4624023,Westgate,8500,4624023,1
55-PRG,2387,2018019:4620581:4623890,Victoria - To Downtown,4509,4623890,1
88-PRG,2387,2017925:4620595:4624023,Westgate,8500,4624023,1
55-PRG,2387,2018039:4620602:4623890,Victoria - To Pine Centre,10043,4623890,1
89-PRG,2387,2017940:4620613:4623867,Hart,3442,4623867,0
55-PRG,2387,2018023:4620614:4623890,Victoria - To Pine Centre,10043,4623890,1
91-PRG,2387,2017945:4620617:4624075,Spruceland,4533,4624075,1
15-PRG,2387,2017961:4620631:4623858,UNBC,10033,4623858,1
10-PRG,2387,2017984:4620640:4623948,Spruceland,4478,4623948,1
88-PRG,2387,2017966:4620658:4624023,Westgate,8504,4624023,1
10-PRG,2387,2017990:4620671:4623948,Spruceland,4478,4623948,1
15-PRG,2387,2017899:4620707:4623958,Downtown,10094,4623958,0
46-PRG,2387,2018026:4620765:4623999,Queensway - To Pine Centre,4534,4623999,0
16-PRG,2387,2017906:4620801:4623858,College Heights,3130,4623858,1
16-PRG,2387,2017907:4620827:4623958,College Heights,3130,4623958,1
91-PRG,2387,2017955:4620850:4624075,Hart,3122,4624075,0
89-PRG,2387,2017939:4620851:4624023,Hart,3442,4624023,0
1-PRG,2387,2017974:4620862:4623948,Heritage,3548,4623948,0
1-PRG,2387,2017980:4620868:4623948,Heritage,3548,4623948,0
88-PRG,2387,2017922:4620883:4624023,Westgate,8500,4624023,1
88-PRG,2387,2017923:4620908:4623867,Westgate,8500,4623867,1
55-PRG,2387,2018024:4620938:4623890,Victoria - To Downtown,4509,4623890,1
91-PRG,2387,2017942:4620960:4624075,Spruceland,4533,4624075,1
91-PRG,2387,2017946:4620992:4624075,Spruceland,4533,4624075,1
55-PRG,2387,2018016:4621022:4623890,Victoria - To Pine Centre,10043,4623890,1
19-PRG,2387,2017917:4621036:4623958,UNBC,3115,4623958,0
16-PRG,2387,2017905:4621041:4623858,College Heights,3130,4623858,1
46-PRG,2387,2018028:4621091:4623999,Queensway - To Downtown,4535,4623999,0
55-PRG,2387,2018017:4621105:4623890,Victoria - To Downtown,4509,4623890,1
55-PRG,2387,2018025:4621114:4623890,Victoria - To Downtown,4509,4623890,1
19-PRG,2387,2017964:4621141:4623958,UNBC,3115,4623958,0
10-PRG,2387,2017986:4621172:4623948,Downtown,3084,4623948,0
46-PRG,2387,2018037:4621202:4623999,Queensway - To Downtown,4535,4623999,0
19-PRG,2387,2017915:4621231:4623958,UNBC,3115,4623958,0
89-PRG,2387,2017933:4621262:4623867,Hart,3442,4623867,0
15-PRG,2387,2017893:4621280:4623958,UNBC,10033,4623958,1
91-PRG,2387,2017960:4621282:4624075,Spruceland,4533,4624075,1
15-PRG,2387,2017895:4621293:4623958,Downtown,10094,4623958,0
55-PRG,2387,2018020:4621308:4623890,Victoria - To Pine Centre,10043,4623890,1
89-PRG,2387,2017962:4621310:4623867,Pine Centre,3680,4623867,0
1-PRG,2387,2017997:4621333:4623948,Heritage,3548,4623948,0
10-PRG,2387,2017983:4621366:4623948,Downtown,3084,4623948,0
16-PRG,2387,2017908:4621386:4623858,College Heights,3130,4623858,1
89-PRG,2387,2017932:4621391:4624023,Hart,3442,4624023,0
46-PRG,2387,2018055:4621421:4623999,Queensway - To Pine Centre,4534,4623999,0
91-PRG,2387,2017969:4621453:4624075,Hart,3122,4624075,0
1-PRG,2387,2017975:4621457:4623948,Heritage,3548,4623948,0
91-PRG,2387,2017941:4621458:4624075,Spruceland,4533,4624075,1
88-PRG,2387,2017924:4621473:4624023,Westgate,8500,4624023,1
55-PRG,2387,2018021:4621487:4623890,Victoria - To Downtown,4509,4623890,1
15-PRG,2387,2017902:4621520:4623958,Downtown,10094,4623958,0
10-PRG,2387,2018002:4621522:4623948,Spruceland,4478,4623948,1
10-PRG,2387,2017987:4621540:4623948,Spruceland,4478,4623948,1
46-PRG,2387,2018052:4621594:4623999,Queensway - To Downtown,4535,4623999,0
91-PRG,2387,2017953:4621600:4624075,Hart,3122,4624075,0
