route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-CAM,2294,2252415:1961785:1978423,Campbellton Via Dogwood,3342,1978423,0
3-CAM,2294,2252413:1961799:1977678,Willow Point Via Hwy 19A,3340,1977678,1
7-CAM,1781,2252297:1961888:1978295,Petersen A.M. Loop,3287,1978295,0
2-CAM,2293,2252145:1961904:1977963,Willow Point Via Alder,3351,1977963,1
8-CAM,2293,2252121:1961916:1977784,NI College,6851,1977784,1
2-CAM,2293,2252136:1961949:1977810,Willow Point Via Alder,3351,1977810,1
2-CAM,2293,2252141:1961954:1977777,Willow Point Via Alder,3351,1977777,1
3-CAM,2294,2252428:1961987:1977393,Community Centre - Discovery Harbour,3696,1977393,0
2-CAM,2293,2252144:1962006:1978242,Willow Point Via Alder,3351,1978242,1
1-CAM,2293,2252082:1962193:1977931,Campbellton Via Dogwood,3342,1977931,0
2-CAM,2293,2252156:1962247:1977777,Campbellton Via Alder,3314,1977777,0
3-CAM,2293,2252023:1962253:1977613,Community Centre - Discovery Harbour,3696,1977613,0
1-CAM,2293,2252117:1962287:1978151,Willow Point Via Dogwood,3303,1978151,1
1-CAM,2294,2252376:1962301:1978302,Willow Point Via Dogwood,3303,1978302,1
2-CAM,1781,2252325:1962331:1978152,Campbellton Via Alder,3314,1978152,0
2-CAM,2294,2252426:1962338:1977697,Campbellton Via Alder,3314,1977697,0
6-CAM,2294,2252411:1962518:1978423,Willow Point Via Hwy 19A,3353,1978423,0
2-CAM,2293,2252134:1962572:1977657,Willow Point Via Alder,3351,1977657,1
4-CAM,2293,2252014:1962717:1977404,Campbellton,3330,1977404,0
8-CAM,1781,2252328:1962727:1977668,Quinsam,6866,1977668,0
7-CAM,2293,2252047:1962738:1977445,Petersen P.M. Loop,3336,1977445,1
1-CAM,2293,2252080:1962859:1977931,Campbellton Via Dogwood,3342,1977931,0
7-CAM,1781,2252298:1962877:1978295,Petersen P.M. Loop,3336,1978295,1
3-CAM,1781,2252263:1962911:1978188,Willow Point Via Hwy 19A,3340,1978188,1
6-CAM,2293,2252013:1962934:1977963,Willow Point Via Hwy 19A,3353,1977963,0
2-CAM,2293,2252151:1962935:1977657,Campbellton Via Alder,3314,1977657,0
1-CAM,2294,2252392:1963004:1977573,Campbellton Via Dogwood,3350,1977573,0
3-CAM,1781,2252259:1963026:1978152,Community Centre - Discovery Harbour,3696,1978152,0
3-CAM,2293,2252030:1963049:1977613,Willow Point Via Hwy 19A,3340,1977613,1
3-CAM,1781,2252268:1963055:1978188,Community Centre - Discovery Harbour,3696,1978188,0
6-CAM,2293,2252006:1963089:1977613,Oyster River Via Hwy 19A,3318,1977613,1
2-CAM,1781,2252241:1963164:1978495,Willow Point Via Alder,3351,1978495,1
7-CAM,2294,2252399:1963260:1977763,Petersen P.M. Loop,3336,1977763,1
1-CAM,1781,2252335:1963316:1978003,Willow Point Via Dogwood,3303,1978003,1
1-CAM,2293,2252115:1963344:1977404,Willow Point Via Dogwood,3303,1977404,1
7-CAM,2293,2252044:1963394:1977837,Petersen A.M. Loop,3287,1977837,0
4-CAM,1781,2252294:1963412:1978295,Campbellton,3330,1978295,0
6-CAM,2293,2252065:1963757:1977894,Oyster River Via Hwy 19A,3318,1977894,1
3-CAM,1781,2252255:1963769:1978305,Willow Point Via Hwy 19A,3284,1978305,1
3-CAM,2294,2252391:1963776:1977678,Willow Point Via Hwy 19A,3340,1977678,1
1-CAM,2293,2252075:1963831:1978283,Campbellton Via Dogwood,3350,1978283,0
3-CAM,1781,2252247:1963835:1978305,Community Centre - Discovery Harbour,3696,1978305,0
3-CAM,2293,2252032:1963850:1977613,Willow Point Via Hwy 19A,3284,1977613,1
3-CAM,2293,2252054:1963870:1977613,Community Centre - Discovery Harbour,3696,1977613,0
1-CAM,2293,2252108:1963902:1978151,Willow Point Via Dogwood,3303,1978151,1
7-CAM,2294,2252384:1963932:1978317,Petersen A.M. Loop,3329,1978317,0
1-CAM,2293,2252088:1964025:1977404,Campbellton Via Dogwood,3350,1977404,0
3-CAM,2294,2252445:1964026:1977393,Community Centre - Discovery Harbour,3696,1977393,0
1-CAM,2293,2252092:1964149:1978151,Campbellton Via Dogwood,3342,1978151,0
2-CAM,2293,2252163:1964185:1977963,Campbellton Via Alder,3314,1977963,0
1-CAM,2293,2252089:1964246:1978151,Campbellton Via Dogwood,3350,1978151,0
1-CAM,2293,2252073:1964319:1978273,Campbellton Via Dogwood,3342,1978273,0
6-CAM,2293,2252009:1964324:1977613,Willow Point Via Hwy 19A,3353,1977613,0
1-CAM,2294,2252442:1964352:1977573,Willow Point Via Dogwood,3303,1977573,1
1-CAM,2293,2252091:1964420:1978372,Campbellton Via Dogwood,3342,1978372,0
2-CAM,2293,2252175:1964464:1977445,Willow Point Via Alder,3351,1977445,1
2-CAM,2293,2252152:1964465:1977810,Campbellton Via Alder,3314,1977810,0
6-CAM,2294,2252388:1964512:1977678,Willow Point Via Hwy 19A,3353,1977678,0
4-CAM,2293,2252033:1964532:1977837,Campbellton,3330,1977837,0
1-CAM,2293,2252187:1964568:1977404,Willow Point Via Dogwood,3303,1977404,1
1-CAM,2294,2252418:1964581:1978423,Willow Point Via Dogwood,3303,1978423,1
1-CAM,2294,2252443:1964589:1977573,Willow Point Via Dogwood,3303,1977573,1
2-CAM,2293,2252140:1964593:1977777,Willow Point Via Alder,3351,1977777,1
4-CAM,2294,2252439:1964617:1977763,Campbellton,3330,1977763,0
3-CAM,1781,2252272:1964625:1978152,Community Centre - Discovery Harbour,3696,1978152,0
1-CAM,2294,2252379:1964699:1978302,Campbellton Via Dogwood,3342,1978302,0
4-CAM,2293,2252034:1964701:1977445,Campbellton,3330,1977445,0
3-CAM,1781,2252270:1964706:1978152,Community Centre - Discovery Harbour,3696,1978152,0
3-CAM,1781,2252254:1964708:1978305,Community Centre - Discovery Harbour,3696,1978305,0
1-CAM,2293,2252079:1964722:1978273,Campbellton Via Dogwood,3342,1978273,0
2-CAM,2293,2252158:1964832:1977657,Campbellton Via Alder,3314,1977657,0
2-CAM,2294,2252377:1964839:1977697,Campbellton Via Alder,3314,1977697,0
2-CAM,2294,2252403:1964844:1977697,Campbellton Via Alder,3314,1977697,0
4-CAM,1781,2252313:1964908:1977458,Campbellton,3330,1977458,0
3-CAM,1781,2252258:1964917:1978152,Willow Point Via Hwy 19A,3340,1978152,1
3-CAM,1781,2252269:1964919:1978188,Willow Point Via Hwy 19A,3340,1978188,1
3-CAM,1781,2252271:1964946:1978152,Willow Point Via Hwy 19A,3340,1978152,1
6-CAM,2293,2252008:1965014:1977931,Willow Point Via Hwy 19A,3353,1977931,0
1-CAM,1781,2252330:1965161:1978003,Willow Point Via Dogwood,3303,1978003,1
7-CAM,1781,2252296:1965297:1977848,Petersen A.M. Loop,3287,1977848,0
1-CAM,2293,2252125:1965336:1978167,Willow Point Via Dogwood,3303,1978167,1
2-CAM,1781,2252306:1965361:1978152,Willow Point Via Alder,3351,1978152,1
2-CAM,2293,2252154:1965440:1977779,Campbellton Via Alder,3322,1977779,0
2-CAM,2293,2252148:1965452:1977445,Willow Point Via Alder,3351,1977445,1
2-CAM,2294,2252446:1965459:1977697,Campbellton Via Alder,3314,1977697,0
2-CAM,1781,2252324:1965474:1978152,Willow Point Via Alder,3351,1978152,1
1-CAM,2294,2252405:1965494:1978317,Campbellton Via Dogwood,3342,1978317,0
3-CAM,2294,2252440:1965499:1977393,Willow Point Via Hwy 19A,3340,1977393,1
1-CAM,2294,2252395:1965513:1978317,Campbellton Via Dogwood,3342,1978317,0
2-CAM,2293,2252150:1965557:1977445,Willow Point Via Alder,3351,1977445,1
7-CAM,1781,2252316:1965698:1977458,Petersen P.M. Loop,3336,1977458,1
15-CAM,2293,2252130:1965749:1978233,NI College,3289,1978233,0
6-CAM,2294,2252407:1965774:1978423,Oyster River Via Hwy 19A,3318,1978423,1
2-CAM,1781,2252308:1965875:1977414,Willow Point Via Alder,3351,1977414,1
3-CAM,2294,2252378:1965900:1977678,Community Centre - Discovery Harbour,3696,1977678,0
1-CAM,2293,2252110:1965953:1978151,Willow Point Via Dogwood,3303,1978151,1
7-CAM,2294,2252444:1965991:1977763,Petersen P.M. Loop,3336,1977763,1
1-CAM,2293,2252072:1965997:1978151,Campbellton Via Dogwood,3342,1978151,0
1-CAM,2293,2252127:1966010:1978167,Willow Point Via Dogwood,3303,1978167,1
2-CAM,2293,2252165:1966025:1977963,Campbellton Via Alder,3314,1977963,0
1-CAM,1781,2252295:1966104:1978003,Willow Point Via Dogwood,3303,1978003,1
3-CAM,2294,2252381:1966134:1977678,Willow Point Via Hwy 19A,3340,1977678,1
6-CAM,2294,2252375:1966187:1977697,Oyster River Via Hwy 19A,3318,1977697,1
2-CAM,2293,2252170:1966224:1977445,Campbellton Via Alder,3314,1977445,0
7-CAM,2294,2252435:1966237:1977763,Petersen P.M. Loop,3336,1977763,1
2-CAM,2294,2252380:1966314:1977697,Willow Point Via Alder,3351,1977697,1
1-CAM,2293,2252532:1966321:1978372,Willow Point Via Dogwood,3303,1978372,1
1-CAM,2293,2252099:1966331:1978273,Willow Point Via Dogwood,3303,1978273,1
1-CAM,2293,2252074:1966479:1978151,Campbellton Via Dogwood,3342,1978151,0
3-CAM,1781,2252256:1966623:1978152,Community Centre - Discovery Harbour,3696,1978152,0
8-CAM,2293,2252172:1966688:1978233,Quinsam,6866,1978233,0
1-CAM,2293,2252119:1966691:1977963,Willow Point Via Dogwood,3303,1977963,1
2-CAM,1781,2252242:1966744:1978305,Campbellton Via Alder,3314,1978305,0
6-CAM,1781,2252286:1966782:1978305,Willow Point Via Hwy 19A,3353,1978305,0
1-CAM,2293,2252102:1966864:1978283,Willow Point Via Dogwood,3303,1978283,1
1-CAM,1781,2252231:1966899:1978495,Willow Point Via Dogwood,3303,1978495,1
1-CAM,1781,2252343:1966900:1978003,Campbellton Via Dogwood,3342,1978003,0
1-CAM,2294,2252447:1966914:1977573,Campbellton Via Dogwood,3342,1977573,0
2-CAM,1781,2252327:1966943:1978152,Willow Point Via Alder,3351,1978152,1
2-CAM,1781,2252305:1967022:1978152,Campbellton Via Alder,3314,1978152,0
2-CAM,2293,2252137:1967071:1977657,Willow Point Via Alder,3351,1977657,1
3-CAM,2293,2252018:1967106:1977894,Community Centre - Discovery Harbour,3696,1977894,0
2-CAM,1781,2252321:1967144:1977414,Campbellton Via Alder,3314,1977414,0
2-CAM,2294,2252438:1967161:1977697,Campbellton Via Alder,3314,1977697,0
3-CAM,2294,2252431:1967191:1977393,Willow Point Via Hwy 19A,3340,1977393,1
2-CAM,1781,2252233:1967205:1977848,Campbellton Via Alder,3322,1977848,0
2-CAM,2293,2252135:1967230:1977657,Willow Point Via Alder,3351,1977657,1
1-CAM,2293,2252126:1967254:1978167,Willow Point Via Dogwood,3303,1978167,1
6-CAM,1781,2252276:1967290:1978003,Willow Point Via Hwy 19A,3353,1978003,0
4-CAM,2293,2252035:1967337:1977404,Campbellton,3330,1977404,0
2-CAM,2293,2252161:1967406:1977777,Campbellton Via Alder,3322,1977777,0
6-CAM,1781,2252334:1967505:1977414,Willow Point Via Hwy 19A,3353,1977414,0
7-CAM,2294,2252396:1967641:1978149,Petersen A.M. Loop,3287,1978149,0
