route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
66-CFV,2293,2362589:4637530:5314171,Fraser Valley Exp - to Lougheed Stn,14731,5314171,1
33-CFV,1781,2364403:4637531:5030155,Mission Exch,14686,5030155,0
7-CFV,2293,2369605:4637539:5314180,Sumas Mountain - to McMillan,10057,5314180,0
4-CFV,1781,2364295:4637541:5030160,Bourquin Exch,10031,5030160,0
54-CFV,1781,2374026:4637542:5210166,Promontory - to Promontory,14611,5210166,1
21-CFV,1781,2364500:4637543:5196744,Abbotsford - Bourquin Exch,9961,5196744,0
33-CFV,2293,2369215:4637549:5314174,Cedar Valley,3947,5314174,1
5-CFV,1781,2363989:4637551:5030162,Clearbrook - via Hospital,9998,5030162,1
53-CFV,1781,2374105:4637552:5030107,Fairfield,14705,5030107,1
9-CFV,1781,2364066:4637556:5194526,Bourquin Exch,10123,5194526,1
33-CFV,1781,2364356:4637568:5030254,Mission Exch,14686,5030254,0
9-CFV,1781,2364064:4637569:5195237,Bourquin Exch,10123,5195237,1
2-CFV,2293,2369457:4637571:5314244,McMillan,10089,5314244,0
5-CFV,2091,2362259:4637573:5030281,Clearbrook - via Hospital,9998,5030281,1
7-CFV,1781,2364314:4637575:5030160,Bourquin Exch,9956,5030160,1
3-CFV,2293,2369096:4637579:5314257,Clearbrook,14707,5314257,1
51-CFV,1781,2374081:4637580:5030237,Vedder - to UFV Chilliwack,14688,5030237,1
21-CFV,2293,2369586:4637585:5314117,Abbotsford - Bourquin Exch via Airport,10145,5314117,0
9-CFV,2091,2362318:4637596:5030040,Bourquin Exch,10123,5030040,1
58-CFV,1781,2374119:4637597:5029992,Tyson - to Keith Wilson,4262,5029992,1
7-CFV,2091,2362513:4637599:5030104,Bourquin Exch,9956,5030104,1
32-CFV,2091,2362312:4637609:5030251,West Heights,3931,5030251,1
32-CFV,1781,2364378:4637612:5030155,West Heights,3931,5030155,1
6-CFV,2691,2368958:4637617:5314243,Gladwin,10032,5314243,1
6-CFV,2693,2368958:4637617:5314382,Gladwin,10032,5314382,1
51-CFV,1781,2374133:4637618:5030143,Vedder - to Menzies,14728,5030143,0
3-CFV,1781,2364527:4637620:5030162,Clearbrook,14707,5030162,1
12-CFV,2293,2368963:4637623:5314174,Bourquin Exch,9964,5314174,0
3-CFV,2091,2362379:4637631:5196894,Clearbrook,14707,5196894,1
66-CFV,2293,2362588:4637633:5314305,Fraser Valley Exp - to Lougheed Stn,14731,5314305,1
66-CFV,2293,2362592:4637635:5314305,Fraser Valley Exp - to Lougheed Stn,14731,5314305,1
32-CFV,1781,2364323:4637645:5030254,West Heights,3931,5030254,1
1-CFV,2091,2362364:4637646:5030282,UFV,10068,5030282,0
55-CFV,1781,2374036:4637647:5030107,Yarrow-Greendale - to Greendale,14631,5030107,1
55-CFV,1781,2374035:4637650:5029992,Yarrow-Greendale - to UFV Chilliwack,14689,5029992,0
7-CFV,2091,2362237:4637651:5030104,Sumas Mountain - to McMillan,9960,5030104,0
51-CFV,1781,2373934:4637655:5210172,Vedder - to UFV Chilliwack,14688,5210172,1
33-CFV,1781,2364464:4637660:5030155,Cedar Valley,4022,5030155,1
55-CFV,1781,2374038:4637667:5030107,Yarrow-Greendale - to Greendale,14631,5030107,1
51-CFV,1781,2373976:4637669:5210172,Vedder - to Menzies,14728,5210172,0
35-CFV,1781,2363974:4637672:5030164,Hatzic,3979,5030164,1
17-CFV,2293,2368874:4637673:5314318,Bourquin Exch,10082,5314318,0
6-CFV,1781,2364012:4637676:5030196,Gladwin,10032,5030196,1
34-CFV,1781,2364326:4637680:5195237,East Side,3938,5195237,1
54-CFV,1781,2373979:4637682:5210179,Promontory - to Vedder only,14712,5210179,0
5-CFV,1781,2363991:4637685:5029955,Clearbrook - via Hospital,9998,5029955,1
35-CFV,2293,2369062:4637690:5314159,Hatzic,3979,5314159,1
39-CFV,1781,2364039:4637692:5030164,Shopper Shuttle,13667,5030164,0
2-CFV,2293,2369319:4637694:5314312,McMillan,10089,5314312,0
7-CFV,2293,2369616:4637702:5314180,Montrose Exch via McMillan,10567,5314180,1
33-CFV,2293,2369532:4637705:5314383,Cedar Valley,4022,5314383,1
72-CFV,1781,2374405:4637708:5194836,Hope,2285,5194836,0
6-CFV,2091,2362233:4637710:5030040,Gladwin,10032,5030040,1
5-CFV,2091,2362271:4637711:5196894,Clearbrook - via Hospital,9998,5196894,1
51-CFV,1781,2374127:4637719:5030237,Vedder - to Menzies,14728,5030237,0
52-CFV,1781,2374008:4637723:5210172,Evans - to Cottonwood Mall,14682,5210172,1
9-CFV,2293,2369624:4637724:5314180,Montrose Exch,10136,5314180,1
7-CFV,2293,2369623:4637728:5314180,Sumas Mountain - to McMillan,10057,5314180,0
51-CFV,1781,2373954:4637729:5210172,Vedder - to Menzies,14728,5210172,0
31-CFV,2293,2369487:4637734:5314402,Bourquin Exch,9962,5314402,1
2-CFV,1781,2364229:4637735:5030013,McMillan,10089,5030013,0
7-CFV,2293,2369390:4637740:5314292,Montrose Exch,10637,5314292,1
7-CFV,2091,2362480:4637741:5030040,Bourquin Exch,9956,5030040,1
31-CFV,2293,2369483:4637744:5314402,Bourquin Exch - via Matsqui Village,10132,5314402,1
5-CFV,1781,2364505:4637745:5029955,Clearbrook - via Hospital,9998,5029955,1
51-CFV,1781,2374088:4637747:5210163,Vedder - to Menzies,14728,5210163,0
66-CFV,2091,2362670:4637748:4644759,Fraser Valley Exp - to Lougheed Stn,14731,4644759,1
34-CFV,2293,2369518:4637749:5314383,East Side,3938,5314383,1
1-CFV,2293,2369066:4637751:5314291,UFV,10068,5314291,0
