route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-CLR,2536,2076182:5373838:5377517,Vavenby to Vavenby,17432,5377517,0
2-CLR,2536,2076178:5374401:5377414,Blackpool,17451,5377414,0
3-CLR,2536,2076177:5374485:5377414,Community Loop,17516,5377414,0
3-CLR,2538,2076180:5374642:5377470,Community Loop,17421,5377470,0
1-CLR,2536,2076176:5374740:5377414,Vavenby to Vavenby,17422,5377414,0
10-CLR,2537,2076175:5375324:5377390,Connector to Vavenby Via Clearwater,17513,5377390,0
2-CLR,2536,2076185:5375608:5377567,Blackpool,17451,5377567,0
3-CLR,2536,2076186:5375881:5377567,Community Loop,17416,5377567,0
3-CLR,2536,2076187:5375924:5377517,Community Loop,17512,5377517,0
1-CLR,2536,2076184:5376384:5377567,Vavenby to Vavenby,17472,5377567,0
2-CLR,2536,2076183:5376620:5377517,Blackpool,17479,5377517,0
3-CLR,2538,2076179:5376770:5377470,Community Loop,17421,5377470,0
10-CLR,2537,2076174:5376885:5377351,Valley Connector to Kamloops,17517,5377351,1
3-CLR,2536,2076181:5377005:5377395,Community Loop,17421,5377395,0
