route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
6-COM,2046,2053112:3069051:3087128,Uplands,9735,3087128,1
6-COM,2048,2052858:3069062:3087479,Uplands,9735,3087479,1
8-COM,2048,2052780:3069074:3133331,Downtown - via Willemar,9732,3133331,0
6-COM,2048,2052852:3069082:3133331,Uplands,9735,3133331,1
12-COM,2046,2053147:3069142:3087128,Downtown Courtenay - via Vanier,9507,3087128,1
3-COM,2048,2052835:3069186:3133412,Comox Local,9463,3133412,1
10-COM,2048,2052913:3069188:3087293,Fanny Bay - via Royston,9635,3087293,1
1-COM,2064,2053366:3069222:3133921,Comox Mall - via N.I.C.,9508,3133921,0
15-COM,2053,2052753:3069223:3086791,Aquatic Ctr - via Back Rd,9407,3086791,1
1-COM,2048,2052990:3069270:3087026,Anfield Centre - via Downtown,9528,3087026,1
10-COM,2046,2053246:3069277:3133719,Downtown Courtenay,9771,3133719,0
1-COM,2048,2052968:3069396:3133575,Anfield Centre - via Downtown,9528,3133575,1
7-COM,2048,2052878:3069404:3087177,Arden,9467,3087177,1
1-COM,2048,2052955:3069474:3133317,Anfield Centre - via Downtown,9528,3133317,1
1-COM,2048,2052975:3069532:3133575,Anfield Centre - via Downtown,9528,3133575,1
4-COM,2046,2053203:3069594:3134375,Comox Mall - via Comox Rd,9480,3134375,0
14-COM,2054,2052747:3069626:3087219,Downtown,9736,3087219,0
5-COM,2048,2052860:3069707:3087161,Vanier,9440,3087161,0
11-COM,2046,2053135:3069734:3087128,Airport,9663,3087128,0
8-COM,2048,2052773:3069735:3086734,Downtown - via Willemar,9732,3086734,0
7-COM,2048,2052884:3069761:3133317,Arden,9467,3133317,1
1-COM,2064,2053343:3069768:3133874,Anfield Centre - via Downtown,9528,3133874,1
12-COM,2048,2052928:3069860:3087293,Oyster River - via Vanier,9446,3087293,0
4-COM,2046,2053207:3069894:3134254,Comox Mall - via Comox Rd,9480,3134254,0
1-COM,2064,2053365:3069933:3133874,Comox Mall - via N.I.C.,9508,3133874,0
2-COM,2064,2053342:3069937:3133874,Anfield Centre,9640,3133874,0
3-COM,2048,2052834:3069955:3133412,Comox Local,9463,3133412,1
8-COM,2046,2053126:3069968:3133719,Downtown - via Willemar,9732,3133719,0
99-COM,2048,2052874:3070005:3086734,VMP Connector,9865,3086734,0
4-COM,2048,2052900:3070021:3133412,Comox Mall - via Comox Rd,9480,3133412,0
6-COM,2046,2053108:3070049:3134375,Uplands,9735,3134375,1
1-COM,2064,2053356:3070087:3133874,Anfield Centre - via Downtown,9528,3133874,1
8-COM,2048,2052778:3070111:3134210,Downtown - via Willemar,9732,3134210,0
2-COM,2048,2052805:3070231:3134354,Cumberland,9482,3134354,1
11-COM,2048,2052848:3070304:3133871,Downtown,9394,3133871,1
2-COM,2046,2053244:3070306:3133719,Cumberland,9482,3133719,1
11-COM,2046,2053137:3070339:3133719,Airport,9663,3133719,0
1-COM,2046,2053176:3070353:3133716,Anfield Centre - via Downtown,9528,3133716,1
3-COM,2046,2053197:3070431:3133716,Comox Local,9463,3133716,1
