route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
36-COW,2048,2053618:2969630:3012211,Ladysmith - Via Express,2444,3012211,0
20-COW,2048,2053583:2970145:3014455,Youbou Connector,2462,3014455,1
8-COW,2048,2053634:2970519:3012470,Duncan - Via Shawnigan - Via Hwy 1,9538,3012470,0
34-COW,2048,2053643:2970943:3012091,Ladysmith - Via Hwy 1,9499,3012091,0
7-COW,2181,2053771:2971015:5365445,Cowichan Lake - Via Gibbins,2537,5365445,1
7-COW,2048,2053535:2971263:5487231,Cowichan Lake - Via Gibbins,2601,5487231,0
7-COW,2048,2053567:2971701:5487151,Cowichan Lake Express - Via Hwy 18,2612,5487151,0
7-COW,2048,2053537:2973036:3011368,Cowichan Lake Express - Via Hwy 18,2612,3011368,0
7-COW,2048,2053525:2973906:5365487,Cowichan Lake - Via Gibbins,2537,5365487,1
6-COW,2048,2053523:2974025:5487176,Crofton/Chemainus - To Duncan,2593,5487176,1
4-COW,2048,2053506:2975200:5487187,Maple Bay,9471,5487187,0
36-COW,2048,2053608:2975320:3012091,Duncan - Via Express,2519,3012091,1
21-COW,2048,2053544:2975831:3013927,Honeymoon Bay,2586,3013927,1
7-COW,2048,2053532:2976000:5487151,Cowichan Lake - Via Gibbins,2601,5487151,0
4-COW,2048,2053507:2976153:5487151,Maple Bay,9421,5487151,0
4-COW,2048,2053509:2976327:5365436,Maple Bay - To Duncan,2587,5365436,1
8-COW,2181,2053780:2976360:3012258,Mill Bay - Via Cow Bay - Via Telegraph,9620,3012258,1
6-COW,2181,2053761:2976362:5487460,Crofton/Chemainus - To Chemainus,2496,5487460,0
9-COW,2048,2053641:2976418:3569038,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,3569038,1
9-COW,2048,2053640:2976479:5365436,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,5365436,1
7-COW,2048,2053540:2976889:5487271,Cowichan Lake - Via Gibbins,2601,5487271,0
6-COW,2181,2053777:2977317:5365462,Crofton/Chemainus - To Duncan,2598,5365462,1
8-COW,2048,2053595:2977994:3011115,Mill Bay - Via Cow Bay - Via Telegraph,9564,3011115,1
34-COW,2048,2053613:2978502:3012091,Chemainus - Via Westdowne,9442,3012091,1
9-COW,2048,2053591:2978763:3012103,Duncan - Via Telegraph - Via Cow Bay,9517,3012103,0
20-COW,2048,2053584:2978828:3014139,Youbou Connector,2462,3014139,1
7-COW,2048,2053543:2978966:3011368,Cowichan Lake Express - Via Hwy 18,2612,3011368,0
7-COW,2048,2053531:2979268:5487271,Cowichan Lake - Via Gibbins,2537,5487271,1
4-COW,2048,2053505:2979470:5487231,Maple Bay,9471,5487231,0
20-COW,2048,2053612:2979973:3011722,Youbou Connector,2462,3011722,1
5-COW,2048,2053545:2980062:3011368,Eagle Heights,2619,3011368,1
7-COW,2048,2053541:2980152:5365487,Cowichan Lake Express - Via Hwy 18,2612,5365487,0
8-COW,2048,2053589:2980237:3012936,Mill Bay - Via Cow Bay - Via Telegraph,9620,3012936,1
8-COW,2181,2053743:2980312:3012258,Duncan - Via Shawnigan - Via Hwy 1,9538,3012258,0
8-COW,2048,2053631:2980533:3011115,Duncan - Via Shawnigan - Via Hwy 1,9538,3011115,0
6-COW,2048,2053571:2980611:5365361,Crofton/Chemainus - To Duncan,2598,5365361,1
4-COW,2048,2053569:2981106:5487151,Maple Bay - To Duncan,9526,5487151,1
6-COW,2181,2053760:2981373:5487460,Crofton/Chemainus - To Duncan,2593,5487460,1
4-COW,2048,2053510:2982223:5487151,Maple Bay - To Duncan,9526,5487151,1
31-COW,2048,2053614:2982509:3012091,Alderwood,2563,3012091,1
31-COW,2048,2053621:2982794:3012091,Alderwood,2563,3012091,1
20-COW,2048,2053596:2983187:3011917,Youbou Connector,2462,3011917,1
9-COW,2181,2053745:2983266:3012258,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,3012258,1
4-COW,2181,2053751:2983997:5487123,Maple Bay,9421,5487123,0
6-COW,2048,2053570:2984201:5365361,Crofton/Chemainus - To Chemainus,9561,5365361,0
21-COW,2048,2053599:2984338:3011722,Honeymoon Bay,2586,3011722,1
36-COW,2048,2053620:2984633:3012211,Duncan - Via Express,2519,3012211,1
8-COW,2048,2053579:2984794:3568255,Mill Bay - Via Cow Bay - Via Telegraph,9564,3568255,1
4-COW,2048,2053503:2985152:5365487,Maple Bay,9421,5365487,0
36-COW,2048,2053602:2985174:3012091,Duncan - Via Express,2519,3012091,1
7-COW,2181,2053773:2985305:5365445,Cowichan Lake - Via Gibbins,2601,5365445,0
34-COW,2048,2053619:2985616:3012091,Chemainus - Via Westdowne,9442,3012091,1
31-COW,2048,2053609:2985786:3012211,Alderwood,2563,3012211,1
34-COW,2048,2053642:2985968:3012091,Ladysmith - Via Hwy 1,9499,3012091,0
4-COW,2048,2053603:2986156:5487231,Maple Bay - To Duncan,9526,5487231,1
9-COW,2048,2053638:2986191:3569038,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,3569038,1
9-COW,2048,2053636:2987801:3012103,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,3012103,1
99-COW,2048,2053550:2987842:3014642,SVX - to Victoria,9619,3014642,1
7-COW,2048,2053530:2988075:3011368,Cowichan Lake Express - Via Hwy 18,2566,3011368,1
36-COW,2048,2053607:2988323:3012091,Ladysmith - Via Express,2444,3012091,0
34-COW,2048,2053645:2989059:3012211,Ladysmith - Via Hwy 1,9499,3012211,0
5-COW,2048,2053549:2989113:5487271,Eagle Heights,2619,5487271,1
8-COW,2048,2053580:2989253:3568255,Mill Bay - Via Cow Bay - Via Telegraph,9620,3568255,1
4-COW,2048,2053511:2989690:3012936,Maple Bay - To Duncan,9526,3012936,1
9-COW,2048,2053637:2989696:3012103,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,3012103,1
6-COW,2048,2053518:2990246:5487231,Crofton/Chemainus - To Chemainus,2514,5487231,0
21-COW,2048,2053546:2990397:3011574,Honeymoon Bay,2586,3011574,1
7-COW,2181,2053742:2990920:5365466,Cowichan Lake - Via Gibbins,2601,5365466,0
34-COW,2048,2053615:2990988:3012211,Chemainus - Via Westdowne,9442,3012211,1
31-COW,2048,2053576:2991304:3012091,Alderwood,2563,3012091,1
8-COW,2181,2053744:2991760:3012258,Duncan - Via Shawnigan - Via Hwy 1,9538,3012258,0
4-COW,2048,2053512:2991943:5487231,Maple Bay - To Duncan,2587,5487231,1
4-COW,2181,2053750:2991944:5487123,Maple Bay - To Duncan,9526,5487123,1
4-COW,2048,2053504:2992531:5365436,Maple Bay,9471,5365436,0
9-COW,2181,2053778:2992638:3012258,Duncan - Via Telegraph - Via Cow Bay,9517,3012258,0
7-COW,2048,2053534:2992656:3011368,Cowichan Lake Express - Via Hwy 18,2566,3011368,1
6-COW,2048,2053515:2993373:5365361,Crofton/Chemainus - To Chemainus,2496,5365361,0
34-COW,2048,2053644:2993834:3012091,Ladysmith - Via Hwy 1,9499,3012091,0
6-COW,2181,2053776:2994052:5365462,Crofton/Chemainus - To Chemainus,9561,5365462,0
99-COW,2048,2053551:2994440:3011551,SVX - to Victoria,9619,3011551,1
7-COW,2048,2053527:2995856:3011368,Cowichan Lake - Via Gibbins,2464,3011368,1
8-COW,2181,2053779:2996349:3012258,Mill Bay - Via Cow Bay - Via Telegraph,9620,3012258,1
7-COW,2048,2053598:2997046:5365437,Cowichan Lake Express - Via Hwy 18,2612,5365437,0
66-COW,2048,2053557:2997204:3012890,CVX - to Victoria,9536,3012890,1
7-COW,2048,2053538:2997247:3011368,Cowichan Lake Express - Via Hwy 18,2612,3011368,0
7-COW,2048,2053568:2997430:5487151,Cowichan Lake - Via Gibbins,2537,5487151,1
21-COW,2048,2053610:2997615:3013927,Honeymoon Bay,2586,3013927,1
9-COW,2048,2053581:2997683:3012103,Duncan - Via Telegraph - Via Cow Bay,9517,3012103,0
6-COW,2048,2053520:2997866:5365361,Crofton/Chemainus - To Duncan,2593,5365361,1
7-COW,2048,2053528:2997878:5487450,Cowichan Lake Express - Via Hwy 18,2566,5487450,1
4-COW,2048,2053513:2998328:5487187,Maple Bay - To Duncan,2587,5487187,1
7-COW,2048,2053524:2998348:5487151,Cowichan Lake Express - Via Hwy 18,2584,5487151,1
31-COW,2048,2053616:2998657:3012211,Alderwood,2563,3012211,1
21-COW,2048,2053594:2998781:3011574,Honeymoon Bay,2586,3011574,1
9-COW,2048,2053575:2998788:3569038,Duncan - Via Telegraph - Via Cow Bay,9517,3569038,0
7-COW,2048,2053536:2998901:5487176,Cowichan Lake - Via Gibbins,2601,5487176,0
4-COW,2181,2053759:2998907:5487460,Maple Bay - To Duncan,2587,5487460,1
7-COW,2181,2053770:2999428:5365445,Cowichan Lake - Via Gibbins,2537,5365445,1
36-COW,2048,2053606:2999622:3012211,Ladysmith - Via Express,2444,3012211,0
8-COW,2048,2053586:2999636:3012470,Mill Bay - Via Cow Bay - Via Telegraph,9620,3012470,1
7-COW,2181,2053772:2999834:5365445,Cowichan Lake - Via Gibbins,2601,5365445,0
36-COW,2048,2053617:2999937:3012211,Duncan - Via Express,2519,3012211,1
5-COW,2048,2053592:3000003:5487450,Eagle Heights,2619,5487450,1
6-COW,2048,2053514:3000024:5487176,Crofton/Chemainus - To Chemainus,2496,5487176,0
4-COW,2048,2053508:3000150:3012936,Maple Bay,9421,3012936,0
7-COW,2048,2053539:3000159:5487450,Cowichan Lake - Via Gibbins,2601,5487450,0
7-COW,2048,2053526:3000258:5487176,Cowichan Lake Express - Via Hwy 18,2566,5487176,1
8-COW,2048,2053632:3000292:3568255,Duncan - Via Shawnigan - Via Hwy 1,9538,3568255,0
31-COW,2048,2053577:3000336:3012091,Alderwood,2563,3012091,1
7-COW,2048,2053566:3000543:5365487,Cowichan Lake Express - Via Hwy 18,2612,5365487,0
6-COW,2048,2053624:3000601:5365437,Crofton/Chemainus - To Chemainus,2496,5365437,0
20-COW,2048,2053611:3000853:3014407,Youbou Connector,2462,3014407,1
6-COW,2048,2053521:3001198:3012936,Crofton/Chemainus - To Duncan,2593,3012936,1
66-COW,2048,2053556:3002343:3013113,CVX - to Victoria,9536,3013113,1
6-COW,2048,2053516:3002664:3012936,Crofton/Chemainus - To Chemainus,2496,3012936,0
7-COW,2048,2053542:3002904:3011368,Cowichan Lake - Via Gibbins,2601,3011368,0
4-COW,2048,2053561:3002922:5365487,Maple Bay - To Duncan,2587,5365487,1
7-COW,2048,2053560:3003127:5365487,Cowichan Lake - Via Gibbins,2537,5365487,1
20-COW,2048,2053582:3003623:3014407,Youbou Connector,2462,3014407,1
8-COW,2048,2053593:3003835:3011115,Mill Bay - Via Cow Bay - Via Telegraph,9564,3011115,1
66-COW,2048,2053555:3004105:4058291,CVX - to Victoria,9536,4058291,1
66-COW,2048,2053554:3004129:3011159,CVX - to Victoria,9536,3011159,1
7-COW,2181,2053741:3004139:5365466,Cowichan Lake - Via Gibbins,2537,5365466,1
4-COW,2048,2053604:3004402:5487231,Maple Bay,9421,5487231,0
7-COW,2048,2053533:3004723:3011368,Cowichan Lake - Via Gibbins,2537,3011368,1
4-COW,2048,2053573:3005204:5487151,Maple Bay,9421,5487151,0
34-COW,2048,2053605:3005940:3012091,Chemainus - Via Westdowne,9442,3012091,1
5-COW,2048,2053548:3006623:5487187,Eagle Heights,2619,5487187,1
6-COW,2048,2053517:3007066:5365487,Crofton/Chemainus - To Chemainus,9561,5365487,0
20-COW,2048,2053597:3007216:3014139,Youbou Connector,2462,3014139,1
5-COW,2048,2053600:3007309:5487151,Eagle Heights,2619,5487151,1
9-COW,2048,2053639:3007483:5365436,Mill Bay - Via Hwy 1 - Via Shawnigan,9599,5365436,1
6-COW,2048,2053522:3007912:5365487,Crofton/Chemainus - To Duncan,2598,5365487,1
7-COW,2048,2053529:3007952:5487231,Cowichan Lake Express - Via Hwy 18,2566,5487231,1
21-COW,2048,2053547:3009001:3011619,Honeymoon Bay,2586,3011619,1
8-COW,2048,2053630:3009003:3011115,Duncan - Via Shawnigan - Via Hwy 1,9538,3011115,0
8-COW,2048,2053633:3009027:3568255,Duncan - Via Shawnigan - Via Hwy 1,9538,3568255,0
6-COW,2048,2053625:3009624:5365437,Crofton/Chemainus - To Duncan,2593,5365437,1
4-COW,2181,2053758:3009945:5487460,Maple Bay,9471,5487460,0
8-COW,2048,2053635:3009996:3012936,Duncan - Via Shawnigan - Via Hwy 1,9538,3012936,0
6-COW,2048,2053519:3010065:5487231,Crofton/Chemainus - To Duncan,2593,5487231,1
5-COW,2048,2053601:3010641:5487231,Eagle Heights,2619,5487231,1
8-COW,2048,2053585:3555010:3568255,Duncan - Via Shawnigan - Via Hwy 1,10757,3568255,0
9-COW,2048,2053590:3557547:5365436,Duncan - Via Telegraph - Via Cow Bay,10825,5365436,0
9-COW,2048,2053587:3566523:5365436,Duncan - Via Telegraph - Via Cow Bay,10825,5365436,0
9-COW,2048,2053578:3566687:3569038,Duncan - Via Telegraph - Via Cow Bay,10825,3569038,0
66-COW,2048,2053558:4052586:4058291,CVX - to Duncan,12684,4058291,0
66-COW,2048,2053562:4054790:4058402,CVX - to Duncan,12684,4058402,0
99-COW,2048,2053553:4055010:4058452,SVX - to Shawnigan Lake,12746,4058452,0
99-COW,2048,2053552:4056274:4058372,SVX - to Shawnigan Lake,12746,4058372,0
66-COW,2048,2053559:4057988:4058506,CVX - to Duncan,12684,4058506,0
66-COW,2048,2053563:4058272:4058453,CVX - to Duncan,12684,4058453,0
2-COW,2048,2053479:5361491:5365487,Mt Prevost - To Cowichan Commons,17322,5365487,0
3-COW,2048,2053498:5361506:5487176,Quamichan - To Cowichan Commons,17409,5487176,1
2-COW,2048,2053493:5361651:5365487,Mt Prevost - To Village Green Mall,17338,5365487,1
2-COW,2048,2053488:5361664:5487151,Mt Prevost - To Village Green Mall,17338,5487151,1
2-COW,2048,2053476:5361689:5365487,Mt Prevost - To Cowichan Commons,17322,5365487,0
2-COW,2181,2053769:5361709:5365445,Mt Prevost - To Village Green Mall,17338,5365445,1
2-COW,2181,2053766:5361814:5365445,Mt Prevost - To Village Green Mall,17338,5365445,1
2-COW,2048,2053627:5361883:5487271,Mt Prevost - To Village Green Mall,17338,5487271,1
2-COW,2048,2053487:5361899:5365361,Mt Prevost - To Village Green Mall,17338,5365361,1
3-COW,2048,2053623:5362007:5365436,Quamichan - To Cowichan Commons,17409,5365436,1
2-COW,2181,2053740:5362163:5365466,Mt Prevost - To Village Green Mall,17338,5365466,1
3-COW,2181,2053754:5362222:5487460,Quamichan - To Cowichan Commons,17409,5487460,1
2-COW,2048,2053564:5362225:5365487,Mt Prevost - To Village Green Mall,17338,5365487,1
3-COW,2048,2053499:5362293:5365436,Quamichan - To Cowichan Commons,17409,5365436,1
2-COW,2181,2053768:5362303:5365445,Mt Prevost - To Village Green Mall,17338,5365445,1
2-COW,2048,2053622:5362318:5487271,Mt Prevost - To Village Green Mall,17338,5487271,1
2-COW,2181,2053764:5362323:5365445,Mt Prevost - To Cowichan Commons,17322,5365445,0
2-COW,2181,2053763:5362362:5365445,Mt Prevost - To Cowichan Commons,17322,5365445,0
2-COW,2048,2053483:5362456:5487271,Mt Prevost - To Cowichan Commons,17322,5487271,0
2-COW,2181,2053774:5362538:5365462,Mt Prevost - To Cowichan Commons,17322,5365462,0
2-COW,2048,2053485:5362659:5487450,Mt Prevost - To Village Green Mall,17338,5487450,1
3-COW,2181,2053746:5362839:5487123,Quamichan - To Cowichan Commons,17409,5487123,1
2-COW,2048,2053474:5362843:5487151,Mt Prevost - To Cowichan Commons,17322,5487151,0
2-COW,2048,2053480:5362960:5487271,Mt Prevost - To Cowichan Commons,17322,5487271,0
2-COW,2181,2053767:5362981:5365445,Mt Prevost - To Village Green Mall,17338,5365445,1
2-COW,2048,2053495:5363033:5487271,Mt Prevost - To Village Green Mall,17338,5487271,1
2-COW,2048,2053572:5363228:5487187,Mt Prevost - To Village Green Mall,17338,5487187,1
