route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
51-EKT,1574,2221341:2657911:2667157,Town Shuttle - Erickson,8570,2667157,1
51-EKT,1579,2221341:2657911:2667261,Town Shuttle - Erickson,8570,2667261,1
51-EKT,1578,2221341:2657911:2667419,Town Shuttle - Erickson,8570,2667419,1
51-EKT,1577,2221341:2657911:2667601,Town Shuttle - Erickson,8570,2667601,1
51-EKT,1574,2221340:2658651:2667157,Town Shuttle - Erickson,8570,2667157,1
51-EKT,1579,2221340:2658651:2667261,Town Shuttle - Erickson,8570,2667261,1
51-EKT,1578,2221340:2658651:2667419,Town Shuttle - Erickson,8570,2667419,1
51-EKT,1577,2221340:2658651:2667601,Town Shuttle - Erickson,8570,2667601,1
52-EKT,1574,2221336:2659385:2667157,North Creston,8606,2667157,0
52-EKT,1579,2221336:2659385:2667261,North Creston,8606,2667261,0
52-EKT,1578,2221336:2659385:2667419,North Creston,8606,2667419,0
52-EKT,1577,2221336:2659385:2667601,North Creston,8606,2667601,0
51-EKT,1574,2221343:2659878:2667157,Town Shuttle,8601,2667157,1
51-EKT,1579,2221343:2659878:2667261,Town Shuttle,8601,2667261,1
51-EKT,1578,2221343:2659878:2667419,Town Shuttle,8601,2667419,1
51-EKT,1577,2221343:2659878:2667601,Town Shuttle,8601,2667601,1
52-EKT,1574,2221335:2660091:2667157,North Creston,8606,2667157,0
52-EKT,1579,2221335:2660091:2667261,North Creston,8606,2667261,0
52-EKT,1578,2221335:2660091:2667419,North Creston,8606,2667419,0
52-EKT,1577,2221335:2660091:2667601,North Creston,8606,2667601,0
52-EKT,1574,2221337:2660854:2667157,North Creston,8606,2667157,0
52-EKT,1579,2221337:2660854:2667261,North Creston,8606,2667261,0
52-EKT,1578,2221337:2660854:2667419,North Creston,8606,2667419,0
52-EKT,1577,2221337:2660854:2667601,North Creston,8606,2667601,0
51-EKT,1578,2221345:2660873:2667419,Town Shuttle,8601,2667419,1
54-EKT,1577,2221351:2661508:2667126,Wynndel,8597,2667126,0
54-EKT,1577,2221346:2661536:2667601,Wynndel,8593,2667601,1
54-EKT,1579,2221347:2662059:2667261,Wynndel,8593,2667261,1
54-EKT,1577,2221347:2662059:2667601,Wynndel,8593,2667601,1
52-EKT,1578,2221339:2662434:2667419,North Creston,8606,2667419,0
54-EKT,1579,2221348:2663420:2667261,Wynndel,8593,2667261,1
54-EKT,1577,2221348:2663420:2667601,Wynndel,8593,2667601,1
51-EKT,1574,2221344:2663634:2667157,Town Shuttle,8601,2667157,1
51-EKT,1579,2221344:2663634:2667261,Town Shuttle,8601,2667261,1
51-EKT,1578,2221344:2663634:2667419,Town Shuttle,8601,2667419,1
51-EKT,1577,2221344:2663634:2667601,Town Shuttle,8601,2667601,1
51-EKT,1574,2221342:2664586:2667157,Town Shuttle - Erickson,8570,2667157,1
51-EKT,1579,2221342:2664586:2667261,Town Shuttle - Erickson,8570,2667261,1
51-EKT,1578,2221342:2664586:2667419,Town Shuttle - Erickson,8570,2667419,1
51-EKT,1577,2221342:2664586:2667601,Town Shuttle - Erickson,8570,2667601,1
52-EKT,1578,2221333:2665181:2667419,North Creston,8606,2667419,0
52-EKT,1574,2221334:2666271:2667157,North Creston,8606,2667157,0
52-EKT,1579,2221334:2666271:2667261,North Creston,8606,2667261,0
52-EKT,1578,2221334:2666271:2667419,North Creston,8606,2667419,0
52-EKT,1577,2221334:2666271:2667601,North Creston,8606,2667601,0
54-EKT,1579,2221349:2666712:2667261,Wynndel,8597,2667261,0
54-EKT,1577,2221349:2666712:2667601,Wynndel,8597,2667601,0
52-EKT,1574,2221338:2666719:2667157,North Creston,8606,2667157,0
52-EKT,1579,2221338:2666719:2667261,North Creston,8606,2667261,0
52-EKT,1578,2221338:2666719:2667419,North Creston,8606,2667419,0
52-EKT,1577,2221338:2666719:2667601,North Creston,8606,2667601,0
54-EKT,1579,2221350:2666947:2667261,Wynndel,8597,2667261,0
54-EKT,1577,2221350:2666947:2667601,Wynndel,8597,2667601,0
