route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-DAW,2371,2143849:1961796:1977911,Northside,3665,1977911,1
2-DAW,2371,2143858:1964279:1977911,Southside Via Hospital,3655,1977911,0
2-DAW,2371,2143857:1965116:1978110,Southside Via 15 Street,3701,1978110,0
1-DAW,2371,2143856:1965325:1978240,Northside,3665,1978240,1
2-DAW,2371,2143863:1965411:1977587,Southside Via 15 Street,3701,1977587,0
2-DAW,2371,2143866:1965704:1977587,Southside Via 15 Street,3701,1977587,0
1-DAW,2371,2143852:1966115:1978240,Northside,3665,1978240,1
2-DAW,2371,2143861:1966177:1977911,Southside Via 15 Street,3701,1977911,0
1-DAW,2371,2143848:1968222:1978110,Northside,3665,1978110,1
1-DAW,2371,2143855:1968304:1977587,Northside,3665,1977587,1
1-DAW,2371,2143851:1968379:1977911,Northside,3665,1977911,1
1-DAW,2371,2143847:1969329:1977911,Northside,3666,1977911,1
1-DAW,2371,2143850:1970743:1978110,Northside,3665,1978110,1
2-DAW,2371,2143859:1972180:1977587,Southside Via Hospital,3655,1977587,0
2-DAW,2371,2143860:1973699:1978110,Southside Via 15 Street,3701,1978110,0
1-DAW,2371,2143853:1974080:1978240,Northside,3665,1978240,1
2-DAW,2371,2143864:1974787:1978240,Southside Via 15 Street,3701,1978240,0
2-DAW,2371,2143862:1975306:1978110,Southside Via 15 Street,3701,1978110,0
1-DAW,2371,2143854:1975410:1977587,Northside,3665,1977587,1
2-DAW,2371,2143865:1975646:1978240,Southside Via 15 Street,3701,1978240,0
