route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-FSJ,2368,2296773:4692335:4703562,Southside,4544,4703562,1
2-FSJ,2368,2296783:4692376:4703650,Southside,4544,4703650,1
3-FSJ,2366,2297366:4692455:4703759,Central - Prospect Park,4543,4703759,1
3-FSJ,2368,2296806:4692496:4703562,Central - Prospect Park,4543,4703562,1
3-FSJ,2369,2296716:4692532:4703630,Central - Prospect Park,4543,4703630,1
2-FSJ,2369,2296739:4692578:4703854,Southside,4544,4703854,1
3-FSJ,2366,2297384:4692686:4703759,Central - Prospect Park,4543,4703759,1
2-FSJ,2368,2296780:4692729:4703562,Southside,4544,4703562,1
1-FSJ,2368,2296814:4692799:4703650,Northside,4537,4703650,1
1-FSJ,2366,2297327:4692804:4703759,Northside,4537,4703759,1
2-FSJ,2368,2296779:4692807:4703953,Southside,4544,4703953,1
3-FSJ,2366,2297385:4692847:4703619,Central - Prospect Park,4543,4703619,1
1-FSJ,2366,2297322:4692885:4703759,Northside,4537,4703759,1
1-FSJ,2367,2296994:4692965:4703983,Northside,4537,4703983,1
1-FSJ,2368,2296746:4692971:4703650,Northside,4537,4703650,1
2-FSJ,2368,2296768:4693014:4703953,Southside,4544,4703953,1
1-FSJ,2367,2296981:4693058:4703590,Northside,4537,4703590,1
1-FSJ,2369,2296726:4693068:4703854,Northside,4537,4703854,1
3-FSJ,2367,2297029:4693262:4703830,Central - Prospect Park,4543,4703830,1
1-FSJ,2367,2296995:4693308:4703590,Northside,4537,4703590,1
3-FSJ,2366,2297371:4693483:4703619,Central - Prospect Park,4543,4703619,1
3-FSJ,2368,2296791:4693550:4703650,Central - Prospect Park,4543,4703650,1
1-FSJ,2368,2296749:4693577:4703953,Northside,4537,4703953,1
1-FSJ,2368,2296747:4693650:4703953,Northside,4537,4703953,1
1-FSJ,2368,2296759:4693811:4703953,Northside,4537,4703953,1
1-FSJ,2368,2296750:4693878:4703562,Northside,4537,4703562,1
3-FSJ,2366,2297381:4693895:4703759,Central - Prospect Park,4543,4703759,1
2-FSJ,2366,2297347:4693931:4703759,Southside,4544,4703759,1
1-FSJ,2366,2297335:4694066:4703619,Northside,4537,4703619,1
1-FSJ,2367,2296983:4694091:4703590,Northside,4537,4703590,1
2-FSJ,2369,2296718:4694119:4703854,Southside,4544,4703854,1
1-FSJ,2366,2297332:4694158:4703863,Northside,4537,4703863,1
2-FSJ,2366,2297345:4694181:4703759,Southside,4544,4703759,1
1-FSJ,2369,2296712:4694204:4703854,Northside,4537,4703854,1
1-FSJ,2368,2296751:4694219:4703650,Northside,4537,4703650,1
1-FSJ,2366,2297317:4694265:4703759,Northside,4537,4703759,1
3-FSJ,2367,2297034:4694300:4703830,Central - Prospect Park,4543,4703830,1
3-FSJ,2368,2296798:4694376:4703953,Central - Prospect Park,4543,4703953,1
1-FSJ,2366,2297329:4694424:4703759,Northside,4537,4703759,1
2-FSJ,2369,2296725:4694425:4703854,Southside,4544,4703854,1
1-FSJ,2368,2296763:4694435:4703953,Northside,4537,4703953,1
1-FSJ,2367,2296982:4694453:4703590,Northside,4537,4703590,1
3-FSJ,2366,2297380:4694499:4703619,Central - Prospect Park,4543,4703619,1
2-FSJ,2366,2297342:4694502:4703759,Southside,4544,4703759,1
2-FSJ,2367,2297001:4694522:4703830,Southside,4544,4703830,1
2-FSJ,2367,2296997:4694548:4703830,Southside,4544,4703830,1
1-FSJ,2366,2297330:4694623:4703619,Northside,4537,4703619,1
2-FSJ,2366,2297357:4694644:4703759,Southside,4544,4703759,1
3-FSJ,2368,2296799:4694722:4703650,Central - Prospect Park,4543,4703650,1
1-FSJ,2367,2296984:4694723:4703830,Northside,4537,4703830,1
3-FSJ,2369,2296727:4694808:4703854,Central - Prospect Park,4543,4703854,1
1-FSJ,2367,2296988:4694864:4703983,Northside,4537,4703983,1
3-FSJ,2366,2297378:4694893:4703863,Central - Prospect Park,4549,4703863,1
2-FSJ,2367,2297012:4694914:4703983,Southside,4544,4703983,1
1-FSJ,2366,2297333:4694934:4703863,Northside,4537,4703863,1
3-FSJ,2367,2297025:4694990:4703830,Central - Prospect Park,4543,4703830,1
2-FSJ,2366,2297354:4695093:4703863,Southside,4544,4703863,1
3-FSJ,2366,2297367:4695226:4703619,Central - Prospect Park,4543,4703619,1
1-FSJ,2368,2296748:4695250:4703562,Northside,4537,4703562,1
4-FSJ,2368,2296812:4695253:4703650,Southeast,4542,4703650,0
2-FSJ,2368,2296782:4695414:4703953,Southside,4544,4703953,1
1-FSJ,2368,2296757:4695426:4703562,Northside,4537,4703562,1
1-FSJ,2369,2296720:4695429:4703630,Northside,4537,4703630,1
3-FSJ,2367,2297027:4695445:4703983,Central - Prospect Park,4543,4703983,1
2-FSJ,2369,2296734:4695474:4703630,Southside,4544,4703630,1
2-FSJ,2368,2296786:4695508:4703953,Southside,4544,4703953,1
2-FSJ,2366,2297361:4695539:4703759,Southside,4544,4703759,1
3-FSJ,2368,2296807:4695578:4703953,Central - Prospect Park,4543,4703953,1
2-FSJ,2366,2297344:4695582:4703863,Southside,4544,4703863,1
1-FSJ,2366,2297331:4695615:4703759,Northside,4537,4703759,1
2-FSJ,2367,2297014:4695686:4703983,Southside,4544,4703983,1
1-FSJ,2366,2297320:4695730:4703619,Northside,4537,4703619,1
1-FSJ,2366,2297319:4695751:4703863,Northside,4537,4703863,1
2-FSJ,2367,2297016:4695759:4703830,Southside,4544,4703830,1
3-FSJ,2369,2296737:4695776:4703630,Central - Prospect Park,4543,4703630,1
3-FSJ,2367,2297020:4695788:4703590,Central - Prospect Park,4543,4703590,1
1-FSJ,2368,2296755:4695802:4703953,Northside,4537,4703953,1
2-FSJ,2368,2296772:4695828:4703650,Southside,4544,4703650,1
3-FSJ,2367,2297023:4695856:4703830,Central - Prospect Park,4543,4703830,1
1-FSJ,2367,2296979:4695883:4703830,Northside,4537,4703830,1
3-FSJ,2368,2296800:4695891:4703953,Central - Prospect Park,4543,4703953,1
3-FSJ,2366,2297383:4695962:4703619,Central - Prospect Park,4543,4703619,1
3-FSJ,2366,2297379:4696027:4703619,Central - Prospect Park,4543,4703619,1
3-FSJ,2368,2296790:4696099:4703562,Central - Prospect Park,4543,4703562,1
2-FSJ,2369,2296714:4696178:4703630,Southside,4544,4703630,1
1-FSJ,2368,2296761:4696223:4703562,Northside,4537,4703562,1
2-FSJ,2367,2297000:4696284:4703590,Southside,4544,4703590,1
2-FSJ,2367,2297008:4696351:4703590,Southside,4544,4703590,1
3-FSJ,2368,2296792:4696359:4703953,Central - Prospect Park,4543,4703953,1
3-FSJ,2366,2297377:4696413:4703863,Central - Prospect Park,4543,4703863,1
2-FSJ,2368,2296781:4696439:4703650,Southside,4544,4703650,1
1-FSJ,2366,2297323:4696681:4703619,Northside,4537,4703619,1
1-FSJ,2368,2296762:4696703:4703650,Northside,4537,4703650,1
1-FSJ,2368,2296752:4696746:4703953,Northside,4537,4703953,1
2-FSJ,2368,2296774:4696762:4703650,Southside,4544,4703650,1
2-FSJ,2367,2296999:4696769:4703830,Southside,4544,4703830,1
1-FSJ,2367,2296993:4696799:4703590,Northside,4537,4703590,1
2-FSJ,2368,2296775:4696827:4703953,Southside,4544,4703953,1
1-FSJ,2369,2296740:4696836:4703854,Northside,4537,4703854,1
1-FSJ,2366,2297328:4696884:4703863,Northside,4537,4703863,1
1-FSJ,2366,2297326:4696910:4703619,Northside,4537,4703619,1
1-FSJ,2367,2296985:4696964:4703983,Northside,4537,4703983,1
3-FSJ,2366,2297368:4696979:4703619,Central - Prospect Park,4543,4703619,1
2-FSJ,2368,2296777:4697015:4703650,Southside,4544,4703650,1
2-FSJ,2366,2297360:4697043:4703619,Southside,4544,4703619,1
2-FSJ,2368,2296788:4697141:4703562,Southside,4544,4703562,1
3-FSJ,2369,2296731:4697174:4703630,Central - Prospect Park,4543,4703630,1
2-FSJ,2368,2296785:4697183:4703562,Southside,4544,4703562,1
2-FSJ,2367,2297010:4697215:4703830,Southside,4544,4703830,1
3-FSJ,2366,2297376:4697268:4703863,Central - Prospect Park,4543,4703863,1
1-FSJ,2369,2296723:4697278:4703630,Northside,4537,4703630,1
1-FSJ,2369,2296713:4697288:4703630,Northside,4537,4703630,1
2-FSJ,2368,2296771:4697325:4703953,Southside,4544,4703953,1
2-FSJ,2367,2296996:4697362:4703590,Southside,4544,4703590,1
1-FSJ,2367,2296989:4697374:4703590,Northside,4537,4703590,1
1-FSJ,2366,2297334:4697423:4703759,Northside,4537,4703759,1
3-FSJ,2367,2297021:4697546:4703590,Central - Prospect Park,4543,4703590,1
2-FSJ,2366,2297350:4697589:4703759,Southside,4544,4703759,1
2-FSJ,2368,2296770:4697757:4703650,Southside,4544,4703650,1
3-FSJ,2366,2297382:4697931:4703863,Central - Prospect Park,4543,4703863,1
2-FSJ,2367,2297017:4697987:4703590,Southside,4544,4703590,1
2-FSJ,2366,2297353:4697991:4703619,Southside,4544,4703619,1
3-FSJ,2369,2296715:4698033:4703630,Central - Prospect Park,4543,4703630,1
2-FSJ,2366,2297351:4698051:4703863,Southside,4544,4703863,1
3-FSJ,2368,2296803:4698098:4703953,Central - Prospect Park,4543,4703953,1
2-FSJ,2367,2297002:4698159:4703830,Southside,4544,4703830,1
3-FSJ,2368,2296793:4698224:4703953,Central - Prospect Park,4543,4703953,1
1-FSJ,2368,2296764:4698380:4703650,Northside,4537,4703650,1
3-FSJ,2367,2297026:4698606:4703590,Central - Prospect Park,4543,4703590,1
3-FSJ,2367,2297031:4698644:4703590,Central - Prospect Park,4543,4703590,1
3-FSJ,2369,2296738:4698714:4703854,Central - Prospect Park,4543,4703854,1
2-FSJ,2367,2297011:4698815:4703590,Southside,4544,4703590,1
3-FSJ,2369,2296721:4698867:4703630,Central - Prospect Park,4543,4703630,1
2-FSJ,2368,2296776:4698928:4703562,Southside,4544,4703562,1
2-FSJ,2367,2297018:4698949:4703830,Southside,4544,4703830,1
3-FSJ,2367,2297030:4698988:4703983,Central - Prospect Park,4543,4703983,1
3-FSJ,2368,2296808:4699011:4703650,Central - Prospect Park,4543,4703650,1
1-FSJ,2369,2296724:4699095:4703854,Northside,4537,4703854,1
2-FSJ,2366,2297340:4699107:4703619,Southside,4544,4703619,1
1-FSJ,2366,2297321:4699120:4703863,Northside,4537,4703863,1
1-FSJ,2368,2296754:4699181:4703650,Northside,4537,4703650,1
2-FSJ,2366,2297355:4699224:4703759,Southside,4544,4703759,1
3-FSJ,2366,2297365:4699243:4703759,Central - Prospect Park,4543,4703759,1
3-FSJ,2367,2297032:4699257:4703830,Central - Prospect Park,4543,4703830,1
2-FSJ,2366,2297362:4699542:4703863,Southside,4544,4703863,1
1-FSJ,2368,2296760:4699582:4703562,Northside,4537,4703562,1
3-FSJ,2367,2297022:4699613:4703830,Central - Prospect Park,4543,4703830,1
1-FSJ,2368,2296753:4699624:4703562,Northside,4537,4703562,1
2-FSJ,2366,2297352:4699709:4703863,Southside,4544,4703863,1
3-FSJ,2368,2296805:4699738:4703650,Central - Prospect Park,4543,4703650,1
2-FSJ,2367,2297003:4699741:4703590,Southside,4544,4703590,1
3-FSJ,2368,2296796:4699764:4703953,Central - Prospect Park,4543,4703953,1
5-FSJ,2368,2296813:4699816:4703650,Southwest,4566,4703650,1
2-FSJ,2367,2297006:4699968:4703830,Southside,4544,4703830,1
3-FSJ,2369,2296730:4699985:4703854,Central - Prospect Park,4543,4703854,1
2-FSJ,2368,2296784:4700039:4703562,Southside,4544,4703562,1
5-FSJ,2368,2296810:4700202:4703953,Southwest,4566,4703953,1
3-FSJ,2366,2297363:4700242:4703619,Central - Prospect Park,4543,4703619,1
2-FSJ,2369,2296741:4700245:4703630,Southside,4544,4703630,1
2-FSJ,2366,2297358:4700302:4703759,Southside,4544,4703759,1
3-FSJ,2368,2296795:4700309:4703650,Central - Prospect Park,4543,4703650,1
1-FSJ,2367,2296991:4700313:4703830,Northside,4537,4703830,1
2-FSJ,2367,2297007:4700468:4703983,Southside,4544,4703983,1
2-FSJ,2367,2297015:4700487:4703590,Southside,4544,4703590,1
2-FSJ,2369,2296728:4700488:4703854,Southside,4544,4703854,1
1-FSJ,2366,2297339:4700541:4703759,Northside,4537,4703759,1
2-FSJ,2368,2296778:4700591:4703562,Southside,4544,4703562,1
1-FSJ,2369,2296717:4700602:4703854,Northside,4537,4703854,1
1-FSJ,2366,2297338:4700750:4703619,Northside,4537,4703619,1
3-FSJ,2368,2296794:4700751:4703562,Central - Prospect Park,4543,4703562,1
1-FSJ,2367,2296987:4700758:4703590,Northside,4537,4703590,1
1-FSJ,2367,2296992:4700776:4703983,Northside,4537,4703983,1
2-FSJ,2368,2296769:4700872:4703562,Southside,4544,4703562,1
1-FSJ,2369,2296733:4700892:4703630,Northside,4537,4703630,1
2-FSJ,2368,2296787:4701012:4703650,Southside,4544,4703650,1
2-FSJ,2366,2297341:4701030:4703863,Southside,4544,4703863,1
2-FSJ,2367,2296998:4701074:4703590,Southside,4544,4703590,1
1-FSJ,2366,2297318:4701115:4703619,Northside,4537,4703619,1
1-FSJ,2369,2296736:4701161:4703630,Northside,4537,4703630,1
2-FSJ,2366,2297343:4701206:4703619,Southside,4544,4703619,1
3-FSJ,2366,2297374:4701212:4703759,Central - Prospect Park,4543,4703759,1
3-FSJ,2367,2297019:4701221:4703590,Central - Prospect Park,4543,4703590,1
3-FSJ,2368,2296789:4701242:4703953,Central - Prospect Park,4543,4703953,1
3-FSJ,2368,2296804:4701402:4703953,Central - Prospect Park,4543,4703953,1
1-FSJ,2366,2297336:4701489:4703759,Northside,4537,4703759,1
1-FSJ,2367,2296986:4701511:4703830,Northside,4537,4703830,1
2-FSJ,2366,2297356:4701589:4703619,Southside,4544,4703619,1
2-FSJ,2366,2297349:4701594:4703863,Southside,4544,4703863,1
1-FSJ,2368,2296766:4701662:4703953,Northside,4537,4703953,1
3-FSJ,2366,2297370:4701712:4703759,Central - Prospect Park,4543,4703759,1
2-FSJ,2369,2296719:4701758:4703630,Southside,4544,4703630,1
1-FSJ,2367,2296978:4701822:4703830,Northside,4537,4703830,1
3-FSJ,2368,2296809:4701833:4703562,Central - Prospect Park,4549,4703562,1
1-FSJ,2367,2296980:4701924:4703830,Northside,4537,4703830,1
2-FSJ,2367,2297004:4701933:4703830,Southside,4544,4703830,1
1-FSJ,2369,2296722:4702164:4703630,Northside,4537,4703630,1
2-FSJ,2367,2297005:4702180:4703590,Southside,4544,4703590,1
1-FSJ,2366,2297337:4702195:4703863,Northside,4537,4703863,1
2-FSJ,2367,2297009:4702276:4703983,Southside,4544,4703983,1
2-FSJ,2366,2297359:4702289:4703863,Southside,4544,4703863,1
3-FSJ,2368,2296797:4702314:4703562,Central - Prospect Park,4543,4703562,1
3-FSJ,2368,2296801:4702325:4703562,Central - Prospect Park,4543,4703562,1
1-FSJ,2368,2296767:4702344:4703650,Northside,4537,4703650,1
3-FSJ,2369,2296732:4702521:4703854,Central - Prospect Park,4543,4703854,1
1-FSJ,2368,2296756:4702529:4703650,Northside,4537,4703650,1
3-FSJ,2366,2297373:4702534:4703619,Central - Prospect Park,4543,4703619,1
3-FSJ,2366,2297364:4702536:4703863,Central - Prospect Park,4543,4703863,1
1-FSJ,2366,2297324:4702551:4703863,Northside,4537,4703863,1
3-FSJ,2367,2297024:4702583:4703590,Central - Prospect Park,4543,4703590,1
2-FSJ,2369,2296711:4702591:4703854,Southside,4544,4703854,1
2-FSJ,2369,2296729:4702722:4703854,Southside,4544,4703854,1
3-FSJ,2367,2297033:4702822:4703983,Central - Prospect Park,4543,4703983,1
3-FSJ,2366,2297372:4702842:4703863,Central - Prospect Park,4543,4703863,1
1-FSJ,2367,2296990:4702846:4703830,Northside,4537,4703830,1
2-FSJ,2369,2296735:4702897:4703630,Southside,4544,4703630,1
3-FSJ,2366,2297369:4702921:4703863,Central - Prospect Park,4543,4703863,1
3-FSJ,2369,2296710:4702988:4703854,Central - Prospect Park,4543,4703854,1
3-FSJ,2368,2296802:4703007:4703562,Central - Prospect Park,4543,4703562,1
1-FSJ,2366,2297325:4703058:4703759,Northside,4537,4703759,1
2-FSJ,2366,2297348:4703153:4703619,Southside,4544,4703619,1
2-FSJ,2367,2297013:4703224:4703590,Southside,4544,4703590,1
1-FSJ,2368,2296765:4703276:4703562,Northside,4537,4703562,1
3-FSJ,2366,2297375:4703277:4703619,Central - Prospect Park,4543,4703619,1
2-FSJ,2366,2297346:4703282:4703863,Southside,4544,4703863,1
1-FSJ,2368,2296758:4703465:4703650,Northside,4537,4703650,1
3-FSJ,2367,2297028:4703469:4703830,Central - Prospect Park,4543,4703830,1
4-FSJ,2368,2296811:4703478:4703562,Southeast,4542,4703562,0
