route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
7-KAM,2384,2232224:4475218:5024648,Downtown Via Bestwick,13974,5024648,0
9-KAM,2387,2233757:4475226:4503893,Gleneagles Via TRU,13803,4503893,1
5-KAM,2384,2232543:4475241:5024341,Pineview Via Hillside,13797,5024341,1
1-KAM,2384,2232171:4475283:5318432,Downtown Via Tranquille,13800,5318432,0
1-KAM,2384,2232511:4475297:5318519,Brocklehurst Via Tranquille,14038,5318519,1
9-KAM,2387,2233984:4475302:5318490,Gleneagles Via TRU,13803,5318490,1
7-KAM,2384,2232098:4475321:5024606,Downtown Via Bestwick,13974,5024606,0
4-KAM,2386,2233359:4475329:5024430,TRU Via Notre Dame,13808,5024430,0
1-KAM,2387,2233972:4475362:5024879,Brocklehurst Via Tranquille,14038,5024879,1
13-KAM,2384,2232483:4475365:4503461,Yellowhead To Heffley Creek,13901,4503461,1
5-KAM,2386,2233143:4475371:4504155,TRU Via Hillside,13985,4504155,0
1-KAM,2387,2233951:4475391:4503948,Downtown Via Tranquille,13800,4503948,0
2-KAM,2386,2233324:4475401:4503218,Downtown Via Parkcrest,13832,4503218,0
9-KAM,2384,2232226:4475409:5318578,Downtown Via TRU,13990,5318578,0
4-KAM,2386,2233362:4475417:5024430,TRU Via Notre Dame,13808,5024430,0
4-KAM,2386,2233357:4475453:5024430,TRU Via Notre Dame,13808,5024430,0
1-KAM,2384,2232623:4475459:4503352,Downtown Via Tranquille,13800,4503352,0
14-KAM,2384,2232689:4475480:4503159,Batchelor Hgts To North Shore Exch,14036,4503159,0
4-KAM,2384,2231913:4475511:5024251,Pacific Way Via Notre Dame,13853,5024251,1
1-KAM,2386,2233013:4475518:4503905,Downtown Via Tranquille,13800,4503905,0
5-KAM,2386,2233118:4475550:4504692,Pineview Via Hillside,13797,4504692,1
1-KAM,2384,2231975:4475557:4504194,Brocklehurst Via Tranquille,14038,4504194,1
2-KAM,2387,2233668:4475589:5024478,Downtown Via Parkcrest,13832,5024478,0
2-KAM,2386,2233048:4475699:5025034,Downtown Via Parkcrest,13832,5025034,0
14-KAM,2384,2232434:4475717:5318578,Batchelor Hgts To North Shore Exch,14036,5318578,0
4-KAM,2387,2233721:4475745:4503492,Pacific Way Via Notre Dame,13853,4503492,1
2-KAM,2384,2232453:4475759:5024947,Downtown Via Parkcrest,13832,5024947,0
13-KAM,2386,2233245:4475761:4503445,Yellowhead To Heffley Creek,13901,4503445,1
5-KAM,2386,2233136:4475797:4504155,TRU Via Hillside,13985,4504155,0
4-KAM,2386,2233375:4475809:4504403,TRU Via Notre Dame,13808,4504403,0
3-KAM,2386,2233059:4475845:5318405,Westsyde To Harrington,14015,5318405,1
1-KAM,2384,2232064:4475899:4503076,Downtown Via Tranquille,13800,4503076,0
9-KAM,2384,2232454:4475905:5318429,Gleneagles Via TRU,13803,5318429,1
1-KAM,2387,2233646:4475906:4503893,Downtown Via Tranquille,13800,4503893,0
1-KAM,2386,2233544:4475919:4503181,Brocklehurst Via Tranquille,14038,4503181,1
5-KAM,2384,2232556:4475950:5024341,TRU Via Versatile,14031,5024341,0
6-KAM,2384,2232350:4475957:5024011,Downtown Loop,13806,5024011,1
9-KAM,2387,2233847:4475983:5318513,Gleneagles Via TRU,13803,5318513,1
2-KAM,2386,2233042:4475999:4504434,Downtown Via Parkcrest,13832,4504434,0
6-KAM,2386,2233164:4476009:5318405,Downtown Loop,13806,5318405,1
4-KAM,2384,2232262:4476047:5024500,Pacific Way Via Notre Dame,13853,5024500,1
6-KAM,2384,2232240:4476061:5025533,Downtown Loop,13806,5025533,1
1-KAM,2387,2233978:4476086:5024879,Downtown Via Tranquille,13800,5024879,0
3-KAM,2384,2232082:4476131:5318381,Westsyde To Downtown,13860,5318381,0
2-KAM,2386,2233027:4476137:4503622,Brocklehurst Via Parkcrest,14018,4503622,1
4-KAM,2384,2232539:4476161:5024341,Pacific Way Via Notre Dame,13853,5024341,1
81-KAM,2390,2231885:4476174:4503043,Batchelor Heights,14024,4503043,1
9-KAM,2384,2232314:4476177:5318579,Downtown Via TRU,13990,5318579,0
3-KAM,2384,2232497:4476179:5318414,Westsyde To Harrington,14015,5318414,1
1-KAM,2384,2232030:4476184:5318523,Brocklehurst Via Tranquille,14038,5318523,1
9-KAM,2386,2233219:4476224:5025192,Downtown Via TRU,13990,5025192,0
9-KAM,2387,2233988:4476227:4503492,Downtown Via TRU,13990,4503492,0
9-KAM,2384,2232609:4476233:5024699,Downtown Via TRU,13990,5024699,0
3-KAM,2384,2232217:4476276:5025533,Westsyde To Downtown,13860,5025533,0
9-KAM,2384,2232117:4476284:5318332,Downtown Via TRU,13990,5318332,0
2-KAM,2387,2233657:4476287:5024879,Brocklehurst Via Parkcrest,14018,5024879,1
5-KAM,2384,2232541:4476293:5024341,TRU Via Hillside,13985,5024341,0
5-KAM,2387,2233891:4476297:4504622,Pineview Via Hillside,13797,4504622,1
9-KAM,2384,2232221:4476303:5318578,Gleneagles Via TRU,13803,5318578,1
16-KAM,2387,2233678:4476310:5318486,Juniper Ridge,13994,5318486,1
9-KAM,2384,2232196:4476320:5025418,Downtown Via TRU,13990,5025418,0
17-KAM,2386,2233300:4476335:4503390,To Kokanee Way Via Dallas,13987,4503390,1
9-KAM,2386,2233211:4476359:4503808,Gleneagles Via TRU,13803,4503808,1
1-KAM,2386,2233538:4476423:4503252,Downtown Via Tranquille,13800,4503252,0
17-KAM,2384,2232655:4476442:5024011,To Kokanee Way Via Dallas,13987,5024011,1
5-KAM,2384,2232275:4476453:5024500,Pineview Via Hillside,13797,5024500,1
7-KAM,2384,2232535:4476471:5024647,Downtown Via Bestwick,13974,5024647,0
6-KAM,2386,2233172:4476493:4504434,Downtown Loop,13806,4504434,1
1-KAM,2386,2232985:4476529:5318357,Brocklehurst Via Tranquille,14038,5318357,1
2-KAM,2384,2232140:4476533:5318432,Downtown Via Parkcrest,13832,5318432,0
9-KAM,2384,2232379:4476549:5318480,Downtown Via TRU,13990,5318480,0
18-KAM,2384,2232711:4476566:4504637,Mt. Paul,13927,4504637,0
3-KAM,2387,2233817:4476569:5024133,Westsyde To Downtown,13860,5024133,0
9-KAM,2384,2232614:4476599:5025404,Gleneagles Via TRU,13803,5025404,1
2-KAM,2386,2233038:4476626:4504161,Downtown Via Parkcrest,13832,4504161,0
2-KAM,2386,2233043:4476630:4503497,Downtown Via Parkcrest,13832,4503497,0
16-KAM,2387,2233686:4476661:5024289,Juniper Ridge,13994,5024289,1
1-KAM,2386,2233000:4476685:5025034,Downtown Via Tranquille,13800,5025034,0
4-KAM,2386,2233353:4476782:5024430,TRU Via Notre Dame,13808,5024430,0
