route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
12-KEL,2253,2692831:4614123:4619628,McCulloch,13266,4619628,0
12-KEL,2253,2692835:4614127:4619710,McCulloch - To Orchard Park,13373,4619710,1
11-KEL,2252,2691993:4614131:5305515,Rutland,13279,5305515,0
19-KEL,2380,2685135:4614132:4619762,Orchard Park,13504,4619762,1
18-KEL,2380,2685189:4614133:4619802,Downtown,13421,4619802,1
19-KEL,2252,2692326:4614134:4619704,Glenmore,13287,4619704,0
24-KEL,2380,2685349:4614137:4619782,Shannon Ridge - Boucherie Mtn,13317,4619782,0
20-KEL,2380,2685406:4614138:4619738,Lakeview - To Westbank,13795,4619738,1
23-KEL,2380,2685089:4614139:4619691,UBCO Via Airport,13415,4619691,1
2-KEL,2252,2691892:4614140:5305613,North End Shuttle,13313,5305613,0
17-KEL,2253,2692897:4614142:4619912,Southridge,13249,4619912,0
23-KEL,2380,2685040:4614143:4619734,UBCO Via Airport,13415,4619734,1
12-KEL,2380,2685536:4614144:4619692,McCulloch,13247,4619692,0
97-KEL,2252,2692131:4614146:5305407,Westbank,13360,5305407,1
24-KEL,2253,2693178:4614148:5305526,Shannon Ridge - Boucherie Mtn,13317,5305526,0
97-KEL,2380,2685826:4614150:4619669,Westbank,13360,4619669,1
23-KEL,2252,2692451:4614151:5305446,UBCO Via Airport,13415,5305446,1
3-KEL,2253,2692754:4614153:5305465,Dilworth Mtn,13395,5305465,0
16-KEL,2253,2692908:4614154:4619912,Kettle Valley,13323,4619912,1
3-KEL,2252,2691902:4614155:4619724,Dilworth Mtn,13395,4619724,0
23-KEL,2252,2692070:4614157:5305393,Lake Country,13260,5305393,0
10-KEL,2380,2684970:4614160:4619772,Downtown,13315,4619772,1
21-KEL,2252,2692517:4614164:4619798,Glenrosa,13526,4619798,1
5-KEL,2252,2692228:4614168:5305477,Gordon - Mission Rec Exch,13416,5305477,1
11-KEL,2380,2685012:4614174:5024463,Downtown,14203,5024463,1
23-KEL,2380,2685059:4614177:4619691,Lake Country - Old Vernon Rd,13253,4619691,0
26-KEL,2380,2685308:4614179:4619707,Old Okanagan - Westbank Ex.,13290,4619707,1
8-KEL,2252,2691910:4614180:5305505,College,13310,5305505,1
5-KEL,2253,2692944:4614183:5305418,Downtown,13331,5305418,0
23-KEL,2380,2685079:4614187:4619641,UBCO Via Airport,13415,4619641,1
1-KEL,2253,2692739:4614189:4619848,Downtown,13374,4619848,0
1-KEL,2253,2692722:4614190:4619848,Lakeshore - Mission Rec Exch,13454,4619848,1
23-KEL,2252,2692071:4614193:5305446,Lake Country,13260,5305446,0
8-KEL,2380,2686054:4614194:4619780,College,13739,4619780,1
19-KEL,2380,2685166:4614197:4619676,Orchard Park,13504,4619676,1
1-KEL,2380,2684771:4614198:5305452,Lakeshore - Mission Rec Exch,13454,5305452,1
11-KEL,2380,2685015:4614202:5024098,Downtown,14203,5024098,1
10-KEL,2253,2692779:4614204:5305487,North Rutland,13312,5305487,0
24-KEL,2253,2693141:4614207:5305419,Shannon Ridge- To Westbank,13246,5305419,1
10-KEL,2380,2684956:4614209:4619655,Downtown,13315,4619655,1
11-KEL,2252,2692301:4614213:4619884,To Orchard Park,13359,4619884,1
19-KEL,2380,2685215:4614218:4619802,Orchard Park,13504,4619802,1
14-KEL,2380,2685550:4614220:4619812,Black Mountain,13351,4619812,1
8-KEL,2253,2693097:4614221:5305555,University - To UBCO,13486,5305555,0
10-KEL,2380,2684965:4614230:4619928,North Rutland,13460,4619928,0
20-KEL,2380,2685456:4614235:4619671,Lakeview - Boucherie Mtn,13258,4619671,0
6-KEL,2380,2685736:4614236:4619850,UBCO,13426,4619850,1
12-KEL,2380,2685542:4614238:4619692,McCulloch - To South Pandosy Via College,14214,4619692,1
11-KEL,2380,2684976:4614240:5024582,Rutland,13279,5024582,0
21-KEL,2380,2685509:4614241:4619669,Glenrosa,13526,4619669,1
4-KEL,2380,2685603:4614246:4619703,UBCO Express,13569,4619703,0
10-KEL,2252,2691964:4614247:5305515,Downtown,13405,5305515,1
8-KEL,2380,2685660:4614248:4619800,University - To UBCO,13486,4619800,0
32-KEL,2380,2685302:4614249:4619658,The Lakes,13494,4619658,0
23-KEL,2253,2693078:4614251:4619621,Lake Country,13260,4619621,0
16-KEL,2252,2692164:4614256:4619884,Kettle Valley,13323,4619884,1
19-KEL,2252,2692434:4614261:4619704,Orchard Park,13504,4619704,1
10-KEL,2380,2684936:4614262:4619928,Downtown,13315,4619928,1
24-KEL,2380,2685487:4614265:4619808,Shannon Ridge - Boucherie Mtn,13317,4619808,0
26-KEL,2252,2692614:4614266:4619627,Old Okanagan - Westbank Ex.,13290,4619627,1
15-KEL,2252,2692169:4614267:4619759,Crawford,13485,4619759,1
11-KEL,2380,2684982:4614268:4619653,Downtown,14203,4619653,1
11-KEL,2380,2684974:4614269:4619653,Rutland,13279,4619653,0
11-KEL,2252,2692009:4614273:4619825,Downtown,13324,4619825,1
18-KEL,2380,2685176:4614275:4619802,Downtown,13421,4619802,1
97-KEL,2381,2685809:4614276:4619818,UBCO,13358,4619818,0
97-KEL,2298,2685809:4614276:4619882,UBCO,13358,4619882,0
8-KEL,2253,2693111:4614277:5305339,University - To UBCO,13486,5305339,0
8-KEL,2380,2685665:4614286:4619780,University - To UBCO,13486,4619780,0
23-KEL,2253,2693059:4614289:5305339,UBCO,13442,5305339,1
24-KEL,2253,2693150:4614290:4619854,Shannon Ridge- To Westbank,13246,4619854,1
23-KEL,2380,2685112:4614292:5024343,UBCO Via Airport,13415,5024343,1
23-KEL,2253,2693068:4614293:4619898,Lake Country,13260,4619898,0
8-KEL,2252,2692305:4614297:5305393,University - To UBCO,13486,5305393,0
19-KEL,2252,2692438:4614299:4619704,Orchard Park,13504,4619704,1
21-KEL,2253,2693163:4614300:4619854,Glenrosa,13526,4619854,1
23-KEL,2380,2685083:4614301:5025134,UBCO Via Airport,13415,5025134,1
19-KEL,2252,2692385:4614303:4619833,Glenmore,13287,4619833,0
10-KEL,2252,2691916:4614305:5305602,North Rutland,13312,5305602,0
97-KEL,2380,2685905:4614306:4619653,UBCO,13358,4619653,0
3-KEL,2380,2685291:4614309:4619872,Dilworth Mtn,13395,4619872,0
8-KEL,2252,2692478:4614310:5305448,University - To UBCO,13486,5305448,0
6-KEL,2252,2692347:4614314:5305470,UBCO,13426,5305470,1
21-KEL,2380,2685392:4614315:4619782,Glenrosa,13526,4619782,1
18-KEL,2252,2692414:4614317:4619932,Downtown,13421,4619932,1
9-KEL,2380,2685292:4614318:4619772,Shopper Shuttle - To Downtown,13245,4619772,1
21-KEL,2253,2693139:4614320:5305419,Glenrosa,13526,5305419,1
11-KEL,2252,2692010:4614321:4619735,Downtown,13324,4619735,1
8-KEL,2380,2685694:4614322:4619960,College,13739,4619960,1
8-KEL,2380,2686051:4614324:5025134,College,13739,5025134,1
8-KEL,2380,2685646:4614328:4619629,University - To UBCO,13486,4619629,0
1-KEL,2252,2691852:4614331:4619833,Downtown,13374,4619833,0
19-KEL,2252,2692377:4614332:4619833,Glenmore,13287,4619833,0
18-KEL,2380,2685201:4614333:4619802,Downtown,13421,4619802,1
10-KEL,2252,2691926:4614338:5305588,North Rutland,13312,5305588,0
20-KEL,2380,2685436:4614339:4619671,Lakeview - Boucherie Mtn,13258,4619671,0
8-KEL,2380,2686019:4614343:4619820,University - To UBCO,13486,4619820,0
10-KEL,2380,2684933:4614345:5024348,North Rutland,13312,5024348,0
11-KEL,2380,2685023:4614347:5024098,Downtown,14203,5024098,1
19-KEL,2380,2685139:4614349:4619762,Glenmore,13287,4619762,0
20-KEL,2380,2685387:4614356:4619782,Lakeview - To Westbank,13795,4619782,1
19-KEL,2380,2685155:4614357:4619676,Orchard Park,13504,4619676,1
11-KEL,2252,2692013:4614359:4619740,Downtown,13324,4619740,1
1-KEL,2252,2691857:4614360:5305610,Downtown,13374,5305610,0
3-KEL,2252,2691900:4614361:4619688,Dilworth Mtn,13395,4619688,0
20-KEL,2380,2685351:4614363:4619738,Lakeview - To Westbank,13795,4619738,1
18-KEL,2252,2692362:4614366:4619833,Glenmore,13363,4619833,0
1-KEL,2380,2685569:4614367:5305575,Lakeshore - Mission Rec Exch,13454,5305575,1
10-KEL,2253,2692780:4614368:4619913,Downtown,13405,4619913,1
97-KEL,2380,2685875:4614369:4619677,Downtown,13338,4619677,1
10-KEL,2253,2692762:4614374:5305465,North Rutland,13312,5305465,0
11-KEL,2380,2684997:4614382:4619868,Rutland,13279,4619868,0
97-KEL,2380,2685801:4614385:4619669,UBCO,13478,4619669,0
6-KEL,2253,2693003:4614389:4619719,Downtown,13439,4619719,0
16-KEL,2380,2685242:4614391:5305420,Kettle Valley,13323,5305420,1
18-KEL,2252,2692359:4614393:5305426,Glenmore,13363,5305426,0
18-KEL,2252,2692358:4614399:5305573,Glenmore,13363,5305573,0
8-KEL,2380,2695018:4614401:4619845,University - To UBCO,13455,4619845,0
97-KEL,2252,2692395:4614403:5305376,Downtown,13412,5305376,0
23-KEL,2380,2685045:4614405:4619899,Lake Country Via Airport,13417,4619899,0
97-KEL,2380,2685762:4614407:5305483,Westbank,13360,5305483,1
12-KEL,2252,2692030:4614408:4619750,McCulloch,13266,4619750,0
24-KEL,2380,2685316:4614410:4619738,Shannon Ridge- To Westbank,13246,4619738,1
11-KEL,2380,2685022:4614412:4619682,Downtown,14203,4619682,1
19-KEL,2380,2685116:4614413:5025240,Orchard Park,13504,5025240,1
10-KEL,2253,2692786:4614415:4619621,Downtown,13405,4619621,1
15-KEL,2252,2692512:4614419:4619724,Crawford,13485,4619724,1
26-KEL,2380,2685438:4614422:4619789,Old Okanagan - Westbank Ex.,13290,4619789,1
16-KEL,2380,2685254:4614423:5305567,Kettle Valley,13323,5305567,1
24-KEL,2380,2685327:4614424:4619732,Shannon Ridge- To Westbank,13246,4619732,1
10-KEL,2380,2684910:4614428:5305389,North Rutland,13312,5305389,0
23-KEL,2253,2693058:4614429:4619898,UBCO,13442,4619898,1
5-KEL,2380,2684875:4614433:5024230,Gordon - Mission Rec Exch,13416,5024230,1
97-KEL,2380,2685754:4614436:4619941,Westbank,13360,4619941,1
19-KEL,2253,2693037:4614438:4619665,Glenmore,13287,4619665,0
13-KEL,2380,2686238:4614439:4619768,UBCO,13362,4619768,1
97-KEL,2380,2685862:4614441:5305382,UBCO,13478,5305382,0
12-KEL,2253,2692830:4614442:4619710,McCulloch,13266,4619710,0
21-KEL,2380,2685360:4614447:4619889,Glenrosa,13526,4619889,1
97-KEL,2252,2692092:4614452:5305376,UBCO,13358,5305376,0
8-KEL,2380,2685939:4614455:4619779,College,13739,4619779,1
20-KEL,2380,2685430:4614456:4619738,Lakeview - Boucherie Mtn,13258,4619738,0
10-KEL,2252,2691950:4614457:5305355,Downtown,13405,5305355,1
6-KEL,2380,2685591:4614458:4619734,Downtown,13439,4619734,0
97-KEL,2380,2685924:4614459:4619808,Downtown,13412,4619808,0
19-KEL,2252,2692428:4614460:4619704,Orchard Park,13504,4619704,1
20-KEL,2252,2692543:4614461:4619627,Lakeview - To Westbank,13340,4619627,1
11-KEL,2380,2684991:4614464:5024582,Downtown,14203,5024582,1
26-KEL,2253,2693196:4614466:5305526,Old Okanagan - Westbank Ex.,13290,5305526,1
6-KEL,2252,2692350:4614468:5305505,UBCO,13426,5305505,1
11-KEL,2253,2692793:4614469:4619621,Rutland,13279,4619621,0
8-KEL,2252,2692505:4614471:4619833,University - To UBCO,13486,4619833,0
8-KEL,2380,2685677:4614473:4619800,College,13739,4619800,1
18-KEL,2380,2685180:4614476:4619802,Glenmore,13363,4619802,0
97-KEL,2252,2692091:4614484:5305336,UBCO,13358,5305336,0
97-KEL,2380,2685793:4614490:4619653,UBCO,13478,4619653,0
22-KEL,2380,2685377:4614491:4619616,Peachland - To Westbank,13274,4619616,0
1-KEL,2252,2691868:4614494:5305355,Downtown,13374,5305355,0
2-KEL,2252,2691880:4614497:5305610,North End Shuttle,13313,5305610,0
13-KEL,2380,2686241:4614498:4619768,UBCO,13362,4619768,1
10-KEL,2252,2691943:4614499:5305355,Downtown,13405,5305355,1
20-KEL,2380,2685328:4614501:4619732,Lakeview - To Westbank,13795,4619732,1
20-KEL,2253,2693172:4614506:4619854,Lakeview - Boucherie Mtn,13258,4619854,0
6-KEL,2252,2692370:4614507:4619932,Downtown,13439,4619932,0
11-KEL,2252,2691986:4614509:5305613,Rutland,13279,5305613,0
97-KEL,2252,2692118:4614516:5305470,Westbank,13360,5305470,1
13-KEL,2380,2685881:4614523:4619768,Quail Ridge,14248,4619768,0
18-KEL,2252,2692415:4614524:4619833,Downtown,13421,4619833,1
10-KEL,2252,2691945:4614525:5305613,Downtown,13405,5305613,1
6-KEL,2252,2692375:4614526:4619932,Downtown,13439,4619932,0
25-KEL,2380,2685398:4614528:4619789,East Boundary - Boucherie Mtn,13394,4619789,0
23-KEL,2380,2685052:4614531:5024343,Lake Country Via Airport,13417,5024343,0
29-KEL,2380,2685313:4614532:4619904,Bear Creek,13445,4619904,0
97-KEL,2380,2685848:4614537:4619669,Westbank,13360,4619669,1
24-KEL,2380,2685305:4614541:4619738,Shannon Ridge - Boucherie Mtn,13317,4619738,0
20-KEL,2252,2692536:4614548:4619737,Lakeview - Boucherie Mtn,13258,4619737,0
97-KEL,2380,2685859:4614552:5305382,Downtown,13338,5305382,1
8-KEL,2252,2692506:4614554:5305426,University - To UBCO,13486,5305426,0
13-KEL,2380,2686233:4614555:4619911,UBCO,13362,4619911,1
1-KEL,2253,2692730:4614556:5305379,Downtown,13374,5305379,0
10-KEL,2380,2684912:4614559:5305534,North Rutland,13312,5305534,0
11-KEL,2252,2692025:4614561:4619932,Downtown,13324,4619932,1
5-KEL,2252,2692270:4614565:4619932,Downtown,13331,4619932,0
2-KEL,2252,2691876:4614566:4619833,North End Shuttle,13313,4619833,0
8-KEL,2252,2692509:4614571:4619932,University - To UBCO,13486,4619932,0
23-KEL,2252,2692444:4614572:5305393,UBCO,13442,5305393,1
23-KEL,2252,2692458:4614574:5305446,UBCO,13442,5305446,1
10-KEL,2253,2692784:4614575:4619860,Downtown,13405,4619860,1
20-KEL,2252,2692539:4614576:4619737,Lakeview - Boucherie Mtn,13258,4619737,0
18-KEL,2253,2693055:4614578:4619665,Glenmore,13363,4619665,0
18-KEL,2253,2693039:4614581:4619665,Glenmore,13363,4619665,0
16-KEL,2253,2692886:4614583:4619830,Kettle Valley,13323,4619830,1
22-KEL,2380,2685501:4614584:4619851,Peachland,13483,4619851,1
8-KEL,2380,2686034:4614585:4619739,University - To UBCO,13486,4619739,0
8-KEL,2380,2686027:4614597:4619739,University - To UBCO,13486,4619739,0
11-KEL,2252,2691989:4614599:4619735,Rutland,13279,4619735,0
8-KEL,2380,2685671:4614600:4619922,University - To UBCO,13486,4619922,0
21-KEL,2253,2693165:4614604:5305419,Glenrosa,13526,5305419,1
25-KEL,2253,2693208:4614605:5305526,East Boundary - Boucherie Mtn,13394,5305526,0
5-KEL,2252,2692231:4614615:5305610,Gordon - Mission Rec Exch,13416,5305610,1
10-KEL,2380,2685625:4614618:4619868,North Rutland,13312,4619868,0
18-KEL,2380,2685199:4614621:4619802,Glenmore,13363,4619802,0
23-KEL,2380,2685075:4614624:5024343,Lake Country,13260,5024343,0
23-KEL,2252,2692069:4614625:4619938,Lake Country,13260,4619938,0
11-KEL,2252,2692299:4614626:4619750,To Orchard Park,13359,4619750,1
19-KEL,2380,2685136:4614631:4619762,Orchard Park,13504,4619762,1
20-KEL,2252,2692589:4614638:4619737,Lakeview - To Westbank,13340,4619737,1
10-KEL,2252,2691930:4614639:5305613,North Rutland,13312,5305613,0
23-KEL,2380,2685077:4614640:5024343,Lake Country,13260,5024343,0
16-KEL,2253,2692883:4614642:4619710,Kettle Valley,13323,4619710,1
10-KEL,2252,2691918:4614646:5305613,North Rutland,13312,5305613,0
23-KEL,2380,2685104:4614647:4619743,UBCO Via Airport,13415,4619743,1
23-KEL,2252,2692073:4614648:5305446,Lake Country - Old Vernon Rd,13253,5305446,0
10-KEL,2380,2684964:4614649:4619953,North Rutland,13460,4619953,0
97-KEL,2253,2692950:4614652:5305487,UBCO,13358,5305487,0
97-KEL,2380,2685765:4614653:4619677,Westbank,13360,4619677,1
13-KEL,2380,2685889:4614655:4619911,Quail Ridge,14248,4619911,0
20-KEL,2380,2685408:4614656:4619782,Lakeview - Boucherie Mtn,13258,4619782,0
6-KEL,2253,2693000:4614658:4619719,Downtown,13439,4619719,0
12-KEL,2252,2692043:4614660:4619884,McCulloch - To Orchard Park,13373,4619884,1
12-KEL,2253,2692829:4614663:4619710,McCulloch,13266,4619710,0
1-KEL,2252,2691858:4614665:5305442,Downtown,13374,5305442,0
2-KEL,2253,2692748:4614666:4619913,North End Shuttle,13313,4619913,0
8-KEL,2380,2685933:4614668:4619779,University - To UBCO,13486,4619779,0
5-KEL,2253,2692918:4614670:4619640,Gordon - Mission Rec Exch,13416,4619640,1
25-KEL,2380,2685336:4614672:4619789,East Boundary - Boucherie Mtn,13394,4619789,0
11-KEL,2380,2684996:4614674:5305347,Rutland,13279,5305347,0
10-KEL,2380,2684935:4614676:5305392,Downtown,13315,5305392,1
97-KEL,2380,2685766:4614684:4619843,UBCO,13358,4619843,0
5-KEL,2380,2684867:4614687:5024098,Gordon - Mission Rec Exch,13416,5024098,1
97-KEL,2380,2685873:4614694:4619677,UBCO,13478,4619677,0
26-KEL,2252,2692561:4614698:4619627,Old Okanagan - Boucherie Mtn,13472,4619627,0
24-KEL,2252,2692588:4614701:4619737,Shannon Ridge- To Westbank,13246,4619737,1
19-KEL,2253,2693030:4614704:4619665,Orchard Park,13504,4619665,1
1-KEL,2380,2684770:4614705:5305525,Lakeshore - Mission Rec Exch,13454,5305525,1
20-KEL,2253,2693195:4614708:4619854,Lakeview - Boucherie Mtn,13258,4619854,0
10-KEL,2380,2684937:4614709:4619772,Downtown,13315,4619772,1
19-KEL,2252,2692424:4614710:4619704,Orchard Park,13504,4619704,1
26-KEL,2380,2685298:4614711:4619707,Old Okanagan - Boucherie Mtn,13472,4619707,0
10-KEL,2253,2692771:4614724:4619640,North Rutland,13312,4619640,0
1-KEL,2380,2684846:4614727:5305343,Lakeshore - Mission Rec Exch,13454,5305343,1
18-KEL,2380,2685227:4614729:5305389,Glenmore,13363,5305389,0
15-KEL,2253,2692889:4614732:4619830,Crawford,13485,4619830,1
3-KEL,2380,2685285:4614735:4619878,Dilworth Mtn,13395,4619878,0
10-KEL,2252,2691924:4614737:5305602,North Rutland,13312,5305602,0
21-KEL,2380,2685488:4614738:4619782,Glenrosa,13526,4619782,1
12-KEL,2252,2692036:4614741:4619750,McCulloch - To Orchard Park,13373,4619750,1
18-KEL,2380,2685184:4614744:4619802,Glenmore,13363,4619802,0
21-KEL,2252,2692528:4614750:4619627,Glenrosa,13526,4619627,1
97-KEL,2252,2692113:4614751:5305407,Westbank,13360,5305407,1
6-KEL,2380,2684897:4614753:4619901,UBCO,13426,4619901,1
97-KEL,2381,2685792:4614754:4619818,Westbank,13360,4619818,1
97-KEL,2298,2685792:4614754:4619882,Westbank,13360,4619882,1
8-KEL,2252,2692472:4614757:5305505,University - To UBCO,13486,5305505,0
2-KEL,2252,2691884:4614760:5305477,North End Shuttle,13313,5305477,0
18-KEL,2380,2685195:4614763:4619802,Downtown,13421,4619802,1
8-KEL,2380,2686032:4614767:4619800,University - To UBCO,13486,4619800,0
2-KEL,2253,2692743:4614768:5305456,North End Shuttle,13313,5305456,0
24-KEL,2380,2685475:4614772:4619671,Shannon Ridge- To Westbank,13246,4619671,1
26-KEL,2252,2692549:4614773:4619737,Old Okanagan - Westbank Ex.,13290,4619737,1
26-KEL,2252,2692580:4614774:4619798,Old Okanagan - Westbank Ex.,13290,4619798,1
8-KEL,2380,2685649:4614775:5024343,College,13739,5024343,1
97-KEL,2380,2685776:4614779:4619677,Downtown,13338,4619677,1
22-KEL,2380,2685301:4614781:4619782,Peachland Exp,13243,4619782,1
1-KEL,2252,2692138:4614782:5305610,Lakeshore - Mission Rec Exch,13454,5305610,1
19-KEL,2253,2693021:4614785:4619665,Glenmore,13287,4619665,0
6-KEL,2380,2684895:4614786:4619734,Downtown,13439,4619734,0
21-KEL,2380,2685344:4614789:4619889,Glenrosa,13526,4619889,1
25-KEL,2380,2685448:4614791:4619954,East Boundary - Boucherie Mtn,13394,4619954,0
20-KEL,2252,2692596:4614793:4619627,Lakeview - To Westbank,13340,4619627,1
