route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
7-EKT,2169,2279493:2885671:2891968,7th / 11th Aves - Downtown - via Larch,3663,2891968,0
1-EKT,2171,2267744:2885686:3726280,Tamarack - to Walmart - via 6th St,3670,3726280,1
3-EKT,2168,2279426:2885699:3725788,3rd Ave - Downtown - via Innes,3205,3725788,1
3-EKT,2169,2279426:2885699:3725803,3rd Ave - Downtown - via Innes,3205,3725803,1
14-EKT,2171,2267746:2885729:3726380,14th Ave - Downtown - 10th & Victoria,3782,3726380,1
7-EKT,2167,2279430:2885736:3725865,7th / 11th Aves - Downtown - via Larch,3663,3725865,0
1-EKT,2170,2267822:2885766:3725818,Tamarack - to Downtown via Kokanee,3203,3725818,0
32-EKT,2167,2279570:2885785:2891989,North Connector,3757,2891989,1
14-EKT,2168,2279415:2885793:3725788,14th Ave - Downtown - 10th & Victoria,3782,3725788,1
14-EKT,2169,2279415:2885793:3725803,14th Ave - Downtown - 10th & Victoria,3782,3725803,1
1-EKT,2170,2267819:2885797:3725818,Tamarack - to Walmart - via 6th St,3670,3725818,1
7-EKT,2171,2267798:2885804:3726176,7th / 11th Aves - Downtown - via Larch,3663,3726176,0
1-EKT,2170,2267865:2885829:3725818,Tamarack - to Walmart - via 6th St,3670,3725818,1
7-EKT,2167,2279533:2885852:3725691,7th / 11th Aves - Downtown - via Larch,3663,3725691,0
1-EKT,2170,2267863:2885853:3725818,Tamarack - to Walmart - via 6th St,3670,3725818,1
3-EKT,2170,2267869:2885865:3725818,3rd Ave - Downtown - via Innes,3205,3725818,1
5-EKT,2171,2267752:2885879:3726380,College - Downtown - via Hospital,4037,3726380,0
1-EKT,2167,2279531:2885890:3725691,Tamarack - to Downtown via Kokanee,3203,3725691,0
1-EKT,2170,2267861:2885938:3725703,Tamarack - to Walmart - via 6th St,3670,3725703,1
5-EKT,2167,2279501:2886008:3726290,College - Downtown - via Hospital,4037,3726290,0
32-EKT,2167,2279581:2886016:2892089,North Connector,3757,2892089,1
1-EKT,2167,2279448:2886075:3726290,Tamarack - to Downtown via Kokanee,3203,3726290,0
3-EKT,2167,2279542:2886116:3725691,3rd Ave - Downtown - via Innes,3205,3725691,1
3-EKT,2169,2279505:2886117:3725803,3rd Ave - Downtown - via Innes,3205,3725803,1
1-EKT,2171,2267758:2886128:3726280,Tamarack - to Walmart - via 6th St,3670,3726280,1
7-EKT,2171,2267722:2886172:3726380,7th / 11th Aves - Downtown - via Larch,3663,3726380,0
7-EKT,2171,2267794:2886247:3725965,7th / 11th Aves - Downtown - via Larch,3663,3725965,0
32-EKT,2167,2279568:2886268:2891989,North Connector,3209,2891989,0
14-EKT,2171,2267767:2886294:3725965,14th Ave - Downtown - 10th & Victoria,3782,3725965,1
1-EKT,2167,2279447:2886314:3725865,Tamarack - to Walmart - via 6th St,3670,3725865,1
1-EKT,2171,2267754:2886317:2892103,Tamarack - to Downtown via Kokanee,3203,2892103,0
3-EKT,2170,2267867:2886346:3725818,3rd Ave - Downtown - via Innes,3205,3725818,1
1-EKT,2171,2267773:2886373:3725965,Tamarack - to Downtown via Kokanee,3203,3725965,0
5-EKT,2167,2279527:2886381:3726313,College - Downtown - via Hospital,4037,3726313,0
1-EKT,2170,2267857:2886425:3725703,Tamarack - to Walmart - via 6th St,3670,3725703,1
1-EKT,2167,2279530:2886437:3725691,Tamarack - to Downtown via Kokanee,3203,3725691,0
5-EKT,2167,2279494:2886469:3725865,College - Downtown - via Hospital,4037,3725865,0
3-EKT,2167,2279540:2886475:3725691,3rd Ave - Downtown - via Innes,3205,3725691,1
5-EKT,2167,2279462:2886505:3725865,College - Downtown - via Hospital,4037,3725865,0
5-EKT,2167,2279445:2886525:3726290,College - Downtown - via Hospital,4037,3726290,0
7-EKT,2171,2267791:2886556:3725965,7th / 11th Aves - Downtown - via Larch,3663,3725965,0
5-EKT,2171,2267777:2886585:2892103,College - Downtown - via Hospital,4037,2892103,0
22-EKT,2167,2279584:2886587:2891966,KC Commuter - to Cranbrook,3691,2891966,0
1-EKT,2170,2267828:2886590:3725818,Tamarack - to Downtown via Kokanee,3203,3725818,0
1-EKT,2170,2267858:2886621:3725818,Tamarack - to Downtown via Kokanee,3203,3725818,0
7-EKT,2167,2279463:2886631:3726263,7th / 11th Aves - Downtown - via Larch,3663,3726263,0
5-EKT,2167,2279511:2886687:3725865,College - Downtown - via Hospital,4037,3725865,0
1-EKT,2169,2279489:2886776:2891968,Tamarack - to Downtown via Kokanee,3203,2891968,0
5-EKT,2167,2279455:2886778:3726290,College - Downtown - via Hospital,4037,3726290,0
14-EKT,2171,2267780:2886784:3725965,14th Ave - Downtown - 10th & Victoria,3782,3725965,1
1-EKT,2170,2267824:2886875:3725818,Tamarack - to Downtown via Kokanee,3203,3725818,0
1-EKT,2170,2267817:2886930:3725703,Tamarack - to Walmart - via 6th St,3670,3725703,1
5-EKT,2171,2267738:2886959:3726380,College - Downtown - via Hospital,4037,3726380,0
3-EKT,2169,2279425:2886971:2891968,3rd Ave - Downtown - via Innes,3205,2891968,1
3-EKT,2168,2279425:2886971:2892158,3rd Ave - Downtown - via Innes,3205,2892158,1
41-EKT,2167,2279585:2886996:2892058,Sparwood,3190,2892058,0
5-EKT,2169,2279478:2887052:2891968,College - Downtown - via Hospital,4037,2891968,0
5-EKT,2168,2279478:2887052:2892158,College - Downtown - via Hospital,4037,2892158,0
1-EKT,2171,2267769:2887064:3725965,Tamarack - to Downtown via Kokanee,3203,3725965,0
7-EKT,2171,2267797:2887080:3725758,7th / 11th Aves - Downtown - via Larch,3663,3725758,0
1-EKT,2171,2267730:2887103:3726380,Tamarack - to Walmart - via 6th St,3670,3726380,1
14-EKT,2169,2279504:2887105:2891968,14th Ave - Downtown - 10th & Victoria,3782,2891968,1
7-EKT,2169,2279420:2887122:2891968,7th / 11th Aves - Downtown - via Larch,3663,2891968,0
7-EKT,2168,2279420:2887122:2892158,7th / 11th Aves - Downtown - via Larch,3663,2892158,0
5-EKT,2170,2267841:2887133:3725703,College - Downtown - via Hospital,4037,3725703,0
1-EKT,2171,2267768:2887160:3725965,Tamarack - to Walmart - via 6th St,3670,3725965,1
1-EKT,2169,2279484:2887170:2891968,Tamarack - to Downtown via Kokanee,3203,2891968,0
1-EKT,2168,2279484:2887170:2892158,Tamarack - to Downtown via Kokanee,3203,2892158,0
1-EKT,2167,2279543:2887173:3725691,Tamarack - to Walmart - via 6th St,3670,3725691,1
5-EKT,2171,2267757:2887242:2892103,College - Downtown - via Hospital,4037,2892103,0
1-EKT,2170,2267821:2887256:3725703,Tamarack - to Walmart - via 6th St,3670,3725703,1
14-EKT,2169,2279502:2887262:2891968,14th Ave - Downtown - 10th & Victoria,3782,2891968,1
5-EKT,2167,2279474:2887284:3726263,College - Downtown - via Hospital,4037,3726263,0
32-EKT,2167,2279580:2887336:2892089,North Connector,3209,2892089,0
1-EKT,2171,2267770:2887355:2892103,Tamarack - to Walmart - via 6th St,3670,2892103,1
7-EKT,2169,2279512:2887454:2891968,7th / 11th Aves - Downtown - via Larch,3663,2891968,0
1-EKT,2170,2267859:2887462:3725818,Tamarack - to Walmart - via 6th St,3670,3725818,1
14-EKT,2171,2267742:2887523:3725758,14th Ave - Downtown - 10th & Victoria,3782,3725758,1
14-EKT,2169,2279499:2887583:3725803,14th Ave - Downtown - 10th & Victoria,3782,3725803,1
14-EKT,2167,2279528:2887584:3726313,14th Ave - Downtown - 10th & Victoria,3782,3726313,1
14-EKT,2167,2279467:2887626:2891936,14th Ave - Downtown - 10th & Victoria,9284,2891936,1
5-EKT,2167,2279475:2887646:3725865,College - Downtown - via Hospital,4037,3725865,0
7-EKT,2171,2267793:2887707:3726280,7th / 11th Aves - Downtown - via Larch,3663,3726280,0
1-EKT,2171,2267753:2887721:2892103,Tamarack - to Walmart - via 6th St,3670,2892103,1
14-EKT,2171,2267756:2887725:2892103,14th Ave - Downtown - 10th & Victoria,3782,2892103,1
3-EKT,2167,2279534:2887763:3725691,3rd Ave - Downtown - via Innes,3205,3725691,1
14-EKT,2170,2267847:2887764:3725703,14th Ave - Downtown - 10th & Victoria,3782,3725703,1
1-EKT,2169,2279483:2887832:2891968,Tamarack - to Downtown via Kokanee,3203,2891968,0
31-EKT,2167,2279579:2887855:2892089,South Connector,3777,2892089,0
