route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-MER,2367,2204239:5397662:5401876,,17587,5401876,1
23-MER,2558,2204323:5397687:5401878,,17604,5401878,1
4-MER,2367,2204225:5397723:5401876,,17519,5401876,0
1-MER,2367,2204242:5397773:5401876,,17587,5401876,1
23-MER,2553,2204165:5397799:5401797,,17604,5401797,1
1-MER,2367,2204187:5397888:5401876,,17545,5401876,0
23-MER,2553,2204182:5397918:5401797,,17604,5401797,1
1-MER,2367,2204216:5397952:5401876,,17587,5401876,1
1-MER,2553,2204144:5397969:5401797,,17545,5401797,0
1-MER,2367,2204235:5397978:5401876,,17587,5401876,1
1-MER,2558,2204310:5398104:5401878,,17587,5401878,1
1-MER,2367,2204203:5398160:5401876,,17545,5401876,0
4-MER,2553,2223800:5398203:5401850,,17519,5401850,0
1-MER,2553,2204090:5398222:5401797,,17545,5401797,0
1-MER,2553,2204108:5398232:5401797,,17587,5401797,1
23-MER,2367,2204255:5398252:5401876,,17604,5401876,1
1-MER,2553,2223797:5398267:5401850,,17545,5401850,0
1-MER,2553,2204084:5398297:5401797,,17545,5401797,0
1-MER,2553,2204087:5398340:5401797,,17545,5401797,0
23-MER,2558,2204317:5398355:5401878,,17604,5401878,1
1-MER,2367,2204207:5398371:5401876,,17587,5401876,1
1-MER,2558,2204311:5398395:5401878,,17545,5401878,0
1-MER,2367,2204219:5398402:5401876,,17587,5401876,1
23-MER,2367,2204254:5398417:5401876,,17604,5401876,1
1-MER,2367,2204228:5398492:5401876,,17545,5401876,0
23-MER,2558,2204314:5398504:5401878,,17604,5401878,1
23-MER,2367,2204262:5398510:5401876,,17604,5401876,1
23-MER,2367,2204250:5398564:5401876,,17604,5401876,1
1-MER,2558,2204278:5398574:5401878,,17587,5401878,1
23-MER,2367,2204257:5398644:5401876,,17604,5401876,1
1-MER,2367,2204241:5398668:5401876,,17545,5401876,0
23-MER,2558,2204322:5398685:5401878,,17604,5401878,1
1-MER,2553,2204096:5398727:5401797,,17545,5401797,0
1-MER,2553,2204103:5398756:5401797,,17587,5401797,1
1-MER,2367,2204223:5398811:5401876,,17587,5401876,1
1-MER,2558,2204276:5398821:5401878,,17545,5401878,0
1-MER,2553,2204089:5398825:5401797,,17545,5401797,0
1-MER,2553,2204085:5398834:5401797,,17545,5401797,0
4-MER,2367,2204192:5398837:5401876,,17519,5401876,0
1-MER,2558,2204307:5398848:5401878,,17587,5401878,1
1-MER,2553,2204093:5398881:5401797,,17545,5401797,0
23-MER,2553,2204167:5398893:5401797,,17604,5401797,1
4-MER,2553,2204138:5398924:5401797,,17519,5401797,0
1-MER,2553,2204099:5398984:5401797,,17587,5401797,1
1-MER,2553,2204092:5399106:5401797,,17545,5401797,0
23-MER,2553,2204166:5399109:5401797,,17604,5401797,1
1-MER,2558,2204294:5399168:5401878,,17545,5401878,0
1-MER,2367,2204237:5399170:5401876,,17545,5401876,0
1-MER,2558,2204295:5399180:5401878,,17587,5401878,1
23-MER,2367,2204261:5399193:5401876,,17604,5401876,1
1-MER,2367,2204212:5399194:5401876,,17545,5401876,0
1-MER,2553,2223794:5399257:5402009,,17545,5402009,0
1-MER,2367,2204199:5399332:5401876,,17545,5401876,0
1-MER,2367,2204197:5399361:5401876,,17587,5401876,1
1-MER,2553,2204100:5399408:5401797,,17587,5401797,1
1-MER,2553,2204098:5399428:5401797,,17587,5401797,1
1-MER,2367,2204193:5399445:5401876,,17587,5401876,1
23-MER,2558,2204316:5399446:5401878,,17604,5401878,1
23-MER,2553,2204179:5399472:5401797,,17604,5401797,1
1-MER,2367,2204196:5399519:5401876,,17545,5401876,0
1-MER,2553,2223798:5399539:5401850,,17545,5401850,0
1-MER,2553,2204109:5399579:5401797,,17587,5401797,1
23-MER,2367,2204253:5399598:5401876,,17604,5401876,1
1-MER,2553,2204149:5399605:5401797,,17587,5401797,1
23-MER,2367,2204256:5399648:5401876,,17604,5401876,1
1-MER,2367,2204201:5399776:5401876,,17587,5401876,1
4-MER,2553,2204139:5399778:5401797,,17519,5401797,0
1-MER,2367,2204231:5399788:5401876,,17587,5401876,1
1-MER,2553,2204106:5399819:5401797,,17587,5401797,1
1-MER,2558,2204306:5399826:5401878,,17545,5401878,0
1-MER,2367,2204227:5399841:5401876,,17545,5401876,0
1-MER,2367,2204215:5399936:5401876,,17545,5401876,0
23-MER,2367,2204260:5399948:5401876,,17604,5401876,1
1-MER,2367,2204191:5399955:5401876,,17587,5401876,1
23-MER,2558,2204320:5400037:5401878,,17604,5401878,1
23-MER,2553,2204168:5400069:5401797,,17604,5401797,1
1-MER,2553,2204097:5400082:5401797,,17587,5401797,1
1-MER,2553,2204095:5400105:5401797,,17545,5401797,0
