route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
4-MTW,2048,2297523:4704748:4774991,Port Hardy,7009,4774991,1
5-MTW,2376,2292618:4704790:4778111,Port Hardy,7045,4778111,0
11-MTW,2048,2297514:4706329:4774991,Port Hardy Local,3881,4774991,1
12-MTW,2048,2297521:4706444:4775942,Port McNeill Local,6991,4775942,0
6-MTW,2376,2292621:4707432:4772559,Port Hardy,7031,4772559,0
4-MTW,2048,2297526:4707570:4776156,Fort Rupert,7002,4776156,0
6-MTW,2046,2297560:4707818:4776434,Port Hardy,7031,4776434,0
2-MTW,2048,2297504:4707892:4775842,Port Hardy,3890,4775842,1
4-MTW,2048,2297529:4708142:4775942,Port Hardy,7001,4775942,1
5-MTW,2048,2297510:4710422:4775942,Quatsino Health Ctr - via Coal Harbour,7000,4775942,1
2-MTW,2375,2292655:4710862:4778035,Port Hardy,14955,4778035,1
12-MTW,2374,2292347:4711208:4772954,Port McNeill Local,6991,4772954,0
1-MTW,2374,2292329:4712114:4772954,Port McNeill,3898,4772954,0
4-MTW,2048,2297527:4712391:4776156,Port Hardy,7009,4776156,1
11-MTW,2048,2297519:4713144:4775942,Port Hardy Local,3881,4775942,1
1-MTW,2374,2292330:4713909:4774178,Port McNeill,3898,4774178,0
12-MTW,2374,2292349:4715427:4777605,Port McNeill Local,4654,4777605,0
5-MTW,2374,2292369:4715675:4777605,Quatsino Health Ctr - via Coal Harbour,14992,4777605,1
6-MTW,2046,2297557:4716118:4772875,Woss,7023,4772875,1
4-MTW,2374,2292357:4719523:4772954,Port Hardy,7001,4772954,1
4-MTW,2048,2297531:4720465:4774991,Fort Rupert - Airport,7049,4774991,0
1-MTW,2048,2297501:4720595:4775942,Port McNeill,3898,4775942,0
5-MTW,2046,2297565:4721206:4772875,Quatsino Health Ctr - via Coal Harbour,14992,4772875,1
5-MTW,2375,2292662:4721446:4778035,Quatsino Health Ctr - via Coal Harbour,14992,4778035,1
1-MTW,2375,2292654:4722393:4777029,Port McNeill,15011,4777029,0
6-MTW,2046,2297559:4724150:4772875,Port Hardy,7031,4772875,0
5-MTW,2374,2292339:4724274:4774178,Port Hardy,7045,4774178,0
6-MTW,2376,2292619:4724875:4772559,Woss,7023,4772559,1
2-MTW,2048,2297506:4725372:4775942,Port Hardy,3890,4775942,1
5-MTW,2374,2292342:4726014:4777605,Port Hardy,7045,4777605,0
5-MTW,2046,2297556:4727516:4776434,Port Hardy,7045,4776434,0
5-MTW,2046,2297566:4727601:4776434,Quatsino Health Ctr - via Coal Harbour,14992,4776434,1
5-MTW,2374,2292340:4730064:4777605,Port Hardy,7045,4777605,0
2-MTW,2375,2292656:4731800:4777029,Port Hardy,14955,4777029,1
12-MTW,2048,2297520:4732757:4776156,Port McNeill Local,6991,4776156,0
4-MTW,2374,2292353:4733059:4772954,Fort Rupert,7002,4772954,0
12-MTW,2048,2297522:4733541:4775942,Port McNeill Local,4654,4775942,0
4-MTW,2048,2297530:4733785:4776156,Port Hardy,7001,4776156,1
4-MTW,2374,2292358:4734407:4776271,Fort Rupert - Airport,7049,4776271,0
12-MTW,2374,2292348:4735106:4777605,Port McNeill Local,6991,4777605,0
1-MTW,2374,2292331:4735877:4777605,Port McNeill,3898,4777605,0
4-MTW,2374,2292354:4736108:4772954,Port Hardy,7009,4772954,1
1-MTW,2375,2292653:4736926:4778035,Port McNeill,15011,4778035,0
2-MTW,2374,2292338:4737075:4776271,Port Hardy,3890,4776271,1
11-MTW,2374,2292343:4737669:4774178,Port Hardy Local,3881,4774178,1
12-MTW,2374,2292345:4738670:4776271,Port McNeill Local,6991,4776271,0
4-MTW,2374,2292351:4739407:4776271,Fort Rupert - Airport,7049,4776271,0
5-MTW,2048,2297516:4740081:4775942,Port Hardy,7045,4775942,0
11-MTW,2374,2292346:4740582:4777605,Port Hardy Local,3881,4777605,1
5-MTW,2048,2297513:4740877:4775942,Port Hardy,7045,4775942,0
2-MTW,2374,2292337:4740911:4777605,Port Hardy,3890,4777605,1
1-MTW,2048,2297503:4741218:4775942,Port McNeill,3898,4775942,0
1-MTW,2374,2292333:4741976:4777605,Port McNeill,3898,4777605,0
5-MTW,2375,2292658:4742088:4777029,Port Hardy,7045,4777029,0
4-MTW,2374,2292355:4742260:4772954,Fort Rupert - Airport,7049,4772954,0
2-MTW,2048,2297507:4742594:4775942,Port Hardy,3890,4775942,1
