route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-NAN,2048,3582556:4626531:5529611,Country Club,11960,5529611,1
5-NAN,2181,3584145:4626532:4633758,Fairview - to Downtown,12354,4633758,0
91-NAN,2048,3582388:4626534:4633970,Intercity - to Qualicum Beach,12129,4633970,1
99-NAN,2050,3582392:4626541:4634183,Deep Bay,12088,4634183,1
88-NAN,2046,3583420:4626543:4634104,Wembley Mall,11966,4634104,1
15-NAN,2050,3582528:4626549:4634094,VIU - via Parkway,12226,4634094,0
5-NAN,2048,3582953:4626555:4634357,Fairview - to Downtown,12354,4634357,0
1-NAN,2048,3582548:4626571:4633963,Downtown,12142,4633963,0
40-NAN,2048,3582694:4626580:4633727,VIU Express - to Woodgrove,12107,4633727,1
50-NAN,2048,3582823:4626597:4633863,Woodgrove,11936,4633863,1
50-NAN,2048,3582807:4626601:4634129,Downtown,12053,4634129,0
11-NAN,2181,3584232:4626603:4634057,Lantzville,11977,4634057,0
88-NAN,2048,3582458:4626606:4634115,Parksville,12070,4634115,0
40-NAN,2046,3583758:4626616:5529849,VIU Express - to Woodgrove,12107,5529849,1
8-NAN,2048,3582850:4626619:5530087,VIU - to Cedar,12051,5530087,1
50-NAN,2048,3582827:4626620:4633841,Woodgrove,11936,4633841,1
50-NAN,2046,3583596:4626627:4633670,Woodgrove,11936,4633670,1
50-NAN,2048,3582824:4626629:5530074,Woodgrove,11936,5530074,1
11-NAN,2046,3583765:4626636:5529570,Lantzville,12047,5529570,1
30-NAN,2046,3583705:4626637:4633865,NRGH - to Downtown,12199,4633865,0
40-NAN,2048,3582688:4626650:4633765,VIU Express - to Downtown,11937,4633765,0
50-NAN,2048,3582834:4626652:4634441,Woodgrove,11936,4634441,1
20-NAN,2048,3583002:4626654:4633829,Hammond Bay - to Downtown,12019,4633829,0
40-NAN,2048,3582700:4626658:5529723,VIU Express - to Woodgrove,12107,5529723,1
1-NAN,2048,3582564:4626661:4634090,Country Club,11960,4634090,1
8-NAN,2046,3583790:4626664:4633939,Cedar - to VIU,12039,4633939,0
30-NAN,2046,3583676:4626669:4634275,NRGH - to Woodgrove,11946,4634275,1
30-NAN,2046,3583679:4626670:5030036,NRGH - to Woodgrove,11946,5030036,1
15-NAN,2048,3582380:4626682:4633978,A Woodgrove - via Jingle Pot,11958,4633978,1
30-NAN,2046,3583437:4626688:4633859,NRGH - to Woodgrove,11946,4633859,1
40-NAN,2181,3584204:4626692:4634367,VIU Express - to Woodgrove,12107,4634367,1
15-NAN,2048,3582447:4626701:4633829,VIU - via Parkway,12226,4633829,0
40-NAN,2048,3582657:4626704:5030247,VIU Express - to Downtown,11937,5030247,0
8-NAN,2181,3584264:4626709:4633984,Cedar - to VIU,12039,4633984,0
1-NAN,2181,3584208:4626715:4634056,Downtown,12142,4634056,0
30-NAN,2181,3584196:4626717:4634124,NRGH - to Woodgrove,11946,4634124,1
20-NAN,2181,3584086:4626718:4634384,A Dover - to Downtown,11973,4634384,0
91-NAN,2046,3583356:4626723:4633985,Intercity - to Qualicum Beach,12081,4633985,1
5-NAN,2048,3582507:4626752:5529544,Fairview - to Westwood,14417,5529544,1
88-NAN,2048,3582459:4626754:4634115,Parksville,12070,4634115,0
8-NAN,2048,3582872:4626758:4634357,Cedar - to VIU,12039,4634357,0
7-NAN,2046,3583555:4626767:4634360,Downtown,12126,4634360,0
8-NAN,2048,3582854:4626770:4633958,VIU - to Cedar,12051,4633958,1
1-NAN,2046,3583654:4626774:4633714,Downtown,12142,4633714,0
91-NAN,2046,3583358:4626777:4634127,Intercity - to Woodgrove,12098,4634127,0
6-NAN,2181,3584155:4626779:4634086,Harewood - to VIU,14355,4634086,1
8-NAN,2048,3582861:4626802:4634348,Cedar - to VIU,12039,4634348,0
15-NAN,2048,3582798:4626806:4633958,Woodgrove - via Parkway,11933,4633958,1
20-NAN,2046,3583622:4626813:4634325,Hammond Bay - to Woodgrove,11983,4634325,1
1-NAN,2048,3582550:4626817:5529844,Downtown,12142,5529844,0
1-NAN,2181,3584122:4626822:4634056,Country Club,11960,4634056,1
8-NAN,2048,3582869:4626829:4633820,Cedar - to VIU,12039,4633820,0
8-NAN,2046,3583791:4626830:4634257,Cedar - to VIU,12039,4634257,0
20-NAN,2048,3583009:4626839:5529509,Hammond Bay - to Downtown,12019,5529509,0
20-NAN,2046,3583636:4626840:4634287,Hammond Bay - to Downtown,12019,4634287,0
20-NAN,2048,3583024:4626846:4634201,Hammond Bay - to Downtown,12019,4634201,0
40-NAN,2048,3582650:4626848:4633765,VIU Express - to Downtown,11937,4633765,0
20-NAN,2048,3583021:4626853:4634043,A Dover - to Woodgrove,11954,4634043,1
7-NAN,2181,3584043:4626856:4634374,Downtown,12126,4634374,0
7-NAN,2046,3583552:4626858:4634202,Downtown,12126,4634202,0
40-NAN,2181,3584227:4626860:4634374,VIU Express - to Downtown,11937,4634374,0
7-NAN,2181,3584042:4626862:4633929,Downtown,12126,4633929,0
40-NAN,2181,3584222:4626867:4634190,VIU Express - to Downtown,11937,4634190,0
30-NAN,2181,3584168:4626872:4634092,NRGH - to Downtown,12199,4634092,0
1-NAN,2046,3583423:4626876:4634287,Country Club,11960,4634287,1
15-NAN,2048,3582378:4626877:4633912,A VIU - via Jingle Pot,12318,4633912,0
98-NAN,2046,3583384:4626887:4634162,Qualicum Beach,12090,4634162,1
11-NAN,2048,3582376:4626889:4634376,Lantzville,12047,4634376,1
50-NAN,2048,3582489:4626891:4634407,Downtown,12053,4634407,0
91-NAN,2048,3582396:4626899:4633887,Intercity - to Qualicum Beach,12129,4633887,1
91-NAN,2046,3583365:4626900:4634257,Intercity - to Woodgrove,11940,4634257,0
8-NAN,2048,3582848:4626909:4634348,VIU - to Cedar,12051,4634348,1
11-NAN,2046,3583795:4626913:5529971,Lantzville,11977,5529971,0
6-NAN,2048,3582763:4626914:4633841,Harewood - to VIU,14355,4633841,1
15-NAN,2046,3583541:4626916:4634197,VIU - via Parkway,12226,4634197,0
88-NAN,2046,3583413:4626917:4634104,Parksville,12070,4634104,0
88-NAN,2046,3583400:4626923:4634104,Wembley Mall,11966,4634104,1
8-NAN,2046,3583780:4626928:4634136,Cedar - to VIU,12039,4634136,0
98-NAN,2048,3582435:4626937:4633793,Qualicum Beach,12090,4633793,1
30-NAN,2048,3582623:4626944:4633845,NRGH - to Downtown,12199,4633845,0
