route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
99-WHI,2594,2277151:5433874:5438966,Commuter - To Pemberton,17859,5438966,0
100-WHI,2594,2277149:5434496:5439000,Pemberton Local,17876,5439000,1
100-WHI,2594,2277141:5434557:5438860,Pemberton Local,17876,5438860,1
100-WHI,2594,2277143:5434744:5438860,Pemberton Local,17876,5438860,1
99-WHI,2594,2277140:5435271:5438900,Commuter - To Pemberton,17822,5438900,0
100-WHI,2594,2277146:5435674:5439000,Pemberton Local,17876,5439000,1
99-WHI,2594,2277144:5435808:5438900,Commuter - To Pemberton,17822,5438900,0
99-WHI,2594,2277142:5436446:5438900,Commuter - to Whistler,17833,5438900,1
100-WHI,2594,2277153:5436448:5439000,Pemberton Local,17876,5439000,1
99-WHI,2594,2277145:5436671:5438900,Commuter - to Whistler,17833,5438900,1
100-WHI,2594,2277147:5436854:5439000,Pemberton Local,17876,5439000,1
99-WHI,2594,2277154:5436868:5438966,Commuter - To Pemberton,17859,5438966,0
99-WHI,2594,2277152:5437215:5438966,Commuter - to Whistler,17833,5438966,1
99-WHI,2594,2277155:5437317:5438966,Commuter - to Whistler,17833,5438966,1
99-WHI,2594,2277150:5437585:5438966,Commuter - to Whistler,17833,5438966,1
99-WHI,2594,2277139:5437725:5438966,Commuter - To Pemberton,17859,5438966,0
100-WHI,2594,2277148:5438494:5439000,Pemberton Local,17876,5439000,1
