route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-PTA,1798,2056617:4614145:4619678,Southside,3567,4619678,1
1-PTA,1798,2056669:4614159:4619618,Southside,3580,4619618,0
3-PTA,1798,2056621:4614191:4619678,River Road - To Falls,3537,4619678,0
3-PTA,1803,2056544:4614224:4619694,River Road - To Falls,3537,4619694,0
3-PTA,1803,2056545:4614280:4619803,River Road - To Falls,3537,4619803,0
1-PTA,1803,2056478:4614288:4619803,Southside,3567,4619803,1
2-PTA,1803,2056518:4614298:4619701,Pacific Rim,3532,4619701,0
1-PTA,1803,2056484:4614308:4619803,Southside,3567,4619803,1
4-PTA,2393,2056592:4614323:4619654,Crosstown,3526,4619654,0
4-PTA,1803,2056571:4614327:4619701,Crosstown,3526,4619701,0
1-PTA,1798,2056614:4614341:4619678,Southside,3567,4619678,1
2-PTA,1798,2056687:4614383:4619866,Pacific Rim,3524,4619866,1
1-PTA,1798,2056676:4614394:4619866,Southside,3580,4619866,0
2-PTA,1798,2056679:4614450:4619678,Pacific Rim,3524,4619678,1
2-PTA,1803,2056513:4614508:4619694,Pacific Rim,3532,4619694,0
1-PTA,1798,2056672:4614529:4619618,Southside,3580,4619618,0
2-PTA,1798,2056680:4614547:4619618,Pacific Rim,3524,4619618,1
3-PTA,1803,2056546:4614558:4619701,River Road - To Falls,3537,4619701,0
4-PTA,2393,2056582:4614633:4619654,Crosstown,3581,4619654,1
4-PTA,2393,2056595:4614682:4619654,Crosstown,3526,4619654,0
3-PTA,1803,2056561:4614691:4619803,River Road,3574,4619803,1
3-PTA,1803,2056562:4614700:4619701,River Road,3574,4619701,1
3-PTA,1798,2056713:4614721:4619678,River Road,3574,4619678,1
3-PTA,1803,2056563:4614761:4619803,River Road,3574,4619803,1
3-PTA,1798,2056707:4614821:4619678,River Road,3574,4619678,1
2-PTA,1798,2056694:4614827:4619678,Pacific Rim,3524,4619678,1
1-PTA,1803,2056496:4614838:4619701,Southside,3580,4619701,0
1-PTA,1798,2056660:4614854:4619618,Southside,3580,4619618,0
4-PTA,1803,2056572:4614948:4619701,Crosstown,3581,4619701,1
2-PTA,1798,2056650:4614968:4619618,Pacific Rim,3532,4619618,0
3-PTA,1803,2056550:4614992:4619694,River Road - To Falls,3537,4619694,0
1-PTA,1803,2056485:4614998:4619701,Southside,3567,4619701,1
3-PTA,1798,2056697:4615034:4619866,River Road,3574,4619866,1
1-PTA,1798,2056668:4615089:4619678,Southside,3580,4619678,0
2-PTA,1798,2056647:4615105:4619618,Pacific Rim,3532,4619618,0
4-PTA,2393,2056590:4615114:4619654,Crosstown,3526,4619654,0
2-PTA,1798,2056695:4615126:4619618,Pacific Rim,3524,4619618,1
1-PTA,1803,2056506:4615203:4619701,Southside,3580,4619701,0
1-PTA,1798,2056609:4615227:4619618,Southside,3567,4619618,1
1-PTA,1798,2056666:4615272:4619618,Southside,3580,4619618,0
2-PTA,1803,2056521:4615293:4619701,Pacific Rim,3532,4619701,0
3-PTA,1798,2056709:4615344:4619866,River Road,3574,4619866,1
3-PTA,1803,2056540:4615349:4619701,River Road - To Falls,3537,4619701,0
3-PTA,1803,2056549:4615394:4619701,River Road - To Falls,3537,4619701,0
1-PTA,1798,2056673:4615422:4619866,Southside,3580,4619866,0
3-PTA,1798,2056696:4615436:4619618,River Road,3574,4619618,1
3-PTA,1803,2056558:4615437:4619701,River Road,3574,4619701,1
3-PTA,1803,2056565:4615449:4619694,River Road,3574,4619694,1
3-PTA,1798,2056619:4615495:4619866,River Road - To Falls,3537,4619866,0
2-PTA,1803,2056528:4615576:4619701,Pacific Rim,3524,4619701,1
2-PTA,1803,2056524:4615607:4619803,Pacific Rim,3524,4619803,1
