route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
60-PRR,2089,2302937:5568291:5572359,Port Edward,3840,5572359,0
51-PRR,2705,2302832:5568292:5572402,Cow Bay,3806,5572402,0
60-PRR,1781,2303121:5568307:5572316,Port Edward,3787,5572316,1
52-PRR,2089,2302982:5568330:5572337,Summit,3873,5572337,0
60-PRR,2089,2302935:5568332:5572359,Port Edward,3787,5572359,1
53-PRR,1781,2303130:5568346:5572378,Crestview,18396,5572378,0
60-PRR,2705,2302822:5568354:5572427,Port Edward,3787,5572427,1
57-PRR,1781,2303156:5568369:5572282,Park,3604,5572282,0
52-PRR,2705,2302779:5568407:5572384,Summit,3873,5572384,0
52-PRR,2705,2302772:5568425:5572427,Summit,3873,5572427,0
57-PRR,2089,2302926:5568438:5572347,Park,3604,5572347,0
51-PRR,2089,2302942:5568445:5572347,Cow Bay,3806,5572347,0
53-PRR,1781,2303140:5568481:5572280,Crestview,18396,5572280,0
54-PRR,2705,2302811:5568500:5572384,Westview,3856,5572384,1
52-PRR,1781,2303118:5568504:5572280,Summit,3873,5572280,0
52-PRR,2089,2302897:5568536:5572337,Summit,3873,5572337,0
53-PRR,2705,2302844:5568543:5572384,Crestview,18396,5572384,0
51-PRR,2089,2302868:5568545:5572374,Seal Cove,3683,5572374,0
99-PRR,2705,2302837:5568623:5572402,School Special,6072,5572402,0
51-PRR,2089,2302968:5568641:5572359,Seal Cove,4163,5572359,0
52-PRR,2089,2302889:5568663:5572347,Summit,3873,5572347,0
52-PRR,2089,2302890:5568667:5572347,Summit,3873,5572347,0
53-PRR,2089,2302911:5568668:5572320,Crestview,18396,5572320,0
52-PRR,2705,2302820:5568677:5572402,Summit-Fairview Bay-Westview,3851,5572402,0
53-PRR,2705,2302804:5568693:5572384,Crestview,18396,5572384,0
52-PRR,1781,2303125:5568709:5572280,Summit,3873,5572280,0
60-PRR,2089,2302934:5568723:5572359,Port Edward,3787,5572359,1
53-PRR,2089,2302914:5568733:5572374,Crestview,18396,5572374,0
53-PRR,2089,2302918:5568746:5572347,Crestview,18396,5572347,0
57-PRR,1781,2303182:5568752:5572280,Park,3604,5572280,0
53-PRR,2705,2302803:5568763:5572427,Crestview,18399,5572427,0
57-PRR,2089,2302922:5568770:5572374,Park,3604,5572374,0
54-PRR,1781,2303144:5568806:5572378,Westview,3856,5572378,1
53-PRR,1781,2303132:5568819:5572378,Crestview,18396,5572378,0
51-PRR,2705,2302766:5568831:5572287,Seal Cove,3683,5572287,0
53-PRR,2089,2302906:5568848:5572374,Crestview,18396,5572374,0
51-PRR,1781,2303127:5568849:5572282,Seal Cove,3683,5572282,0
99-PRR,2705,2302836:5568851:5572402,School Special,6109,5572402,0
52-PRR,2705,2302852:5568862:5572402,Summit-Fairview Bay-Westview,3862,5572402,0
51-PRR,2705,2302769:5568882:5572384,Seal Cove,3683,5572384,0
60-PRR,1781,2303111:5568888:5572316,Port Edward,3787,5572316,1
51-PRR,2089,2302873:5568896:5572320,Seal Cove,3683,5572320,0
51-PRR,2089,2302882:5568926:5572320,Seal Cove,3683,5572320,0
51-PRR,2705,2302758:5568954:5572418,Seal Cove,3683,5572418,0
53-PRR,1781,2303100:5568960:5572378,Crestview,18396,5572378,0
51-PRR,2705,2302754:5568961:5572384,Seal Cove,3683,5572384,0
52-PRR,2705,2302782:5568976:5572402,Summit,3873,5572402,0
51-PRR,2089,2302957:5568995:5572359,Seal Cove,3683,5572359,0
60-PRR,1781,2303124:5569007:5572316,Port Edward,3840,5572316,0
51-PRR,2705,2302765:5569011:5572402,Seal Cove,3683,5572402,0
60-PRR,2089,2302966:5569014:5572359,Port Edward,3787,5572359,1
52-PRR,2705,2302831:5569015:5572427,Summit-Fairview Bay-Westview,3862,5572427,0
54-PRR,1781,2303162:5569016:5572282,Westview,3856,5572282,1
51-PRR,2089,2302879:5569030:5572374,Seal Cove,3683,5572374,0
52-PRR,1781,2303129:5569035:5572280,Summit,3873,5572280,0
54-PRR,2705,2302819:5569048:5572427,Westview,3856,5572427,1
52-PRR,2089,2302959:5569051:5572320,Summit-Fairview Bay-Westview,3862,5572320,0
51-PRR,1781,2303158:5569074:5572282,Seal Cove,3683,5572282,0
60-PRR,2705,2302821:5569076:5572427,Port Edward,3787,5572427,1
52-PRR,2705,2302780:5569100:5572402,Summit,3873,5572402,0
51-PRR,2089,2302878:5569128:5572359,Seal Cove,3683,5572359,0
51-PRR,2705,2302761:5569155:5572384,Seal Cove,3683,5572384,0
53-PRR,2705,2302793:5569163:5572418,Crestview,18396,5572418,0
55-PRR,2089,2302901:5569184:5572347,Fairview Bay,3863,5572347,0
53-PRR,2705,2302798:5569185:5572402,Crestview,18396,5572402,0
52-PRR,1781,2303143:5569203:5572378,Summit,3873,5572378,0
53-PRR,2705,2302791:5569210:5572418,Crestview,18396,5572418,0
54-PRR,2705,2302807:5569214:5572384,Westview,3856,5572384,1
54-PRR,2705,2302817:5569218:5572402,Westview,3856,5572402,1
52-PRR,1781,2303110:5569223:5572282,Summit,3873,5572282,0
52-PRR,1781,2303137:5569224:5572280,Summit,3873,5572280,0
54-PRR,1781,2303163:5569228:5572282,Westview,3856,5572282,1
52-PRR,1781,2303123:5569240:5572282,Summit,3873,5572282,0
52-PRR,1781,2303155:5569251:5572282,Summit,3873,5572282,0
51-PRR,2089,2302871:5569267:5572347,Seal Cove,3683,5572347,0
54-PRR,2089,2302928:5569268:5572337,Westview,3856,5572337,1
52-PRR,2089,2302932:5569270:5572347,Summit-Fairview Bay-Westview,3851,5572347,0
52-PRR,2089,2302883:5569277:5572374,Summit,3873,5572374,0
54-PRR,2089,2302923:5569290:5572320,Westview,3856,5572320,1
53-PRR,2705,2302842:5569297:5572402,Crestview,18396,5572402,0
53-PRR,2705,2302794:5569322:5572384,Crestview,18396,5572384,0
53-PRR,1781,2303167:5569344:5572378,Crestview,18396,5572378,0
60-PRR,2089,2302965:5569387:5572359,Port Edward,3840,5572359,0
52-PRR,1781,2303171:5569388:5572316,Summit,3873,5572316,0
