route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
12-POW,2344,2270588:2880432:2885449,Saltery Bay Via Stillwater,2634,2885449,0
12-POW,2350,2270667:2880704:2885477,Saltery Bay Via Stillwater,2634,2885477,0
12-POW,2350,2270664:2881321:3162050,Powell River,2685,3162050,1
14-POW,2348,2270586:2881513:4637477,Powell River,2180,4637477,1
12-POW,2350,2270662:2881578:2885397,Stillwater,2645,2885397,0
12-POW,2344,2270590:2881815:2885449,Powell River,2685,2885449,1
12-POW,2344,2270583:2882214:2885420,Stillwater,2645,2885420,0
9-POW,2349,2270529:2882261:4637486,Brooks School,9220,4637486,0
9-POW,2346,2270529:2882261:4637528,Brooks School,9220,4637528,0
14-POW,2348,2270595:2882262:4637494,Powell River,2180,4637494,1
12-POW,2350,2270663:2882538:2885397,Powell River,2677,2885397,1
12-POW,2344,2270597:2882544:3828118,Powell River,2684,3828118,1
12-POW,2344,2270585:2882872:2885426,Stillwater,2645,2885426,0
12-POW,2350,2270666:2883719:2885477,Powell River,2685,2885477,1
12-POW,2344,2270582:2883928:2885420,Powell River,2677,2885420,1
12-POW,2344,2270584:2884115:2885426,Powell River,2677,2885426,1
12-POW,2344,2270591:2884153:2885449,Saltery Bay Via Stillwater,2634,2885449,0
12-POW,2344,2270589:2885027:2885449,Powell River,2685,2885449,1
12-POW,2350,2270665:3160635:3162050,Saltery Bay Via Stillwater,2634,3162050,0
12-POW,2344,2270596:3821303:3828118,Stillwater,11910,3828118,0
2-POW,2351,2256126:4634466:4637402,Grief Point,14549,4637402,0
1-POW,2350,2270647:4634515:4637476,Townsite/Wildwood - Via Cranberry Lake,14534,4637476,0
9-POW,2345,2270557:4634537:4637419,Brooks School,14558,4637419,0
2-POW,2350,2270648:4634546:4637476,Grief Point,14549,4637476,0
1-POW,2351,2256144:4634552:4637392,Townsite/Wildwood - Via Cranberry Lake,14534,4637392,0
1-POW,2345,2270564:4634565:4637427,Townsite/Wildwood - Via Cranberry Lake,14534,4637427,0
