route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
30-QUE,2561,2286936:5402026:5406563,Quesnel,17666,5406563,1
2-QUE,2559,2286897:5402082:5406421,South Quesnel,17720,5406421,1
2-QUE,2554,2286780:5402115:5406337,Downtown - via Carson Sub,17676,5406337,0
3-QUE,2554,2286802:5402151:5406305,North Fraser,17648,5406305,0
3-QUE,2367,2286977:5402177:5406325,North Fraser,17648,5406325,0
1-QUE,2367,2286970:5402202:5406325,West Quesnel,17735,5406325,1
2-QUE,2554,2286805:5402254:5406305,South Quesnel,17720,5406305,1
30-QUE,2557,2286856:5402265:5406494,Quesnel,17708,5406494,1
2-QUE,2559,2286915:5402308:5406324,Downtown,17677,5406324,0
2-QUE,2367,2286960:5402350:5406469,South Quesnel - via Carson Sub,17651,5406469,1
1-QUE,2554,2286777:5402374:5406390,West Quesnel - to 3 North Fraser,17733,5406390,1
1-QUE,2367,2286966:5402414:5406410,West Quesnel,17735,5406410,1
3-QUE,2367,2286969:5402436:5406325,North Fraser,17648,5406325,0
2-QUE,2559,2286914:5402443:5406324,South Quesnel,17720,5406324,1
3-QUE,2559,2286889:5402477:5406421,North Fraser,17648,5406421,0
2-QUE,2559,2286872:5402509:5406377,Downtown - via Carson Sub,17676,5406377,0
2-QUE,2559,2286899:5402517:5406457,South Quesnel,17720,5406457,1
31-QUE,2560,2286940:5402542:5406342,Quesnel,17668,5406342,0
2-QUE,2559,2286879:5402617:5406252,South Quesnel,17720,5406252,1
1-QUE,2367,2286968:5402619:5406325,West Quesnel,17735,5406325,1
1-QUE,2554,2286803:5402622:5406305,West Quesnel,17735,5406305,1
2-QUE,2559,2286909:5402646:5406324,Downtown,17677,5406324,0
2-QUE,2554,2286820:5402651:5406259,Downtown - via Carson Sub,17676,5406259,0
3-QUE,2554,2286819:5402691:5406259,North Fraser,17648,5406259,0
1-QUE,2554,2286824:5402739:5406549,West Quesnel,17673,5406549,1
1-QUE,2559,2286904:5402751:5406324,West Quesnel,17735,5406324,1
3-QUE,2554,2286804:5402787:5406305,North Fraser,17648,5406305,0
2-QUE,2367,2286948:5402839:5406274,South Quesnel,17720,5406274,1
2-QUE,2554,2286776:5402862:5406390,Downtown - via South Hills,17661,5406390,0
2-QUE,2367,2286964:5402881:5406469,Downtown - via Carson Sub,17676,5406469,0
3-QUE,2559,2286874:5402933:5406377,North Fraser,17679,5406377,0
3-QUE,2367,2286978:5402962:5406325,North Fraser,17679,5406325,0
30-QUE,2557,2286855:5402982:5406494,Wells,17705,5406494,0
3-QUE,2554,2286781:5402998:5406390,North Fraser,17679,5406390,0
1-QUE,2559,2286908:5402999:5406324,West Quesnel,17735,5406324,1
3-QUE,2559,2286870:5403008:5406377,North Fraser,17648,5406377,0
1-QUE,2559,2286903:5403066:5406324,West Quesnel,17735,5406324,1
1-QUE,2559,2286890:5403070:5406421,West Quesnel,17735,5406421,1
2-QUE,2559,2286912:5403087:5406418,Downtown - via Carson Sub,17676,5406418,0
2-QUE,2554,2286785:5403167:5406390,Downtown,17677,5406390,0
2-QUE,2559,2286884:5403174:5406377,South Quesnel,17720,5406377,1
31-QUE,2556,2286860:5403187:5406328,Quesnel,17668,5406328,0
2-QUE,2367,2286959:5403208:5406325,Downtown,17677,5406325,0
1-QUE,2554,2286798:5403223:5406305,West Quesnel,17735,5406305,1
3-QUE,2559,2286873:5403336:5406252,North Fraser,17679,5406252,0
1-QUE,2554,2286783:5403393:5406337,West Quesnel - to 3 North Fraser,17733,5406337,1
2-QUE,2554,2286787:5403395:5406390,South Quesnel,17720,5406390,1
30-QUE,2557,2286850:5403434:5406316,Wells,17660,5406316,0
2-QUE,2554,2286808:5403462:5406346,Downtown,17677,5406346,0
1-QUE,2559,2286866:5403496:5406377,West Quesnel - Reverse Route,17709,5406377,1
1-QUE,2554,2286825:5403518:5406259,West Quesnel,17735,5406259,1
1-QUE,2559,2286869:5403543:5406252,West Quesnel - to 3 North Fraser,17733,5406252,1
2-QUE,2367,2286949:5403562:5406410,South Quesnel - via South Hills,17646,5406410,1
3-QUE,2554,2286800:5403598:5406346,North Fraser,17648,5406346,0
1-QUE,2559,2286875:5403620:5406377,West Quesnel - to 3 North Fraser,17733,5406377,1
