route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
5-REVY,2480,2284005:5293240:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2480,2284033:5293259:5297115,Revelstoke Mountain Resort,17000,5297115,0
5-REVY,2064,2283634:5293277:5297073,Ramada Hotel - Columbia Park,16896,5297073,1
3-REVY,2480,2284049:5293284:5297088,Big Eddy,16893,5297088,1
5-REVY,2481,2283818:5293329:5297165,Revelstoke Mountain Resort,17000,5297165,0
5-REVY,2481,2283828:5293347:5297165,Hillcrest Hotel - via Columbia Park,16996,5297165,1
5-REVY,2064,2283678:5293352:5297073,Ramada Hotel - Columbia Park,16896,5297073,1
5-REVY,2480,2284012:5293356:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2064,2283618:5293357:5297073,Revelstoke Mountain Resort,17000,5297073,0
5-REVY,2064,2283676:5293364:5297139,Revelstoke Mountain Resort,16966,5297139,0
5-REVY,2483,2283870:5293371:5297074,Hillcrest Hotel - via Columbia Park,16996,5297074,1
5-REVY,2064,2283675:5293377:5297139,Revelstoke Mountain Resort,17001,5297139,0
5-REVY,2064,2283662:5293388:5297049,Hillcrest Hotel - via Columbia Park,16996,5297049,1
5-REVY,2480,2284029:5293394:5297115,Revelstoke Mountain Resort,17000,5297115,0
5-REVY,2475,2283547:5293428:5297015,Hillcrest Hotel - via Columbia Park,16996,5297015,1
5-REVY,2064,2283668:5293437:5297157,Hillcrest Hotel - via Columbia Park,16996,5297157,1
5-REVY,2064,2283665:5293450:5297157,Revelstoke Mountain Resort,17001,5297157,0
5-REVY,2483,2283863:5293475:5297074,Revelstoke Mountain Resort,17000,5297074,0
5-REVY,2475,2283579:5293499:5297070,Hillcrest Hotel - via Columbia Park,16996,5297070,1
5-REVY,2475,2283583:5293515:5297035,Hillcrest Hotel - via Columbia Park,16996,5297035,1
3-REVY,2482,2284101:5293516:5296988,Big Eddy,16893,5296988,1
5-REVY,2480,2284010:5293523:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2064,2283652:5293537:5297049,Revelstoke Mountain Resort,17000,5297049,0
5-REVY,2475,2283595:5293566:5297015,Ramada Hotel - Columbia Park,16896,5297015,1
5-REVY,2064,2283677:5293573:5297073,Revelstoke Mountain Resort,17001,5297073,0
5-REVY,2475,2283582:5293580:5297035,Revelstoke Mountain Resort,17001,5297035,0
5-REVY,2475,2283571:5293623:5297070,Revelstoke Mountain Resort,17000,5297070,0
5-REVY,2475,2283613:5293636:5297055,Hillcrest Hotel - via Columbia Park,16996,5297055,1
5-REVY,2481,2283821:5293647:5297165,Hillcrest Hotel - via Columbia Park,16996,5297165,1
5-REVY,2475,2283600:5293651:5297055,Revelstoke Mountain Resort,16966,5297055,0
5-REVY,2483,2283874:5293658:5297074,Hillcrest Hotel - via Columbia Park,16996,5297074,1
5-REVY,2064,2283635:5293672:5297073,Hillcrest Hotel - via Columbia Park,16996,5297073,1
5-REVY,2482,2284087:5293699:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2482,2284082:5293733:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2475,2283588:5293742:5297035,Revelstoke Mountain Resort,17001,5297035,0
5-REVY,2481,2283789:5293753:5296970,Revelstoke Mountain Resort,17000,5296970,0
5-REVY,2480,2283993:5293761:5297041,Revelstoke Mountain Resort,17000,5297041,0
5-REVY,2064,2283667:5293783:5297139,Hillcrest Hotel - via Columbia Park,16996,5297139,1
1-REVY,2475,2283558:5293794:5296962,Southside - Hospital,16993,5296962,1
5-REVY,2480,2283992:5293813:5297041,Revelstoke Mountain Resort,17000,5297041,0
5-REVY,2475,2283570:5293814:5297070,Hillcrest Hotel - via Columbia Park,16996,5297070,1
5-REVY,2475,2283533:5293842:5297015,Revelstoke Mountain Resort,17000,5297015,0
5-REVY,2064,2283627:5293844:5297073,Hillcrest Hotel - via Columbia Park,16996,5297073,1
5-REVY,2480,2283997:5293884:5297041,Revelstoke Mountain Resort,17000,5297041,0
5-REVY,2481,2283829:5293898:5297165,Revelstoke Mountain Resort,17000,5297165,0
5-REVY,2064,2283622:5293912:5297073,Revelstoke Mountain Resort,17000,5297073,0
5-REVY,2480,2284034:5293918:5297115,Hillcrest Hotel - via Columbia Park,16996,5297115,1
1-REVY,2475,2283561:5293959:5296962,Southside - Hospital,16993,5296962,1
5-REVY,2483,2283865:5293967:5297074,Revelstoke Mountain Resort,17000,5297074,0
5-REVY,2481,2283827:5293973:5297165,Hillcrest Hotel - via Columbia Park,16996,5297165,1
5-REVY,2064,2283657:5293983:5297049,Hillcrest Hotel - via Columbia Park,16996,5297049,1
5-REVY,2480,2284000:5293987:5297041,Revelstoke Mountain Resort,17000,5297041,0
3-REVY,2475,2283562:5294031:5296962,Big Eddy,16893,5296962,1
5-REVY,2480,2284004:5294036:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2064,2283629:5294045:5297073,Hillcrest Hotel - via Columbia Park,16996,5297073,1
5-REVY,2482,2284072:5294063:5297043,Revelstoke Mountain Resort,17000,5297043,0
5-REVY,2482,2284076:5294068:5297043,Revelstoke Mountain Resort,17000,5297043,0
5-REVY,2483,2283873:5294084:5297074,Hillcrest Hotel - via Columbia Park,16996,5297074,1
5-REVY,2475,2283580:5294095:5297070,Revelstoke Mountain Resort,17000,5297070,0
3-REVY,2482,2284102:5294107:5296988,Big Eddy,16893,5296988,1
5-REVY,2480,2284001:5294154:5297041,Revelstoke Mountain Resort,17001,5297041,0
5-REVY,2480,2284032:5294185:5297115,Hillcrest Hotel - via Columbia Park,16996,5297115,1
5-REVY,2475,2283569:5294190:5297070,Revelstoke Mountain Resort,17000,5297070,0
5-REVY,2475,2283552:5294198:5297015,Hillcrest Hotel - via Columbia Park,16996,5297015,1
5-REVY,2475,2283550:5294201:5297015,Hillcrest Hotel - via Columbia Park,16996,5297015,1
3-REVY,2475,2283563:5294213:5296962,Big Eddy,16893,5296962,1
5-REVY,2064,2283632:5294222:5297073,Hillcrest Hotel - via Columbia Park,16996,5297073,1
5-REVY,2480,2284038:5294238:5297115,Hillcrest Hotel - via Columbia Park,16996,5297115,1
5-REVY,2475,2283576:5294241:5297070,Revelstoke Mountain Resort,17000,5297070,0
5-REVY,2483,2283862:5294287:5297074,Revelstoke Mountain Resort,17000,5297074,0
3-REVY,2480,2284023:5294302:5297088,Big Eddy,16893,5297088,1
3-REVY,2475,2283566:5294303:5296962,Big Eddy,16893,5296962,1
5-REVY,2481,2283798:5294321:5296970,Hillcrest Hotel - via Columbia Park,16996,5296970,1
3-REVY,2475,2283568:5294349:5296962,Big Eddy,16893,5296962,1
3-REVY,2475,2283590:5294366:5296962,Big Eddy,16893,5296962,1
5-REVY,2480,2284009:5294379:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2475,2283546:5294402:5297015,Hillcrest Hotel - via Columbia Park,16996,5297015,1
1-REVY,2475,2283556:5294404:5296962,Southside - Hospital,16993,5296962,1
5-REVY,2064,2283655:5294410:5297049,Hillcrest Hotel - via Columbia Park,16996,5297049,1
5-REVY,2481,2283784:5294423:5296970,Revelstoke Mountain Resort,17000,5296970,0
5-REVY,2483,2283876:5294445:5297074,Hillcrest Hotel - via Columbia Park,16996,5297074,1
3-REVY,2480,2284022:5294457:5297088,Big Eddy,16893,5297088,1
5-REVY,2482,2284085:5294464:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2482,2284070:5294478:5297043,Revelstoke Mountain Resort,17000,5297043,0
5-REVY,2480,2284039:5294495:5297115,Hillcrest Hotel - via Columbia Park,16996,5297115,1
5-REVY,2480,2283995:5294506:5297041,Revelstoke Mountain Resort,17000,5297041,0
5-REVY,2475,2283584:5294517:5297055,Hillcrest Hotel - via Columbia Park,16996,5297055,1
5-REVY,2481,2283794:5294570:5296970,Hillcrest Hotel - via Columbia Park,16996,5296970,1
5-REVY,2481,2283799:5294604:5296970,Hillcrest Hotel - via Columbia Park,16996,5296970,1
5-REVY,2475,2283596:5294617:5297035,Revelstoke Mountain Resort,17000,5297035,0
5-REVY,2064,2283620:5294636:5297073,Revelstoke Mountain Resort,17000,5297073,0
5-REVY,2064,2283661:5294638:5297049,Hillcrest Hotel - via Columbia Park,16996,5297049,1
5-REVY,2475,2283553:5294653:5297015,Ramada Hotel - Columbia Park,16896,5297015,1
5-REVY,2480,2284008:5294666:5297041,Hillcrest Hotel - via Columbia Park,16996,5297041,1
5-REVY,2475,2283544:5294667:5297015,Hillcrest Hotel - via Columbia Park,16996,5297015,1
5-REVY,2475,2283535:5294672:5297015,Revelstoke Mountain Resort,17000,5297015,0
1-REVY,2482,2284092:5294688:5296988,Southside - Hospital,16993,5296988,1
1-REVY,2482,2284097:5294706:5296988,Southside - Hospital,16993,5296988,1
3-REVY,2480,2284024:5294742:5297088,Big Eddy,16893,5297088,1
1-REVY,2475,2283591:5294750:5296962,Southside - Hospital,16993,5296962,1
5-REVY,2480,2284030:5294776:5297115,Hillcrest Hotel - via Columbia Park,16996,5297115,1
5-REVY,2064,2283621:5294780:5297073,Revelstoke Mountain Resort,17000,5297073,0
5-REVY,2064,2283659:5294792:5297049,Revelstoke Mountain Resort,17000,5297049,0
5-REVY,2064,2283615:5294801:5297073,Revelstoke Mountain Resort,17000,5297073,0
5-REVY,2480,2283994:5294814:5297041,Revelstoke Mountain Resort,17000,5297041,0
3-REVY,2482,2284100:5294821:5296988,Big Eddy,16893,5296988,1
5-REVY,2482,2284071:5294833:5297043,Revelstoke Mountain Resort,17000,5297043,0
3-REVY,2482,2284119:5294849:5296988,Big Eddy,16893,5296988,1
5-REVY,2483,2283864:5294851:5297074,Revelstoke Mountain Resort,17000,5297074,0
5-REVY,2064,2283663:5294871:5297049,Revelstoke Mountain Resort,17000,5297049,0
5-REVY,2064,2283658:5294878:5297049,Revelstoke Mountain Resort,17001,5297049,0
1-REVY,2482,2284094:5294890:5296988,Southside - Hospital,16993,5296988,1
3-REVY,2482,2284105:5294892:5296988,Big Eddy,16893,5296988,1
5-REVY,2481,2283823:5294912:5297165,Hillcrest Hotel - via Columbia Park,16996,5297165,1
5-REVY,2482,2284086:5294916:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2481,2283790:5294919:5296970,Revelstoke Mountain Resort,17001,5296970,0
1-REVY,2480,2284051:5294932:5297088,Southside - Hospital,16993,5297088,1
5-REVY,2064,2283670:5294950:5297157,Hillcrest Hotel - via Columbia Park,16996,5297157,1
1-REVY,2475,2283557:5294958:5296962,Southside - Hospital,16993,5296962,1
3-REVY,2475,2283564:5294991:5296962,Big Eddy,16893,5296962,1
5-REVY,2480,2284036:5294995:5297115,Revelstoke Mountain Resort,17000,5297115,0
5-REVY,2475,2283599:5295014:5297035,Revelstoke Mountain Resort,17001,5297035,0
5-REVY,2064,2283654:5295046:5297049,Revelstoke Mountain Resort,17000,5297049,0
5-REVY,2481,2283801:5295066:5296970,Hillcrest Hotel - via Columbia Park,16996,5296970,1
5-REVY,2480,2284011:5295071:5297041,Ramada Hotel - Columbia Park,16896,5297041,1
5-REVY,2480,2284031:5295119:5297115,Revelstoke Mountain Resort,17000,5297115,0
5-REVY,2483,2283872:5295161:5297074,Hillcrest Hotel - via Columbia Park,16996,5297074,1
5-REVY,2481,2283781:5295167:5296970,Revelstoke Mountain Resort,17000,5296970,0
5-REVY,2482,2284081:5295195:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2475,2283592:5295218:5297055,Revelstoke Mountain Resort,17001,5297055,0
5-REVY,2475,2283539:5295226:5297015,Revelstoke Mountain Resort,17000,5297015,0
5-REVY,2481,2283783:5295237:5296970,Revelstoke Mountain Resort,17000,5296970,0
1-REVY,2480,2284018:5295239:5297088,Southside - Hospital,16993,5297088,1
1-REVY,2482,2284095:5295243:5296988,Southside - Hospital,16993,5296988,1
5-REVY,2482,2284083:5295281:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2475,2283573:5295288:5297070,Revelstoke Mountain Resort,17000,5297070,0
5-REVY,2475,2283581:5295295:5297035,Revelstoke Mountain Resort,17000,5297035,0
3-REVY,2480,2284028:5295309:5297088,Big Eddy,16893,5297088,1
5-REVY,2481,2283793:5295344:5296970,Hillcrest Hotel - via Columbia Park,16996,5296970,1
5-REVY,2482,2284084:5295351:5297043,Hillcrest Hotel - via Columbia Park,16996,5297043,1
5-REVY,2481,2283820:5295358:5297165,Revelstoke Mountain Resort,17000,5297165,0
3-REVY,2480,2284026:5295362:5297088,Big Eddy,16893,5297088,1
1-REVY,2482,2284098:5295368:5296988,Southside - Hospital,16993,5296988,1
5-REVY,2475,2283575:5295397:5297070,Revelstoke Mountain Resort,17001,5297070,0
5-REVY,2483,2283866:5295404:5297074,Revelstoke Mountain Resort,17000,5297074,0
5-REVY,2475,2283542:5295410:5297015,Revelstoke Mountain Resort,17000,5297015,0
5-REVY,2483,2283859:5295413:5297074,Revelstoke Mountain Resort,17000,5297074,0
5-REVY,2481,2283800:5295429:5296970,Ramada Hotel - Columbia Park,16896,5296970,1
5-REVY,2481,2283785:5295459:5296970,Revelstoke Mountain Resort,17000,5296970,0
1-REVY,2482,2284093:5295483:5296988,Southside - Hospital,16993,5296988,1
1-REVY,2482,2284118:5295489:5296988,Southside - Hospital,16993,5296988,1
3-REVY,2480,2284027:5295504:5297088,Big Eddy,16893,5297088,1
5-REVY,2481,2283826:5295533:5297165,Revelstoke Mountain Resort,17000,5297165,0
5-REVY,2064,2283656:5295540:5297049,Revelstoke Mountain Resort,17000,5297049,0
5-REVY,2481,2283788:5295551:5296970,Revelstoke Mountain Resort,17000,5296970,0
1-REVY,2475,2283560:5295559:5296962,Southside - Hospital,16993,5296962,1
5-REVY,2064,2283637:5295584:5297073,Hillcrest Hotel - via Columbia Park,16996,5297073,1
