route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
5-SSI,2626,2302000:5449951:5455998,Fernwood,17940,5455998,1
5-SSI,2626,2301983:5449967:5455752,Fernwood,17940,5455752,1
6-SSI,2626,2301961:5449988:5455939,SSI Connector,17911,5455939,0
1-SSI,2626,2302002:5450000:5455998,Ganges Local,17915,5455998,0
6-SSI,2252,2302177:5450159:5455938,SSI Connector,17890,5455938,1
6-SSI,2626,2302014:5450197:5455759,SSI Connector,17890,5455759,1
2-SSI,2627,2302210:5450198:5455996,Fulford Harbour,17948,5455996,1
7-SSI,2252,2302189:5450203:5455997,Cusheon Lake,17892,5455997,0
3-SSI,2626,2302021:5450229:5455998,Vesuvius,17953,5455998,1
4-SSI,2252,2302164:5450242:5455997,Long Harbour,17893,5455997,0
2-SSI,2626,2301967:5450289:5455939,Fulford Harbour,17932,5455939,0
2-SSI,2626,2302009:5450386:5455759,Fulford Harbour,17948,5455759,1
1-SSI,2252,2302034:5450570:5455997,Ganges Local,17915,5455997,0
5-SSI,2626,2302008:5450591:5455998,Fernwood,17920,5455998,0
2-SSI,2626,2302003:5450613:5455998,Fulford Harbour,17932,5455998,0
2-SSI,2627,2302213:5450643:5455850,Fulford Harbour,17932,5455850,0
5-SSI,2626,2301962:5450659:5455939,Fernwood,17898,5455939,0
5-SSI,2627,2302229:5450808:5455996,Fernwood,17920,5455996,0
3-SSI,2252,2302197:5450873:5455708,Vesuvius,17923,5455708,0
1-SSI,2252,2302033:5450926:5455938,Ganges Local,17915,5455938,0
2-SSI,2252,2302038:5450929:5455938,Fulford Harbour,17948,5455938,1
2-SSI,2626,2301958:5450988:5455939,Fulford Harbour,17948,5455939,1
2-SSI,2626,2301963:5450996:5455939,Fulford Harbour,17948,5455939,1
5-SSI,2252,2302190:5451011:5455708,Fernwood,17920,5455708,0
1-SSI,2252,2302036:5451037:5455997,Ganges Local,17915,5455997,0
4-SSI,2252,2302160:5451058:5455708,Long Harbour,17905,5455708,1
7-SSI,2627,2302247:5451082:5455695,Cusheon Lake,17892,5455695,0
2-SSI,2626,2301980:5451109:5455752,Fulford Harbour,17932,5455752,0
5-SSI,2626,2301972:5451116:5455752,Fernwood,17898,5455752,0
5-SSI,2626,2301960:5451162:5455939,Fernwood,17901,5455939,1
2-SSI,2252,2302048:5451172:5455997,Fulford Harbour,17932,5455997,0
1-SSI,2627,2302202:5451193:5455695,Ganges Local,17915,5455695,0
3-SSI,2626,2302029:5451220:5455939,Vesuvius,17923,5455939,0
3-SSI,2626,2302024:5451223:5455939,Vesuvius,17953,5455939,1
1-SSI,2626,2301977:5451256:5455759,Ganges Local,17915,5455759,0
3-SSI,2626,2302019:5451309:5455998,Vesuvius,17953,5455998,1
4-SSI,2626,2301989:5451329:5455998,Long Harbour,17893,5455998,0
3-SSI,2626,2302027:5451331:5455752,Vesuvius,17923,5455752,0
4-SSI,2626,2301993:5451342:5455998,Long Harbour,17905,5455998,1
3-SSI,2626,2302030:5451367:5455939,Vesuvius,17923,5455939,0
2-SSI,2627,2302215:5451455:5455996,Fulford Harbour,17932,5455996,0
1-SSI,2252,2302035:5451548:5455708,Ganges Local,17915,5455708,0
2-SSI,2252,2302044:5451564:5455795,Fulford Harbour,17948,5455795,1
1-SSI,2626,2301986:5451602:5455998,Ganges Local,17915,5455998,0
6-SSI,2627,2302244:5451610:5455850,SSI Connector,17890,5455850,1
5-SSI,2627,2302232:5451615:5455996,Fernwood,17901,5455996,1
7-SSI,2626,2301995:5451624:5455759,Cusheon Lake,17892,5455759,0
3-SSI,2627,2302219:5451709:5455695,Vesuvius,17923,5455695,0
