route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
3-VER,1803,2085316:1961797:2172917,North End- Anderson Way- Via Alexis Park,4266,2172917,1
5-VER,1803,2085267:1961802:2172917,South Vernon,4354,2172917,1
6-VER,1803,2085496:1961813:3162115,Downtown- Via Hospital,2908,3162115,0
3-VER,1805,2087796:1961844:1978100,Downtown- Via Alexis Park,2494,1978100,0
4-VER,1803,2085308:1961919:2172668,East Hill,2443,2172668,0
3-VER,1803,2085444:1961958:2172917,Downtown- Via Alexis Park,2494,2172917,0
3-VER,1806,2086914:1962003:1977546,Downtown- Via Alexis Park,2494,1977546,0
5-VER,1803,2085295:1962007:1978032,South Vernon,4354,1978032,1
9-VER,1798,2085066:1962008:2172947,Downtown,2576,2172947,0
9-VER,1806,2086932:1962020:2172847,Downtown,2576,2172847,0
3-VER,1805,2087776:1962022:1978100,North End- Anderson Way- Via Alexis Park,4266,1978100,1
9-VER,1805,2087744:1962028:1978204,North End,2451,1978204,1
6-VER,1796,2085715:1962055:1978021,Downtown- Via Hospital,2908,1978021,0
3-VER,1805,2087797:1962061:1977945,Downtown- Via Alexis Park,2494,1977945,0
9-VER,1806,2086934:1962082:2172847,Downtown,2576,2172847,0
3-VER,1799,2085043:1962122:1977832,Downtown- Via Alexis Park,2494,1977832,0
3-VER,1579,2085043:1962122:1977938,Downtown- Via Alexis Park,2494,1977938,0
9-VER,1796,2085702:1962181:2172672,Downtown,2576,2172672,0
3-VER,1579,2084952:1962216:3161945,North End- Anderson Way- Via Alexis Park,4266,3161945,1
3-VER,1799,2084952:1962216:3161992,North End- Anderson Way- Via Alexis Park,4266,3161992,1
4-VER,1803,2085324:1962230:2172668,East Hill,2443,2172668,0
9-VER,1803,2085472:1962231:3161939,Downtown,2576,3161939,0
2-VER,1798,2085001:1962240:2172996,Pleasant Valley,2629,2172996,1
5-VER,1805,2087779:1962248:1977945,South Vernon,4354,1977945,1
3-VER,1799,2084953:1962250:1977832,North End- Anderson Way- Via Alexis Park,4266,1977832,1
3-VER,1579,2084953:1962250:1977938,North End- Anderson Way- Via Alexis Park,4266,1977938,1
5-VER,1806,2086893:1962260:1978432,South Vernon,4354,1978432,1
6-VER,1798,2084915:1962279:3162003,College- To Hospital,2907,3162003,1
2-VER,1803,2085340:1962289:2172668,Pleasant Valley,2629,2172668,1
6-VER,1798,2085100:1962295:3162055,Downtown- Via Hospital,2908,3162055,0
3-VER,1805,2087790:1962350:1977945,Downtown- Via Alexis Park,2494,1977945,0
2-VER,1798,2085002:1962356:3162003,Pleasant Valley,2629,3162003,1
1-VER,1803,2085437:1962376:2172668,Coldstream- Downtown,2579,2172668,0
3-VER,1806,2086887:1962396:1978432,North End- Anderson Way- Via Alexis Park,4266,1978432,1
1-VER,1803,2085371:1962429:3161988,Coldstream- Kal Beach,6187,3161988,1
6-VER,1803,2085278:1962452:3161988,College- To Hospital,2907,3161988,1
25-VER,1579,2085130:1962457:1978433,25 Shopper's Shuttle,2620,1978433,1
25-VER,1799,2085130:1962457:1978434,25 Shopper's Shuttle,2620,1978434,1
1-VER,1799,2084813:1962465:2172746,Coldstream- Kal Beach,6187,2172746,1
1-VER,1579,2084813:1962465:2172778,Coldstream- Kal Beach,6187,2172778,1
6-VER,1798,2084912:1962481:2172947,College- To Hospital,2907,2172947,1
9-VER,1798,2085063:1962484:2172996,Downtown,2576,2172996,0
22-VER,1803,2085529:1962496:1977623,College / HIllcrest,2509,1977623,0
61-VER,1798,2084836:1962519:1977950,Vernon,2572,1977950,1
