route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
23-SMI,2576,2293408:5412972:5417987,To Smithers,16434,5417987,1
23-SMI,2576,2293406:5413024:5417999,To Smithers,16434,5417999,1
22-SMI,2576,2258373:5413060:5417999,To Smithers,17266,5417999,0
22-SMI,2576,2258376:5413187:5417892,To Telkwa,17208,5417892,1
22-SMI,2367,2258394:5413447:5417915,To Telkwa,17184,5417915,1
22-SMI,2576,2258371:5413515:5417841,To Smithers,17266,5417841,0
22-SMI,2367,2258399:5413652:5417915,To Smithers,17266,5417915,0
23-SMI,2367,2293505:5413679:5417915,To Smithers,16434,5417915,1
22-SMI,2576,2258387:5413704:5417892,To Smithers,17246,5417892,0
23-SMI,2367,2293506:5413720:5417915,To Witset,16392,5417915,0
22-SMI,2576,2258378:5414027:5417892,To Smithers,17246,5417892,0
22-SMI,2576,2258377:5414047:5417892,To Telkwa,17184,5417892,1
22-SMI,2576,2258374:5414154:5418112,To Telkwa,17184,5418112,1
22-SMI,2576,2258379:5414659:5417892,To Telkwa,17184,5417892,1
22-SMI,2576,2258389:5414705:5417999,To Smithers,17222,5417999,0
22-SMI,2367,2258397:5414929:5417915,To Smithers,17266,5417915,0
22-SMI,2576,2258375:5414955:5418112,To Smithers,17266,5418112,0
22-SMI,2576,2258372:5415251:5417999,To Telkwa,17184,5417999,1
22-SMI,2367,2258395:5415380:5417915,To Telkwa,17184,5417915,1
23-SMI,2576,2293405:5415619:5417999,To Witset,16392,5417999,0
22-SMI,2367,2258400:5415644:5417915,To Smithers,17266,5417915,0
22-SMI,2367,2258393:5415723:5417915,To Telkwa,17184,5417915,1
23-SMI,2367,2293508:5415894:5417915,To Witset,16392,5417915,0
22-SMI,2576,2258370:5416157:5417841,To Telkwa,17184,5417841,1
22-SMI,2576,2258383:5416213:5417999,To Smithers,17246,5417999,0
22-SMI,2576,2258369:5416412:5417841,To Smithers,17246,5417841,0
22-SMI,2576,2302354:5416427:5417987,To Telkwa,17184,5417987,1
22-SMI,2367,2258396:5416512:5417915,To Telkwa,17184,5417915,1
22-SMI,2367,2258398:5416708:5417915,To Smithers,17266,5417915,0
23-SMI,2367,2293507:5417056:5417915,To Smithers,16434,5417915,1
23-SMI,2576,2293407:5417597:5417987,To Witset,16392,5417987,0
22-SMI,2576,2258384:5417648:5417999,To Telkwa,17184,5417999,1
