route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-SOS,2086,2280830:2879698:2885496,Westside - To Cherry Lane,4060,2885496,1
11-SOS,2086,2280793:2879701:2885626,Penticton - To Cherry Lane,4055,2885626,0
2-SOS,2086,2280824:2879727:2885496,Westside - To Cherry Lane,4060,2885496,1
4-SOS,2090,2280657:2879729:4901259,Duncan East - Downtown,3034,4901259,0
5-SOS,2086,2280725:2879754:2885514,Main North - Downtown,5532,2885514,0
5-SOS,2090,2280555:2879756:2885607,Main South - Peachtree,4079,2885607,1
1-SOS,2090,2280668:2879801:4901253,Wiltse - Peachtree,2977,4901253,1
2-SOS,2086,2280869:2879822:2885496,Westside - To Cherry Lane,4060,2885496,1
30-SOS,2086,2280770:2879825:4901454,Summerland,3016,4901454,0
1-SOS,2090,2280681:2879826:4901253,Wiltse - Peachtree,2977,4901253,1
1-SOS,2086,2280835:2879856:4901359,Wiltse - Peachtree,2977,4901359,1
3-SOS,2090,2280613:2879860:4901259,Skaha Lake - Peachtree,9165,4901259,1
1-SOS,2086,2280817:2879877:4901359,Wiltse - Peachtree,2977,4901359,1
2-SOS,2086,2280832:2879896:2885496,Penticton Ave - Downtown,4076,2885496,0
10-SOS,2090,2280539:2879946:2885582,Penticton - To Cherry Lane,3003,2885582,1
2-SOS,2086,2280842:2879994:2885496,Westside - To Cherry Lane,4060,2885496,1
41-SOS,2086,2280766:2880054:2885610,Osoyooos Local,2918,2885610,0
16-SOS,2091,2280537:2880057:4901420,Lake to Lake - To Cherry Lane,4053,4901420,0
4-SOS,2090,2280652:2880078:4901311,Downtown Only,4088,4901311,0
3-SOS,2086,2280876:2880097:2885496,Uplands - Downtown,9150,2885496,0
3-SOS,2090,2280656:2880129:4901259,Skaha Lake - Peachtree,9165,4901259,1
5-SOS,2086,2280732:2880133:2885635,Main South - Peachtree,4093,2885635,1
3-SOS,2086,2280847:2880150:4901272,Skaha Lake - Peachtree,9165,4901272,1
5-SOS,2091,2280533:2880163:2885574,Main North - Downtown,5532,2885574,0
5-SOS,2086,2280739:2880164:2885635,Main North - Downtown,5532,2885635,0
1-SOS,2086,2280836:2880183:4901359,Wiltse - Peachtree,2977,4901359,1
10-SOS,2087,2280765:2880210:2885537,Naramata,9196,2885537,0
10-SOS,2089,2280765:2880210:4901293,Naramata,9196,4901293,0
2-SOS,2086,2280816:2880219:2885496,Penticton Ave - Downtown,4076,2885496,0
15-SOS,2086,2280908:2880234:4901332,Night Route - Peachtree,4080,4901332,1
5-SOS,2090,2280578:2880255:2885443,Main South - Peachtree,4093,2885443,1
2-SOS,2090,2280610:2880263:2885571,Westside - To Cherry Lane,4060,2885571,1
2-SOS,2090,2280608:2880268:2885571,Penticton Ave - Downtown,4076,2885571,0
2-SOS,2090,2280621:2880283:2885571,Westside - To Cherry Lane,4060,2885571,1
2-SOS,2090,2280643:2880336:2885571,Westside - To Cherry Lane,4060,2885571,1
15-SOS,2090,2280694:2880382:4901311,Night Route - Downtown,4049,4901311,0
4-SOS,2090,2280623:2880383:4901311,Westside - To Cherry Lane,4039,4901311,1
5-SOS,2090,2280543:2880393:2885607,Main North - Downtown,5532,2885607,0
20-SOS,2086,2280702:2880403:2885585,Okanagan Falls,4056,2885585,1
4-SOS,2086,2280901:2880404:2885504,Westside - To Cherry Lane,4039,2885504,1
5-SOS,2086,2280720:2880415:2885514,Main North - Downtown,5532,2885514,0
16-SOS,2091,2280536:2880434:4901420,Lake to Lake - Skaha Lake,4094,4901420,1
5-SOS,2090,2280545:2880449:2885607,Main North - Downtown,5532,2885607,0
5-SOS,2090,2280549:2880454:2885607,Main North - Downtown,5532,2885607,0
4-SOS,2086,2280886:2880491:2885504,Westside - To Cherry Lane,4039,2885504,1
5-SOS,2090,2280556:2880492:2885607,Main South - Peachtree,4093,2885607,1
11-SOS,2086,2280790:2880503:2885626,West Bench,2989,2885626,1
5-SOS,2086,2280708:2880528:2885514,Main South - Peachtree,4093,2885514,1
5-SOS,2086,2280751:2880531:2885514,Main South - Peachtree,4093,2885514,1
3-SOS,2086,2280878:2880565:2885496,Downtown Only,9215,2885496,1
5-SOS,2090,2280569:2880589:2885443,Main South - Peachtree,4093,2885443,1
1-SOS,2086,2280861:2880606:4901359,Wiltse - Peachtree,2977,4901359,1
