route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-SQU,1904,2430010:3594293:3621845,Downtown,11257,3621845,0
3-SQU,1904,2429972:3594472:3617078,Valleycliffe,11146,3617078,1
2-SQU,1904,2429988:3594509:3617078,Highlands - Via University,11276,3617078,1
3-SQU,1904,2429956:3594519:3617078,Valleycliffe,11146,3617078,1
2-SQU,1904,2429959:3594559:3621739,Highlands - Via University,11276,3621739,1
3-SQU,1904,2429974:3594646:3621926,Valleycliffe,11146,3621926,1
3-SQU,1904,2429953:3594701:3621926,Valleycliffe,11146,3621926,1
1-SQU,1904,2429976:3594852:3617078,Brackendale,11233,3617078,1
2-SQU,1904,2430000:3594866:3621926,Downtown,11257,3621926,0
1-SQU,1904,2429980:3594890:3617078,Downtown,11275,3617078,0
2-SQU,1904,2429969:3595144:3617359,Downtown,11257,3617359,0
3-SQU,1904,2430022:3595259:3617078,Valleycliffe,11146,3617078,1
1-SQU,1904,2430019:3595370:3621845,Downtown,11275,3621845,0
1-SQU,1904,2429982:3595469:3621739,Downtown,11275,3621739,0
1-SQU,1904,2429983:3595518:3621739,Downtown,11275,3621739,0
3-SQU,1904,2429955:3595554:3621845,Valleycliffe,11146,3621845,1
2-SQU,1904,2429960:3595572:3621926,Highlands - Via University,11276,3621926,1
2-SQU,1904,2429987:3595765:3617078,Highlands - Via University,11276,3617078,1
3-SQU,1904,2430023:3595941:3621739,Valleycliffe,11146,3621739,1
2-SQU,1904,2430025:3596023:3621845,Downtown - Via Brackendale,11155,3621845,0
1-SQU,1904,2429981:3596070:3621739,Downtown,11275,3621739,0
2-SQU,1904,2429986:3596192:3621926,Highlands - Via University,11276,3621926,1
2-SQU,1904,2430024:3596237:3621845,Highlands - Via University,11276,3621845,1
1-SQU,1904,2430009:3596605:3621770,Downtown,11275,3621770,0
2-SQU,1904,2429965:3596614:3621739,Downtown,11257,3621739,0
3-SQU,1904,2429958:3596635:3621770,Valleycliffe,11146,3621770,1
1-SQU,1904,2430012:3596686:3617359,To Garibaldi Vlg,11166,3617359,0
2-SQU,1904,2430003:3596879:3621845,Highlands - Via University,11276,3621845,1
2-SQU,1904,2429994:3596939:3617078,Downtown,11257,3617078,0
2-SQU,1904,2429995:3596970:3617078,Downtown,11257,3617078,0
2-SQU,1904,2430004:3596981:3621845,Downtown,11257,3621845,0
1-SQU,1904,2429946:3596992:3621926,Downtown,11275,3621926,0
1-SQU,1904,2430017:3597024:3621845,Downtown,11275,3621845,0
1-SQU,1904,2429945:3597066:3621926,Downtown,11275,3621926,0
1-SQU,1904,2429998:3597408:3617078,Downtown,11275,3617078,0
2-SQU,1904,2429992:3597680:3621926,Downtown,11257,3621926,0
2-SQU,1904,2429962:3598010:3617359,Highlands - Via University,11276,3617359,1
1-SQU,1904,2430021:3598106:3621770,Downtown,11275,3621770,0
1-SQU,1904,2430020:3598260:3621770,Downtown,11275,3621770,0
1-SQU,1904,2429973:3598317:3621739,Brackendale,11233,3621739,1
2-SQU,1904,2429967:3598321:3617359,Downtown,11257,3617359,0
2-SQU,1904,2429989:3598360:3617078,Highlands - Via University,11276,3617078,1
3-SQU,1904,2429957:3598614:3621926,Valleycliffe,11146,3621926,1
1-SQU,1904,2429977:3598617:3621739,Brackendale,11233,3621739,1
1-SQU,1904,2430008:3598624:3617359,Downtown,11275,3617359,0
2-SQU,1904,2429964:3598692:3621845,Highlands - Via University,11276,3621845,1
1-SQU,1904,2430018:3598895:3621845,Downtown,11275,3621845,0
2-SQU,1904,2429985:3598949:3621926,Highlands - Via University,11276,3621926,1
3-SQU,1904,2429954:3599009:3617359,Valleycliffe,11146,3617359,1
1-SQU,1904,2429984:3599013:3621926,Downtown,11275,3621926,0
3-SQU,1904,2429952:3599054:3621845,Valleycliffe,11146,3621845,1
2-SQU,1904,2429991:3599063:3621739,Highlands - Via University,11276,3621739,1
2-SQU,1904,2429996:3599084:3621739,Downtown,11257,3621739,0
2-SQU,1904,2430016:3599130:3621845,Downtown,11257,3621845,0
2-SQU,1904,2430006:3599218:3621845,Highlands - Via University,11276,3621845,1
2-SQU,1904,2429990:3599340:3617078,Downtown,11257,3617078,0
1-SQU,1904,2430005:3599367:3617359,Brackendale,11233,3617359,1
3-SQU,1904,2429975:3599431:3621739,Valleycliffe,11146,3621739,1
1-SQU,1904,2430014:3599625:3617359,Brackendale,11233,3617359,1
3-SQU,1904,2430002:3599793:3617359,Valleycliffe,11146,3617359,1
1-SQU,1904,2430015:3599851:3617359,Downtown,11275,3617359,0
2-SQU,1904,2429968:3599852:3617359,Downtown,11257,3617359,0
1-SQU,1904,2430001:3599897:3621770,Brackendale,11233,3621770,1
1-SQU,1904,2429997:3600112:3617078,Brackendale,11159,3617078,1
2-SQU,1904,2430013:3600197:3621845,Highlands - Via University,11276,3621845,1
3-SQU,1904,2429971:3600204:3621926,Valleycliffe,11146,3621926,1
2-SQU,1904,2429966:3600336:3621926,Downtown,11257,3621926,0
2-SQU,1904,2429961:3600527:3617359,Highlands - Via University,11276,3617359,1
1-SQU,1904,2430011:3600544:3621770,Brackendale,11233,3621770,1
2-SQU,1904,2429999:3600556:3621926,Highlands,11175,3621926,1
2-SQU,1904,2429970:3600855:3621845,Downtown,11257,3621845,0
1-SQU,1904,2430007:3600903:3617359,Brackendale,11233,3617359,1
2-SQU,1904,2429993:3601141:3621926,Downtown,11257,3621926,0
2-SQU,1904,2429963:3601170:3617359,Highlands - Via University,11276,3617359,1
2-SQU,1922,2430509:3602266:3621644,Highlands,11252,3621644,1
3-SQU,1922,2430457:3602312:3621885,Valleycliffe,11146,3621885,1
9-SQU,1922,2430479:3602328:3621694,University,11264,3621694,1
2-SQU,2243,2430405:3602333:3621899,Downtown,11257,3621899,0
1-SQU,2243,2430414:3602369:3621899,Downtown,11275,3621899,0
3-SQU,1922,2430531:3602451:3621866,Valleycliffe,11146,3621866,1
3-SQU,1922,2430585:3602549:3621694,Valleycliffe,11146,3621694,1
1-SQU,1924,2430540:3602632:3621837,Downtown,11275,3621837,0
1-SQU,1890,2430540:3602632:3621887,Downtown,11275,3621887,0
2-SQU,1922,2430494:3602696:3621694,Highlands,11252,3621694,1
1-SQU,1924,2430572:3602709:3621837,Downtown,11275,3621837,0
1-SQU,1890,2430572:3602709:3621887,Downtown,11275,3621887,0
9-SQU,1922,2430553:3602738:3621846,University,11264,3621846,1
1-SQU,1922,2430538:3602748:3621694,Downtown,11275,3621694,0
9-SQU,1922,2430549:3602755:3621644,University,11264,3621644,1
9-SQU,1922,2430491:3602790:3621694,Downtown,11144,3621694,0
2-SQU,2243,2430421:3602795:3621972,Downtown,11257,3621972,0
3-SQU,1922,2430493:3602808:3621644,Valleycliffe,11146,3621644,1
3-SQU,2243,2430424:3602814:3621669,Valleycliffe,11146,3621669,1
4-SQU,1922,2430544:3602863:3621866,Garibaldi,11228,3621866,1
9-SQU,1922,2430492:3602920:3621694,Downtown,11144,3621694,0
2-SQU,1922,2430576:3602997:3621644,Downtown,11257,3621644,0
1-SQU,1922,2430458:3603058:3621915,Downtown,11275,3621915,0
1-SQU,1922,2430474:3603101:3621949,Downtown,11275,3621949,0
3-SQU,1922,2430534:3603103:3621846,Valleycliffe,11146,3621846,1
3-SQU,1922,2430482:3603133:3621866,Valleycliffe,11146,3621866,1
3-SQU,1922,2430562:3603139:3621846,Valleycliffe,11146,3621846,1
1-SQU,1922,2430516:3603202:3621915,Downtown,11275,3621915,0
2-SQU,2243,2430426:3603251:3621899,Downtown,11257,3621899,0
2-SQU,1922,2430573:3603252:3621644,Highlands - Via University,11276,3621644,1
