route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
1-SUN,1934,2092719:3635476:3639725,Langdale Ferry Local,6335,3639725,0
2-SUN,1934,2092763:3635495:3639887,West Sechelt Via Nickerson,6373,3639887,1
1-SUN,1934,2092716:3635499:3639818,Langdale Ferry Local,6335,3639818,0
2-SUN,1934,2092759:3635515:3639774,West Sechelt Via Nickerson,6373,3639774,1
90-SUN,1935,2093591:3635524:3639659,Sechelt Via Hwy 101,6369,3639659,1
3-SUN,1935,2093642:3635543:3639898,Sechelt Arena,6327,3639898,1
90-SUN,1934,2092778:3635544:3639774,Sechelt Via Hwy 101,6369,3639774,1
1-SUN,1934,2092737:3635593:3639648,Sechelt Local,6312,3639648,1
3-SUN,1934,2092795:3635629:3639774,Sechelt Arena,6327,3639774,1
3-SUN,1931,2092966:3635638:3639860,Sechelt Arena,6297,3639860,0
1-SUN,1931,2092946:3635652:3639909,,11476,3639909,0
1-SUN,1931,2092952:3635671:3639733,Langdale Ferry Local,6335,3639733,0
90-SUN,1931,2093006:3635694:3639946,Langdale Ferry Express Via Hwy 101,6366,3639946,0
90-SUN,1934,2092733:3635728:3639939,Langdale Ferry Express Via North Road,6329,3639939,0
90-SUN,1931,2093045:3635740:3639909,Sechelt Express Via North Road,6328,3639909,1
1-SUN,1935,2093588:3635742:3639717,Sechelt Local,6312,3639717,1
1-SUN,1935,2093535:3635758:3639641,Langdale Ferry Local,6335,3639641,0
1-SUN,1934,2092717:3635774:3639855,Langdale Ferry Local,6335,3639855,0
2-SUN,1935,2093589:3635780:3639659,West Sechelt Via Nickerson,6373,3639659,1
1-SUN,1934,2092720:3635789:3639803,Langdale Ferry Local,6335,3639803,0
1-SUN,1935,2093534:3635794:3639836,Langdale Ferry Local,6335,3639836,0
3-SUN,1931,2092969:3635805:3639973,Sechelt Arena,6297,3639973,0
1-SUN,1935,2093528:3635817:3639898,Langdale Ferry Local,6335,3639898,0
2-SUN,1931,2092981:3635826:3639626,West Sechelt Via Nickerson,6373,3639626,1
3-SUN,1935,2093559:3635833:3639926,Sechelt Arena,6297,3639926,0
2-SUN,1934,2092776:3635839:3639774,West Sechelt Via Nickerson,6373,3639774,1
3-SUN,1931,2093056:3635864:3639973,Sechelt Arena,6327,3639973,1
3-SUN,1935,2093637:3635906:3639641,Sechelt Arena,6327,3639641,1
2-SUN,1931,2092979:3635918:3639626,West Sechelt Via Nickerson,6373,3639626,1
90-SUN,1934,2093208:3635959:3639855,Langdale Ferry Express Via Hwy 101,6366,3639855,0
4-SUN,1931,2092975:3635969:3639626,Halfmoon Bay Via Norwest Bay,6342,3639626,0
4-SUN,1934,2092770:3635985:3639689,Halfmoon Bay Via Norwest Bay,6342,3639689,0
1-SUN,1931,2092941:3636036:3639946,Langdale Ferry Local Via Field Rd,6375,3639946,0
1-SUN,1935,2093531:3636069:3639717,Langdale Ferry Local,6335,3639717,0
2-SUN,1931,2093048:3636083:3639851,West Sechelt Via Nickerson,6373,3639851,1
1-SUN,1935,2093556:3636104:3639760,Sechelt Local,6312,3639760,1
3-SUN,1934,2092789:3636110:3639699,Sechelt Arena,6327,3639699,1
2-SUN,1934,2092754:3636111:3639725,West Sechelt Via Nickerson,6373,3639725,1
1-SUN,1931,2092931:3636115:3639643,Sechelt Local Via Field Rd,6291,3639643,1
2-SUN,1934,2092752:3636118:3639725,West Sechelt Via Nickerson,6373,3639725,1
2-SUN,1933,2092961:3636124:3639812,West Sechelt Via Nickerson,6373,3639812,1
90-SUN,1931,2092959:3636136:3639899,Sechelt Express Via North Road,6328,3639899,1
90-SUN,1931,2093030:3636143:3639909,Langdale Ferry Express Via North Road,6329,3639909,0
2-SUN,1931,2093014:3636146:3639899,West Sechelt,6300,3639899,1
4-SUN,1934,2092758:3636158:3639774,Halfmoon Bay Via Norwest Bay,6342,3639774,0
90-SUN,1935,2093613:3636170:3639708,Langdale Ferry Express Via Hwy 101,6366,3639708,0
3-SUN,1934,2092757:3636173:3639774,Sechelt Arena,6297,3639774,0
1-SUN,1931,2092995:3636180:3639795,Sechelt Local Via Field Rd,6291,3639795,1
90-SUN,1935,2093594:3636193:3639836,Langdale Ferry Express Via North Road,6329,3639836,0
90-SUN,1931,2093034:3636204:3639962,Sechelt Via Hwy 101,6369,3639962,1
90-SUN,1931,2093098:3636216:3639860,Sechelt Via Hwy 101,6369,3639860,1
