route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
3-TSK,2423,2281048:4343349:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281019:4343455:4355859,Kildala,3503,4355859,1
2-TSK,2423,2281047:4343538:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281024:4344129:4355859,Nechako,3707,4355859,1
3-TSK,2423,2281053:4344526:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281050:4344714:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281021:4346131:4355859,Kildala,3503,4355859,1
2-TSK,2423,2281018:4346605:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281022:4346956:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281046:4346971:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281044:4347152:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281020:4347303:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281027:4347899:4355859,Nechako,3707,4355859,1
3-TSK,2423,2281028:4347999:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281014:4348204:4355859,Whitesail,3704,4355859,0
1A-TSK,2423,2281016:4349327:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281030:4349502:4355859,Nechako,3707,4355859,1
3-TSK,2423,2281049:4349791:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281052:4349844:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281012:4349915:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281040:4350130:4355859,Nechako,3707,4355859,1
1A-TSK,2423,2281032:4350422:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281025:4350732:4355859,Nechako,3707,4355859,1
1A-TSK,2423,2281034:4350745:4355859,Whitesail,3704,4355859,0
3-TSK,2423,2281031:4350916:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281036:4351209:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281041:4351238:4355859,Nechako,3707,4355859,1
3-TSK,2423,2281023:4351942:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281037:4352169:4355859,Whitesail,3704,4355859,0
3-TSK,2423,2281054:4352380:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281017:4353213:4355859,Whitesail,3704,4355859,0
1A-TSK,2423,2281013:4353327:4355859,Whitesail,3704,4355859,0
1A-TSK,2423,2281039:4353580:4355859,Whitesail,3704,4355859,0
1A-TSK,2423,2281033:4354015:4355859,Whitesail,3704,4355859,0
1A-TSK,2423,2281015:4354138:4355859,Whitesail,3704,4355859,0
3-TSK,2423,2281055:4354219:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281029:4354228:4355859,Kildala,3503,4355859,1
3-TSK,2423,2281026:4354235:4355859,Kildala,3503,4355859,1
1A-TSK,2423,2281035:4354522:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281043:4354862:4355859,Nechako,3707,4355859,1
2-TSK,2423,2281045:4355101:4355859,Nechako,3707,4355859,1
1A-TSK,2423,2281038:4355387:4355859,Whitesail,3704,4355859,0
2-TSK,2423,2281042:4355548:4355859,Nechako,3707,4355859,1
3-TSK,2423,2281051:4355620:4355859,Kildala,3503,4355859,1
41-TSK,2089,2293034:5200927:5204921,Halliwell to Downtown,3453,5204921,0
1A-TSK,2234,2292887:5200931:5204979,Whitesail,3704,5204979,0
2-TSK,1781,2293302:5200937:5205025,Nechako,3707,5205025,1
41-TSK,2089,2293048:5200945:5205117,Halliwell to Downtown,3453,5205117,0
2-TSK,2234,2292975:5200947:5204979,Nechako,3707,5204979,1
163-TSK,2428,2293011:5200953:5204967,Kispiox,16454,5204967,0
43-TSK,2089,2293044:5201015:5204921,Southside,3946,5204921,0
163-TSK,2428,2293003:5201020:5204967,New Hazelton,16437,5204967,1
2-TSK,2234,2292929:5201026:5204905,Nechako,3707,5204905,1
3-TSK,2089,2293117:5201030:5205101,Kildala,3503,5205101,1
45-TSK,2089,2293063:5201032:5204986,Thornhill,3465,5204986,0
3-TSK,2234,2292922:5201034:5204979,Kildala,3503,5204979,1
2-TSK,2234,2292974:5201059:5204979,Nechako,3707,5204979,1
43-TSK,1781,2293221:5201060:5204922,Southside,3946,5204922,0
3-TSK,2234,2292949:5201061:5204979,Kildala,3503,5204979,1
12-TSK,1781,2293254:5201062:5204916,Kitamaat Village,8425,5204916,0
99-TSK,2234,2292987:5201065:5204974,School Special,10019,5204974,0
31-TSK,1781,2293365:5201084:5418033,Gitsegukla,16379,5418033,0
42-TSK,2234,2292867:5201088:5205041,City Shuttle,3506,5205041,0
4-TSK,2234,2292985:5201093:5204979,Crosstown,13719,5204979,1
1A-TSK,1781,2293271:5201112:5204960,Whitesail,3704,5204960,0
1B-TSK,2089,2293112:5201114:5205101,Whitesail,3705,5205101,1
1B-TSK,2234,2292902:5201115:5204979,Whitesail,3705,5204979,1
3-TSK,2089,2293196:5201116:5205101,Kildala,3503,5205101,1
45-TSK,1781,2293243:5201130:5204922,Thornhill,3459,5204922,0
46-TSK,2234,2292871:5201132:5204987,College Express,3708,5204987,1
1B-TSK,1781,2293277:5201135:5204960,Whitesail,3705,5204960,1
41-TSK,2234,2292848:5201144:5205048,Halliwell to Downtown,3453,5205048,0
1A-TSK,2234,2292893:5201149:5204905,Whitesail,3704,5204905,0
42-TSK,1781,2293249:5201156:5205096,City Shuttle,8415,5205096,0
43-TSK,2234,2292836:5201160:5204879,Southside,4021,5204879,0
2-TSK,1781,2293306:5201161:5204960,Nechako,3707,5204960,1
3-TSK,2089,2293129:5201175:5205101,Kildala,3503,5205101,1
41-TSK,1781,2293234:5201193:5204922,Halliwell to Downtown,3453,5204922,0
3-TSK,2234,2292920:5201201:5204905,Kildala,3503,5204905,1
2-TSK,2234,2292909:5201205:5204979,Nechako,3707,5204979,1
41-TSK,1781,2293233:5201212:5204922,Halliwell to Downtown,3453,5204922,0
41-TSK,2234,2292874:5201224:5205115,Halliwell to College,3456,5205115,1
41-TSK,2234,2292850:5201233:5205048,Halliwell to College,3456,5205048,1
2-TSK,1781,2293282:5201236:5204960,Nechako,3707,5204960,1
1A-TSK,2089,2293178:5201240:5205101,Whitesail,3704,5205101,0
3-TSK,2234,2292940:5201249:5204979,Kildala,3503,5204979,1
2-TSK,1781,2293332:5201250:5205025,Nechako,3707,5205025,1
1A-TSK,1781,2293329:5201265:5204960,Whitesail,3704,5204960,0
163-TSK,2428,2292999:5201277:5204967,Smithers,16461,5204967,1
45-TSK,1781,2293240:5201281:5204922,Thornhill,3465,5204922,0
1B-TSK,1781,2293281:5201287:5205025,Whitesail,3705,5205025,1
3-TSK,1781,2293294:5201298:5205025,Kildala,3503,5205025,1
1A-TSK,2234,2292979:5201304:5204979,Whitesail,3704,5204979,0
13-TSK,2089,2293023:5201306:5204926,Kitsumkalum,3470,5204926,1
2-TSK,2089,2293152:5201320:5204929,Nechako,3707,5204929,1
