route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
69,2700,1842292:5164845:5238769,Drop Off Only,16171,5238769,1
69,2702,1834572:5165525:5240460,Drop Off Only,16171,5240460,1
69,2707,1846965:5168674:5239440,Drop Off Only,16171,5239440,1
69,2700,1842780:5168912:5240500,Drop Off Only,16171,5240500,1
69,2701,1829974:5174530:5238966,Drop Off Only,16171,5238966,1
69,2701,1830462:5175887:5239675,Drop Off Only,16171,5239675,1
69,2090,1849770:5175934:5238856,Drop Off Only,16171,5238856,1
69,2097,1859518:5177640:5239863,Drop Off Only,16171,5239863,1
69,2699,1838674:5183186:5240594,Drop Off Only,16171,5240594,1
69,2699,1838186:5184527:5240014,Drop Off Only,16171,5240014,1
69,2702,1834080:5188128:5238785,Drop Off Only,16171,5238785,1
69,2707,1846461:5189024:5238728,Drop Off Only,16171,5238728,1
69,2699,1837993:5210314:5240534,Royal Jubilee - via Vic West,16799,5240534,1
85,2699,1837772:5210315:5277441,Downtown,16639,5277441,0
95,2097,1858073:5210316:5240417,Bear Mountain - via Millstream,16590,5240417,1
100,2707,1844363:5210317:5487149,Langford Exch - via McCallum,16573,5487149,0
74,2701,1829150:5210318:5449443,UVic - Foul Bay Exp,16783,5449443,0
74,2099,1851169:5210319:5449441,UVic - Foul Bay Exp,16783,5449441,0
77,2090,1848065:5210320:5449682,Downtown - to 7 UVic,16627,5449682,0
77,2707,1843477:5210321:5239560,Downtown - to 7 UVic,16627,5239560,0
3815,2701,1828421:5210322:5238851,Skirt Mountain - via Florence Lake,16474,5238851,1
81,2099,1851176:5210323:5449740,Dockyard - via Tillicum,16776,5449740,1
104,2090,1848317:5210324:5240627,Langford Exch,16508,5240627,0
83,2707,1843598:5210325:5455799,Downtown,16467,5455799,0
63,2097,1857552:5210326:5240351,Royal Jubilee - Cook St Village,16635,5240351,0
78,2707,1846764:5210327:5240961,Hillside Ctr - via Hastings,16800,5240961,0
92,2707,1845208:5210328:5238675,Downtown,16477,5238675,0
67,2707,1845135:5210329:5239627,Interurban - via Finlayson,16729,5239627,1
3434,2090,1848253:5210331:5239162,BLINK - to Downtown,16766,5239162,0
3434,2097,1857901:5210332:5240828,BLINK - to Downtown,16766,5240828,0
82,2699,1835851:5210333:5455841,Downtown,16722,5455841,0
3434,2707,1844179:5210335:5239643,BLINK - to Langford,16610,5239643,1
95,2181,1855973:5210336:5238881,Colwood Exch - via Royal Bay,16644,5238881,0
85,2701,1830086:5210337:5240956,Royal Oak Exch - via Glanford,16469,5240956,1
71,2700,1841058:5210338:5240617,UVic - via Kenmore,16616,5240617,0
104,2181,1855482:5210339:5240569,Sooke,16609,5240569,1
64,2700,1841233:5210340:5240347,Downtown,16659,5240347,1
65,2099,1851036:5210341:5238720,A Royal Oak Exch - via Emily Carr,16485,5238720,1
100,2699,1838802:5210342:5241070,Langford Exch - via McCallum,16573,5241070,0
62,2097,1857358:5210343:5240451,South Oak Bay - Oak Bay Village,16673,5240451,0
110,2702,1830904:5210344:5240739,Swartz Bay Ferry - via Saanichton,16636,5240739,1
80,2699,1836157:5210345:5239730,Tillicum Ctr via Munro,16767,5239730,1
64,2181,1856386:5210347:5238709,Downtown,16659,5238709,1
64,2701,1830237:5210348:5238783,UVic - via Hillside,16650,5238783,0
74,2701,1829667:5210349:5239149,Esquimalt - Fort/Yates Exp,16572,5239149,1
3434,2707,1844287:5210350:5238880,BLINK - to Langford,16610,5238880,1
74,2700,1841466:5210352:5449545,UVic - Foul Bay Exp,16783,5449545,0
118,2707,1847111:5210353:5277373,Airport,16503,5277373,0
64,2181,1857001:5210355:5449434,UVic - via Hillside,16650,5449434,0
71,2702,1832388:5210356:5240490,UVic - via Kenmore,16616,5240490,0
71,2181,1855405:5210357:5240296,UVic - via Kenmore,16616,5240296,0
82,2097,1859283:5210358:5455814,Downtown,16722,5455814,0
69,2700,1839714:5210359:5241022,James Bay - via Vic West,16662,5241022,0
81,2702,1833509:5210360:5238715,Dockyard - via Tillicum,16776,5238715,1
3434,2699,1836787:5210361:5239139,BLINK - to Langford,16610,5239139,1
77,2707,1845978:5210362:5241035,Downtown - to 7 UVic,16620,5241035,0
2571,2700,1839899:5210364:5240896,Willows - Oak Bay Village,16700,5240896,0
118,2702,1831600:5210365:5277595,Airport,16503,5277595,0
108,2097,1859662:5210366:5240884,X Express - to Victoria,16669,5240884,0
81,2702,1833143:5210367:5239127,UVic - via McKenzie,16622,5239127,0
103,2707,1845418:5210368:5487135,Langford Exch - via Lagoon,16624,5487135,1
85,2701,1830740:5210369:5240524,Downtown,16639,5240524,0
88,2700,1839508:5210370:5449699,UVic - via Royal Oak,16545,5449699,0
82,2707,1845094:5210371:5455953,Downtown,16722,5455953,0
65,2707,1843198:5210372:5240495,Downtown,16656,5240495,0
95,2090,1848427:5210373:5239121,Bear Mountain - via Millstream,16590,5239121,1
74,2099,1850167:5210376:5449824,Esquimalt - Fort/Yates Exp,16572,5449824,1
3434,2707,1845654:5210379:5240402,BLINK - to Downtown,16766,5240402,0
3815,2097,1858445:5210380:5239815,Skirt Mountain - via Florence Lake,16474,5239815,1
110,2702,1832498:5210381:5239235,Swartz Bay Ferry - via Saanichton,16636,5239235,1
74,2099,1851642:5210383:5449448,UVic - Foul Bay Exp,16783,5449448,0
64,2707,1846367:5210385:5240894,UVic - via Hillside,16650,5240894,0
66,2701,1827933:5210386:5239379,Downtown - to 21 Interurban,16604,5239379,1
74,2090,1847561:5210387:5240839,UVic - Foul Bay Exp,16783,5240839,0
78,2699,1836190:5210388:5239475,Vic General - Watkiss Wy via Hastings,16688,5239475,1
74,2700,1841909:5210389:5238681,UVic - Foul Bay Exp,16783,5238681,0
78,2099,1852194:5210390:5449554,Vic General - via Hastings,16739,5449554,1
73,2097,1857916:5210391:5240690,Vic General - via Craigflower,16588,5240690,1
65,2707,1846509:5210392:5240812,B Downtown - via Chatterton,16730,5240812,0
110,2707,1844716:5210393:5238708,Swartz Bay Ferry - via Saanichton,16636,5238708,1
3434,2181,1854905:5210394:5239489,BLINK - to Langford,16610,5239489,1
84,2097,1859652:5210395:5239915,Downtown,16655,5239915,0
86,2702,1832225:5210397:5277562,Cordova Bay,16652,5277562,1
95,2701,1828609:5210398:5239056,Colwood Exch - via Royal Bay,16644,5239056,0
111,2701,1827806:5210399:5449481,Saanichton Exch,16641,5449481,1
71,2181,1856099:5210400:5239798,University Hgts - via Kenmore,16606,5239798,1
102,2707,1843679:5210401:5487416,Langford Exch - via Triangle Mtn,16704,5487416,1
78,2090,1848962:5210402:5240985,Vic General - via Hastings,16544,5240985,1
82,2090,1847537:5210404:5455927,Downtown,16722,5455927,0
77,2702,1830898:5210405:5239580,Interurban - VI Tech Park,16751,5239580,1
66,2181,1856405:5210407:5238709,N UVic - Cook St Village,16795,5238709,0
81,2700,1840346:5210408:5240614,To Uptown Only - Carey/Ravine,16780,5240614,1
89,2699,1836904:5210410:5241114,Belmont Park - Royal Roads,16500,5241114,1
70,2699,1835344:5210411:5449460,Tillicum Ctr - via Gorge,16505,5449460,1
102,2090,1848353:5210413:5240808,Royal Bay Exch - via Triangle Mtn,16517,5240808,0
83,2699,1835577:5210414:5455756,Downtown,16467,5455756,0
100,2099,1850599:5210415:5487133,Thetis Hgts - via McCallum,16753,5487133,1
81,2099,1851928:5210416:5240428,UVic - via McKenzie,16622,5240428,0
