route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
46-WKT,2590,2273594:2564495:4657523,Rossland,3278,4657523,1
43-WKT,2590,2273562:2564500:4657341,Fruitvale - Via Glenmerry,7195,4657341,0
43-WKT,2590,2273557:2564504:2572733,To Waneta/Walmart - Via Glenmerry,3277,2572733,0
98-WKT,2590,2273611:2564551:4657644,Trail,3428,4657644,1
20-WKT,2592,2273753:2564584:2572752,Nelson,3244,2572752,0
20-WKT,2597,2273753:2564584:2572821,Nelson,3244,2572821,0
2-WKT,2298,2273728:2564625:2572651,Fairview,2821,2572651,1
2-WKT,2591,2273728:2564625:2572990,Fairview,2821,2572990,1
3-WKT,2590,2273646:2564662:2572806,Rosemont,2769,2572806,1
1-WKT,2590,2273764:2564675:2572886,Uphill - To Hospital Only,2787,2572886,1
31-WKT,2590,2273484:2564693:2572746,North Castlegar - To Downtown,2833,2572746,1
2-WKT,2590,2273707:2564720:2572822,Fairview,2838,2572822,1
2-WKT,2590,2273708:2564725:2572822,Downtown,2726,2572822,0
76-WKT,2595,2273811:2564743:2572686,Kaslo,2797,2572686,0
43-WKT,2590,2273571:2564749:2573030,Trail - Via Glenmerry,3255,2573030,1
44-WKT,2590,2273661:2564772:2572775,Sunningdale - Via KBRH,2704,2572775,1
43-WKT,2590,2273569:2564786:2572733,Trail - Via Glenmerry,3269,2572733,1
44-WKT,2590,2273779:2564836:2572813,KBR Hosp Only,2767,2572813,1
3-WKT,2590,2273528:2564856:2573031,Downtown,3430,2573031,0
32-WKT,2590,2273493:2564872:2572782,Columbia - To 31 N Castlegar,2877,2572782,0
72-WKT,2597,2273833:2564877:2572933,Nelson - Via Ymir,2727,2572933,0
20-WKT,2592,2273527:2564881:2572752,Playmor Jct,2842,2572752,1
20-WKT,2597,2273527:2564881:2572821,Playmor Jct,2842,2572821,1
43-WKT,2590,2273558:2564954:4657523,Fruitvale,7221,4657523,0
51-WKT,2593,2273830:2564966:2572505,Nakusp Hot Springs,2784,2572505,0
2-WKT,2590,2273761:2564974:2572864,Fairview,2821,2572864,1
31-WKT,2590,2273473:2564981:2572606,North Castlegar - Comm Complex,2800,2572606,0
1-WKT,2590,2273660:2564995:2572806,Uphill,2863,2572806,1
3-WKT,2590,2273794:2564999:2572806,Rosemont,2769,2572806,1
3-WKT,2590,2273526:2565010:2572886,Downtown,3430,2572886,0
33-WKT,2590,2273511:2565027:2572606,Selkirk - To Selkirk Coll,3431,2572606,1
32-WKT,2590,2273500:2565029:2572606,Columbia - To Robson,2694,2572606,1
2-WKT,2590,2273536:2565035:2572864,Downtown,2726,2572864,0
31-WKT,2590,2273477:2565051:2573002,North Castlegar - Comm Complex,2800,2573002,0
32-WKT,2590,2273696:2565060:2572930,Columbia - To Robson,2694,2572930,1
43-WKT,2590,2273570:2565102:2573083,Trail - Via Glenmerry,3268,2573083,1
98-WKT,2298,2273671:2565120:2572868,Trail,3428,2572868,1
3-WKT,2590,2273797:2565128:2572822,Downtown,2776,2572822,0
46-WKT,2590,2273597:2565135:2572552,Rossland - Via Annable,3276,2572552,1
44-WKT,2590,2273581:2565151:2572775,Sunningdale - Via KBRH,2704,2572775,1
43-WKT,2590,2273564:2565178:2572552,Trail - Via Glenmerry,3255,2572552,1
2-WKT,2590,2273752:2565197:2572522,Chahko Mika Mall,2760,2572522,1
99-WKT,2590,2273934:2565219:2572690,Castlegar - Selkirk College,2751,2572690,1
41-WKT,2590,2273540:2565234:2572625,Binns,3238,2572625,1
34-WKT,2590,2273517:2565251:2572746,Kinnaird - Via Southridge,2755,2572746,0
32-WKT,2590,2273497:2565261:2572746,Columbia - To Celgar Only,2804,2572746,1
98-WKT,2590,2273606:2565263:2572575,Castlegar - Selkirk College,3433,2572575,0
34-WKT,2590,2273524:2565327:2572930,Kinnaird,2817,2572930,0
99-WKT,2590,2273777:2565349:2572585,Nelson,3227,2572585,0
1-WKT,2590,2273749:2565353:2572536,Uphill,2863,2572536,1
33-WKT,2590,2273504:2565364:2572930,Selkirk - To 36 Ootischenia,3429,2572930,1
31-WKT,2590,2273483:2565377:2572746,North Castlegar - To 32 Columbia,2818,2572746,1
1-WKT,2298,2273654:2565459:2572651,Uphill,3432,2572651,1
1-WKT,2591,2273654:2565459:2572990,Uphill,3432,2572990,1
43-WKT,2590,2273666:2565474:2572775,Fruitvale - Via Glenmerry,7226,2572775,0
99-WKT,2590,2273692:2565521:2572864,Nelson,3227,2572864,0
31-WKT,2590,2273482:2565537:2572606,North Castlegar - To Downtown,2833,2572606,1
43-WKT,2590,2273550:2565538:2573083,Fruitvale - Via Glenmerry,7226,2573083,0
44-WKT,2590,2273780:2565597:4657644,KBR Hosp Only,2767,4657644,1
43-WKT,2590,2273675:2565610:2572775,Trail - Via Glenmerry,3268,2572775,1
99-WKT,2590,2273719:2565640:2572599,Nelson,3227,2572599,0
33-WKT,2590,2273687:2565679:2572782,Selkirk - To 36 Ootischenia,3429,2572782,1
2-WKT,2590,2273793:2565680:2572599,Downtown,2866,2572599,0
2-WKT,2298,2273703:2565721:2572651,Downtown,2726,2572651,0
2-WKT,2591,2273703:2565721:2572990,Downtown,2726,2572990,0
3-WKT,2298,2273776:2565746:2572651,Rosemont - To 1 Uphill,3012,2572651,1
3-WKT,2591,2273776:2565746:2572990,Rosemont - To 1 Uphill,3012,2572990,1
20-WKT,2590,2273620:2565760:2572536,Nelson - Via Perrys Back,3243,2572536,0
1-WKT,2298,2273751:2565804:2572651,Uphill - No Hospital,2691,2572651,1
1-WKT,2591,2273751:2565804:2572990,Uphill - No Hospital,2691,2572990,1
33-WKT,2590,2273502:2565820:2572606,Selkirk - To Comm Complex,2794,2572606,0
43-WKT,2590,2273561:2565833:2572625,Trail - Via Glenmerry,3253,2572625,1
2-WKT,2590,2273532:2565844:2573031,Downtown,2726,2573031,0
3-WKT,2590,2273691:2565849:2572488,Rosemont,2769,2572488,1
3-WKT,2590,2273805:2565887:2572599,Rosemont,2769,2572599,1
2-WKT,2298,2273523:2565898:2572651,Downtown,2726,2572651,0
2-WKT,2591,2273523:2565898:2572990,Downtown,2726,2572990,0
46-WKT,2590,2273593:2565905:4657644,Rossland,3231,4657644,1
99-WKT,2590,2273641:2565938:2572693,Castlegar - Selkirk College,2751,2572693,1
99-WKT,2590,2273619:2565945:2572599,Nelson,3227,2572599,0
31-WKT,2590,2273699:2565978:2572930,North Castlegar - To 32 Columbia,2818,2572930,1
