route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
31-WHI,2286,2443998:4329870:4577262,Alpine - Via Nesters,13075,4577262,0
6-WHI,2286,2443915:4329940:4579836,Tapley's-Blueberry,11039,4579836,1
5-WHI,2286,2444141:4329965:4343064,Upper Vlg - Benchlands - Free Shuttle,10977,4343064,0
4-WHI,2286,2444136:4329975:4343190,Marketplace - Free Shuttle,12431,4343190,1
7-WHI,2286,2444328:4329980:4576555,Staff Housing,11082,4576555,0
7-WHI,2286,2444338:4329989:4578372,Staff Housing,11082,4578372,0
10-WHI,2286,2443836:4329999:4343109,Cheakamus - Valley Exp,11104,4343109,1
10-WHI,2286,2443760:4330046:4343103,Emerald - Valley Exp,11010,4343103,0
20X-WHI,2286,2444144:4330067:4580537,Cheakamus Exp - Via Function Jct,12444,4580537,1
21-WHI,2286,2444226:4330075:4580574,To Village,11027,4580574,0
10-WHI,2286,2443940:4330078:4343102,Cheakamus - Valley Exp,11104,4343102,1
20X-WHI,2286,2443646:4330099:4579836,Cheakamus Exp - Via Function Jct,12444,4579836,1
30-WHI,2286,2443902:4330145:4576555,To Village,11121,4576555,1
30-WHI,2286,2443889:4330155:4578372,Alpine/Emerald - Via Nesters,12447,4578372,0
33-WHI,2286,2444253:4330159:4576112,Alpine - Via Spruce Grv,12508,4576112,0
20-WHI,2286,2443913:4330166:4578372,To Village - Via Function Jct,11026,4578372,0
4-WHI,2286,2443626:4330176:4343109,Marketplace - Free Shuttle,12431,4343109,1
5-WHI,2286,2444220:4330180:4578503,Upper Vlg - Benchlands - Free Shuttle,10977,4578503,0
4-WHI,2286,2444160:4330183:4343064,Marketplace - Free Shuttle,12431,4343064,1
33-WHI,2286,2444229:4330200:4343080,To Village - Via Spruce Grv,12518,4343080,1
33-WHI,2286,2444240:4330207:4580366,To Village - Via Spruce Grv,12518,4580366,1
31-WHI,2286,2443987:4330258:4576555,Alpine - Via Nesters,13075,4576555,0
4-WHI,2286,2443614:4330269:4343175,Marketplace - Free Shuttle,12431,4343175,1
30-WHI,2286,2443874:4330298:4580574,Alpine/Emerald - Via Nesters,12447,4580574,0
10-WHI,2286,2443919:4330304:4343123,Emerald Via Millar Creek - Valley Exp,11195,4343123,0
10-WHI,2286,2443759:4330318:4576318,Cheakamus Via Millar Creek - Valley Exp,11015,4576318,1
5-WHI,2286,2444143:4330411:4577262,Upper Vlg - Benchlands - Free Shuttle,10977,4577262,0
30-WHI,2286,2443854:4330444:4577146,To Village,11121,4577146,1
25-WHI,2286,2444088:4330446:4343151,To Village,12445,4343151,0
10-WHI,2286,2443951:4330457:4577010,Cheakamus - Valley Exp,11104,4577010,1
5-WHI,2286,2443667:4330482:4343109,Upper Vlg - Benchlands - Free Shuttle,10977,4343109,0
4-WHI,2286,2443621:4330497:4343109,Marketplace - Free Shuttle,12431,4343109,1
33-WHI,2286,2444255:4330498:4579758,Alpine - Via Spruce Grv,12508,4579758,0
4-WHI,2286,2443618:4330501:4343109,Marketplace - Free Shuttle,12431,4343109,1
10-WHI,2286,2443934:4330525:4343123,Cheakamus - Valley Exp,11104,4343123,1
20X-WHI,2286,2444193:4330528:4577469,Cheakamus Exp,12482,4577469,1
6-WHI,2286,2443818:4330530:4343226,Tapley's-Blueberry,11039,4343226,1
7-WHI,2286,2443933:4330563:4577601,Staff Housing,11082,4577601,0
20-WHI,2286,2443798:4330570:4576569,To Village,11059,4576569,0
21-WHI,2286,2443700:4330596:4343151,To Village,11027,4343151,0
10-WHI,2286,2443738:4330600:4343103,Cheakamus Via Millar Creek - Valley Exp,11067,4343103,1
10-WHI,2286,2443726:4330601:4343226,Emerald - Valley Exp,11010,4343226,0
30-WHI,2286,2443868:4330619:4577601,Alpine/Emerald - Via Nesters,12447,4577601,0
10-WHI,2286,2444063:4330620:4343102,Emerald Via Millar Creek - Valley Exp,11195,4343102,0
5-WHI,2286,2443939:4330640:4343175,Upper Vlg - Benchlands - Free Shuttle,10977,4343175,0
20-WHI,2286,2443969:4330668:4578372,To Village - Via Function Jct,11026,4578372,0
20X-WHI,2286,2443642:4330680:4576318,Cheakamus Exp - Via Function Jct,12444,4576318,1
30-WHI,2286,2443895:4330719:4577146,To Village,11121,4577146,1
5-WHI,2286,2444215:4330740:4343175,Upper Vlg - Benchlands - Free Shuttle,10977,4343175,0
25-WHI,2286,2444121:4330743:4343190,To Village,12445,4343190,0
10-WHI,2286,2443825:4330759:4343109,Emerald Via Millar Creek - Valley Exp,11195,4343109,0
25-WHI,2286,2444090:4330760:4577463,To Village,12445,4577463,0
4-WHI,2286,2444089:4330812:4343123,Marketplace - Free Shuttle,12431,4343123,1
7-WHI,2286,2443875:4330886:4577615,Staff Housing,11082,4577615,0
25-WHI,2286,2444104:4330889:4577463,Whistler Creek,12517,4577463,1
5-WHI,2286,2444171:4330907:4575840,Upper Vlg - Benchlands - Free Shuttle,10977,4575840,0
30-WHI,2286,2443914:4330998:4576112,Alpine/Emerald - Via Nesters,12447,4576112,0
30-WHI,2286,2443837:4331012:4578503,Alpine/Emerald - Via Nesters,12447,4578503,0
5-WHI,2286,2443677:4331077:4580574,Upper Vlg - Benchlands - Free Shuttle,10977,4580574,0
33-WHI,2286,2444237:4331095:4343080,Alpine - Via Spruce Grv,12508,4343080,0
20-WHI,2286,2443766:4331105:4575840,To Village,11059,4575840,0
7-WHI,2286,2443944:4331128:4577601,Staff Housing,11082,4577601,0
20-WHI,2286,2443935:4331187:4577615,To Village - Via Function Jct,11026,4577615,0
30-WHI,2286,2443711:4331251:4575840,Emerald - Via Nesters,13061,4575840,0
31-WHI,2286,2443799:4331262:4343109,To Village,10991,4343109,1
4-WHI,2286,2443610:4331263:4577601,Marketplace - Free Shuttle,12431,4577601,1
5-WHI,2286,2444283:4331275:4343080,Upper Vlg - Benchlands - Free Shuttle,10977,4343080,0
6-WHI,2286,2443835:4331300:4579089,Tapley's-Blueberry,11039,4579089,1
5-WHI,2286,2443832:4331305:4343103,Upper Vlg - Benchlands - Free Shuttle,10977,4343103,0
5-WHI,2286,2443866:4331310:4577615,Upper Vlg - Benchlands - Free Shuttle,10977,4577615,0
20X-WHI,2286,2443656:4331327:4576870,Village Exp,12443,4576870,0
7-WHI,2286,2443718:4331334:4343070,Staff Housing,11082,4343070,0
10-WHI,2286,2443801:4331400:4579089,Emerald - Valley Exp,11010,4579089,0
21-WHI,2286,2443696:4331403:4580574,To Village,11027,4580574,0
20-WHI,2286,2443872:4331421:4577010,To Village - Via Function Jct,11026,4577010,0
20-WHI,2286,2443852:4331449:4577615,To Village - Via Function Jct,11026,4577615,0
5-WHI,2286,2444203:4331483:4579836,Upper Vlg - Benchlands - Free Shuttle,10977,4579836,0
4-WHI,2286,2444159:4331517:4343064,Marketplace - Free Shuttle,12431,4343064,1
4-WHI,2286,2443612:4331553:4343175,Marketplace - Free Shuttle,12431,4343175,1
5-WHI,2286,2443672:4331573:4578372,Upper Vlg - Benchlands - Free Shuttle,10977,4578372,0
5-WHI,2286,2444211:4331603:4343151,Upper Vlg - Benchlands - Free Shuttle,10977,4343151,0
6-WHI,2286,2444039:4331645:4343226,Tapley's-Blueberry,11039,4343226,1
31-WHI,2286,2443941:4331653:4578503,To Village,10991,4578503,1
20X-WHI,2286,2444095:4331668:4580537,Cheakamus Exp,12482,4580537,1
10-WHI,2286,2443753:4331671:4343103,Cheakamus Via Millar Creek - Valley Exp,11015,4343103,1
4-WHI,2286,2443620:4331697:4576870,Marketplace - Free Shuttle,12431,4576870,1
4-WHI,2286,2443607:4331700:4577262,Marketplace - Free Shuttle,12431,4577262,1
21-WHI,2286,2444028:4331713:4580574,Spring Creek,10980,4580574,1
4-WHI,2286,2443630:4331719:4578372,Marketplace - Free Shuttle,12431,4578372,1
21-WHI,2286,2443931:4331722:4577146,Spring Creek,10980,4577146,1
31-WHI,2286,2444011:4331731:4575840,Alpine - Via Nesters,13075,4575840,0
7-WHI,2286,2443861:4331780:4577601,Staff Housing,11082,4577601,0
25-WHI,2286,2444116:4331785:4578503,To Village,12445,4578503,0
10-WHI,2286,2444036:4331807:4343175,Emerald Via Millar Creek - Valley Exp,11195,4343175,0
21-WHI,2286,2443685:4331871:4343204,Spring Creek,10980,4343204,1
5-WHI,2286,2444158:4331872:4343109,Upper Vlg - Benchlands - Free Shuttle,10977,4343109,0
4-WHI,2286,2444157:4331890:4343070,Marketplace - Free Shuttle,12431,4343070,1
25-WHI,2286,2444101:4331895:4343151,Whistler Creek,12517,4343151,1
21-WHI,2286,2443779:4331914:4577469,To Village,11027,4577469,0
4-WHI,2286,2444142:4331916:4343190,Marketplace - Free Shuttle,12431,4343190,1
6-WHI,2286,2444058:4331955:4343103,Tapley's-Blueberry,11039,4343103,1
4-WHI,2286,2444127:4331958:4577262,Marketplace - Free Shuttle,12431,4577262,1
5-WHI,2286,2443666:4331978:4343109,Upper Vlg - Benchlands - Free Shuttle,10977,4343109,0
21-WHI,2286,2444032:4331979:4577469,To Village,11027,4577469,0
5-WHI,2286,2444162:4331983:4343109,Upper Vlg - Benchlands - Free Shuttle,10977,4343109,0
7-WHI,2286,2443986:4332006:4577601,Staff Housing,11082,4577601,0
31-WHI,2286,2443819:4332034:4343070,Alpine - Via Nesters,13075,4343070,0
7-WHI,2286,2443845:4332058:4580574,Staff Housing,11082,4580574,0
5-WHI,2286,2444139:4332062:4343190,Upper Vlg - Benchlands - Free Shuttle,10977,4343190,0
6-WHI,2286,2443881:4332108:4577615,Tapley's-Blueberry,11039,4577615,1
33-WHI,2286,2444232:4332122:4343080,To Village - Via Spruce Grv,12518,4343080,1
31-WHI,2286,2443964:4332130:4578503,Alpine - Via Nesters,13075,4578503,0
20X-WHI,2286,2444176:4332134:4577469,Cheakamus Exp,12482,4577469,1
33-WHI,2286,2444228:4332144:4343080,Alpine - Via Spruce Grv,12508,4343080,0
33-WHI,2286,2444236:4332173:4343080,To Village - Via Spruce Grv,12518,4343080,1
30-WHI,2286,2443844:4332193:4577615,To Village,11121,4577615,1
21-WHI,2286,2443698:4332204:4576112,To Village,11027,4576112,0
33-WHI,2286,2444239:4332232:4580366,Alpine - Via Spruce Grv,12508,4580366,0
31-WHI,2286,2443777:4332238:4343109,Alpine - Via Nesters,13075,4343109,0
20X-WHI,2286,2444153:4332266:4580537,Cheakamus Exp - Via Function Jct,12444,4580537,1
6-WHI,2286,2443959:4332272:4576112,Tapley's-Blueberry,11039,4576112,1
20X-WHI,2286,2443643:4332296:4576318,Cheakamus Exp - Via Function Jct,12444,4576318,1
5-WHI,2286,2444105:4332302:4577146,Upper Vlg - Benchlands - Free Shuttle,10977,4577146,0
5-WHI,2286,2444093:4332354:4577146,Upper Vlg - Benchlands - Free Shuttle,10977,4577146,0
20-WHI,2286,2443705:4332397:4343070,To Village,11059,4343070,0
7-WHI,2286,2443754:4332398:4576569,Staff Housing,11082,4576569,0
6-WHI,2286,2443876:4332435:4576555,Tapley's-Blueberry,11039,4576555,1
4-WHI,2286,2444150:4332542:4579758,Marketplace - Free Shuttle,12431,4579758,1
10-WHI,2286,2444040:4332572:4343080,Emerald Via Millar Creek - Valley Exp,11195,4343080,0
10-WHI,2286,2443765:4332594:4343226,Cheakamus Via Millar Creek - Valley Exp,11015,4343226,1
7-WHI,2286,2444118:4332596:4577262,Staff Housing,11082,4577262,0
4-WHI,2286,2444202:4332660:4343103,Marketplace - Free Shuttle,12431,4343103,1
20-WHI,2286,2443752:4332726:4580366,To Village,11059,4580366,0
5-WHI,2286,2444103:4332730:4577146,Upper Vlg - Benchlands - Free Shuttle,10977,4577146,0
5-WHI,2286,2444166:4332751:4575840,Upper Vlg - Benchlands - Free Shuttle,10977,4575840,0
21-WHI,2286,2443702:4332764:4580537,To Village,11027,4580537,0
10-WHI,2286,2443745:4332824:4343103,Emerald - Valley Exp,11010,4343103,0
5-WHI,2286,2444000:4332847:4579089,Upper Vlg - Benchlands - Free Shuttle,10977,4579089,0
20-WHI,2286,2444008:4332853:4579758,To Village - Via Function Jct,11026,4579758,0
20-WHI,2286,2443974:4332860:4577615,To Village - Via Function Jct,11026,4577615,0
33-WHI,2286,2444233:4332873:4577469,Alpine - Via Spruce Grv,12508,4577469,0
6-WHI,2286,2443812:4332883:4343190,Tapley's-Blueberry,11039,4343190,1
20-WHI,2286,2443857:4332885:4577010,To Village - Via Function Jct,11026,4577010,0
21-WHI,2286,2443689:4332904:4343151,Spring Creek,10980,4343151,1
5-WHI,2286,2444107:4332938:4577146,Upper Vlg - Benchlands - Free Shuttle,10977,4577146,0
