route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
2-WIL,2575,2287010:5412933:5417811,Broadway - Tourist Discovery Centre,17781,5417811,0
1-WIL,2575,2286998:5413037:5417791,Community Bus,17772,5417791,1
1-WIL,2575,2286990:5413093:5417950,Community Bus,17772,5417950,1
3-WIL,2575,2287018:5413258:5417791,South Lakeside,17788,5417791,0
1-WIL,2252,2287035:5413317:5418127,Community Bus,17772,5418127,1
1-WIL,2575,2286997:5413472:5418055,Community Bus,17772,5418055,1
1-WIL,2575,2286989:5413525:5417950,Community Bus,17772,5417950,1
3-WIL,2252,2287044:5413581:5417961,South Lakeside,17788,5417961,0
1-WIL,2575,2287003:5413660:5418041,Community Bus,17772,5418041,1
1-WIL,2575,2287000:5413709:5417791,Community Bus,17772,5417791,1
3-WIL,2575,2287021:5413915:5417791,South Lakeside,17788,5417791,0
3-WIL,2575,2287017:5414144:5418055,South Lakeside,17788,5418055,0
1-WIL,2575,2287002:5414175:5417982,Community Bus,17772,5417982,1
3-WIL,2252,2287043:5414187:5418127,South Lakeside,17788,5418127,0
2-WIL,2575,2287007:5414192:5417860,Broadway - Tourist Discovery Centre,17781,5417860,0
2-WIL,2575,2287005:5414232:5417950,Broadway - Tourist Discovery Centre,17781,5417950,0
2-WIL,2579,2287009:5414233:5417808,Broadway - Tourist Discovery Centre,17781,5417808,0
2-WIL,2578,2287009:5414233:5417823,Broadway - Tourist Discovery Centre,17781,5417823,0
2-WIL,2575,2287004:5414238:5417972,Broadway - Tourist Discovery Centre,17781,5417972,0
4-WIL,2578,2287023:5414308:5417823,Sugar Cane,17739,5417823,0
1-WIL,2575,2287033:5414330:5418041,Community Bus,17772,5418041,1
2-WIL,2575,2287006:5414399:5418055,Broadway - Tourist Discovery Centre,17781,5418055,0
4-WIL,2578,2287024:5414604:5417910,Sugar Cane,17739,5417910,0
1-WIL,2252,2287034:5414651:5418127,Community Bus,17772,5418127,1
2-WIL,2252,2287041:5414658:5417881,Broadway - Tourist Discovery Centre,17781,5417881,0
1-WIL,2252,2287046:5414721:5417983,Community Bus,17772,5417983,1
1-WIL,2252,2287036:5414873:5417961,Community Bus,17772,5417961,1
3-WIL,2575,2287019:5414930:5417791,South Lakeside,17788,5417791,0
3-WIL,2575,2287025:5414941:5417972,South Lakeside,17769,5417972,0
2-WIL,2575,2287012:5414949:5417982,Broadway - Tourist Discovery Centre,17781,5417982,0
1-WIL,2575,2287001:5414993:5417791,Community Bus,17772,5417791,1
3-WIL,2575,2287028:5415075:5417811,South Lakeside,17761,5417811,0
2-WIL,2578,2287011:5415171:5417910,Broadway - Tourist Discovery Centre,17781,5417910,0
2-WIL,2579,2287011:5415171:5418000,Broadway - Tourist Discovery Centre,17781,5418000,0
1-WIL,2575,2286988:5415276:5417950,Community Bus,17772,5417950,1
1-WIL,2575,2286992:5415312:5417972,Community Bus,17772,5417972,1
3-WIL,2575,2287030:5415430:5417791,South Lakeside,17761,5417791,0
2-WIL,2252,2287037:5415540:5417983,Broadway - Tourist Discovery Centre,17781,5417983,0
1-WIL,2252,2287039:5415570:5417881,Community Bus,17772,5417881,1
1-WIL,2575,2286994:5415714:5417860,Community Bus,17772,5417860,1
1-WIL,2575,2286993:5415775:5417972,Community Bus,17772,5417972,1
1-WIL,2252,2287038:5415827:5417881,Community Bus,17772,5417881,1
1-WIL,2575,2286996:5415847:5417860,Community Bus,17772,5417860,1
1-WIL,2252,2287047:5415884:5417983,Community Bus,17772,5417983,1
3-WIL,2575,2287015:5415906:5417860,South Lakeside,17788,5417860,0
1-WIL,2575,2286999:5415915:5417791,Community Bus,17772,5417791,1
1-WIL,2575,2287029:5416002:5417811,Community Bus,17772,5417811,1
3-WIL,2575,2287020:5416179:5417982,South Lakeside,17788,5417982,0
2-WIL,2252,2287040:5416223:5418127,Broadway - Tourist Discovery Centre,17781,5418127,0
3-WIL,2575,2287032:5416279:5418041,South Lakeside,17761,5418041,0
3-WIL,2252,2287045:5416318:5417881,South Lakeside,17788,5417881,0
1-WIL,2575,2287026:5416405:5417791,Community Bus,17772,5417791,1
2-WIL,2575,2287031:5416666:5418041,Broadway - Tourist Discovery Centre,17784,5418041,0
4-WIL,2578,2287022:5416877:5417831,Sugar Cane,17739,5417831,0
2-WIL,2575,2287008:5417105:5417860,Broadway - Tourist Discovery Centre,17781,5417860,0
2-WIL,2252,2287042:5417216:5417881,Broadway - Tourist Discovery Centre,17781,5417881,0
3-WIL,2575,2287014:5417355:5417972,South Lakeside,17788,5417972,0
3-WIL,2252,2287048:5417356:5417983,South Lakeside,17788,5417983,0
1-WIL,2575,2286995:5417359:5418055,Community Bus,17772,5418055,1
1-WIL,2575,2287027:5417410:5417811,Community Bus,17772,5417811,1
2-WIL,2575,2287013:5417462:5417982,Broadway - Tourist Discovery Centre,17781,5417982,0
3-WIL,2575,2287016:5417579:5418055,South Lakeside,17788,5418055,0
1-WIL,2575,2286991:5417708:5417950,Community Bus,17772,5417950,1
