trip_id,origin_scheduled_time,destination_scheduled_time
13678472, 5:57:00, 6:10:00
13678473, 6:19:00, 6:32:00
13678474, 6:34:00, 6:47:00
13678475,18:04:00,18:18:00
13678476,18:16:00,18:30:00
13678477,18:44:00,18:58:00
13678478,18:56:00,19:10:00
13678479,19:36:00,19:50:00
13678480,19:51:00,20:04:00
13678481,20:35:00,20:48:00
13678482,21:18:00,21:31:00
13678483,21:58:00,22:11:00
13678484,22:45:00,22:58:00
13678485,23:45:00,23:58:00
13678486,24:45:00,24:58:00
13678487,10:03:00,10:18:00
13678488,10:10:00,10:25:00
13678489,10:26:00,10:41:00
13678490,10:46:00,11:01:00
13678491,10:56:00,11:11:00
13678492,13:56:00,14:12:00
13678493,14:56:00,15:12:00
13678494, 9:06:00, 9:21:00
13678495, 9:36:00, 9:51:00
13678496, 9:49:00,10:04:00
13678497, 9:56:00,10:11:00
13678498,15:06:00,15:21:00
13678499,15:15:00,15:30:00
13678500,15:23:00,15:38:00
13678501,15:37:00,15:52:00
13678502,15:52:00,16:07:00
13678503,16:07:00,16:22:00
13678504,16:14:00,16:29:00
13678505,16:33:00,16:47:00
13678506,16:45:00,16:59:00
13678507,16:57:00,17:11:00
13678508,17:03:00,17:17:00
13678509,17:15:00,17:29:00
13678510,17:27:00,17:41:00
13678511,17:34:00,17:48:00
13678512,17:45:00,17:59:00
13678513,20:20:00,20:33:00
13678514, 6:58:00, 7:13:00
13678515, 7:08:00, 7:23:00
13678516, 7:17:00, 7:32:00
13678517, 8:05:00, 8:20:00
13678518, 8:17:00, 8:32:00
13678519, 8:29:00, 8:44:00
13678520, 8:41:00, 8:56:00
13678521, 8:47:00, 9:02:00
13678522, 8:54:00, 9:09:00
13678523, 9:00:00, 9:15:00
13678524, 9:12:00, 9:27:00
13678525, 9:23:00, 9:38:00
13678526, 9:29:00, 9:44:00
13678527, 9:42:00, 9:57:00
13678528,10:17:00,10:32:00
13678529,10:36:00,10:51:00
13678530,11:06:00,11:21:00
13678531,11:16:00,11:31:00
13678532,11:26:00,11:41:00
13678533,11:46:00,12:01:00
13678534,11:56:00,12:11:00
13678535,12:06:00,12:21:00
13678536,12:16:00,12:32:00
13678537,12:26:00,12:42:00
13678538,12:36:00,12:52:00
13678539,12:46:00,13:02:00
13678540,12:56:00,13:12:00
13678541,13:06:00,13:22:00
13678542,13:16:00,13:32:00
13678543,13:26:00,13:42:00
13678544,13:36:00,13:52:00
13678545,13:46:00,14:02:00
13678546,14:06:00,14:21:00
13678547,14:16:00,14:32:00
13678548,14:26:00,14:42:00
13678549,14:36:00,14:52:00
13678550,14:46:00,15:02:00
13678551, 6:47:00, 7:02:00
13678552, 7:23:00, 7:38:00
13678553, 7:29:00, 7:44:00
13678554, 7:35:00, 7:50:00
13678555, 7:41:00, 7:56:00
13678556, 7:47:00, 8:02:00
13678557, 7:59:00, 8:14:00
13678558, 8:11:00, 8:26:00
13678559, 8:23:00, 8:38:00
13678560,11:36:00,11:51:00
13678561,15:30:00,15:45:00
13678562,15:44:00,15:59:00
13678563,15:59:00,16:14:00
13678564,16:21:00,16:35:00
13678565,16:27:00,16:41:00
13678566,16:39:00,16:53:00
13678567,16:51:00,17:05:00
13678568,17:09:00,17:23:00
13678569,17:21:00,17:35:00
13678570,17:39:00,17:53:00
13678571,17:51:00,18:05:00
13678572,18:23:00,18:37:00
13678573,17:57:00,18:11:00
13678574,18:10:00,18:24:00
13678575,18:33:00,18:47:00
13678576,19:21:00,19:35:00
13678577,20:05:00,20:18:00
13678578,20:49:00,21:02:00
13678579,21:38:00,21:51:00
13678580,22:18:00,22:31:00
13678581,23:15:00,23:28:00
