,group1,group2,meandiff,p-adj,lower,upper,reject
0,100 mile house,Agassiz-Harrison,-9.1523,0.0,-13.177,-5.1276,True
1,100 mile house,Ashcroft-Cache-Creek-Clinton,23.0406,0.0,19.0159,27.0654,True
2,100 mile house,Bulkley Nechako,-10.3815,0.0,-14.4063,-6.3568,True
3,100 mile house,Campbell River,-1.9978,0.999,-6.0226,2.0269,False
4,100 mile house,Central Fraser Valley,-8.6703,0.0,-12.695,-4.6456,True
5,100 mile house,Chilliwack,-8.0808,0.0,-12.1055,-4.0561,True
6,100 mile house,Clearwater,7.2259,0.0,3.2012,11.2507,True
7,100 mile house,Columbia Valley,-7.2822,0.0,-11.3069,-3.2575,True
8,100 mile house,Comox Valley,-3.563,0.2064,-7.5878,0.4617,False
9,100 mile house,Cowichan Valley,-1.6895,1.0,-5.7142,2.3352,False
10,100 mile house,Cranbrook,-7.6784,0.0,-11.7032,-3.6537,True
11,100 mile house,Creston Valley,-10.2571,0.0,-14.2819,-6.2324,True
12,100 mile house,Dawson Creek,-11.6481,0.0,-15.6728,-7.6234,True
13,100 mile house,Elk Valley,-4.8179,0.002,-8.8426,-0.7932,True
14,100 mile house,Fort St John,-10.4716,0.0,-14.4963,-6.4469,True
15,100 mile house,Greater Vancouver,-10.7805,0.0,-14.8052,-6.7558,True
16,100 mile house,Hazeltons,-2.666,0.8746,-6.6907,1.3587,False
17,100 mile house,Hope,-9.4263,0.0,-13.451,-5.4016,True
18,100 mile house,Kamloops,-5.7453,0.0,-9.77,-1.7206,True
19,100 mile house,Kelowna,-5.3781,0.0001,-9.4028,-1.3534,True
20,100 mile house,Kimberley,-6.9178,0.0,-10.9426,-2.8931,True
21,100 mile house,Kitimat,-1.7857,0.9999,-5.8105,2.239,False
22,100 mile house,Merritt,-5.0221,0.0008,-9.0468,-0.9973,True
23,100 mile house,Mount Waddington,10.0556,0.0,6.0309,14.0803,True
24,100 mile house,Nanaimo,-7.4873,0.0,-11.5121,-3.4626,True
25,100 mile house,Pemberton Valley,11.6015,0.0,7.5768,15.6262,True
26,100 mile house,Port Alberni,-7.9467,0.0,-11.9714,-3.922,True
27,100 mile house,Port Edward,-10.5638,0.0,-14.5885,-6.5391,True
28,100 mile house,Powell River,-3.7608,0.1181,-7.7855,0.264,False
29,100 mile house,Prince George,-10.9226,0.0,-14.9473,-6.8979,True
30,100 mile house,Prince Rupert,-10.864,0.0,-14.8888,-6.8393,True
31,100 mile house,Quesnel,-3.1346,0.5198,-7.1593,0.8901,False
32,100 mile house,Revelstoke,-6.6629,0.0,-10.6876,-2.6382,True
33,100 mile house,Salt Spring Island,0.9112,1.0,-3.1135,4.936,False
34,100 mile house,Shuswap,-11.8154,0.0,-15.8401,-7.7907,True
35,100 mile house,Skeena,-0.7675,1.0,-4.7922,3.2572,False
