,group1,group2,meandiff,p-adj,lower,upper,reject
0,100 mile house,Agassiz-Harrison,-3.8111,0.9963,-11.0349,3.4127,False
1,100 mile house,Ashcroft-Cache-Creek-Clinton,34.5802,0.0,27.3564,41.804,True
2,100 mile house,Bulkley Nechako,-2.8295,1.0,-10.0533,4.3943,False
3,100 mile house,Campbell River,-3.4735,0.9995,-10.6973,3.7504,False
4,100 mile house,Central Fraser Valley,-3.6186,0.9987,-10.8424,3.6053,False
5,100 mile house,Chilliwack,-2.3236,1.0,-9.5475,4.9002,False
6,100 mile house,Clearwater,22.6869,0.0,15.4631,29.9107,True
7,100 mile house,Columbia Valley,-7.2943,0.0435,-14.5182,-0.0705,True
8,100 mile house,Comox Valley,-4.5042,0.9404,-11.728,2.7197,False
9,100 mile house,Cowichan Valley,6.3545,0.219,-0.8693,13.5783,False
10,100 mile house,Cranbrook,-7.2644,0.0462,-14.4882,-0.0406,True
11,100 mile house,Creston Valley,-7.2383,0.0486,-14.4621,-0.0145,True
12,100 mile house,Dawson Creek,-1.9693,1.0,-9.1931,5.2545,False
13,100 mile house,Elk Valley,-4.0589,0.988,-11.2827,3.1649,False
14,100 mile house,Fort St John,-4.7024,0.8974,-11.9262,2.5215,False
15,100 mile house,Greater Vancouver,-2.2172,1.0,-9.441,5.0067,False
16,100 mile house,Hazeltons,-0.6046,1.0,-7.8285,6.6192,False
17,100 mile house,Hope,-4.7088,0.8957,-11.9327,2.515,False
18,100 mile house,Kamloops,-5.0636,0.7779,-12.2874,2.1603,False
19,100 mile house,Kelowna,-3.0171,1.0,-10.241,4.2067,False
20,100 mile house,Kimberley,-7.3645,0.0379,-14.5883,-0.1407,True
21,100 mile house,Kitimat,1.3847,1.0,-5.8392,8.6085,False
22,100 mile house,Merritt,-8.2676,0.0051,-15.4915,-1.0438,True
23,100 mile house,Mount Waddington,13.5751,0.0,6.3512,20.7989,True
24,100 mile house,Nanaimo,-0.1121,1.0,-7.336,7.1117,False
25,100 mile house,Pemberton Valley,19.2637,0.0,12.0399,26.4876,True
26,100 mile house,Port Alberni,-7.6625,0.0203,-14.8863,-0.4387,True
27,100 mile house,Port Edward,-8.2538,0.0053,-15.4776,-1.03,True
28,100 mile house,Powell River,4.7401,0.8874,-2.4837,11.9639,False
29,100 mile house,Prince George,-1.8465,1.0,-9.0703,5.3774,False
30,100 mile house,Prince Rupert,-8.5642,0.0024,-15.788,-1.3403,True
31,100 mile house,Quesnel,4.2121,0.9778,-3.0117,11.4359,False
32,100 mile house,Revelstoke,-0.6355,1.0,-7.8593,6.5883,False
33,100 mile house,Salt Spring Island,-2.5431,1.0,-9.7669,4.6807,False
34,100 mile house,Shuswap,-7.6515,0.0208,-14.8753,-0.4277,True
35,100 mile house,Skeena,4.662,0.9075,-2.5619,11.8858,False
36,100 mile house,Smithers,5.5158,0.573,-1.708,12.7396,False
37,100 mile house,South Okanagan Similkameen,-5.3816,0.6373,-12.6055,1.8422,False
38,100 mile house,Squamish,-3.7373,0.9975,-10.9612,3.4865,False
39,100 mile house,Sunshine Coast,8.032,0.0089,0.8081,15.2558,True
40,100 mile house,Terrace,-0.0916,1.0,-7.3154,7.1322,False
41,100 mile house,Vernon,-5.9345,0.3774,-13.1583,1.2893,False
42,100 mile house,Victoria,-1.0064,1.0,-8.2302,6.2174,False
43,100 mile house,West Kootenay,2.6606,1.0,-4.5632,9.8844,False
44,100 mile house,Whistler,-7.645,0.0211,-14.8688,-0.4212,True
45,100 mile house,Williams Lake,-2.9292,1.0,-10.153,4.2946,False
46,Agassiz-Harrison,Ashcroft-Cache-Creek-Clinton,38.3913,0.0,31.1675,45.6151,True
47,Agassiz-Harrison,Bulkley Nechako,0.9816,1.0,-6.2422,8.2055,False
48,Agassiz-Harrison,Campbell River,0.3377,1.0,-6.8862,7.5615,False
49,Agassiz-Harrison,Central Fraser Valley,0.1925,1.0,-7.0313,7.4164,False
50,Agassiz-Harrison,Chilliwack,1.4875,1.0,-5.7364,8.7113,False
51,Agassiz-Harrison,Clearwater,26.498,0.0,19.2742,33.7218,True
52,Agassiz-Harrison,Columbia Valley,-3.4832,0.9995,-10.7071,3.7406,False
53,Agassiz-Harrison,Comox Valley,-0.693,1.0,-7.9169,6.5308,False
54,Agassiz-Harrison,Cowichan Valley,10.1656,0.0,2.9418,17.3894,True
55,Agassiz-Harrison,Cranbrook,-3.4533,0.9996,-10.6771,3.7706,False
56,Agassiz-Harrison,Creston Valley,-3.4272,0.9996,-10.651,3.7966,False
57,Agassiz-Harrison,Dawson Creek,1.8418,1.0,-5.382,9.0656,False
58,Agassiz-Harrison,Elk Valley,-0.2478,1.0,-7.4716,6.976,False
59,Agassiz-Harrison,Fort St John,-0.8912,1.0,-8.1151,6.3326,False
60,Agassiz-Harrison,Greater Vancouver,1.594,1.0,-5.6299,8.8178,False
