,trip_id,arrival_time,time_diff,cluster,minutes_past_midnight
0,13717507, 5:04:11,0.0,1,304.18333333333334
1,13717426, 5:59:09,54.96666666666667,1,359.15
2,13717438, 6:26:09,27.0,1,386.15
3,13717508, 6:53:01,26.866666666666667,1,413.01666666666665
4,13717424, 7:07:57,14.933333333333334,1,427.95
5,13717421, 7:25:57,18.0,1,445.95
6,13717443, 7:40:57,15.0,1,460.95
7,13717444, 7:53:57,13.0,1,473.95
8,13717445, 8:08:57,15.0,1,488.95
9,13717446, 8:25:57,17.0,1,505.95
10,13717509, 8:40:44,14.783333333333333,1,520.7333333333333
11,13717447, 8:43:46,3.033333333333333,1,523.7666666666667
12,13717448, 9:01:40,17.9,1,541.6666666666666
13,13717449, 9:17:40,16.0,1,557.6666666666666
14,13717450, 9:32:40,15.0,1,572.6666666666666
15,13717451, 9:48:34,15.9,1,588.5666666666667
16,13717452,10:03:34,15.0,1,603.5666666666667
17,13717453,10:19:34,16.0,1,619.5666666666667
18,13717454,10:34:34,15.0,1,634.5666666666667
19,13717455,10:49:34,15.0,0,649.5666666666667
20,13717456,11:04:34,15.0,0,664.5666666666667
21,13717457,11:22:28,17.9,0,682.4666666666667
22,13717458,11:37:28,15.0,0,697.4666666666667
23,13717459,11:53:28,16.0,0,713.4666666666667
24,13717429,12:08:28,15.0,0,728.4666666666667
25,13717493,12:22:28,14.0,0,742.4666666666667
26,13717494,12:37:28,15.0,0,757.4666666666667
27,13717495,12:52:28,15.0,0,772.4666666666667
28,13717496,13:07:28,15.0,0,787.4666666666667
29,13717497,13:22:28,15.0,0,802.4666666666667
30,13717498,13:37:28,15.0,0,817.4666666666667
31,13717499,13:55:22,17.9,0,835.3666666666667
32,13717436,14:10:22,15.0,0,850.3666666666667
33,13717435,14:25:22,15.0,0,865.3666666666667
34,13717468,14:40:22,15.0,0,880.3666666666667
35,13717469,14:55:22,15.0,0,895.3666666666667
36,13717470,15:10:22,15.0,0,910.3666666666667
37,13717471,15:25:22,15.0,4,925.3666666666667
38,13717472,15:40:22,15.0,4,940.3666666666667
39,13717511,15:52:22,12.0,4,952.3666666666667
40,13717473,15:59:22,7.0,4,959.3666666666667
41,13717474,16:14:22,15.0,4,974.3666666666667
42,13717475,16:26:22,12.0,4,986.3666666666667
43,13717476,16:37:22,11.0,4,997.3666666666667
44,13717477,16:49:22,12.0,4,1009.3666666666667
45,13717478,17:01:22,12.0,4,1021.3666666666667
46,13717479,17:13:22,12.0,4,1033.3666666666666
47,13717480,17:23:28,10.1,4,1043.4666666666667
48,13717481,17:35:28,12.0,4,1055.4666666666667
49,13717482,17:47:28,12.0,4,1067.4666666666667
50,13717483,17:59:28,12.0,4,1079.4666666666667
51,13717484,18:11:28,12.0,4,1091.4666666666667
52,13717485,18:23:28,12.0,4,1103.4666666666667
53,13717486,18:35:28,12.0,4,1115.4666666666667
54,13717487,18:47:28,12.0,4,1127.4666666666667
55,13717488,18:55:40,8.2,4,1135.6666666666667
56,13717489,19:07:40,12.0,4,1147.6666666666667
57,13717490,19:17:40,10.0,4,1157.6666666666667
58,13717491,19:29:40,12.0,4,1169.6666666666667
59,13717492,19:41:40,12.0,2,1181.6666666666667
60,13717441,19:53:40,12.0,2,1193.6666666666667
61,13717442,20:05:40,12.0,2,1205.6666666666667
62,13717440,20:17:40,12.0,2,1217.6666666666667
63,13717422,20:29:40,12.0,2,1229.6666666666667
64,13717423,20:41:40,12.0,2,1241.6666666666667
65,13717500,20:51:40,10.0,2,1251.6666666666667
66,13717501,21:03:40,12.0,2,1263.6666666666667
67,13717502,21:13:46,10.1,2,1273.7666666666667
68,13717503,21:25:46,12.0,2,1285.7666666666667
69,13717504,21:37:46,12.0,2,1297.7666666666667
70,13717505,21:49:46,12.0,2,1309.7666666666667
71,13717506,22:01:46,12.0,2,1321.7666666666667
72,13717460,22:16:46,15.0,2,1336.7666666666667
73,13717461,22:28:46,12.0,2,1348.7666666666667
74,13717462,22:38:57,10.183333333333334,2,1358.95
75,13717463,22:50:57,12.0,2,1370.95
76,13717464,23:02:57,12.0,2,1382.95
77,13717465,23:13:57,11.0,2,1393.95
78,13717466,23:27:57,14.0,2,1407.95
79,13717467,23:41:57,14.0,2,1421.95
80,13717425,23:57:57,16.0,2,1437.95
81,13717420,24:12:57,15.0,3,12.95
82,13717428,24:27:57,15.0,3,27.95
83,13717434,24:41:04,13.116666666666667,3,41.06666666666667
84,13717439,24:56:04,15.0,3,56.06666666666667
85,13717431,25:11:04,15.0,3,71.06666666666666
86,13717427,25:26:04,15.0,3,86.06666666666666
87,13717433,25:41:04,15.0,3,101.06666666666666
88,13717437,25:57:04,16.0,3,117.06666666666666
89,13717432,26:26:04,29.0,3,146.06666666666666
