,trip_id,arrival_time,sunday,time_diff,period
0,13717680, 5:03:11,1,0.0,Morning
1,13717617, 5:55:09,1,51.96666666666667,Morning
2,13717676, 6:26:09,1,31.0,Morning
3,13717681, 6:48:11,1,22.033333333333335,Morning
4,13717614, 7:04:09,1,15.966666666666667,Morning
5,13717610, 7:21:04,1,16.916666666666668,Morning
6,13717684, 7:33:07,1,12.05,Morning
7,13717667, 7:39:57,1,6.833333333333333,Morning
8,13717672, 7:54:57,1,15.0,Morning
9,13717646, 8:09:57,1,15.0,Morning
10,13717665, 8:25:57,1,16.0,Morning
11,13717670, 8:41:57,1,16.0,Morning
12,13717668, 8:58:51,1,16.9,Morning
13,13717666, 9:13:51,1,15.0,Morning
14,13717611, 9:28:51,1,15.0,Morning
15,13717608, 9:43:51,1,15.0,Morning
16,13717640, 9:58:51,1,15.0,Morning
17,13717639,10:15:46,1,16.916666666666668,Morning
18,13717638,10:30:46,1,15.0,Morning
19,13717630,10:45:46,1,15.0,Morning
20,13717637,11:00:46,1,15.0,Afternoon
21,13717636,11:16:40,1,15.9,Afternoon
22,13717635,11:31:40,1,15.0,Afternoon
23,13717685,11:45:55,1,14.25,Afternoon
24,13717634,11:50:40,1,4.75,Afternoon
25,13717633,12:04:40,1,14.0,Afternoon
26,13717632,12:19:40,1,15.0,Afternoon
27,13717631,12:34:40,1,15.0,Afternoon
28,13717657,12:50:40,1,16.0,Afternoon
29,13717656,13:05:40,1,15.0,Afternoon
30,13717655,13:20:40,1,15.0,Afternoon
31,13717654,13:35:40,1,15.0,Afternoon
32,13717653,13:50:40,1,15.0,Afternoon
33,13717650,14:05:40,1,15.0,Afternoon
34,13717649,14:20:40,1,15.0,Afternoon
35,13717648,14:35:40,1,15.0,Afternoon
36,13717647,14:52:34,1,16.9,Afternoon
37,13717616,15:07:34,1,15.0,Afternoon
38,13717629,15:21:28,1,13.9,Afternoon
39,13717628,15:36:28,1,15.0,Afternoon
40,13717627,15:51:28,1,15.0,Afternoon
41,13717674,16:06:28,1,15.0,Evening
42,13717662,16:21:28,1,15.0,Evening
43,13717661,16:36:28,1,15.0,Evening
44,13717660,16:48:28,1,12.0,Evening
45,13717626,17:00:28,1,12.0,Evening
46,13717659,17:12:28,1,12.0,Evening
47,13717658,17:24:28,1,12.0,Evening
48,13717615,17:36:28,1,12.0,Evening
49,13717604,17:48:28,1,12.0,Evening
50,13717625,17:59:34,1,11.1,Evening
51,13717603,18:11:34,1,12.0,Evening
52,13717602,18:23:34,1,12.0,Evening
53,13717601,18:34:34,1,11.0,Evening
54,13717600,18:46:34,1,12.0,Evening
55,13717624,18:58:34,1,12.0,Evening
56,13717682,19:10:34,1,12.0,Evening
57,13717679,19:21:40,1,11.1,Evening
58,13717683,19:44:46,1,23.1,Evening
59,13717651,19:59:46,1,15.0,Evening
60,13717623,20:14:46,1,15.0,Evening
61,13717678,20:29:46,1,15.0,Evening
62,13717612,20:44:46,1,15.0,Evening
63,13717613,20:59:46,1,15.0,Evening
64,13717622,21:12:51,1,13.083333333333334,Night
65,13717671,21:27:51,1,15.0,Night
66,13717607,21:42:51,1,15.0,Night
67,13717664,21:57:51,1,15.0,Night
68,13717645,22:12:51,1,15.0,Night
69,13717621,22:27:51,1,15.0,Night
70,13717606,22:39:57,1,12.1,Night
71,13717675,22:54:57,1,15.0,Night
72,13717663,23:09:57,1,15.0,Night
73,13717620,23:24:57,1,15.0,Night
74,13717609,23:39:57,1,15.0,Night
75,13717605,23:54:57,1,15.0,Night
76,13717673,24:09:57,1,15.0,Night
77,13717619,24:24:57,1,15.0,Night
78,13717644,24:38:57,1,14.0,Night
79,13717677,24:53:57,1,15.0,Night
80,13717641,25:08:57,1,15.0,Night
81,13717618,25:23:57,1,15.0,Night
82,13717643,25:38:57,1,15.0,Night
83,13717669,25:56:57,1,18.0,Night
84,13717642,26:23:57,1,27.0,Night
