trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2302560:5492756:5497327,13:40:00,13:40:00,187017,1,0,,0,0,1
2302560:5492756:5497327,13:41:00,13:41:00,187018,2,274,,0,0,0
2302560:5492756:5497327,13:41:00,13:41:00,187019,3,448,,0,0,0
2302560:5492756:5497327,13:43:00,13:43:00,187000,4,968,,0,0,1
2302560:5492756:5497327,13:48:00,13:48:00,187023,5,8338,,0,0,1
2302560:5492756:5497327,13:54:00,13:54:00,187020,6,13508,,0,0,1
2302560:5492756:5497327,14:02:00,14:02:00,187022,7,19197,,0,0,1
2302560:5492756:5497327,14:10:00,14:10:00,187021,8,25483,,0,0,1
2302559:5493502:5497351,09:45:00,09:45:00,187000,1,0,,0,0,1
2302559:5493502:5497351,10:00:00,10:00:00,187020,2,11784,,0,0,1
2302559:5493502:5497351,10:07:00,10:07:00,187022,3,17473,,0,0,1
2302559:5493502:5497351,10:15:00,10:15:00,187021,4,23759,,0,0,1
2302559:5493502:5497351,10:18:00,10:18:00,187024,5,28914,,0,0,1
2302559:5493502:5497351,10:25:00,10:25:00,187017,6,35031,,0,0,1
2302558:5493670:5497366,07:45:00,07:45:00,187020,1,0,,0,0,1
2302558:5493670:5497366,07:52:00,07:52:00,187022,2,5689,,0,0,1
2302558:5493670:5497366,08:01:00,08:01:00,187021,3,11975,,0,0,1
2302558:5493670:5497366,08:04:00,08:04:00,187024,4,17130,,0,0,1
2302558:5493670:5497366,08:14:00,08:14:00,187017,5,23247,,0,0,1
2302556:5494156:5497327,13:23:00,13:23:00,187025,1,0,,0,0,1
2302556:5494156:5497327,13:25:00,13:25:00,187017,2,455,,0,0,1
2302556:5494156:5497327,13:26:00,13:26:00,187018,3,729,,0,0,0
2302556:5494156:5497327,13:26:00,13:26:00,187019,4,903,,0,0,0
2302556:5494156:5497327,13:28:00,13:28:00,187000,5,1423,,0,0,1
2302556:5494156:5497327,13:29:00,13:29:00,187001,6,1900,,0,0,0
2302556:5494156:5497327,13:30:00,13:30:00,187002,7,2372,,0,0,0
2302556:5494156:5497327,13:30:00,13:30:00,187003,8,2671,,0,0,1
2302556:5494156:5497327,13:31:00,13:31:00,187004,9,3363,,0,0,0
2302556:5494156:5497327,13:32:00,13:32:00,187005,10,3905,,0,0,0
2302556:5494156:5497327,13:34:00,13:34:00,187006,11,4850,,0,0,1
2302556:5494156:5497327,13:35:00,13:35:00,187007,12,5307,,0,0,0
2302556:5494156:5497327,13:35:00,13:35:00,187008,13,5478,,0,0,0
2302556:5494156:5497327,13:36:00,13:36:00,187009,14,6009,,0,0,0
2302556:5494156:5497327,13:37:00,13:37:00,187010,15,6259,,0,0,0
2302556:5494156:5497327,13:38:00,13:38:00,187012,16,6829,,0,0,1
2302556:5494156:5497327,13:38:00,13:38:00,187013,17,7109,,0,0,0
2302556:5494156:5497327,13:39:00,13:39:00,187014,18,7390,,0,0,0
2302556:5494156:5497327,13:39:00,13:39:00,187015,19,7581,,0,0,0
2302556:5494156:5497327,13:40:00,13:40:00,187016,20,7948,,0,0,1
2302556:5494156:5497327,13:40:00,13:40:00,187017,21,8119,,0,0,1
2302554:5494391:5497366,08:14:00,08:14:00,187017,1,0,,0,0,1
2302554:5494391:5497366,08:18:00,08:18:00,187018,2,274,,0,0,0
2302554:5494391:5497366,08:20:00,08:20:00,187019,3,448,,0,0,0
2302554:5494391:5497366,08:28:00,08:28:00,187000,4,968,,0,0,1
2302554:5494391:5497366,08:29:00,08:29:00,187001,5,1445,,0,0,0
2302554:5494391:5497366,08:30:00,08:30:00,187002,6,1917,,0,0,0
2302554:5494391:5497366,08:30:00,08:30:00,187003,7,2216,,0,0,1
2302554:5494391:5497366,08:31:00,08:31:00,187004,8,2908,,0,0,0
2302554:5494391:5497366,08:32:00,08:32:00,187005,9,3450,,0,0,0
2302554:5494391:5497366,08:34:00,08:34:00,187006,10,4395,,0,0,1
2302554:5494391:5497366,08:35:00,08:35:00,187007,11,4852,,0,0,0
2302554:5494391:5497366,08:35:00,08:35:00,187008,12,5023,,0,0,0
2302554:5494391:5497366,08:36:00,08:36:00,187009,13,5554,,0,0,0
2302554:5494391:5497366,08:37:00,08:37:00,187010,14,5804,,0,0,0
2302554:5494391:5497366,08:38:00,08:38:00,187012,15,6374,,0,0,1
2302554:5494391:5497366,08:38:00,08:38:00,187013,16,6654,,0,0,0
2302554:5494391:5497366,08:39:00,08:39:00,187014,17,6935,,0,0,0
2302554:5494391:5497366,08:39:00,08:39:00,187015,18,7126,,0,0,0
2302554:5494391:5497366,08:40:00,08:40:00,187016,19,7493,,0,0,1
2302554:5494391:5497366,08:40:00,08:40:00,187017,20,7664,,0,0,1
2302554:5494391:5497366,08:41:00,08:41:00,187018,21,7938,,0,0,0
2302554:5494391:5497366,08:41:00,08:41:00,187019,22,8112,,0,0,0
2302554:5494391:5497366,08:43:00,08:43:00,187000,23,8632,,0,0,1
2302557:5495594:5497259,15:20:00,15:20:00,187016,1,0,,0,0,1
2302557:5495594:5497259,15:20:00,15:20:00,187017,2,171,,0,0,1
2302557:5495594:5497259,15:21:00,15:21:00,187018,3,445,,0,0,0
2302557:5495594:5497259,15:21:00,15:21:00,187019,4,619,,0,0,0
2302557:5495594:5497259,15:23:00,15:23:00,187000,5,1139,,0,0,1
2302557:5495594:5497259,15:24:00,15:24:00,187001,6,1616,,0,0,0
2302557:5495594:5497259,15:25:00,15:25:00,187002,7,2088,,0,0,0
2302557:5495594:5497259,15:25:00,15:25:00,187003,8,2387,,0,0,1
2302557:5495594:5497259,15:26:00,15:26:00,187004,9,3079,,0,0,0
2302557:5495594:5497259,15:27:00,15:27:00,187005,10,3621,,0,0,0
2302557:5495594:5497259,15:29:00,15:29:00,187006,11,4566,,0,0,1
2302557:5495594:5497259,15:30:00,15:30:00,187007,12,5023,,0,0,0
2302557:5495594:5497259,15:30:00,15:30:00,187008,13,5194,,0,0,0
