trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
2362589:4637530:5314171,16:35:00,16:35:00,124095,1,0,,0,0,1
2362589:4637530:5314171,16:42:00,16:42:00,108078,2,3292,,0,0,1
2362589:4637530:5314171,16:50:00,16:50:00,120004,3,7423,,0,0,1
2362589:4637530:5314171,17:12:00,17:12:00,120003,4,34333,,0,0,1
2362589:4637530:5314171,17:25:00,17:25:00,120002,5,43171,,0,0,1
2362589:4637530:5314171,17:48:00,17:48:00,120054,6,67000,,1,0,1
2362589:4637530:5314171,18:08:00,18:08:00,120076,7,88854,,1,1,0
2362589:4637530:5314171,18:08:00,18:08:00,120053,8,89172,,1,0,1
2364403:4637531:5030155,12:17:00,12:17:00,120050,1,0,,0,0,1
2364403:4637531:5030155,12:18:00,12:18:00,107800,2,396,,0,0,0
2364403:4637531:5030155,12:19:00,12:19:00,107801,3,756,,0,0,0
2364403:4637531:5030155,12:19:00,12:19:00,107802,4,1007,,0,0,0
2364403:4637531:5030155,12:21:00,12:21:00,107803,5,1471,,0,0,0
2364403:4637531:5030155,12:21:00,12:21:00,107804,6,1790,,0,0,0
2364403:4637531:5030155,12:22:00,12:22:00,107805,7,1991,,0,0,0
2364403:4637531:5030155,12:23:00,12:23:00,107806,8,2365,,0,0,0
2364403:4637531:5030155,12:24:00,12:24:00,107807,9,2853,,0,0,0
2364403:4637531:5030155,12:26:00,12:26:00,120077,10,3605,,0,0,0
2364403:4637531:5030155,12:27:00,12:27:00,107755,11,4143,,0,0,1
2364403:4637531:5030155,12:30:00,12:30:00,107756,12,5389,,0,0,1
2364403:4637531:5030155,12:32:00,12:32:00,120064,13,5726,,0,0,1
2369605:4637539:5314180,17:40:00,17:40:00,120072,1,0,,0,0,1
2369605:4637539:5314180,17:41:00,17:41:00,107318,2,376,,0,0,0
2369605:4637539:5314180,17:42:00,17:42:00,107319,3,1000,,0,0,0
2369605:4637539:5314180,17:43:00,17:43:00,107320,4,1209,,0,0,0
2369605:4637539:5314180,17:44:00,17:44:00,107136,5,1539,,0,0,0
2369605:4637539:5314180,17:44:00,17:44:00,107137,6,1720,,0,0,0
2369605:4637539:5314180,17:45:00,17:45:00,107321,7,2099,,0,0,1
2369605:4637539:5314180,17:46:00,17:46:00,107322,8,2361,,0,0,0
2369605:4637539:5314180,17:46:00,17:46:00,120070,9,2572,,0,0,0
2369605:4637539:5314180,17:47:00,17:47:00,107324,10,2766,,0,0,0
2369605:4637539:5314180,17:47:00,17:47:00,107325,11,3057,,0,0,0
2369605:4637539:5314180,17:48:00,17:48:00,107326,12,3407,,0,0,1
2369605:4637539:5314180,17:48:00,17:48:00,107327,13,3659,,0,0,0
2369605:4637539:5314180,17:49:00,17:49:00,107328,14,3997,,0,0,0
2369605:4637539:5314180,17:50:00,17:50:00,107329,15,4203,,0,0,0
2369605:4637539:5314180,17:50:00,17:50:00,107330,16,4329,,0,0,0
2369605:4637539:5314180,17:51:00,17:51:00,107331,17,4910,,0,0,0
2369605:4637539:5314180,17:52:00,17:52:00,107332,18,5512,,0,0,0
2369605:4637539:5314180,17:52:00,17:52:00,107333,19,5597,,0,0,0
2369605:4637539:5314180,17:53:00,17:53:00,107334,20,5893,,0,0,0
2369605:4637539:5314180,17:53:00,17:53:00,107335,21,6110,,0,0,0
2369605:4637539:5314180,17:54:00,17:54:00,107336,22,6568,,0,0,0
2369605:4637539:5314180,17:55:00,17:55:00,120061,23,6996,,0,0,1
2364295:4637541:5030160,14:23:00,14:23:00,120071,1,0,,0,0,1
2364295:4637541:5030160,14:23:00,14:23:00,107234,2,276,,0,0,0
2364295:4637541:5030160,14:24:00,14:24:00,107235,3,501,,0,0,0
2364295:4637541:5030160,14:24:00,14:24:00,107236,4,789,,0,0,0
2364295:4637541:5030160,14:25:00,14:25:00,107481,5,1093,,0,0,0
